strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_454,Streptococcus,beyond,Negative,Aerobic,5.59
STR_120,Lactobacillus,miss,Negative,Aerobic,6.02
STR_832,Bacillus,perform,Positive,Facultative Anaerobe,0.57
STR_314,Lactobacillus,senior,Positive,Microaerophilic,0.72
STR_814,Streptococcus,scene,Positive,Aerobic,2.71
STR_440,Pseudomonas,later,Negative,Aerobic,8.43
STR_726,Streptococcus,peace,Negative,Microaerophilic,1.38
STR_790,Staphylococcus,audience,Negative,Microaerophilic,3.91
STR_719,Pseudomonas,news,Negative,Microaerophilic,4.28
STR_359,Staphylococcus,billion,Negative,Microaerophilic,3.41
STR_644,Clostridium,bed,Positive,Microaerophilic,1.39
STR_123,Bacillus,doctor,Negative,Aerobic,6.46
STR_401,Pseudomonas,large,Negative,Anaerobic,2.75
STR_496,Lactobacillus,according,Positive,Aerobic,8.26
STR_625,Lactobacillus,which,Negative,Anaerobic,3.36
STR_252,Staphylococcus,few,Positive,Facultative Anaerobe,2.49
STR_102,Lactobacillus,medical,Negative,Microaerophilic,9.28
STR_404,Lactobacillus,such,Positive,Microaerophilic,4.87
STR_136,Staphylococcus,positive,Negative,Anaerobic,2.41
STR_229,Streptococcus,fly,Negative,Aerobic,5.99
STR_151,Pseudomonas,hand,Positive,Facultative Anaerobe,1.82
STR_178,Staphylococcus,free,Negative,Aerobic,4.0
STR_860,Clostridium,listen,Negative,Microaerophilic,6.21
STR_146,Staphylococcus,cut,Positive,Facultative Anaerobe,2.27
STR_569,Streptococcus,culture,Positive,Microaerophilic,1.53
STR_107,Bacillus,should,Negative,Aerobic,2.96
STR_313,Pseudomonas,push,Negative,Aerobic,5.15
STR_625,Staphylococcus,sometimes,Negative,Aerobic,3.87
STR_423,Lactobacillus,friend,Positive,Anaerobic,6.38
STR_976,Staphylococcus,draw,Positive,Anaerobic,3.97
STR_377,Streptococcus,conference,Positive,Microaerophilic,3.92
STR_830,Bacillus,skin,Negative,Anaerobic,4.62
STR_139,Bacillus,clearly,Positive,Aerobic,6.5
STR_310,Pseudomonas,modern,Positive,Aerobic,8.58
STR_380,Pseudomonas,oil,Negative,Microaerophilic,4.09
STR_478,Bacillus,statement,Positive,Microaerophilic,7.66
STR_243,Staphylococcus,professor,Positive,Facultative Anaerobe,8.42
STR_674,Pseudomonas,party,Negative,Microaerophilic,5.18
STR_405,Clostridium,five,Negative,Microaerophilic,9.66
STR_321,Pseudomonas,whatever,Negative,Anaerobic,8.41
STR_728,Lactobacillus,pretty,Positive,Microaerophilic,8.86
STR_483,Lactobacillus,bill,Negative,Facultative Anaerobe,0.73
STR_526,Bacillus,real,Negative,Anaerobic,7.34
STR_891,Pseudomonas,citizen,Positive,Anaerobic,0.73
STR_758,Lactobacillus,newspaper,Positive,Aerobic,4.63
STR_398,Pseudomonas,simply,Negative,Aerobic,1.86
STR_411,Streptococcus,national,Positive,Facultative Anaerobe,2.22
STR_365,Bacillus,reflect,Negative,Aerobic,5.79
STR_334,Clostridium,floor,Negative,Anaerobic,5.38
STR_579,Lactobacillus,very,Negative,Anaerobic,9.13
STR_389,Bacillus,choose,Positive,Facultative Anaerobe,5.71
STR_685,Staphylococcus,second,Positive,Facultative Anaerobe,5.36
STR_914,Pseudomonas,song,Negative,Facultative Anaerobe,1.39
STR_491,Streptococcus,car,Negative,Microaerophilic,6.49
STR_989,Bacillus,simple,Positive,Anaerobic,7.54
STR_933,Clostridium,view,Positive,Anaerobic,1.36
STR_149,Pseudomonas,ability,Negative,Anaerobic,7.12
STR_317,Clostridium,democratic,Negative,Aerobic,5.63
STR_261,Clostridium,major,Positive,Anaerobic,6.15
STR_625,Staphylococcus,health,Negative,Anaerobic,7.35
STR_965,Bacillus,on,Positive,Aerobic,2.76
STR_151,Bacillus,crime,Negative,Anaerobic,2.04
STR_913,Streptococcus,perform,Positive,Anaerobic,8.65
STR_807,Streptococcus,beyond,Positive,Aerobic,2.04
STR_133,Clostridium,prepare,Positive,Anaerobic,1.66
STR_746,Lactobacillus,others,Negative,Aerobic,0.54
STR_677,Streptococcus,mention,Negative,Microaerophilic,5.83
STR_260,Pseudomonas,remain,Positive,Microaerophilic,3.89
STR_274,Streptococcus,fill,Negative,Anaerobic,3.25
STR_406,Staphylococcus,may,Negative,Facultative Anaerobe,3.78
STR_387,Pseudomonas,new,Negative,Facultative Anaerobe,2.15
STR_260,Bacillus,change,Positive,Anaerobic,3.86
STR_793,Pseudomonas,baby,Negative,Facultative Anaerobe,5.57
STR_400,Staphylococcus,want,Negative,Anaerobic,8.55
STR_822,Pseudomonas,plant,Positive,Microaerophilic,0.61
STR_306,Staphylococcus,difference,Positive,Microaerophilic,1.23
STR_811,Pseudomonas,woman,Negative,Facultative Anaerobe,7.64
STR_665,Bacillus,site,Negative,Anaerobic,0.53
STR_263,Staphylococcus,defense,Positive,Aerobic,8.67
STR_570,Clostridium,network,Negative,Microaerophilic,0.53
STR_560,Clostridium,just,Positive,Facultative Anaerobe,7.43
STR_160,Lactobacillus,house,Positive,Anaerobic,6.42
STR_971,Pseudomonas,listen,Negative,Microaerophilic,8.56
STR_477,Streptococcus,admit,Negative,Facultative Anaerobe,9.15
STR_180,Lactobacillus,religious,Negative,Anaerobic,6.09
STR_455,Streptococcus,just,Positive,Aerobic,6.7
STR_770,Pseudomonas,word,Negative,Anaerobic,8.85
STR_607,Streptococcus,music,Positive,Microaerophilic,4.31
STR_674,Lactobacillus,toward,Positive,Aerobic,1.3
STR_434,Bacillus,might,Positive,Anaerobic,4.43
STR_465,Staphylococcus,hour,Positive,Aerobic,7.82
STR_571,Clostridium,find,Negative,Microaerophilic,7.96
STR_214,Staphylococcus,level,Positive,Aerobic,5.91
STR_481,Bacillus,scientist,Negative,Aerobic,1.4
STR_911,Streptococcus,by,Positive,Anaerobic,9.86
STR_113,Clostridium,guy,Negative,Anaerobic,6.21
STR_196,Lactobacillus,future,Negative,Facultative Anaerobe,3.32
STR_293,Streptococcus,watch,Positive,Microaerophilic,3.69
STR_345,Streptococcus,large,Positive,Aerobic,3.59
STR_826,Clostridium,surface,Negative,Anaerobic,6.2
STR_528,Clostridium,common,Positive,Anaerobic,2.79
STR_856,Pseudomonas,those,Positive,Aerobic,3.42
STR_723,Bacillus,account,Negative,Aerobic,0.79
STR_212,Staphylococcus,pull,Negative,Microaerophilic,9.96
STR_332,Pseudomonas,bad,Negative,Microaerophilic,1.03
STR_633,Bacillus,four,Negative,Aerobic,6.73
STR_248,Streptococcus,major,Positive,Aerobic,2.25
STR_132,Bacillus,try,Negative,Anaerobic,8.09
STR_952,Bacillus,set,Positive,Aerobic,3.9
STR_431,Staphylococcus,order,Negative,Microaerophilic,3.89
STR_640,Lactobacillus,production,Positive,Aerobic,6.43
STR_289,Bacillus,tax,Negative,Microaerophilic,0.78
STR_119,Lactobacillus,onto,Positive,Facultative Anaerobe,9.25
STR_246,Pseudomonas,suddenly,Negative,Aerobic,0.86
STR_289,Bacillus,process,Negative,Facultative Anaerobe,9.35
STR_330,Streptococcus,official,Negative,Facultative Anaerobe,0.6
STR_204,Streptococcus,available,Positive,Aerobic,8.09
STR_957,Bacillus,approach,Positive,Anaerobic,9.0
STR_880,Lactobacillus,about,Positive,Anaerobic,6.88
STR_834,Streptococcus,might,Positive,Microaerophilic,0.82
STR_880,Streptococcus,common,Negative,Aerobic,3.87
STR_416,Lactobacillus,lead,Negative,Aerobic,1.78
STR_837,Lactobacillus,drug,Positive,Microaerophilic,3.75
STR_764,Bacillus,cultural,Negative,Microaerophilic,7.93
STR_174,Pseudomonas,push,Positive,Microaerophilic,6.4
STR_439,Bacillus,total,Positive,Aerobic,8.9
STR_659,Streptococcus,election,Positive,Anaerobic,8.04
STR_930,Pseudomonas,front,Negative,Aerobic,8.93
STR_758,Staphylococcus,size,Positive,Anaerobic,0.89
STR_281,Clostridium,quality,Negative,Microaerophilic,4.7
STR_851,Lactobacillus,table,Negative,Anaerobic,0.7
STR_794,Lactobacillus,sing,Positive,Facultative Anaerobe,2.29
STR_215,Bacillus,may,Negative,Facultative Anaerobe,4.63
STR_229,Streptococcus,in,Positive,Aerobic,8.6
STR_408,Lactobacillus,direction,Positive,Anaerobic,4.1
STR_731,Lactobacillus,best,Positive,Facultative Anaerobe,2.92
STR_978,Clostridium,face,Negative,Facultative Anaerobe,3.47
STR_355,Bacillus,house,Negative,Aerobic,2.3
STR_398,Bacillus,economy,Negative,Anaerobic,2.96
STR_436,Streptococcus,expert,Negative,Anaerobic,8.32
STR_469,Clostridium,century,Negative,Facultative Anaerobe,6.24
STR_996,Lactobacillus,whatever,Negative,Aerobic,2.15
STR_884,Streptococcus,relate,Negative,Facultative Anaerobe,4.19
STR_159,Bacillus,use,Negative,Microaerophilic,9.63
STR_707,Streptococcus,say,Positive,Anaerobic,5.48
STR_230,Pseudomonas,science,Positive,Anaerobic,8.58
STR_313,Bacillus,effect,Positive,Aerobic,7.84
STR_614,Streptococcus,again,Negative,Aerobic,4.76
STR_203,Streptococcus,imagine,Positive,Microaerophilic,4.84
STR_439,Staphylococcus,out,Negative,Microaerophilic,2.18
STR_842,Staphylococcus,partner,Positive,Anaerobic,3.85
STR_158,Bacillus,design,Negative,Microaerophilic,9.43
STR_568,Bacillus,yeah,Negative,Anaerobic,1.61
STR_475,Staphylococcus,international,Positive,Facultative Anaerobe,0.99
STR_335,Bacillus,energy,Positive,Microaerophilic,4.91
STR_401,Staphylococcus,participant,Positive,Microaerophilic,5.63
STR_267,Lactobacillus,walk,Positive,Microaerophilic,7.78
STR_423,Clostridium,kind,Negative,Facultative Anaerobe,9.8
STR_526,Clostridium,staff,Negative,Anaerobic,4.46
STR_995,Staphylococcus,stop,Negative,Anaerobic,6.32
STR_451,Lactobacillus,hundred,Positive,Microaerophilic,8.16
STR_248,Pseudomonas,size,Negative,Facultative Anaerobe,3.92
STR_178,Bacillus,let,Positive,Microaerophilic,9.35
STR_251,Pseudomonas,exist,Positive,Aerobic,8.53
STR_683,Streptococcus,debate,Negative,Microaerophilic,3.2
STR_854,Staphylococcus,consumer,Positive,Anaerobic,9.96
STR_896,Lactobacillus,speech,Positive,Microaerophilic,1.99
STR_807,Staphylococcus,budget,Negative,Microaerophilic,2.35
STR_786,Lactobacillus,image,Positive,Aerobic,7.52
STR_932,Clostridium,put,Positive,Microaerophilic,2.85
STR_667,Streptococcus,yeah,Negative,Microaerophilic,1.97
STR_438,Staphylococcus,subject,Positive,Microaerophilic,4.63
STR_876,Staphylococcus,woman,Negative,Aerobic,7.41
STR_829,Bacillus,poor,Positive,Anaerobic,5.21
STR_699,Clostridium,amount,Positive,Microaerophilic,7.63
