strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_299,Clostridium,civil,Negative,Microaerophilic,1.33
STR_370,Lactobacillus,focus,Positive,Aerobic,7.31
STR_727,Staphylococcus,generation,Negative,Facultative Anaerobe,8.22
STR_978,Bacillus,direction,Negative,Facultative Anaerobe,1.05
STR_945,Pseudomonas,four,Positive,Anaerobic,4.64
STR_541,Lactobacillus,least,Negative,Anaerobic,6.45
STR_239,Bacillus,policy,Positive,Anaerobic,1.05
STR_486,Staphylococcus,class,Negative,Aerobic,2.21
STR_271,Lactobacillus,speak,Negative,Aerobic,8.82
STR_773,Staphylococcus,others,Negative,Anaerobic,6.96
STR_867,Clostridium,agency,Negative,Microaerophilic,9.22
STR_876,Bacillus,reflect,Negative,Anaerobic,5.23
STR_548,Bacillus,audience,Negative,Anaerobic,5.32
STR_996,Lactobacillus,news,Positive,Facultative Anaerobe,4.17
STR_511,Pseudomonas,including,Negative,Aerobic,6.41
STR_407,Streptococcus,anything,Negative,Microaerophilic,1.6
STR_660,Staphylococcus,old,Positive,Facultative Anaerobe,3.2
STR_632,Staphylococcus,break,Negative,Anaerobic,3.22
STR_350,Staphylococcus,so,Negative,Anaerobic,4.81
STR_628,Clostridium,various,Negative,Microaerophilic,5.34
STR_838,Streptococcus,road,Positive,Facultative Anaerobe,5.71
STR_129,Bacillus,use,Negative,Anaerobic,3.88
STR_115,Staphylococcus,onto,Negative,Aerobic,1.13
STR_769,Streptococcus,give,Negative,Facultative Anaerobe,1.6
STR_463,Streptococcus,third,Positive,Microaerophilic,8.9
STR_552,Streptococcus,determine,Negative,Microaerophilic,7.94
STR_558,Lactobacillus,cost,Positive,Microaerophilic,1.52
STR_649,Pseudomonas,goal,Negative,Aerobic,1.13
STR_939,Bacillus,majority,Negative,Aerobic,8.16
STR_951,Staphylococcus,rise,Negative,Facultative Anaerobe,7.06
STR_396,Clostridium,which,Negative,Aerobic,9.52
STR_338,Bacillus,threat,Negative,Facultative Anaerobe,7.41
STR_974,Streptococcus,development,Positive,Facultative Anaerobe,2.45
STR_945,Clostridium,toward,Negative,Facultative Anaerobe,1.86
STR_212,Lactobacillus,range,Positive,Facultative Anaerobe,1.32
STR_436,Staphylococcus,mission,Negative,Anaerobic,1.85
STR_412,Pseudomonas,form,Positive,Aerobic,0.5
STR_331,Lactobacillus,indicate,Positive,Facultative Anaerobe,8.51
STR_984,Staphylococcus,despite,Positive,Facultative Anaerobe,2.66
STR_277,Lactobacillus,could,Negative,Aerobic,2.6
STR_601,Clostridium,run,Positive,Anaerobic,6.29
STR_571,Bacillus,like,Positive,Microaerophilic,4.12
STR_508,Pseudomonas,game,Negative,Microaerophilic,1.28
STR_114,Lactobacillus,politics,Positive,Facultative Anaerobe,3.68
STR_297,Pseudomonas,television,Positive,Facultative Anaerobe,4.53
STR_605,Lactobacillus,special,Negative,Facultative Anaerobe,9.86
STR_643,Streptococcus,buy,Negative,Microaerophilic,3.92
STR_260,Clostridium,cover,Negative,Anaerobic,3.29
STR_637,Lactobacillus,one,Negative,Facultative Anaerobe,4.53
STR_738,Staphylococcus,green,Negative,Aerobic,3.94
STR_311,Lactobacillus,two,Positive,Facultative Anaerobe,2.02
STR_923,Lactobacillus,receive,Negative,Aerobic,9.59
STR_177,Streptococcus,if,Negative,Aerobic,2.61
STR_356,Staphylococcus,benefit,Negative,Anaerobic,5.99
STR_292,Bacillus,once,Positive,Microaerophilic,6.08
STR_705,Lactobacillus,land,Positive,Microaerophilic,3.2
STR_685,Bacillus,along,Negative,Facultative Anaerobe,7.61
STR_960,Streptococcus,boy,Negative,Facultative Anaerobe,4.45
STR_450,Streptococcus,feeling,Negative,Facultative Anaerobe,9.45
STR_603,Streptococcus,myself,Negative,Facultative Anaerobe,7.81
STR_781,Lactobacillus,guess,Positive,Facultative Anaerobe,3.09
STR_728,Staphylococcus,discover,Positive,Aerobic,2.61
STR_764,Bacillus,clearly,Positive,Facultative Anaerobe,0.61
STR_321,Pseudomonas,week,Positive,Microaerophilic,4.76
STR_656,Bacillus,way,Positive,Microaerophilic,2.23
STR_601,Lactobacillus,region,Negative,Anaerobic,0.64
STR_524,Streptococcus,scientist,Positive,Microaerophilic,4.27
STR_628,Streptococcus,citizen,Positive,Aerobic,9.02
STR_470,Streptococcus,environmental,Positive,Microaerophilic,4.84
STR_423,Clostridium,cause,Positive,Aerobic,6.77
STR_780,Bacillus,apply,Negative,Anaerobic,7.55
STR_929,Bacillus,process,Negative,Anaerobic,6.52
STR_353,Bacillus,study,Positive,Facultative Anaerobe,7.44
STR_525,Bacillus,TV,Negative,Aerobic,2.7
STR_102,Bacillus,capital,Positive,Aerobic,7.06
STR_494,Pseudomonas,painting,Negative,Microaerophilic,7.18
STR_662,Clostridium,need,Positive,Facultative Anaerobe,3.5
STR_201,Streptococcus,first,Positive,Anaerobic,6.49
STR_800,Pseudomonas,position,Positive,Anaerobic,2.42
STR_643,Staphylococcus,professional,Positive,Anaerobic,2.15
STR_479,Clostridium,black,Positive,Microaerophilic,1.45
STR_427,Lactobacillus,high,Positive,Facultative Anaerobe,6.63
STR_827,Clostridium,on,Positive,Microaerophilic,2.07
STR_394,Clostridium,year,Negative,Facultative Anaerobe,4.75
STR_347,Streptococcus,know,Positive,Facultative Anaerobe,9.84
STR_127,Staphylococcus,either,Positive,Aerobic,7.91
STR_772,Streptococcus,nature,Negative,Aerobic,5.0
STR_823,Clostridium,health,Positive,Aerobic,8.66
STR_827,Pseudomonas,culture,Negative,Facultative Anaerobe,7.78
STR_463,Pseudomonas,claim,Positive,Aerobic,7.78
STR_948,Staphylococcus,exist,Positive,Microaerophilic,7.64
STR_140,Pseudomonas,scientist,Positive,Microaerophilic,7.41
STR_918,Pseudomonas,market,Positive,Anaerobic,3.26
STR_900,Staphylococcus,fear,Positive,Facultative Anaerobe,2.53
STR_435,Bacillus,art,Negative,Facultative Anaerobe,1.48
STR_878,Streptococcus,choose,Positive,Microaerophilic,1.49
STR_177,Clostridium,political,Positive,Aerobic,1.31
STR_788,Clostridium,eye,Positive,Facultative Anaerobe,4.04
STR_153,Bacillus,nation,Positive,Anaerobic,4.23
STR_522,Clostridium,power,Negative,Aerobic,2.27
STR_459,Clostridium,onto,Positive,Aerobic,5.63
STR_923,Pseudomonas,force,Positive,Aerobic,4.57
STR_816,Staphylococcus,gun,Negative,Microaerophilic,2.12
STR_602,Pseudomonas,know,Positive,Facultative Anaerobe,8.4
STR_437,Bacillus,everything,Negative,Anaerobic,8.96
STR_570,Lactobacillus,care,Negative,Microaerophilic,3.72
STR_276,Lactobacillus,serve,Negative,Aerobic,9.56
STR_357,Streptococcus,either,Positive,Aerobic,6.05
STR_796,Bacillus,environment,Negative,Aerobic,8.67
STR_992,Streptococcus,manage,Positive,Microaerophilic,2.01
STR_808,Lactobacillus,result,Negative,Aerobic,4.75
STR_649,Bacillus,hair,Negative,Microaerophilic,9.53
STR_630,Lactobacillus,purpose,Positive,Anaerobic,3.94
STR_671,Pseudomonas,entire,Positive,Anaerobic,5.75
STR_212,Clostridium,finish,Negative,Aerobic,6.63
STR_659,Streptococcus,sure,Positive,Facultative Anaerobe,4.19
STR_702,Streptococcus,high,Negative,Facultative Anaerobe,8.71
STR_208,Streptococcus,than,Negative,Facultative Anaerobe,8.37
STR_454,Streptococcus,wind,Positive,Microaerophilic,3.4
STR_775,Staphylococcus,together,Negative,Facultative Anaerobe,8.7
STR_103,Clostridium,cause,Negative,Microaerophilic,8.72
STR_827,Clostridium,off,Positive,Facultative Anaerobe,7.13
STR_711,Clostridium,herself,Positive,Anaerobic,4.55
STR_309,Pseudomonas,west,Negative,Facultative Anaerobe,2.4
STR_370,Pseudomonas,door,Negative,Aerobic,8.83
STR_445,Clostridium,agent,Positive,Aerobic,9.48
STR_542,Streptococcus,resource,Positive,Anaerobic,5.66
STR_888,Lactobacillus,ability,Positive,Aerobic,8.21
STR_754,Staphylococcus,human,Positive,Facultative Anaerobe,8.99
STR_153,Streptococcus,here,Negative,Microaerophilic,5.46
STR_165,Streptococcus,all,Negative,Microaerophilic,4.31
STR_917,Bacillus,according,Negative,Anaerobic,6.46
STR_350,Streptococcus,value,Positive,Aerobic,9.06
STR_937,Clostridium,rest,Negative,Facultative Anaerobe,1.36
STR_662,Bacillus,think,Negative,Microaerophilic,2.67
STR_268,Staphylococcus,grow,Negative,Facultative Anaerobe,6.41
STR_145,Lactobacillus,world,Positive,Microaerophilic,1.3
STR_564,Bacillus,world,Positive,Facultative Anaerobe,6.98
STR_827,Clostridium,fact,Positive,Facultative Anaerobe,4.23
STR_661,Staphylococcus,lead,Positive,Anaerobic,4.21
STR_449,Clostridium,national,Positive,Facultative Anaerobe,3.93
STR_515,Pseudomonas,including,Negative,Aerobic,7.31
STR_617,Staphylococcus,necessary,Negative,Anaerobic,8.58
STR_326,Pseudomonas,perform,Positive,Aerobic,2.72
STR_260,Pseudomonas,sit,Negative,Aerobic,2.0
STR_851,Bacillus,experience,Negative,Anaerobic,2.91
STR_509,Staphylococcus,government,Positive,Microaerophilic,0.8
STR_509,Streptococcus,determine,Negative,Anaerobic,0.58
STR_171,Pseudomonas,address,Positive,Aerobic,7.33
STR_958,Lactobacillus,support,Positive,Anaerobic,8.73
STR_202,Lactobacillus,key,Negative,Aerobic,2.6
STR_928,Streptococcus,to,Positive,Aerobic,6.83
STR_147,Bacillus,participant,Positive,Microaerophilic,4.7
STR_997,Bacillus,push,Positive,Aerobic,7.45
STR_867,Bacillus,on,Negative,Aerobic,3.68
STR_440,Pseudomonas,area,Negative,Facultative Anaerobe,3.8
STR_796,Streptococcus,environment,Positive,Microaerophilic,1.04
STR_123,Staphylococcus,pressure,Negative,Facultative Anaerobe,2.82
STR_393,Pseudomonas,particularly,Negative,Anaerobic,7.41
STR_243,Pseudomonas,fall,Negative,Aerobic,3.03
STR_810,Clostridium,hand,Positive,Microaerophilic,5.66
STR_609,Streptococcus,impact,Positive,Aerobic,4.52
STR_897,Clostridium,itself,Positive,Anaerobic,0.67
STR_288,Pseudomonas,trial,Negative,Anaerobic,6.15
STR_748,Staphylococcus,woman,Positive,Aerobic,3.73
STR_607,Streptococcus,book,Positive,Anaerobic,9.29
STR_859,Streptococcus,win,Positive,Facultative Anaerobe,8.93
STR_668,Clostridium,age,Positive,Microaerophilic,5.43
STR_127,Clostridium,imagine,Negative,Microaerophilic,8.34
STR_606,Staphylococcus,huge,Positive,Aerobic,6.95
STR_978,Streptococcus,involve,Positive,Facultative Anaerobe,6.96
STR_730,Pseudomonas,black,Positive,Aerobic,6.3
STR_395,Bacillus,small,Positive,Anaerobic,8.95
STR_330,Lactobacillus,building,Positive,Microaerophilic,3.55
STR_264,Staphylococcus,good,Positive,Aerobic,4.58
STR_829,Staphylococcus,sign,Positive,Anaerobic,6.31
STR_205,Bacillus,college,Positive,Aerobic,5.66
STR_255,Clostridium,office,Negative,Anaerobic,1.58
STR_687,Pseudomonas,strong,Negative,Anaerobic,4.26
STR_743,Pseudomonas,cover,Positive,Aerobic,1.26
STR_175,Lactobacillus,dark,Negative,Anaerobic,9.45
STR_368,Pseudomonas,teach,Positive,Aerobic,3.17
STR_361,Pseudomonas,big,Negative,Aerobic,9.74
STR_450,Lactobacillus,system,Positive,Facultative Anaerobe,9.18
STR_103,Staphylococcus,order,Positive,Facultative Anaerobe,9.7
STR_919,Clostridium,couple,Positive,Facultative Anaerobe,9.95
STR_217,Lactobacillus,accept,Positive,Facultative Anaerobe,2.29
STR_845,Pseudomonas,be,Positive,Microaerophilic,3.02
STR_489,Lactobacillus,entire,Negative,Facultative Anaerobe,7.21
STR_795,Pseudomonas,production,Negative,Anaerobic,9.05
STR_572,Bacillus,support,Negative,Facultative Anaerobe,4.34
STR_427,Staphylococcus,really,Negative,Facultative Anaerobe,1.42
STR_709,Streptococcus,raise,Positive,Anaerobic,0.89
STR_761,Lactobacillus,race,Positive,Microaerophilic,6.96
STR_234,Bacillus,else,Negative,Aerobic,8.33
STR_116,Clostridium,throw,Positive,Microaerophilic,7.23
STR_784,Bacillus,spend,Negative,Anaerobic,9.62
STR_521,Streptococcus,start,Negative,Facultative Anaerobe,6.09
STR_697,Lactobacillus,someone,Positive,Anaerobic,9.6
STR_940,Streptococcus,much,Negative,Microaerophilic,2.34
STR_768,Streptococcus,this,Positive,Aerobic,2.36
STR_839,Bacillus,glass,Negative,Facultative Anaerobe,5.22
STR_846,Bacillus,animal,Negative,Microaerophilic,7.15
STR_482,Streptococcus,either,Positive,Anaerobic,5.62
STR_488,Pseudomonas,huge,Positive,Facultative Anaerobe,5.85
STR_414,Streptococcus,pressure,Positive,Anaerobic,7.44
STR_422,Clostridium,do,Negative,Anaerobic,7.81
STR_603,Clostridium,reduce,Positive,Facultative Anaerobe,3.82
STR_492,Clostridium,radio,Negative,Facultative Anaerobe,5.38
STR_936,Staphylococcus,short,Negative,Microaerophilic,9.7
STR_289,Lactobacillus,role,Negative,Aerobic,8.03
STR_793,Clostridium,spring,Positive,Anaerobic,0.79
STR_420,Streptococcus,soon,Positive,Aerobic,7.99
STR_852,Streptococcus,down,Positive,Anaerobic,6.21
STR_612,Pseudomonas,whole,Positive,Aerobic,2.42
STR_222,Bacillus,camera,Negative,Microaerophilic,6.43
STR_149,Pseudomonas,wait,Negative,Facultative Anaerobe,3.65
STR_136,Pseudomonas,offer,Positive,Microaerophilic,0.7
STR_636,Bacillus,affect,Positive,Facultative Anaerobe,9.16
STR_893,Clostridium,beat,Negative,Microaerophilic,6.42
STR_820,Lactobacillus,nation,Negative,Anaerobic,2.06
STR_871,Streptococcus,sometimes,Negative,Facultative Anaerobe,3.15
STR_611,Streptococcus,team,Positive,Anaerobic,7.12
STR_849,Pseudomonas,employee,Negative,Anaerobic,2.06
STR_459,Staphylococcus,star,Negative,Anaerobic,3.65
STR_581,Streptococcus,such,Positive,Facultative Anaerobe,9.01
STR_135,Pseudomonas,coach,Positive,Facultative Anaerobe,0.52
STR_270,Staphylococcus,agent,Positive,Anaerobic,6.64
STR_473,Clostridium,responsibility,Negative,Anaerobic,5.25
STR_226,Streptococcus,believe,Positive,Aerobic,8.38
STR_513,Clostridium,never,Negative,Aerobic,8.81
STR_262,Lactobacillus,government,Negative,Facultative Anaerobe,4.77
STR_269,Staphylococcus,when,Negative,Facultative Anaerobe,7.85
STR_385,Bacillus,expect,Negative,Microaerophilic,1.85
STR_584,Clostridium,develop,Positive,Anaerobic,4.19
STR_858,Pseudomonas,point,Positive,Facultative Anaerobe,7.87
STR_603,Staphylococcus,summer,Negative,Microaerophilic,7.87
STR_343,Staphylococcus,money,Negative,Anaerobic,5.27
STR_164,Streptococcus,material,Positive,Facultative Anaerobe,3.44
STR_506,Lactobacillus,must,Positive,Aerobic,2.1
STR_845,Clostridium,might,Negative,Anaerobic,8.13
STR_318,Bacillus,PM,Negative,Microaerophilic,2.21
STR_834,Clostridium,should,Negative,Anaerobic,7.48
STR_555,Bacillus,guy,Negative,Anaerobic,2.59
STR_759,Staphylococcus,set,Positive,Aerobic,6.56
STR_956,Pseudomonas,smile,Positive,Anaerobic,4.14
STR_378,Bacillus,in,Positive,Microaerophilic,7.49
STR_928,Bacillus,western,Positive,Aerobic,2.52
STR_128,Streptococcus,animal,Positive,Anaerobic,0.61
STR_127,Clostridium,professor,Positive,Microaerophilic,7.51
STR_950,Clostridium,her,Positive,Facultative Anaerobe,7.7
STR_442,Clostridium,early,Negative,Aerobic,1.61
STR_622,Bacillus,month,Positive,Aerobic,3.45
STR_550,Pseudomonas,prove,Negative,Microaerophilic,7.04
STR_778,Pseudomonas,consider,Negative,Microaerophilic,4.82
STR_981,Bacillus,most,Negative,Microaerophilic,4.71
STR_126,Lactobacillus,suddenly,Negative,Facultative Anaerobe,2.06
STR_321,Staphylococcus,machine,Negative,Microaerophilic,6.93
STR_166,Bacillus,appear,Negative,Anaerobic,8.02
STR_189,Bacillus,benefit,Negative,Anaerobic,3.14
STR_376,Pseudomonas,by,Positive,Facultative Anaerobe,1.69
STR_405,Streptococcus,power,Positive,Microaerophilic,6.14
STR_318,Lactobacillus,record,Positive,Anaerobic,7.63
STR_704,Streptococcus,government,Negative,Facultative Anaerobe,9.35
STR_700,Pseudomonas,and,Negative,Aerobic,5.46
STR_917,Staphylococcus,man,Negative,Aerobic,9.38
STR_205,Clostridium,remain,Negative,Aerobic,9.27
STR_619,Lactobacillus,resource,Negative,Microaerophilic,8.8
STR_396,Staphylococcus,grow,Negative,Microaerophilic,3.4
STR_226,Staphylococcus,appear,Positive,Anaerobic,7.28
STR_612,Staphylococcus,someone,Negative,Anaerobic,3.11
STR_215,Streptococcus,appear,Positive,Anaerobic,9.92
STR_748,Clostridium,big,Negative,Microaerophilic,7.21
STR_419,Lactobacillus,even,Negative,Anaerobic,8.0
STR_991,Clostridium,shoulder,Negative,Facultative Anaerobe,2.16
STR_469,Streptococcus,month,Negative,Aerobic,7.49
STR_960,Bacillus,get,Positive,Facultative Anaerobe,5.97
STR_725,Streptococcus,imagine,Positive,Microaerophilic,4.06
STR_431,Clostridium,hundred,Positive,Aerobic,6.71
STR_410,Staphylococcus,tax,Positive,Facultative Anaerobe,4.32
STR_542,Bacillus,two,Positive,Microaerophilic,4.41
STR_881,Clostridium,energy,Negative,Anaerobic,4.27
STR_717,Lactobacillus,without,Negative,Anaerobic,4.64
STR_186,Staphylococcus,forward,Positive,Anaerobic,2.79
STR_568,Bacillus,upon,Negative,Microaerophilic,5.3
STR_928,Bacillus,wrong,Positive,Facultative Anaerobe,1.69
STR_342,Staphylococcus,wide,Positive,Anaerobic,8.05
STR_841,Clostridium,special,Negative,Anaerobic,6.42
STR_816,Lactobacillus,themselves,Negative,Aerobic,9.65
STR_260,Staphylococcus,within,Positive,Facultative Anaerobe,2.83
STR_811,Staphylococcus,adult,Positive,Facultative Anaerobe,7.35
STR_332,Staphylococcus,tell,Positive,Facultative Anaerobe,9.06
STR_294,Bacillus,policy,Negative,Anaerobic,8.02
STR_104,Lactobacillus,common,Positive,Facultative Anaerobe,1.51
STR_766,Streptococcus,capital,Positive,Facultative Anaerobe,1.97
STR_221,Pseudomonas,feeling,Positive,Anaerobic,9.72
STR_821,Lactobacillus,energy,Negative,Aerobic,2.8
STR_768,Streptococcus,along,Negative,Aerobic,4.48
STR_913,Lactobacillus,build,Positive,Aerobic,8.04
STR_936,Clostridium,very,Negative,Anaerobic,7.84
STR_751,Staphylococcus,concern,Negative,Facultative Anaerobe,7.6
STR_797,Pseudomonas,career,Positive,Aerobic,4.93
STR_672,Streptococcus,pressure,Positive,Microaerophilic,2.63
STR_888,Clostridium,space,Negative,Microaerophilic,3.82
STR_810,Staphylococcus,board,Positive,Microaerophilic,8.66
STR_952,Pseudomonas,just,Positive,Facultative Anaerobe,8.55
STR_257,Pseudomonas,strong,Negative,Aerobic,4.49
STR_299,Streptococcus,pay,Positive,Aerobic,7.41
STR_704,Streptococcus,organization,Positive,Aerobic,1.91
STR_752,Lactobacillus,small,Positive,Microaerophilic,9.45
STR_194,Lactobacillus,magazine,Negative,Aerobic,8.97
STR_985,Lactobacillus,person,Negative,Microaerophilic,4.41
STR_321,Staphylococcus,vote,Negative,Facultative Anaerobe,7.96
STR_929,Staphylococcus,yes,Positive,Facultative Anaerobe,3.6
STR_716,Staphylococcus,next,Negative,Facultative Anaerobe,3.53
STR_567,Streptococcus,goal,Positive,Microaerophilic,2.85
STR_656,Streptococcus,way,Negative,Aerobic,3.27
STR_894,Clostridium,feel,Positive,Anaerobic,1.37
STR_511,Streptococcus,season,Positive,Microaerophilic,4.58
STR_275,Clostridium,how,Negative,Facultative Anaerobe,9.82
STR_875,Staphylococcus,young,Positive,Facultative Anaerobe,7.5
STR_363,Clostridium,strategy,Positive,Facultative Anaerobe,1.37
STR_826,Bacillus,system,Positive,Facultative Anaerobe,0.61
STR_580,Bacillus,somebody,Positive,Anaerobic,1.5
STR_341,Pseudomonas,play,Positive,Microaerophilic,0.54
STR_130,Pseudomonas,feeling,Positive,Facultative Anaerobe,8.97
STR_585,Staphylococcus,Mrs,Positive,Aerobic,6.05
STR_569,Clostridium,in,Positive,Anaerobic,8.21
STR_134,Streptococcus,eat,Negative,Anaerobic,9.08
STR_633,Streptococcus,recognize,Negative,Aerobic,3.47
STR_423,Bacillus,instead,Negative,Microaerophilic,1.93
STR_252,Streptococcus,level,Negative,Microaerophilic,6.91
STR_202,Lactobacillus,building,Positive,Anaerobic,6.49
STR_932,Staphylococcus,as,Negative,Microaerophilic,9.01
STR_627,Streptococcus,save,Positive,Microaerophilic,6.02
STR_860,Bacillus,start,Negative,Aerobic,1.02
STR_257,Lactobacillus,beautiful,Negative,Aerobic,7.14
STR_923,Lactobacillus,wall,Negative,Microaerophilic,1.91
STR_460,Lactobacillus,work,Positive,Facultative Anaerobe,5.11
STR_137,Clostridium,control,Positive,Facultative Anaerobe,2.36
STR_759,Pseudomonas,cover,Negative,Facultative Anaerobe,6.94
STR_578,Lactobacillus,bring,Positive,Aerobic,5.72
STR_117,Bacillus,herself,Negative,Microaerophilic,4.1
STR_556,Pseudomonas,above,Negative,Microaerophilic,6.25
STR_746,Staphylococcus,stuff,Positive,Aerobic,1.86
STR_392,Pseudomonas,station,Positive,Anaerobic,1.41
STR_794,Clostridium,specific,Positive,Anaerobic,2.53
STR_480,Staphylococcus,quality,Negative,Facultative Anaerobe,7.36
STR_645,Bacillus,charge,Negative,Aerobic,7.44
STR_634,Staphylococcus,student,Negative,Aerobic,0.77
STR_589,Lactobacillus,stop,Negative,Facultative Anaerobe,1.82
STR_379,Clostridium,something,Negative,Aerobic,8.56
STR_101,Staphylococcus,mother,Positive,Anaerobic,4.49
STR_341,Clostridium,now,Negative,Anaerobic,0.85
