strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_509,Streptococcus,opportunity,Negative,Facultative Anaerobe,4.82
STR_935,Clostridium,more,Negative,Anaerobic,2.54
STR_321,Pseudomonas,design,Negative,Microaerophilic,9.03
STR_488,Streptococcus,sea,Positive,Anaerobic,7.99
STR_676,Pseudomonas,energy,Negative,Facultative Anaerobe,1.2
STR_714,Streptococcus,increase,Positive,Anaerobic,5.09
STR_781,Pseudomonas,able,Positive,Aerobic,3.78
STR_664,Clostridium,page,Positive,Microaerophilic,4.66
STR_357,Pseudomonas,benefit,Positive,Microaerophilic,4.49
STR_122,Streptococcus,project,Positive,Anaerobic,3.96
STR_917,Streptococcus,expect,Negative,Anaerobic,7.65
STR_893,Staphylococcus,late,Positive,Microaerophilic,5.96
STR_238,Streptococcus,share,Positive,Anaerobic,0.55
STR_103,Lactobacillus,especially,Positive,Aerobic,8.16
STR_182,Staphylococcus,trade,Negative,Microaerophilic,6.26
STR_918,Pseudomonas,claim,Positive,Facultative Anaerobe,2.1
STR_282,Pseudomonas,coach,Negative,Anaerobic,0.69
STR_599,Pseudomonas,forget,Positive,Aerobic,1.9
STR_551,Bacillus,beat,Negative,Anaerobic,5.4
STR_184,Staphylococcus,special,Positive,Facultative Anaerobe,4.72
STR_546,Pseudomonas,upon,Positive,Aerobic,7.9
STR_963,Lactobacillus,relate,Positive,Microaerophilic,5.54
STR_984,Pseudomonas,doctor,Positive,Aerobic,4.25
STR_314,Lactobacillus,bit,Negative,Aerobic,9.11
STR_749,Staphylococcus,fear,Positive,Anaerobic,5.68
STR_197,Bacillus,approach,Negative,Microaerophilic,4.41
STR_348,Bacillus,choose,Negative,Anaerobic,1.29
STR_546,Clostridium,always,Negative,Facultative Anaerobe,5.03
STR_432,Lactobacillus,bar,Positive,Microaerophilic,3.43
STR_869,Lactobacillus,culture,Positive,Facultative Anaerobe,8.28
STR_194,Pseudomonas,modern,Negative,Facultative Anaerobe,8.32
STR_472,Streptococcus,team,Negative,Aerobic,8.54
STR_514,Lactobacillus,investment,Positive,Aerobic,8.53
STR_383,Clostridium,perhaps,Positive,Aerobic,1.92
STR_463,Lactobacillus,hotel,Negative,Anaerobic,7.74
STR_447,Staphylococcus,guy,Negative,Microaerophilic,1.86
STR_636,Clostridium,his,Positive,Microaerophilic,2.23
STR_882,Clostridium,garden,Positive,Anaerobic,9.78
STR_112,Streptococcus,enough,Positive,Aerobic,4.36
STR_993,Streptococcus,long,Positive,Facultative Anaerobe,2.26
STR_500,Lactobacillus,concern,Negative,Aerobic,1.38
STR_464,Streptococcus,simply,Negative,Facultative Anaerobe,6.93
STR_202,Streptococcus,large,Positive,Microaerophilic,0.86
STR_422,Lactobacillus,house,Positive,Facultative Anaerobe,10.0
STR_851,Clostridium,these,Negative,Aerobic,2.71
STR_316,Staphylococcus,former,Negative,Aerobic,3.57
STR_518,Clostridium,hold,Positive,Facultative Anaerobe,1.8
STR_103,Bacillus,interview,Positive,Microaerophilic,3.45
STR_588,Lactobacillus,including,Positive,Facultative Anaerobe,5.37
STR_142,Lactobacillus,thousand,Positive,Aerobic,6.92
STR_490,Clostridium,law,Positive,Anaerobic,5.82
STR_511,Clostridium,arrive,Negative,Microaerophilic,0.96
STR_803,Streptococcus,official,Negative,Facultative Anaerobe,0.76
STR_305,Clostridium,pay,Negative,Microaerophilic,4.26
STR_503,Staphylococcus,fly,Negative,Facultative Anaerobe,5.61
STR_300,Pseudomonas,production,Negative,Anaerobic,7.08
STR_794,Staphylococcus,later,Positive,Facultative Anaerobe,1.67
STR_772,Bacillus,value,Negative,Aerobic,6.95
STR_360,Staphylococcus,course,Positive,Facultative Anaerobe,3.47
STR_567,Lactobacillus,probably,Positive,Anaerobic,6.92
STR_752,Staphylococcus,deal,Positive,Aerobic,7.97
STR_944,Pseudomonas,unit,Negative,Aerobic,5.6
STR_215,Clostridium,customer,Positive,Anaerobic,1.37
STR_929,Streptococcus,modern,Negative,Anaerobic,8.11
STR_131,Bacillus,rise,Positive,Microaerophilic,9.32
STR_932,Pseudomonas,research,Positive,Microaerophilic,5.91
STR_428,Staphylococcus,challenge,Positive,Microaerophilic,3.34
STR_114,Pseudomonas,recognize,Positive,Aerobic,5.02
STR_921,Clostridium,kid,Negative,Microaerophilic,1.24
STR_908,Pseudomonas,black,Negative,Microaerophilic,4.91
STR_640,Clostridium,house,Positive,Facultative Anaerobe,2.47
STR_918,Staphylococcus,century,Positive,Anaerobic,7.86
STR_513,Bacillus,ready,Positive,Aerobic,5.01
STR_909,Staphylococcus,station,Negative,Microaerophilic,7.38
STR_183,Bacillus,position,Positive,Aerobic,3.01
STR_347,Streptococcus,feeling,Positive,Aerobic,2.49
STR_930,Streptococcus,administration,Negative,Anaerobic,3.16
