strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_442,Staphylococcus,thank,Negative,Aerobic,0.92
STR_949,Bacillus,attention,Negative,Aerobic,8.08
STR_527,Staphylococcus,clear,Negative,Facultative Anaerobe,2.27
STR_909,Streptococcus,here,Positive,Anaerobic,6.84
STR_719,Clostridium,national,Negative,Microaerophilic,7.64
STR_342,Streptococcus,though,Positive,Anaerobic,9.22
STR_492,Bacillus,east,Negative,Anaerobic,3.57
STR_655,Bacillus,some,Negative,Facultative Anaerobe,1.87
STR_220,Staphylococcus,for,Negative,Microaerophilic,9.59
STR_156,Staphylococcus,else,Negative,Microaerophilic,9.48
STR_760,Clostridium,theory,Negative,Facultative Anaerobe,3.05
STR_838,Streptococcus,activity,Positive,Anaerobic,7.91
STR_195,Bacillus,how,Negative,Aerobic,4.0
STR_217,Clostridium,exactly,Positive,Aerobic,3.33
STR_317,Clostridium,study,Negative,Facultative Anaerobe,6.22
STR_752,Staphylococcus,beautiful,Positive,Microaerophilic,0.97
STR_713,Lactobacillus,go,Positive,Microaerophilic,8.92
STR_984,Staphylococcus,lawyer,Negative,Microaerophilic,9.71
STR_903,Pseudomonas,east,Negative,Anaerobic,5.42
STR_180,Bacillus,charge,Negative,Anaerobic,9.03
STR_275,Bacillus,conference,Positive,Anaerobic,5.76
STR_947,Bacillus,woman,Negative,Aerobic,4.68
STR_132,Lactobacillus,style,Positive,Facultative Anaerobe,0.96
STR_210,Pseudomonas,culture,Positive,Microaerophilic,0.92
STR_606,Clostridium,former,Positive,Aerobic,6.43
STR_446,Clostridium,bag,Negative,Microaerophilic,8.65
STR_442,Bacillus,road,Negative,Microaerophilic,3.83
STR_962,Pseudomonas,police,Positive,Microaerophilic,3.58
STR_243,Pseudomonas,walk,Negative,Aerobic,2.7
STR_953,Pseudomonas,two,Positive,Microaerophilic,8.55
STR_714,Clostridium,apply,Negative,Facultative Anaerobe,4.93
STR_931,Streptococcus,hear,Negative,Anaerobic,7.63
STR_122,Bacillus,current,Negative,Anaerobic,8.62
STR_244,Clostridium,place,Positive,Microaerophilic,0.56
STR_747,Pseudomonas,work,Positive,Facultative Anaerobe,2.69
STR_579,Bacillus,position,Positive,Facultative Anaerobe,5.17
STR_227,Streptococcus,bill,Positive,Aerobic,9.03
STR_573,Lactobacillus,dream,Positive,Aerobic,5.85
STR_276,Staphylococcus,feeling,Positive,Microaerophilic,8.07
STR_636,Clostridium,water,Negative,Facultative Anaerobe,0.95
STR_446,Streptococcus,beautiful,Positive,Microaerophilic,9.59
STR_200,Streptococcus,then,Negative,Aerobic,2.05
STR_423,Pseudomonas,however,Positive,Microaerophilic,1.03
STR_113,Staphylococcus,first,Negative,Aerobic,1.22
STR_249,Staphylococcus,city,Negative,Microaerophilic,1.67
STR_868,Staphylococcus,various,Positive,Aerobic,7.09
STR_513,Staphylococcus,summer,Positive,Aerobic,9.47
STR_329,Streptococcus,less,Positive,Microaerophilic,2.5
STR_600,Lactobacillus,list,Positive,Anaerobic,8.19
STR_691,Streptococcus,trouble,Positive,Facultative Anaerobe,5.28
STR_889,Clostridium,each,Negative,Microaerophilic,4.27
STR_753,Lactobacillus,general,Negative,Anaerobic,6.76
STR_303,Lactobacillus,either,Positive,Microaerophilic,4.19
STR_118,Clostridium,cover,Negative,Aerobic,5.28
STR_422,Clostridium,nation,Positive,Facultative Anaerobe,4.96
STR_462,Staphylococcus,individual,Positive,Anaerobic,9.28
STR_798,Pseudomonas,attention,Negative,Microaerophilic,2.1
STR_714,Bacillus,field,Negative,Anaerobic,8.94
STR_881,Pseudomonas,last,Positive,Facultative Anaerobe,8.06
STR_900,Pseudomonas,data,Negative,Aerobic,5.17
STR_823,Clostridium,sing,Positive,Microaerophilic,3.39
STR_289,Staphylococcus,affect,Positive,Facultative Anaerobe,5.21
STR_529,Lactobacillus,process,Negative,Anaerobic,3.67
STR_356,Pseudomonas,watch,Positive,Facultative Anaerobe,9.47
STR_477,Clostridium,employee,Negative,Aerobic,9.2
STR_750,Pseudomonas,charge,Positive,Facultative Anaerobe,6.81
STR_403,Bacillus,return,Negative,Aerobic,0.68
STR_946,Streptococcus,compare,Negative,Microaerophilic,7.1
STR_541,Staphylococcus,two,Negative,Microaerophilic,2.98
STR_821,Bacillus,rich,Positive,Microaerophilic,6.53
STR_579,Streptococcus,thank,Negative,Anaerobic,5.37
STR_445,Bacillus,reason,Negative,Microaerophilic,9.38
STR_331,Lactobacillus,development,Positive,Microaerophilic,3.8
STR_945,Pseudomonas,nature,Positive,Microaerophilic,4.14
STR_231,Lactobacillus,call,Negative,Microaerophilic,7.84
STR_350,Lactobacillus,ahead,Negative,Anaerobic,2.42
STR_680,Pseudomonas,magazine,Negative,Facultative Anaerobe,9.12
STR_120,Bacillus,participant,Negative,Facultative Anaerobe,2.78
STR_453,Staphylococcus,remember,Positive,Facultative Anaerobe,2.42
STR_353,Pseudomonas,car,Negative,Facultative Anaerobe,9.95
STR_196,Pseudomonas,enter,Negative,Microaerophilic,7.37
STR_784,Lactobacillus,meet,Negative,Microaerophilic,4.68
STR_865,Staphylococcus,indicate,Positive,Anaerobic,5.42
STR_337,Clostridium,tell,Positive,Anaerobic,9.49
STR_100,Bacillus,avoid,Positive,Microaerophilic,1.37
STR_787,Lactobacillus,child,Negative,Microaerophilic,8.18
STR_823,Clostridium,improve,Positive,Anaerobic,4.37
STR_981,Clostridium,network,Positive,Microaerophilic,9.22
STR_696,Lactobacillus,almost,Positive,Aerobic,8.47
STR_848,Bacillus,life,Negative,Anaerobic,5.77
STR_155,Staphylococcus,according,Positive,Facultative Anaerobe,9.24
STR_992,Bacillus,form,Negative,Microaerophilic,4.99
STR_774,Staphylococcus,material,Negative,Aerobic,2.38
STR_244,Bacillus,father,Positive,Aerobic,3.48
STR_102,Clostridium,time,Negative,Anaerobic,1.15
STR_114,Streptococcus,common,Positive,Microaerophilic,1.77
STR_968,Pseudomonas,something,Positive,Facultative Anaerobe,8.42
STR_543,Staphylococcus,black,Positive,Microaerophilic,3.54
STR_901,Clostridium,official,Positive,Aerobic,4.8
STR_702,Pseudomonas,choice,Positive,Aerobic,2.03
STR_913,Pseudomonas,doctor,Negative,Aerobic,9.93
STR_113,Pseudomonas,east,Negative,Aerobic,2.39
STR_338,Staphylococcus,lay,Negative,Microaerophilic,4.83
STR_338,Pseudomonas,each,Negative,Microaerophilic,4.27
STR_375,Lactobacillus,light,Negative,Anaerobic,5.68
STR_657,Staphylococcus,about,Positive,Anaerobic,9.38
STR_493,Pseudomonas,detail,Positive,Microaerophilic,3.98
STR_749,Streptococcus,on,Negative,Facultative Anaerobe,8.86
STR_192,Clostridium,among,Positive,Microaerophilic,6.32
STR_240,Clostridium,evidence,Positive,Aerobic,6.06
STR_242,Clostridium,until,Negative,Facultative Anaerobe,9.5
STR_875,Clostridium,change,Positive,Facultative Anaerobe,2.64
STR_726,Staphylococcus,themselves,Positive,Facultative Anaerobe,9.6
STR_505,Bacillus,save,Negative,Anaerobic,0.57
STR_397,Streptococcus,member,Negative,Aerobic,5.19
STR_507,Pseudomonas,blood,Positive,Facultative Anaerobe,7.46
STR_732,Pseudomonas,lay,Negative,Facultative Anaerobe,0.82
STR_644,Pseudomonas,boy,Negative,Anaerobic,4.86
STR_156,Clostridium,sure,Positive,Microaerophilic,1.19
STR_118,Staphylococcus,their,Negative,Microaerophilic,2.71
STR_859,Clostridium,ahead,Positive,Aerobic,1.6
STR_615,Lactobacillus,different,Negative,Anaerobic,3.23
STR_894,Streptococcus,that,Positive,Anaerobic,0.74
STR_783,Lactobacillus,together,Positive,Microaerophilic,5.85
STR_410,Clostridium,become,Negative,Anaerobic,7.23
STR_683,Staphylococcus,him,Positive,Anaerobic,7.69
STR_347,Clostridium,television,Positive,Facultative Anaerobe,2.93
STR_327,Lactobacillus,success,Positive,Anaerobic,9.0
STR_749,Pseudomonas,and,Positive,Aerobic,3.65
STR_247,Clostridium,the,Negative,Aerobic,3.5
STR_917,Pseudomonas,between,Positive,Facultative Anaerobe,8.37
STR_643,Staphylococcus,perform,Positive,Anaerobic,3.04
STR_672,Streptococcus,item,Positive,Aerobic,5.73
STR_684,Bacillus,method,Negative,Facultative Anaerobe,8.76
STR_842,Bacillus,upon,Positive,Microaerophilic,5.73
STR_266,Bacillus,senior,Positive,Microaerophilic,8.7
STR_637,Pseudomonas,truth,Negative,Facultative Anaerobe,4.31
STR_546,Lactobacillus,step,Negative,Microaerophilic,4.8
STR_916,Staphylococcus,probably,Negative,Aerobic,2.7
STR_710,Clostridium,usually,Negative,Facultative Anaerobe,0.84
STR_193,Pseudomonas,story,Negative,Anaerobic,2.67
STR_398,Staphylococcus,new,Negative,Microaerophilic,2.09
STR_458,Staphylococcus,west,Negative,Microaerophilic,8.16
STR_522,Clostridium,husband,Positive,Aerobic,5.85
STR_146,Staphylococcus,lawyer,Positive,Microaerophilic,0.66
STR_648,Pseudomonas,see,Positive,Facultative Anaerobe,9.24
STR_944,Streptococcus,realize,Negative,Anaerobic,3.3
STR_540,Lactobacillus,get,Negative,Facultative Anaerobe,6.01
STR_347,Bacillus,wind,Positive,Anaerobic,6.98
STR_921,Bacillus,world,Positive,Aerobic,7.66
STR_474,Clostridium,page,Negative,Anaerobic,9.9
STR_635,Clostridium,strategy,Positive,Anaerobic,8.27
STR_545,Bacillus,culture,Negative,Anaerobic,0.6
STR_924,Bacillus,natural,Negative,Facultative Anaerobe,9.64
STR_925,Lactobacillus,society,Negative,Aerobic,9.34
STR_316,Streptococcus,ago,Positive,Microaerophilic,6.45
STR_277,Pseudomonas,population,Negative,Anaerobic,7.97
STR_448,Streptococcus,actually,Negative,Microaerophilic,1.67
STR_377,Staphylococcus,audience,Positive,Microaerophilic,3.52
STR_462,Staphylococcus,to,Positive,Facultative Anaerobe,4.4
STR_902,Streptococcus,affect,Negative,Aerobic,4.59
STR_549,Pseudomonas,sport,Positive,Aerobic,1.58
STR_836,Clostridium,detail,Negative,Microaerophilic,7.7
STR_544,Bacillus,prove,Negative,Facultative Anaerobe,6.25
STR_800,Streptococcus,nearly,Positive,Facultative Anaerobe,9.88
STR_468,Streptococcus,school,Positive,Anaerobic,5.53
STR_611,Staphylococcus,these,Negative,Facultative Anaerobe,2.5
STR_587,Streptococcus,push,Negative,Anaerobic,8.76
STR_593,Staphylococcus,level,Positive,Aerobic,9.29
STR_391,Pseudomonas,crime,Negative,Microaerophilic,1.69
STR_276,Bacillus,herself,Negative,Microaerophilic,5.82
STR_852,Streptococcus,capital,Negative,Facultative Anaerobe,5.78
STR_383,Pseudomonas,discussion,Negative,Facultative Anaerobe,4.11
STR_373,Bacillus,avoid,Negative,Anaerobic,8.52
STR_948,Lactobacillus,reason,Negative,Microaerophilic,7.52
STR_596,Pseudomonas,pay,Negative,Anaerobic,8.61
STR_576,Staphylococcus,cut,Negative,Facultative Anaerobe,4.07
STR_822,Staphylococcus,adult,Positive,Anaerobic,1.71
STR_134,Pseudomonas,usually,Positive,Facultative Anaerobe,3.53
STR_688,Pseudomonas,research,Positive,Anaerobic,5.65
STR_483,Streptococcus,spend,Positive,Microaerophilic,6.26
STR_448,Pseudomonas,history,Negative,Anaerobic,7.77
STR_256,Streptococcus,window,Negative,Aerobic,2.49
STR_272,Staphylococcus,television,Positive,Anaerobic,2.68
STR_618,Bacillus,eight,Negative,Aerobic,9.08
STR_921,Lactobacillus,discussion,Negative,Aerobic,9.4
STR_807,Clostridium,service,Positive,Microaerophilic,3.59
STR_740,Staphylococcus,present,Negative,Aerobic,8.89
STR_882,Lactobacillus,social,Negative,Microaerophilic,2.18
STR_792,Streptococcus,interview,Positive,Facultative Anaerobe,5.87
STR_978,Lactobacillus,which,Positive,Microaerophilic,4.48
STR_129,Streptococcus,day,Positive,Anaerobic,5.8
STR_371,Clostridium,space,Positive,Aerobic,3.65
STR_345,Clostridium,however,Negative,Facultative Anaerobe,5.89
STR_659,Lactobacillus,necessary,Negative,Aerobic,1.1
STR_805,Staphylococcus,total,Positive,Anaerobic,9.99
STR_795,Clostridium,before,Positive,Facultative Anaerobe,5.68
STR_599,Pseudomonas,society,Positive,Microaerophilic,9.62
STR_794,Streptococcus,three,Positive,Microaerophilic,8.3
STR_108,Bacillus,area,Negative,Aerobic,8.74
STR_210,Pseudomonas,myself,Negative,Facultative Anaerobe,9.47
STR_975,Streptococcus,carry,Positive,Aerobic,2.08
STR_841,Lactobacillus,difficult,Negative,Anaerobic,2.32
STR_190,Pseudomonas,lay,Positive,Aerobic,6.63
STR_434,Pseudomonas,coach,Negative,Facultative Anaerobe,6.91
STR_569,Streptococcus,organization,Negative,Aerobic,9.73
STR_194,Bacillus,soon,Positive,Aerobic,7.89
STR_903,Lactobacillus,here,Positive,Aerobic,8.35
STR_738,Clostridium,high,Negative,Anaerobic,1.76
STR_811,Pseudomonas,animal,Positive,Facultative Anaerobe,9.35
STR_508,Clostridium,spend,Positive,Aerobic,7.74
STR_823,Clostridium,citizen,Negative,Anaerobic,1.06
STR_951,Bacillus,agreement,Negative,Anaerobic,7.35
STR_238,Lactobacillus,practice,Positive,Aerobic,8.24
STR_821,Clostridium,high,Negative,Microaerophilic,8.05
STR_549,Pseudomonas,first,Negative,Anaerobic,7.29
STR_484,Lactobacillus,boy,Negative,Microaerophilic,2.55
STR_545,Lactobacillus,get,Negative,Facultative Anaerobe,7.43
STR_256,Bacillus,system,Negative,Facultative Anaerobe,1.37
STR_588,Bacillus,adult,Positive,Anaerobic,5.68
STR_553,Staphylococcus,which,Positive,Aerobic,7.08
STR_397,Clostridium,investment,Negative,Anaerobic,7.56
STR_645,Streptococcus,outside,Negative,Anaerobic,9.43
STR_516,Staphylococcus,manage,Positive,Anaerobic,4.09
STR_466,Clostridium,modern,Positive,Microaerophilic,1.03
STR_960,Pseudomonas,along,Negative,Aerobic,5.24
STR_680,Streptococcus,audience,Negative,Microaerophilic,4.99
STR_551,Pseudomonas,impact,Negative,Aerobic,0.67
STR_312,Bacillus,contain,Negative,Anaerobic,9.72
STR_290,Streptococcus,herself,Positive,Microaerophilic,7.94
STR_966,Pseudomonas,figure,Positive,Anaerobic,2.33
STR_584,Clostridium,exactly,Negative,Microaerophilic,3.29
STR_891,Lactobacillus,cover,Positive,Facultative Anaerobe,1.99
STR_206,Bacillus,watch,Positive,Microaerophilic,3.96
STR_864,Lactobacillus,action,Positive,Anaerobic,8.58
STR_142,Staphylococcus,recent,Negative,Anaerobic,5.89
STR_912,Lactobacillus,win,Negative,Facultative Anaerobe,7.06
STR_586,Bacillus,fight,Negative,Aerobic,0.96
STR_424,Streptococcus,measure,Positive,Aerobic,5.71
STR_678,Pseudomonas,sister,Positive,Microaerophilic,5.74
STR_765,Clostridium,professional,Negative,Facultative Anaerobe,3.56
STR_201,Bacillus,myself,Positive,Anaerobic,3.1
STR_733,Streptococcus,pass,Positive,Aerobic,8.15
STR_331,Lactobacillus,bag,Positive,Microaerophilic,1.65
STR_555,Pseudomonas,across,Negative,Facultative Anaerobe,3.06
STR_914,Pseudomonas,national,Negative,Microaerophilic,6.99
STR_390,Bacillus,everything,Positive,Microaerophilic,3.56
STR_146,Streptococcus,stock,Positive,Anaerobic,3.99
STR_738,Streptococcus,art,Positive,Aerobic,8.43
STR_907,Bacillus,top,Positive,Facultative Anaerobe,9.27
STR_109,Lactobacillus,save,Positive,Aerobic,4.74
STR_757,Pseudomonas,bill,Negative,Anaerobic,9.38
STR_210,Lactobacillus,quality,Positive,Anaerobic,6.71
STR_546,Staphylococcus,teacher,Positive,Facultative Anaerobe,2.69
STR_470,Pseudomonas,court,Positive,Anaerobic,1.27
STR_716,Bacillus,will,Negative,Aerobic,7.07
STR_656,Clostridium,share,Positive,Aerobic,7.98
STR_922,Staphylococcus,college,Negative,Aerobic,4.4
STR_800,Pseudomonas,church,Positive,Aerobic,7.4
STR_643,Lactobacillus,cover,Positive,Aerobic,5.3
STR_765,Pseudomonas,travel,Positive,Microaerophilic,4.38
STR_846,Lactobacillus,toward,Negative,Facultative Anaerobe,1.04
STR_688,Pseudomonas,word,Negative,Facultative Anaerobe,6.31
STR_244,Staphylococcus,world,Negative,Anaerobic,9.4
STR_246,Staphylococcus,employee,Negative,Facultative Anaerobe,1.15
STR_391,Staphylococcus,recent,Positive,Anaerobic,4.45
STR_337,Clostridium,act,Positive,Aerobic,9.18
STR_754,Lactobacillus,different,Negative,Microaerophilic,6.56
STR_769,Pseudomonas,capital,Positive,Facultative Anaerobe,4.36
STR_404,Lactobacillus,manage,Negative,Facultative Anaerobe,9.92
STR_195,Clostridium,method,Negative,Microaerophilic,8.12
STR_801,Clostridium,great,Negative,Anaerobic,4.32
STR_782,Staphylococcus,despite,Negative,Anaerobic,8.92
STR_591,Bacillus,machine,Negative,Anaerobic,6.04
STR_421,Clostridium,science,Positive,Microaerophilic,9.85
STR_510,Streptococcus,current,Negative,Aerobic,9.5
STR_250,Bacillus,more,Negative,Aerobic,9.57
STR_814,Lactobacillus,vote,Negative,Microaerophilic,3.84
STR_324,Streptococcus,reduce,Negative,Microaerophilic,7.23
STR_520,Bacillus,else,Positive,Facultative Anaerobe,7.05
STR_875,Clostridium,poor,Positive,Anaerobic,6.82
STR_497,Bacillus,concern,Positive,Facultative Anaerobe,2.22
STR_240,Staphylococcus,play,Positive,Aerobic,6.67
STR_554,Bacillus,issue,Negative,Anaerobic,5.31
STR_959,Lactobacillus,able,Negative,Facultative Anaerobe,8.31
STR_718,Pseudomonas,wear,Negative,Facultative Anaerobe,1.38
STR_691,Bacillus,onto,Positive,Facultative Anaerobe,1.18
STR_906,Clostridium,kid,Negative,Facultative Anaerobe,4.48
STR_426,Pseudomonas,staff,Negative,Microaerophilic,8.02
STR_467,Bacillus,office,Positive,Aerobic,2.27
STR_671,Bacillus,will,Negative,Facultative Anaerobe,1.89
STR_707,Staphylococcus,notice,Positive,Anaerobic,7.62
STR_534,Pseudomonas,none,Positive,Aerobic,0.98
STR_275,Streptococcus,material,Negative,Facultative Anaerobe,2.57
STR_719,Streptococcus,employee,Positive,Facultative Anaerobe,7.0
STR_407,Lactobacillus,myself,Positive,Anaerobic,7.27
STR_417,Pseudomonas,kid,Positive,Aerobic,3.05
STR_978,Clostridium,among,Negative,Aerobic,3.74
STR_493,Bacillus,medical,Positive,Microaerophilic,8.91
STR_126,Pseudomonas,so,Positive,Anaerobic,3.08
