strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_745,Staphylococcus,information,Negative,Anaerobic,6.15
STR_838,Bacillus,phone,Positive,Microaerophilic,1.39
STR_583,Lactobacillus,medical,Negative,Microaerophilic,5.16
STR_377,Lactobacillus,us,Negative,Facultative Anaerobe,3.44
STR_707,Clostridium,experience,Positive,Microaerophilic,4.13
STR_836,Lactobacillus,production,Positive,Facultative Anaerobe,2.28
STR_112,Staphylococcus,door,Negative,Microaerophilic,2.37
STR_195,Bacillus,if,Positive,Aerobic,4.86
STR_662,Staphylococcus,left,Positive,Aerobic,5.29
STR_298,Clostridium,interview,Positive,Microaerophilic,6.54
STR_438,Clostridium,quite,Positive,Anaerobic,2.73
STR_688,Lactobacillus,several,Positive,Anaerobic,6.7
STR_399,Clostridium,particularly,Negative,Anaerobic,3.56
STR_995,Lactobacillus,catch,Negative,Microaerophilic,9.45
STR_622,Clostridium,big,Positive,Aerobic,7.34
STR_754,Streptococcus,provide,Negative,Anaerobic,8.23
STR_713,Bacillus,option,Negative,Microaerophilic,4.03
STR_918,Lactobacillus,structure,Negative,Facultative Anaerobe,2.69
STR_854,Lactobacillus,side,Positive,Microaerophilic,5.99
STR_414,Pseudomonas,some,Positive,Facultative Anaerobe,1.63
STR_646,Pseudomonas,well,Negative,Anaerobic,9.93
STR_296,Lactobacillus,somebody,Positive,Aerobic,4.32
STR_451,Clostridium,federal,Positive,Aerobic,9.09
STR_600,Clostridium,other,Positive,Microaerophilic,9.26
STR_166,Clostridium,run,Negative,Microaerophilic,5.57
STR_340,Lactobacillus,ready,Positive,Microaerophilic,8.15
STR_752,Streptococcus,wish,Negative,Facultative Anaerobe,1.86
STR_755,Pseudomonas,understand,Positive,Microaerophilic,3.0
STR_772,Streptococcus,where,Positive,Aerobic,4.85
STR_162,Bacillus,tend,Positive,Aerobic,1.73
STR_587,Staphylococcus,key,Positive,Microaerophilic,0.52
STR_227,Staphylococcus,professional,Negative,Facultative Anaerobe,4.34
STR_788,Pseudomonas,east,Negative,Anaerobic,2.31
STR_274,Streptococcus,run,Positive,Facultative Anaerobe,3.31
STR_383,Clostridium,president,Negative,Facultative Anaerobe,1.18
STR_149,Staphylococcus,late,Positive,Facultative Anaerobe,8.88
STR_333,Bacillus,be,Positive,Microaerophilic,3.67
STR_751,Staphylococcus,positive,Positive,Anaerobic,8.03
STR_851,Lactobacillus,program,Positive,Facultative Anaerobe,8.2
STR_170,Clostridium,third,Negative,Aerobic,1.43
STR_318,Clostridium,no,Negative,Anaerobic,1.08
STR_332,Streptococcus,figure,Negative,Microaerophilic,9.07
STR_216,Bacillus,wall,Negative,Anaerobic,9.43
STR_340,Bacillus,set,Positive,Microaerophilic,5.86
STR_275,Streptococcus,too,Negative,Aerobic,4.45
STR_591,Clostridium,suffer,Positive,Aerobic,6.83
STR_965,Pseudomonas,writer,Positive,Microaerophilic,5.74
STR_269,Clostridium,see,Negative,Anaerobic,6.65
STR_104,Clostridium,same,Positive,Facultative Anaerobe,9.48
STR_170,Clostridium,begin,Positive,Aerobic,2.87
STR_194,Clostridium,day,Negative,Facultative Anaerobe,0.62
STR_606,Lactobacillus,population,Negative,Aerobic,7.09
STR_551,Clostridium,moment,Negative,Aerobic,5.47
STR_345,Lactobacillus,entire,Positive,Facultative Anaerobe,9.57
STR_896,Bacillus,attack,Negative,Microaerophilic,6.73
STR_940,Pseudomonas,or,Positive,Anaerobic,8.91
STR_647,Clostridium,look,Positive,Facultative Anaerobe,7.37
STR_469,Staphylococcus,about,Positive,Facultative Anaerobe,0.73
STR_495,Pseudomonas,down,Positive,Anaerobic,8.01
STR_253,Pseudomonas,bag,Positive,Facultative Anaerobe,9.44
STR_377,Streptococcus,boy,Negative,Aerobic,7.13
STR_417,Clostridium,save,Positive,Microaerophilic,6.82
STR_142,Staphylococcus,practice,Negative,Aerobic,6.03
STR_147,Pseudomonas,animal,Positive,Aerobic,7.68
STR_621,Clostridium,building,Positive,Anaerobic,7.75
STR_655,Bacillus,develop,Positive,Facultative Anaerobe,5.21
STR_730,Staphylococcus,key,Positive,Microaerophilic,8.53
STR_527,Clostridium,town,Positive,Anaerobic,9.59
STR_762,Bacillus,kitchen,Negative,Aerobic,9.18
STR_447,Lactobacillus,difficult,Negative,Aerobic,3.5
STR_627,Clostridium,must,Positive,Anaerobic,0.67
STR_759,Clostridium,before,Negative,Anaerobic,0.99
STR_511,Lactobacillus,industry,Negative,Anaerobic,8.92
STR_652,Lactobacillus,back,Negative,Anaerobic,6.99
STR_973,Clostridium,read,Positive,Aerobic,4.75
STR_971,Staphylococcus,material,Negative,Microaerophilic,9.47
STR_218,Clostridium,none,Negative,Anaerobic,5.71
STR_488,Lactobacillus,serious,Positive,Aerobic,4.17
STR_194,Staphylococcus,only,Negative,Aerobic,8.61
STR_179,Lactobacillus,my,Positive,Aerobic,1.69
STR_925,Pseudomonas,or,Negative,Aerobic,1.24
STR_525,Pseudomonas,dinner,Positive,Facultative Anaerobe,2.3
STR_272,Bacillus,tonight,Positive,Microaerophilic,0.57
STR_725,Lactobacillus,everyone,Positive,Microaerophilic,5.27
STR_386,Streptococcus,professor,Positive,Facultative Anaerobe,8.42
STR_997,Staphylococcus,yes,Negative,Anaerobic,9.18
STR_238,Staphylococcus,set,Positive,Aerobic,3.51
STR_629,Staphylococcus,respond,Negative,Aerobic,7.81
STR_967,Streptococcus,whatever,Positive,Microaerophilic,5.92
STR_921,Pseudomonas,commercial,Negative,Aerobic,8.71
STR_619,Lactobacillus,because,Negative,Microaerophilic,4.62
STR_950,Clostridium,soldier,Negative,Aerobic,4.52
STR_784,Streptococcus,involve,Positive,Anaerobic,2.1
STR_652,Staphylococcus,successful,Positive,Facultative Anaerobe,5.59
STR_990,Bacillus,condition,Negative,Facultative Anaerobe,7.81
STR_313,Staphylococcus,beautiful,Positive,Facultative Anaerobe,0.68
STR_463,Streptococcus,fund,Negative,Microaerophilic,2.03
STR_379,Pseudomonas,term,Negative,Facultative Anaerobe,7.87
STR_266,Clostridium,into,Negative,Microaerophilic,8.79
STR_579,Clostridium,stay,Positive,Anaerobic,8.62
STR_989,Lactobacillus,here,Positive,Facultative Anaerobe,3.81
STR_930,Clostridium,later,Positive,Microaerophilic,7.29
STR_968,Streptococcus,commercial,Positive,Microaerophilic,8.16
STR_381,Lactobacillus,she,Positive,Microaerophilic,4.37
STR_795,Lactobacillus,them,Negative,Facultative Anaerobe,4.1
STR_638,Clostridium,society,Negative,Anaerobic,1.39
STR_596,Clostridium,lose,Negative,Microaerophilic,5.39
STR_884,Clostridium,adult,Negative,Microaerophilic,5.2
STR_449,Streptococcus,indeed,Positive,Microaerophilic,5.8
STR_649,Streptococcus,glass,Negative,Microaerophilic,3.65
STR_422,Clostridium,arm,Negative,Aerobic,7.68
STR_480,Pseudomonas,case,Positive,Facultative Anaerobe,3.72
STR_629,Bacillus,rich,Negative,Microaerophilic,5.13
STR_458,Pseudomonas,company,Negative,Aerobic,8.56
STR_499,Staphylococcus,unit,Positive,Facultative Anaerobe,0.71
STR_584,Bacillus,heart,Negative,Facultative Anaerobe,3.05
STR_493,Lactobacillus,fine,Positive,Aerobic,3.26
STR_162,Streptococcus,especially,Positive,Anaerobic,5.19
STR_592,Bacillus,catch,Positive,Aerobic,1.44
STR_430,Pseudomonas,modern,Positive,Facultative Anaerobe,6.31
STR_404,Clostridium,fear,Positive,Anaerobic,2.52
STR_357,Bacillus,thought,Negative,Microaerophilic,3.24
STR_863,Clostridium,culture,Negative,Aerobic,6.41
STR_998,Streptococcus,turn,Negative,Aerobic,4.17
STR_492,Pseudomonas,prevent,Positive,Aerobic,3.02
STR_218,Bacillus,inside,Positive,Facultative Anaerobe,2.05
STR_970,Lactobacillus,box,Positive,Anaerobic,4.71
STR_148,Streptococcus,indicate,Positive,Facultative Anaerobe,8.28
STR_352,Lactobacillus,account,Positive,Anaerobic,2.93
STR_213,Lactobacillus,follow,Positive,Facultative Anaerobe,2.84
STR_793,Bacillus,important,Positive,Anaerobic,1.1
STR_658,Pseudomonas,pay,Negative,Aerobic,8.79
STR_707,Pseudomonas,prevent,Negative,Aerobic,3.27
STR_472,Pseudomonas,none,Positive,Microaerophilic,4.35
STR_502,Clostridium,game,Positive,Aerobic,3.69
STR_703,Streptococcus,activity,Positive,Aerobic,8.79
STR_949,Bacillus,democratic,Positive,Aerobic,7.18
STR_972,Bacillus,among,Positive,Anaerobic,6.81
STR_620,Lactobacillus,class,Positive,Facultative Anaerobe,2.64
STR_692,Bacillus,he,Positive,Facultative Anaerobe,5.91
STR_566,Streptococcus,outside,Negative,Aerobic,6.41
STR_900,Streptococcus,direction,Negative,Anaerobic,9.07
STR_763,Staphylococcus,chair,Positive,Aerobic,7.58
STR_850,Clostridium,new,Positive,Facultative Anaerobe,8.77
STR_558,Pseudomonas,fight,Negative,Microaerophilic,9.97
STR_147,Bacillus,dog,Positive,Aerobic,9.15
STR_629,Bacillus,police,Positive,Anaerobic,9.39
STR_490,Clostridium,service,Negative,Facultative Anaerobe,3.24
STR_839,Streptococcus,fight,Positive,Microaerophilic,2.48
STR_745,Staphylococcus,time,Negative,Facultative Anaerobe,0.52
STR_510,Pseudomonas,environmental,Positive,Aerobic,0.89
STR_994,Clostridium,major,Positive,Microaerophilic,0.51
STR_596,Lactobacillus,next,Negative,Anaerobic,8.34
STR_452,Bacillus,include,Positive,Anaerobic,0.98
STR_622,Bacillus,traditional,Negative,Anaerobic,6.34
STR_507,Lactobacillus,travel,Positive,Facultative Anaerobe,1.36
STR_787,Pseudomonas,seven,Negative,Facultative Anaerobe,4.4
STR_363,Bacillus,usually,Positive,Facultative Anaerobe,1.25
STR_995,Bacillus,police,Positive,Anaerobic,5.89
STR_942,Staphylococcus,also,Positive,Facultative Anaerobe,3.14
STR_987,Pseudomonas,lot,Negative,Anaerobic,2.37
STR_767,Lactobacillus,against,Negative,Aerobic,8.31
STR_833,Clostridium,machine,Negative,Facultative Anaerobe,5.1
STR_894,Clostridium,step,Positive,Aerobic,4.6
STR_894,Streptococcus,station,Negative,Microaerophilic,2.66
STR_996,Lactobacillus,city,Negative,Facultative Anaerobe,2.49
STR_979,Clostridium,our,Positive,Anaerobic,2.17
STR_866,Staphylococcus,sing,Negative,Anaerobic,1.36
STR_591,Bacillus,adult,Negative,Facultative Anaerobe,7.41
STR_651,Lactobacillus,friend,Positive,Aerobic,8.52
STR_379,Bacillus,current,Negative,Aerobic,6.52
STR_306,Staphylococcus,senior,Positive,Facultative Anaerobe,7.7
STR_289,Staphylococcus,first,Positive,Aerobic,8.57
STR_728,Clostridium,show,Negative,Anaerobic,3.27
STR_694,Clostridium,listen,Negative,Aerobic,9.46
STR_452,Staphylococcus,cost,Negative,Aerobic,5.57
STR_749,Streptococcus,argue,Negative,Microaerophilic,5.25
STR_292,Streptococcus,nearly,Positive,Aerobic,6.19
STR_530,Staphylococcus,organization,Negative,Facultative Anaerobe,8.39
STR_197,Bacillus,something,Positive,Microaerophilic,9.17
STR_507,Clostridium,play,Positive,Aerobic,4.09
STR_275,Pseudomonas,authority,Positive,Microaerophilic,5.3
STR_978,Pseudomonas,newspaper,Negative,Facultative Anaerobe,8.49
STR_793,Clostridium,suddenly,Negative,Anaerobic,8.3
STR_753,Lactobacillus,him,Positive,Anaerobic,2.29
STR_512,Streptococcus,summer,Negative,Aerobic,1.24
STR_648,Lactobacillus,news,Positive,Aerobic,4.86
STR_436,Streptococcus,nature,Negative,Microaerophilic,0.84
STR_233,Streptococcus,miss,Negative,Facultative Anaerobe,5.56
STR_194,Clostridium,season,Positive,Microaerophilic,7.21
STR_965,Staphylococcus,star,Negative,Facultative Anaerobe,4.74
STR_955,Staphylococcus,card,Negative,Anaerobic,2.05
STR_635,Staphylococcus,already,Positive,Aerobic,4.01
STR_502,Pseudomonas,effort,Positive,Facultative Anaerobe,7.32
STR_322,Pseudomonas,call,Negative,Anaerobic,4.03
STR_715,Bacillus,total,Negative,Facultative Anaerobe,6.38
STR_980,Streptococcus,fish,Negative,Aerobic,6.82
STR_947,Clostridium,when,Negative,Anaerobic,6.01
STR_907,Streptococcus,experience,Positive,Aerobic,8.04
STR_337,Lactobacillus,itself,Negative,Aerobic,6.67
STR_933,Pseudomonas,administration,Negative,Anaerobic,8.0
STR_809,Staphylococcus,why,Positive,Microaerophilic,6.51
STR_567,Lactobacillus,finish,Positive,Aerobic,4.04
STR_733,Staphylococcus,turn,Positive,Aerobic,5.35
STR_637,Streptococcus,pass,Negative,Facultative Anaerobe,7.12
STR_403,Bacillus,back,Negative,Facultative Anaerobe,5.1
STR_271,Lactobacillus,pass,Negative,Aerobic,8.13
STR_496,Pseudomonas,exist,Negative,Microaerophilic,3.61
STR_923,Clostridium,green,Negative,Aerobic,3.34
STR_950,Bacillus,while,Positive,Microaerophilic,1.15
STR_262,Pseudomonas,according,Positive,Microaerophilic,8.01
STR_301,Pseudomonas,attention,Negative,Facultative Anaerobe,7.55
STR_984,Staphylococcus,else,Negative,Facultative Anaerobe,8.12
STR_797,Streptococcus,his,Negative,Facultative Anaerobe,1.62
STR_228,Bacillus,care,Negative,Microaerophilic,7.56
STR_551,Bacillus,morning,Positive,Aerobic,7.1
STR_334,Streptococcus,official,Positive,Microaerophilic,8.28
STR_278,Lactobacillus,usually,Positive,Microaerophilic,4.69
