neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_9394,Hypothalamus,118.13,108.3,Rattus norvegicus
NEUR_1106,Striatum,5.45,117.81,Mus musculus
NEUR_3873,Amygdala,72.95,100.0,Rattus norvegicus
NEUR_3962,Amygdala,113.08,27.79,Mus musculus
NEUR_8143,Hippocampus,43.48,16.2,Danio rerio
NEUR_1104,Cerebellum,9.16,84.76,Mus musculus
NEUR_5273,Cortex,21.0,81.92,Macaca mulatta
NEUR_3854,Cortex,106.8,35.52,Mus musculus
NEUR_1431,Cerebellum,6.56,116.01,Danio rerio
NEUR_6113,Hippocampus,45.81,25.88,Mus musculus
NEUR_8267,Hippocampus,47.76,42.13,Rattus norvegicus
NEUR_8759,Striatum,9.5,60.96,Macaca mulatta
NEUR_4776,Hypothalamus,96.58,94.82,Rattus norvegicus
NEUR_7186,Amygdala,19.61,74.75,Macaca mulatta
NEUR_3500,Hippocampus,78.07,52.54,Danio rerio
NEUR_6705,Striatum,66.73,13.41,Rattus norvegicus
NEUR_5505,Amygdala,72.94,34.11,Rattus norvegicus
NEUR_5429,Amygdala,67.6,114.6,Rattus norvegicus
NEUR_1357,Cortex,108.18,31.93,Mus musculus
NEUR_8017,Thalamus,42.43,93.19,Mus musculus
NEUR_9047,Hypothalamus,128.53,62.23,Macaca mulatta
NEUR_5511,Cortex,79.11,75.39,Macaca mulatta
NEUR_5490,Striatum,44.77,35.72,Danio rerio
NEUR_4106,Amygdala,45.02,37.2,Mus musculus
NEUR_1955,Cortex,120.91,116.66,Mus musculus
NEUR_8437,Cortex,106.89,91.74,Macaca mulatta
NEUR_9229,Hypothalamus,66.53,65.15,Mus musculus
NEUR_8083,Thalamus,66.16,105.85,Macaca mulatta
NEUR_3023,Hippocampus,32.46,53.77,Danio rerio
NEUR_5631,Thalamus,145.69,62.61,Mus musculus
NEUR_2752,Amygdala,107.06,67.31,Rattus norvegicus
NEUR_5343,Amygdala,21.55,26.11,Mus musculus
NEUR_9643,Hypothalamus,149.87,118.85,Rattus norvegicus
NEUR_5638,Amygdala,127.5,82.92,Rattus norvegicus
NEUR_1160,Striatum,129.27,45.12,Danio rerio
NEUR_8828,Cortex,17.28,48.3,Danio rerio
NEUR_3052,Amygdala,28.92,45.59,Macaca mulatta
NEUR_1687,Hippocampus,59.43,53.05,Macaca mulatta
NEUR_6226,Thalamus,131.11,57.27,Danio rerio
NEUR_4776,Hypothalamus,19.35,86.26,Mus musculus
NEUR_1461,Striatum,23.93,109.03,Rattus norvegicus
NEUR_4762,Striatum,49.78,65.37,Rattus norvegicus
NEUR_4001,Amygdala,45.0,73.35,Danio rerio
NEUR_7143,Hypothalamus,23.59,33.74,Macaca mulatta
NEUR_2486,Thalamus,127.2,72.2,Macaca mulatta
NEUR_1514,Hypothalamus,146.83,54.95,Rattus norvegicus
NEUR_1637,Cortex,42.52,104.84,Macaca mulatta
NEUR_1230,Thalamus,3.38,58.84,Mus musculus
NEUR_7471,Hypothalamus,90.77,48.41,Mus musculus
NEUR_5256,Hippocampus,103.0,79.14,Danio rerio
NEUR_2637,Striatum,105.89,60.01,Rattus norvegicus
NEUR_5156,Hippocampus,76.64,36.02,Danio rerio
NEUR_4799,Cerebellum,34.91,90.15,Mus musculus
NEUR_7251,Hypothalamus,101.58,60.06,Mus musculus
NEUR_6443,Thalamus,2.86,59.86,Macaca mulatta
NEUR_5874,Hippocampus,97.96,22.33,Rattus norvegicus
NEUR_9653,Cortex,31.96,84.87,Rattus norvegicus
NEUR_3965,Striatum,132.22,109.08,Danio rerio
NEUR_2303,Cortex,38.59,91.14,Mus musculus
NEUR_9232,Hippocampus,139.17,107.38,Mus musculus
NEUR_1731,Striatum,4.83,107.87,Rattus norvegicus
NEUR_1463,Hypothalamus,65.96,22.48,Danio rerio
NEUR_9389,Cortex,113.67,108.57,Macaca mulatta
NEUR_5608,Amygdala,64.31,22.16,Rattus norvegicus
NEUR_5214,Amygdala,3.3,84.24,Macaca mulatta
NEUR_1684,Cerebellum,7.75,84.21,Rattus norvegicus
NEUR_7904,Amygdala,29.86,64.52,Danio rerio
NEUR_6548,Cerebellum,135.58,96.41,Danio rerio
NEUR_9734,Hippocampus,69.66,67.04,Rattus norvegicus
NEUR_3275,Amygdala,84.99,14.71,Mus musculus
NEUR_4254,Hypothalamus,146.7,53.19,Mus musculus
NEUR_6506,Striatum,111.99,99.6,Danio rerio
NEUR_8167,Cortex,51.35,32.09,Rattus norvegicus
NEUR_4396,Hippocampus,13.1,106.88,Macaca mulatta
NEUR_1415,Cerebellum,88.61,64.85,Macaca mulatta
NEUR_5952,Hypothalamus,131.14,33.91,Danio rerio
NEUR_3755,Thalamus,132.99,108.76,Mus musculus
NEUR_2112,Cortex,69.83,73.4,Danio rerio
NEUR_1510,Hypothalamus,123.82,79.1,Danio rerio
NEUR_1461,Hypothalamus,126.42,21.23,Macaca mulatta
NEUR_7963,Hippocampus,136.77,103.71,Danio rerio
NEUR_8228,Thalamus,92.03,36.6,Mus musculus
NEUR_4070,Striatum,83.87,35.54,Danio rerio
NEUR_8773,Cortex,30.94,28.71,Macaca mulatta
NEUR_8590,Hippocampus,132.2,12.61,Danio rerio
NEUR_5223,Cerebellum,78.25,66.57,Rattus norvegicus
NEUR_8481,Hypothalamus,52.54,58.38,Danio rerio
NEUR_2990,Hypothalamus,1.12,73.07,Danio rerio
NEUR_9406,Cerebellum,70.06,35.24,Mus musculus
NEUR_9382,Cerebellum,53.12,30.96,Rattus norvegicus
NEUR_3993,Hippocampus,131.23,113.87,Danio rerio
NEUR_4577,Cortex,43.69,67.69,Danio rerio
NEUR_7242,Cortex,41.18,33.92,Mus musculus
NEUR_6159,Striatum,119.74,95.45,Danio rerio
NEUR_1166,Hypothalamus,50.93,34.42,Mus musculus
NEUR_6094,Amygdala,149.88,99.81,Mus musculus
NEUR_4004,Cortex,130.86,90.29,Macaca mulatta
NEUR_1348,Thalamus,47.13,96.69,Mus musculus
NEUR_2331,Striatum,57.57,13.14,Rattus norvegicus
NEUR_3273,Hippocampus,69.94,80.93,Macaca mulatta
NEUR_9948,Cerebellum,138.72,52.61,Mus musculus
NEUR_7607,Thalamus,92.26,68.95,Danio rerio
NEUR_8630,Thalamus,24.71,25.78,Rattus norvegicus
NEUR_2437,Amygdala,56.41,101.59,Danio rerio
NEUR_6090,Hypothalamus,17.61,88.98,Mus musculus
NEUR_2709,Thalamus,115.73,98.77,Mus musculus
NEUR_6053,Hypothalamus,52.77,92.5,Mus musculus
NEUR_9671,Hypothalamus,83.37,43.66,Mus musculus
NEUR_7088,Striatum,42.59,111.7,Mus musculus
NEUR_9428,Cortex,6.32,51.67,Danio rerio
NEUR_1615,Cerebellum,149.0,41.03,Danio rerio
NEUR_9896,Cortex,41.86,89.53,Mus musculus
NEUR_8456,Hypothalamus,16.51,88.77,Danio rerio
NEUR_3286,Thalamus,89.98,32.28,Danio rerio
NEUR_8816,Cerebellum,97.5,47.14,Rattus norvegicus
NEUR_9042,Hippocampus,6.05,59.29,Rattus norvegicus
NEUR_6724,Cerebellum,62.41,18.42,Mus musculus
NEUR_9984,Striatum,12.58,100.72,Macaca mulatta
NEUR_2403,Cerebellum,47.21,95.46,Rattus norvegicus
NEUR_5632,Cerebellum,65.69,41.38,Rattus norvegicus
NEUR_5804,Striatum,32.08,53.52,Mus musculus
NEUR_8348,Hypothalamus,23.74,33.92,Danio rerio
NEUR_5434,Hippocampus,38.76,112.93,Danio rerio
NEUR_3815,Thalamus,36.86,111.28,Danio rerio
NEUR_9302,Striatum,131.5,94.44,Macaca mulatta
NEUR_6765,Hypothalamus,86.12,101.86,Mus musculus
NEUR_2469,Hippocampus,96.61,10.56,Rattus norvegicus
NEUR_8680,Hypothalamus,26.41,20.52,Danio rerio
NEUR_8681,Cortex,86.91,101.02,Danio rerio
NEUR_3619,Amygdala,31.57,23.67,Rattus norvegicus
NEUR_9382,Cerebellum,78.22,106.96,Danio rerio
NEUR_9680,Hippocampus,60.81,109.73,Rattus norvegicus
NEUR_1096,Striatum,47.49,81.85,Rattus norvegicus
NEUR_5438,Striatum,78.04,24.22,Macaca mulatta
NEUR_1619,Thalamus,113.68,111.63,Rattus norvegicus
NEUR_2125,Striatum,11.97,84.54,Danio rerio
NEUR_4896,Hippocampus,98.48,88.72,Mus musculus
NEUR_2511,Cerebellum,16.61,77.66,Danio rerio
NEUR_6946,Striatum,124.34,41.84,Rattus norvegicus
NEUR_8470,Amygdala,106.78,115.39,Rattus norvegicus
NEUR_6850,Thalamus,43.0,55.69,Danio rerio
NEUR_7713,Thalamus,19.49,19.88,Mus musculus
NEUR_8963,Hypothalamus,11.02,108.86,Macaca mulatta
NEUR_9834,Striatum,13.8,60.15,Rattus norvegicus
NEUR_5435,Striatum,108.7,56.45,Macaca mulatta
NEUR_4813,Hippocampus,87.16,20.77,Rattus norvegicus
NEUR_6574,Striatum,130.9,106.55,Mus musculus
NEUR_1255,Cortex,43.53,64.14,Mus musculus
NEUR_2572,Cortex,11.79,16.19,Danio rerio
NEUR_9778,Cortex,22.21,17.99,Macaca mulatta
NEUR_3114,Striatum,137.97,39.41,Rattus norvegicus
NEUR_1164,Hypothalamus,103.3,21.26,Rattus norvegicus
NEUR_1042,Thalamus,97.61,64.19,Danio rerio
NEUR_1858,Striatum,0.22,106.53,Mus musculus
NEUR_6775,Cortex,68.95,98.61,Mus musculus
NEUR_6741,Hypothalamus,58.51,112.12,Danio rerio
