neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_2642,Cerebellum,82.01,20.33,Danio rerio
NEUR_9069,Hypothalamus,74.84,58.97,Mus musculus
NEUR_2024,Hippocampus,44.0,60.05,Danio rerio
NEUR_1203,Cortex,96.55,25.85,Rattus norvegicus
NEUR_2087,Amygdala,128.44,47.41,Mus musculus
NEUR_3073,Striatum,117.18,73.86,Mus musculus
NEUR_2761,Striatum,7.06,91.72,Mus musculus
NEUR_3980,Thalamus,132.11,38.13,Macaca mulatta
NEUR_7240,Amygdala,82.37,47.7,Rattus norvegicus
NEUR_4154,Cortex,66.43,24.55,Mus musculus
NEUR_1080,Amygdala,72.5,27.64,Danio rerio
NEUR_9914,Amygdala,134.32,18.48,Rattus norvegicus
NEUR_6102,Thalamus,64.69,14.44,Macaca mulatta
NEUR_7472,Cortex,59.6,82.73,Danio rerio
NEUR_2455,Thalamus,36.68,96.83,Mus musculus
NEUR_5564,Hypothalamus,88.09,100.81,Rattus norvegicus
NEUR_1287,Hippocampus,100.74,71.32,Macaca mulatta
NEUR_3072,Thalamus,46.21,59.25,Rattus norvegicus
NEUR_1445,Cerebellum,14.96,20.51,Mus musculus
NEUR_9453,Thalamus,79.7,38.71,Danio rerio
NEUR_1165,Hippocampus,89.88,80.37,Macaca mulatta
NEUR_4388,Striatum,137.84,43.14,Macaca mulatta
NEUR_2076,Cerebellum,107.16,50.92,Danio rerio
NEUR_7737,Hippocampus,45.58,18.02,Mus musculus
NEUR_6879,Cerebellum,104.42,50.85,Mus musculus
NEUR_2995,Hippocampus,85.87,99.7,Rattus norvegicus
NEUR_7260,Cerebellum,137.42,15.87,Mus musculus
NEUR_5752,Hypothalamus,72.07,77.44,Macaca mulatta
NEUR_2793,Cortex,39.52,54.35,Mus musculus
NEUR_9620,Thalamus,60.91,33.59,Macaca mulatta
NEUR_2442,Thalamus,122.36,60.64,Rattus norvegicus
NEUR_8356,Cerebellum,45.87,24.53,Danio rerio
NEUR_1542,Cortex,67.26,67.67,Macaca mulatta
NEUR_9043,Hypothalamus,69.03,26.41,Rattus norvegicus
NEUR_1211,Thalamus,39.47,55.97,Danio rerio
NEUR_6474,Hypothalamus,29.35,15.03,Macaca mulatta
NEUR_5017,Striatum,40.21,67.61,Danio rerio
NEUR_5948,Thalamus,58.71,26.78,Mus musculus
NEUR_7962,Cortex,35.86,74.13,Rattus norvegicus
NEUR_3873,Striatum,86.2,46.35,Rattus norvegicus
NEUR_1091,Striatum,19.2,109.83,Danio rerio
NEUR_6964,Striatum,80.29,31.35,Danio rerio
NEUR_4980,Thalamus,65.12,59.63,Mus musculus
NEUR_8602,Cerebellum,125.32,43.46,Rattus norvegicus
NEUR_2743,Hypothalamus,58.3,57.65,Danio rerio
NEUR_8626,Cortex,142.11,66.85,Danio rerio
NEUR_7761,Striatum,29.27,59.53,Macaca mulatta
NEUR_7122,Hippocampus,46.84,60.26,Danio rerio
NEUR_3506,Hippocampus,8.86,21.62,Mus musculus
NEUR_7008,Cortex,13.43,35.69,Danio rerio
NEUR_9180,Striatum,85.03,79.11,Danio rerio
