neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_9315,Striatum,82.03,12.16,Danio rerio
NEUR_5493,Cerebellum,134.63,22.6,Danio rerio
NEUR_1511,Cerebellum,55.35,89.09,Macaca mulatta
NEUR_7884,Cerebellum,38.56,47.1,Rattus norvegicus
NEUR_1406,Striatum,120.22,87.0,Mus musculus
NEUR_4282,Hypothalamus,106.59,11.91,Macaca mulatta
NEUR_8281,Cortex,104.13,85.91,Mus musculus
NEUR_3206,Thalamus,37.68,80.26,Mus musculus
NEUR_4307,Hippocampus,22.63,112.84,Macaca mulatta
NEUR_5420,Amygdala,109.09,66.59,Macaca mulatta
NEUR_1910,Hypothalamus,28.69,49.68,Mus musculus
NEUR_4551,Thalamus,27.61,113.28,Rattus norvegicus
NEUR_7216,Cerebellum,110.58,38.33,Mus musculus
NEUR_5909,Amygdala,111.78,106.5,Mus musculus
NEUR_8008,Cerebellum,129.92,73.49,Rattus norvegicus
NEUR_8329,Thalamus,124.05,18.03,Macaca mulatta
NEUR_7202,Amygdala,113.29,76.69,Danio rerio
NEUR_2293,Striatum,91.51,104.33,Macaca mulatta
NEUR_8023,Striatum,125.87,61.8,Mus musculus
NEUR_2525,Striatum,87.3,40.3,Macaca mulatta
NEUR_2462,Striatum,59.87,94.28,Mus musculus
NEUR_3400,Cortex,93.05,41.39,Macaca mulatta
NEUR_6609,Amygdala,66.58,67.74,Mus musculus
NEUR_3811,Hypothalamus,50.93,75.83,Macaca mulatta
NEUR_8639,Amygdala,112.44,32.81,Rattus norvegicus
NEUR_5728,Hypothalamus,74.73,97.76,Rattus norvegicus
NEUR_5853,Hypothalamus,102.08,59.62,Macaca mulatta
NEUR_3165,Cerebellum,145.7,42.62,Mus musculus
NEUR_4107,Amygdala,94.32,109.58,Macaca mulatta
NEUR_3501,Amygdala,42.6,54.14,Mus musculus
NEUR_7344,Hippocampus,108.95,84.24,Rattus norvegicus
NEUR_8047,Amygdala,39.93,101.21,Macaca mulatta
NEUR_2272,Hypothalamus,54.81,72.58,Macaca mulatta
NEUR_6748,Striatum,3.81,110.79,Danio rerio
NEUR_5873,Cortex,114.47,109.91,Danio rerio
NEUR_8564,Hippocampus,8.71,28.3,Mus musculus
NEUR_5265,Amygdala,66.04,102.81,Rattus norvegicus
NEUR_4471,Cerebellum,137.51,107.72,Macaca mulatta
NEUR_4394,Striatum,22.37,98.19,Mus musculus
NEUR_3790,Amygdala,86.28,38.21,Macaca mulatta
NEUR_6827,Thalamus,113.42,106.62,Danio rerio
NEUR_5607,Cerebellum,79.28,26.61,Macaca mulatta
NEUR_5041,Cortex,58.13,91.81,Danio rerio
NEUR_5140,Cerebellum,60.7,99.78,Macaca mulatta
NEUR_8086,Hypothalamus,102.87,47.37,Mus musculus
NEUR_5599,Cortex,111.32,85.62,Danio rerio
NEUR_2679,Cerebellum,65.99,51.63,Rattus norvegicus
NEUR_2623,Cerebellum,67.37,94.03,Danio rerio
NEUR_5685,Cortex,33.88,81.84,Danio rerio
NEUR_7001,Hypothalamus,38.2,117.57,Macaca mulatta
NEUR_8898,Cerebellum,128.56,62.39,Mus musculus
NEUR_8781,Amygdala,51.08,46.07,Rattus norvegicus
