neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_8266,Cerebellum,50.66,11.46,Macaca mulatta
NEUR_3842,Amygdala,133.28,80.08,Macaca mulatta
NEUR_3831,Cortex,5.9,64.23,Mus musculus
NEUR_9039,Cortex,29.09,92.03,Rattus norvegicus
NEUR_7785,Hippocampus,35.51,55.94,Macaca mulatta
NEUR_9321,Amygdala,119.4,10.33,Macaca mulatta
NEUR_7275,Hippocampus,104.48,13.02,Danio rerio
NEUR_1619,Hippocampus,2.36,102.55,Danio rerio
NEUR_3748,Cortex,147.88,50.12,Macaca mulatta
NEUR_1661,Cortex,134.74,77.99,Mus musculus
NEUR_3206,Amygdala,34.77,75.16,Macaca mulatta
NEUR_6085,Cortex,55.39,93.82,Rattus norvegicus
NEUR_6692,Cortex,45.79,20.29,Mus musculus
NEUR_5375,Cortex,44.35,64.78,Macaca mulatta
NEUR_3675,Cortex,95.38,101.63,Rattus norvegicus
NEUR_9387,Amygdala,67.35,50.16,Rattus norvegicus
NEUR_5599,Thalamus,89.14,19.5,Rattus norvegicus
NEUR_9604,Hypothalamus,43.06,32.85,Mus musculus
NEUR_7825,Amygdala,32.59,79.98,Danio rerio
NEUR_3844,Hippocampus,107.23,52.22,Rattus norvegicus
NEUR_4059,Cerebellum,92.95,43.29,Mus musculus
NEUR_8835,Cerebellum,146.64,31.66,Rattus norvegicus
NEUR_1245,Thalamus,45.25,44.1,Mus musculus
NEUR_2543,Hippocampus,119.44,63.27,Macaca mulatta
NEUR_8383,Striatum,34.14,17.18,Danio rerio
NEUR_1519,Hippocampus,59.87,96.86,Rattus norvegicus
NEUR_1433,Cerebellum,41.68,113.4,Macaca mulatta
NEUR_2727,Cerebellum,54.86,114.93,Rattus norvegicus
NEUR_4331,Striatum,127.12,107.94,Rattus norvegicus
NEUR_5168,Hippocampus,136.33,64.51,Rattus norvegicus
NEUR_9715,Hypothalamus,1.63,40.76,Danio rerio
NEUR_2551,Amygdala,84.45,106.74,Macaca mulatta
NEUR_2925,Hypothalamus,64.25,66.14,Danio rerio
NEUR_7236,Amygdala,66.2,60.99,Rattus norvegicus
NEUR_6622,Hippocampus,86.93,70.25,Mus musculus
NEUR_8529,Striatum,6.37,46.3,Danio rerio
NEUR_4204,Striatum,69.1,81.32,Rattus norvegicus
NEUR_6742,Thalamus,28.82,47.75,Rattus norvegicus
NEUR_5846,Striatum,73.3,41.57,Macaca mulatta
NEUR_3326,Amygdala,38.09,107.22,Rattus norvegicus
NEUR_3797,Thalamus,41.19,74.12,Mus musculus
NEUR_8360,Amygdala,84.32,116.31,Mus musculus
NEUR_1104,Amygdala,76.81,77.96,Macaca mulatta
NEUR_1829,Amygdala,101.7,14.6,Macaca mulatta
NEUR_3684,Amygdala,70.42,94.8,Macaca mulatta
NEUR_7797,Striatum,31.76,62.46,Danio rerio
NEUR_3556,Thalamus,62.07,82.0,Mus musculus
NEUR_9351,Striatum,124.39,23.97,Danio rerio
NEUR_6792,Cerebellum,56.5,25.04,Macaca mulatta
NEUR_3922,Cerebellum,49.16,37.62,Macaca mulatta
NEUR_4069,Cerebellum,105.45,79.31,Mus musculus
NEUR_1421,Amygdala,52.44,99.53,Danio rerio
NEUR_1490,Striatum,7.42,79.02,Mus musculus
NEUR_5274,Striatum,118.69,71.27,Macaca mulatta
NEUR_5279,Cerebellum,26.89,109.8,Mus musculus
NEUR_2621,Amygdala,37.57,27.95,Danio rerio
NEUR_8779,Amygdala,4.43,43.06,Danio rerio
NEUR_1412,Amygdala,125.85,42.58,Danio rerio
NEUR_7890,Striatum,133.73,84.28,Mus musculus
NEUR_6379,Hypothalamus,129.88,80.34,Mus musculus
NEUR_3490,Amygdala,106.88,39.47,Mus musculus
NEUR_2647,Thalamus,66.47,23.12,Mus musculus
NEUR_8737,Cortex,111.75,11.74,Danio rerio
NEUR_3845,Striatum,23.32,108.44,Danio rerio
NEUR_6449,Cerebellum,145.23,29.91,Rattus norvegicus
NEUR_1013,Thalamus,147.57,119.95,Danio rerio
NEUR_8673,Thalamus,127.23,97.46,Mus musculus
NEUR_1180,Amygdala,67.35,26.95,Danio rerio
NEUR_5797,Cortex,118.81,46.01,Rattus norvegicus
NEUR_3726,Hippocampus,68.35,112.54,Macaca mulatta
NEUR_2593,Cortex,23.18,73.76,Macaca mulatta
NEUR_7453,Hypothalamus,53.72,94.96,Macaca mulatta
NEUR_7159,Hypothalamus,86.62,52.3,Rattus norvegicus
NEUR_3643,Striatum,38.67,59.61,Rattus norvegicus
NEUR_9140,Hippocampus,106.9,64.87,Rattus norvegicus
NEUR_8845,Cerebellum,44.71,102.84,Mus musculus
NEUR_9327,Hippocampus,112.79,20.75,Macaca mulatta
NEUR_8800,Cerebellum,145.01,82.41,Danio rerio
NEUR_4366,Cerebellum,121.11,23.24,Rattus norvegicus
NEUR_8006,Thalamus,48.2,94.62,Rattus norvegicus
NEUR_7774,Cortex,149.55,119.01,Macaca mulatta
NEUR_1567,Hypothalamus,11.98,77.19,Danio rerio
NEUR_5827,Amygdala,81.33,42.01,Rattus norvegicus
NEUR_8924,Hypothalamus,81.89,27.03,Rattus norvegicus
NEUR_1257,Hypothalamus,138.27,27.57,Danio rerio
NEUR_4499,Cerebellum,108.48,27.11,Danio rerio
NEUR_9670,Thalamus,54.52,101.67,Danio rerio
NEUR_8413,Amygdala,140.58,39.46,Macaca mulatta
