neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_6354,Amygdala,83.83,40.65,Danio rerio
NEUR_5143,Cortex,101.69,106.65,Rattus norvegicus
NEUR_7306,Cortex,142.59,118.95,Mus musculus
NEUR_7450,Amygdala,72.67,57.38,Danio rerio
NEUR_3760,Hippocampus,137.55,40.7,Danio rerio
NEUR_7143,Amygdala,20.74,10.73,Danio rerio
NEUR_9770,Hippocampus,108.63,90.95,Mus musculus
NEUR_5226,Cortex,130.09,98.5,Mus musculus
NEUR_9976,Striatum,140.4,118.41,Rattus norvegicus
NEUR_2486,Striatum,62.6,25.94,Rattus norvegicus
NEUR_2416,Cortex,3.81,75.33,Danio rerio
NEUR_8750,Cerebellum,123.59,10.34,Mus musculus
NEUR_1940,Cortex,59.22,57.13,Macaca mulatta
NEUR_8543,Hippocampus,140.43,24.04,Mus musculus
NEUR_4566,Hippocampus,61.72,46.14,Mus musculus
NEUR_6509,Cerebellum,27.08,74.55,Macaca mulatta
NEUR_5015,Hypothalamus,6.29,47.32,Mus musculus
NEUR_4553,Thalamus,15.41,111.51,Macaca mulatta
NEUR_6266,Cortex,127.32,21.32,Mus musculus
NEUR_8131,Thalamus,13.68,54.05,Danio rerio
NEUR_7066,Striatum,102.83,67.66,Danio rerio
NEUR_6617,Amygdala,79.66,11.88,Mus musculus
NEUR_1197,Striatum,98.83,45.0,Mus musculus
NEUR_8506,Cortex,67.33,55.94,Danio rerio
NEUR_5024,Cortex,2.77,98.28,Mus musculus
NEUR_3684,Thalamus,84.85,24.26,Danio rerio
NEUR_1747,Hippocampus,96.72,98.6,Mus musculus
NEUR_3738,Cortex,42.45,17.21,Macaca mulatta
NEUR_3913,Cerebellum,64.43,56.75,Mus musculus
NEUR_2879,Cerebellum,22.94,34.34,Danio rerio
NEUR_8478,Striatum,127.54,44.9,Macaca mulatta
NEUR_8493,Hippocampus,11.84,14.6,Rattus norvegicus
NEUR_3100,Amygdala,18.26,41.21,Rattus norvegicus
NEUR_1805,Hypothalamus,148.39,23.28,Mus musculus
NEUR_1395,Hippocampus,12.68,114.79,Mus musculus
NEUR_1597,Striatum,72.1,19.74,Macaca mulatta
NEUR_4101,Striatum,29.54,101.19,Rattus norvegicus
NEUR_6670,Hippocampus,43.99,81.18,Rattus norvegicus
NEUR_7718,Hypothalamus,71.38,65.02,Mus musculus
NEUR_1221,Amygdala,131.45,62.96,Macaca mulatta
NEUR_3580,Thalamus,90.44,23.08,Rattus norvegicus
NEUR_4585,Hippocampus,72.92,58.18,Mus musculus
NEUR_4466,Cerebellum,47.5,116.85,Mus musculus
NEUR_3704,Hypothalamus,148.23,42.69,Mus musculus
NEUR_6899,Thalamus,140.0,26.47,Rattus norvegicus
NEUR_3029,Thalamus,63.27,73.59,Mus musculus
NEUR_2175,Thalamus,80.91,53.4,Macaca mulatta
NEUR_5816,Amygdala,134.28,91.16,Mus musculus
NEUR_7355,Striatum,44.08,42.47,Macaca mulatta
NEUR_7924,Cortex,46.26,109.83,Rattus norvegicus
NEUR_3600,Amygdala,96.97,54.72,Danio rerio
NEUR_3910,Hippocampus,66.55,42.36,Danio rerio
NEUR_9208,Thalamus,116.76,96.85,Danio rerio
NEUR_4227,Cerebellum,118.71,28.39,Rattus norvegicus
NEUR_9240,Thalamus,85.74,91.77,Mus musculus
NEUR_1581,Hippocampus,67.26,68.17,Danio rerio
NEUR_5195,Striatum,59.2,109.19,Danio rerio
NEUR_9037,Cortex,138.41,97.45,Rattus norvegicus
NEUR_4626,Cortex,59.76,72.25,Rattus norvegicus
NEUR_4381,Cortex,24.27,15.01,Rattus norvegicus
NEUR_2416,Cortex,54.13,119.01,Macaca mulatta
NEUR_1684,Cerebellum,7.16,28.17,Rattus norvegicus
NEUR_3150,Cortex,132.1,24.36,Danio rerio
NEUR_3423,Striatum,110.93,65.05,Macaca mulatta
NEUR_5662,Cerebellum,145.33,87.11,Macaca mulatta
NEUR_8439,Thalamus,38.86,73.98,Macaca mulatta
NEUR_3888,Cortex,135.22,72.14,Mus musculus
NEUR_6479,Cerebellum,146.21,35.28,Danio rerio
NEUR_2688,Thalamus,14.01,116.48,Mus musculus
NEUR_6791,Hippocampus,54.19,45.26,Rattus norvegicus
NEUR_2775,Amygdala,70.41,70.22,Macaca mulatta
NEUR_1478,Thalamus,50.98,89.96,Mus musculus
NEUR_9371,Hippocampus,55.57,93.93,Danio rerio
NEUR_3313,Cerebellum,70.23,102.0,Macaca mulatta
NEUR_4523,Striatum,120.85,92.74,Mus musculus
NEUR_9022,Hypothalamus,142.85,65.44,Mus musculus
NEUR_7516,Cortex,76.8,87.78,Mus musculus
NEUR_9462,Hippocampus,60.64,115.16,Macaca mulatta
NEUR_1734,Hippocampus,27.91,35.08,Rattus norvegicus
NEUR_6947,Striatum,52.26,17.9,Macaca mulatta
NEUR_6574,Hippocampus,78.28,34.29,Rattus norvegicus
NEUR_7238,Amygdala,11.93,14.74,Macaca mulatta
NEUR_3092,Thalamus,15.72,91.09,Mus musculus
NEUR_8878,Thalamus,14.61,98.42,Mus musculus
NEUR_8487,Hypothalamus,90.58,11.08,Danio rerio
NEUR_3864,Cortex,4.5,103.94,Rattus norvegicus
NEUR_6183,Thalamus,19.86,28.29,Macaca mulatta
NEUR_9451,Cerebellum,90.54,42.92,Danio rerio
NEUR_6963,Hypothalamus,74.94,100.76,Mus musculus
NEUR_1766,Cortex,26.3,74.85,Mus musculus
NEUR_4301,Hypothalamus,22.76,29.12,Rattus norvegicus
NEUR_9996,Hypothalamus,30.86,100.08,Macaca mulatta
NEUR_4410,Thalamus,51.28,38.75,Macaca mulatta
NEUR_9247,Cortex,83.02,54.34,Mus musculus
NEUR_8603,Amygdala,98.09,44.74,Rattus norvegicus
NEUR_9012,Hypothalamus,29.83,49.0,Danio rerio
NEUR_8089,Cerebellum,77.43,117.67,Macaca mulatta
NEUR_7612,Thalamus,104.89,84.55,Danio rerio
NEUR_7278,Cortex,84.7,49.04,Mus musculus
NEUR_7959,Thalamus,65.04,114.62,Mus musculus
NEUR_7930,Hippocampus,4.57,68.74,Macaca mulatta
NEUR_4748,Amygdala,120.49,40.33,Rattus norvegicus
NEUR_8143,Hippocampus,137.67,104.77,Rattus norvegicus
NEUR_1292,Striatum,50.17,45.54,Macaca mulatta
NEUR_8877,Thalamus,15.85,104.89,Mus musculus
NEUR_5538,Amygdala,113.87,118.1,Macaca mulatta
NEUR_3808,Amygdala,47.61,16.39,Rattus norvegicus
NEUR_7167,Cortex,91.15,39.04,Macaca mulatta
NEUR_2274,Hippocampus,41.98,49.9,Danio rerio
NEUR_7938,Hippocampus,70.42,22.97,Macaca mulatta
NEUR_9683,Cerebellum,45.44,49.87,Mus musculus
NEUR_1396,Thalamus,18.03,29.38,Rattus norvegicus
NEUR_6455,Thalamus,125.67,83.08,Rattus norvegicus
NEUR_7423,Striatum,83.14,44.5,Danio rerio
NEUR_2629,Amygdala,36.19,62.84,Danio rerio
NEUR_6928,Amygdala,35.93,87.26,Danio rerio
NEUR_4037,Amygdala,20.5,118.81,Rattus norvegicus
NEUR_7982,Cortex,6.19,100.92,Rattus norvegicus
NEUR_2973,Hippocampus,133.18,32.6,Mus musculus
NEUR_3579,Hippocampus,65.35,85.26,Macaca mulatta
NEUR_5756,Amygdala,140.75,66.51,Danio rerio
NEUR_3010,Cerebellum,28.81,21.81,Mus musculus
NEUR_3124,Amygdala,132.51,88.98,Rattus norvegicus
NEUR_3290,Cerebellum,72.74,96.52,Mus musculus
NEUR_3528,Cerebellum,137.93,67.12,Danio rerio
NEUR_4940,Thalamus,93.32,11.55,Mus musculus
NEUR_3260,Hypothalamus,16.13,16.25,Macaca mulatta
NEUR_9277,Cortex,97.08,96.99,Danio rerio
NEUR_4411,Cortex,144.04,57.44,Danio rerio
NEUR_2445,Hippocampus,78.39,76.24,Danio rerio
NEUR_9999,Hippocampus,111.51,69.36,Macaca mulatta
NEUR_1042,Cortex,47.73,110.69,Mus musculus
NEUR_9537,Hypothalamus,61.56,72.03,Mus musculus
NEUR_1394,Thalamus,130.85,10.39,Mus musculus
NEUR_7793,Striatum,14.98,91.89,Danio rerio
NEUR_8015,Thalamus,80.05,30.84,Mus musculus
NEUR_1508,Striatum,84.44,103.22,Rattus norvegicus
NEUR_6593,Cortex,78.66,105.34,Macaca mulatta
NEUR_6792,Amygdala,26.32,37.23,Danio rerio
NEUR_9048,Hypothalamus,43.56,98.67,Rattus norvegicus
NEUR_6715,Hippocampus,135.01,88.4,Macaca mulatta
NEUR_2896,Thalamus,106.91,81.06,Danio rerio
NEUR_5486,Hippocampus,69.45,25.58,Rattus norvegicus
NEUR_1130,Striatum,64.14,89.79,Rattus norvegicus
NEUR_8534,Hippocampus,49.9,24.56,Danio rerio
NEUR_8060,Cortex,128.94,28.47,Danio rerio
NEUR_1623,Striatum,132.04,50.29,Macaca mulatta
NEUR_7841,Cerebellum,146.01,64.65,Mus musculus
NEUR_5382,Cortex,92.33,56.74,Macaca mulatta
NEUR_6046,Cerebellum,118.56,62.32,Danio rerio
NEUR_6986,Hippocampus,5.89,91.02,Danio rerio
NEUR_3049,Striatum,53.55,42.0,Rattus norvegicus
NEUR_6907,Cortex,36.13,113.33,Danio rerio
NEUR_8723,Amygdala,43.04,111.82,Rattus norvegicus
NEUR_5173,Hypothalamus,77.89,14.09,Rattus norvegicus
