neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_1400,Hypothalamus,70.55,98.46,Danio rerio
NEUR_4307,Cerebellum,119.77,35.66,Rattus norvegicus
NEUR_4807,Hippocampus,94.65,48.54,Danio rerio
NEUR_8569,Cortex,37.84,60.33,Danio rerio
NEUR_9824,Thalamus,49.15,89.86,Mus musculus
NEUR_5007,Cortex,66.45,112.55,Macaca mulatta
NEUR_5155,Amygdala,91.17,63.88,Danio rerio
NEUR_8934,Hippocampus,53.64,108.83,Macaca mulatta
NEUR_4881,Hypothalamus,127.95,114.12,Macaca mulatta
NEUR_5243,Cortex,126.52,14.14,Danio rerio
NEUR_1808,Cortex,90.64,113.42,Mus musculus
NEUR_2760,Striatum,12.88,60.21,Rattus norvegicus
NEUR_9812,Amygdala,86.32,35.23,Danio rerio
NEUR_6491,Striatum,29.99,59.46,Mus musculus
NEUR_2962,Striatum,34.97,26.96,Rattus norvegicus
NEUR_4231,Striatum,53.37,44.79,Macaca mulatta
NEUR_7839,Striatum,15.36,117.06,Mus musculus
NEUR_9840,Cerebellum,8.34,103.78,Danio rerio
NEUR_2462,Hypothalamus,47.28,15.37,Danio rerio
NEUR_3661,Thalamus,88.55,43.69,Mus musculus
NEUR_5751,Cortex,140.05,95.19,Danio rerio
NEUR_4209,Thalamus,13.15,55.84,Rattus norvegicus
NEUR_8053,Cortex,91.75,27.72,Mus musculus
NEUR_6042,Amygdala,108.94,15.26,Danio rerio
NEUR_6489,Cerebellum,111.85,29.89,Danio rerio
NEUR_8005,Cortex,90.74,90.0,Mus musculus
NEUR_7586,Hypothalamus,26.81,101.98,Rattus norvegicus
NEUR_3069,Striatum,63.82,16.95,Danio rerio
NEUR_1209,Cerebellum,1.64,59.42,Mus musculus
NEUR_2003,Hippocampus,18.34,29.89,Rattus norvegicus
NEUR_1813,Cortex,137.42,63.7,Rattus norvegicus
NEUR_7422,Cerebellum,54.51,58.97,Danio rerio
NEUR_5765,Hypothalamus,99.14,63.37,Mus musculus
NEUR_8499,Cortex,51.19,101.78,Macaca mulatta
NEUR_4633,Cortex,146.98,32.28,Mus musculus
NEUR_8278,Striatum,43.38,69.96,Macaca mulatta
NEUR_5744,Hippocampus,2.38,104.67,Macaca mulatta
NEUR_9531,Cerebellum,98.45,88.27,Mus musculus
NEUR_5412,Hippocampus,91.3,97.07,Rattus norvegicus
NEUR_4448,Hippocampus,136.35,13.77,Rattus norvegicus
NEUR_9810,Hippocampus,56.63,42.38,Danio rerio
NEUR_3585,Hippocampus,136.76,13.51,Macaca mulatta
NEUR_4430,Thalamus,116.46,44.2,Mus musculus
NEUR_3579,Cerebellum,5.57,104.51,Rattus norvegicus
NEUR_7844,Cortex,140.64,59.05,Mus musculus
NEUR_2438,Hippocampus,60.08,114.91,Danio rerio
NEUR_5581,Amygdala,115.89,31.05,Macaca mulatta
NEUR_4003,Thalamus,110.0,11.47,Mus musculus
NEUR_5964,Thalamus,135.3,29.76,Rattus norvegicus
NEUR_5740,Hypothalamus,85.36,13.02,Mus musculus
NEUR_7474,Striatum,37.27,53.34,Macaca mulatta
NEUR_7736,Striatum,7.91,103.43,Macaca mulatta
NEUR_3892,Thalamus,123.34,92.24,Rattus norvegicus
NEUR_5634,Striatum,32.31,61.74,Danio rerio
NEUR_6605,Hippocampus,134.53,23.29,Rattus norvegicus
NEUR_3737,Amygdala,113.89,67.46,Rattus norvegicus
NEUR_2583,Cortex,70.2,55.12,Danio rerio
NEUR_8955,Hippocampus,4.42,115.99,Danio rerio
NEUR_4587,Hypothalamus,127.55,51.98,Macaca mulatta
NEUR_6050,Hippocampus,16.85,32.99,Rattus norvegicus
NEUR_9242,Striatum,30.52,108.47,Macaca mulatta
NEUR_2295,Hypothalamus,119.97,108.75,Macaca mulatta
NEUR_2463,Cortex,68.35,33.41,Danio rerio
NEUR_1251,Cortex,23.19,65.56,Danio rerio
NEUR_2047,Hippocampus,19.56,17.09,Rattus norvegicus
NEUR_1318,Hypothalamus,138.7,92.42,Macaca mulatta
NEUR_8448,Striatum,66.17,65.18,Rattus norvegicus
NEUR_6054,Hippocampus,64.73,53.55,Macaca mulatta
NEUR_5493,Amygdala,17.97,31.19,Macaca mulatta
NEUR_8814,Hippocampus,53.06,88.51,Rattus norvegicus
NEUR_2743,Hippocampus,69.81,106.88,Macaca mulatta
NEUR_1190,Hypothalamus,43.13,36.39,Macaca mulatta
NEUR_8120,Cortex,50.5,95.97,Danio rerio
NEUR_6175,Cerebellum,69.78,22.29,Danio rerio
NEUR_3522,Cortex,108.41,56.53,Danio rerio
NEUR_4039,Hippocampus,39.2,98.75,Danio rerio
NEUR_9318,Hippocampus,108.03,98.65,Danio rerio
NEUR_9722,Striatum,25.91,88.27,Macaca mulatta
NEUR_9301,Thalamus,140.92,33.8,Danio rerio
NEUR_9931,Hippocampus,113.28,114.21,Rattus norvegicus
NEUR_8124,Cerebellum,127.54,40.85,Rattus norvegicus
NEUR_6771,Hypothalamus,135.17,113.25,Rattus norvegicus
NEUR_9902,Thalamus,149.01,19.91,Danio rerio
NEUR_9380,Hippocampus,88.41,18.14,Rattus norvegicus
NEUR_7506,Amygdala,41.55,70.34,Danio rerio
NEUR_4190,Hypothalamus,21.08,97.04,Rattus norvegicus
NEUR_8544,Thalamus,147.91,91.03,Danio rerio
NEUR_5438,Cerebellum,94.41,77.65,Danio rerio
NEUR_3334,Hypothalamus,41.95,77.24,Danio rerio
NEUR_8870,Amygdala,144.07,21.09,Mus musculus
NEUR_4617,Amygdala,111.25,38.27,Danio rerio
NEUR_3207,Hypothalamus,82.61,100.98,Macaca mulatta
NEUR_7921,Cortex,5.21,90.36,Danio rerio
