neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_5747,Amygdala,26.12,62.87,Danio rerio
NEUR_9241,Amygdala,114.65,104.74,Mus musculus
NEUR_1562,Thalamus,78.62,116.15,Mus musculus
NEUR_9744,Cortex,54.04,12.43,Danio rerio
NEUR_7353,Striatum,54.14,70.89,Rattus norvegicus
NEUR_9861,Cortex,52.78,11.02,Mus musculus
NEUR_8120,Amygdala,146.84,68.21,Macaca mulatta
NEUR_4183,Hypothalamus,29.01,33.5,Rattus norvegicus
NEUR_6468,Thalamus,85.05,115.76,Mus musculus
NEUR_9248,Striatum,143.34,101.66,Macaca mulatta
NEUR_9562,Hypothalamus,17.38,27.03,Macaca mulatta
NEUR_6497,Cortex,57.53,39.45,Rattus norvegicus
NEUR_5290,Cortex,87.41,85.33,Macaca mulatta
NEUR_3238,Cortex,73.15,62.59,Danio rerio
NEUR_9361,Hypothalamus,82.15,103.92,Rattus norvegicus
NEUR_6581,Cerebellum,80.83,88.27,Danio rerio
NEUR_6567,Amygdala,126.84,52.44,Danio rerio
NEUR_4996,Cerebellum,55.92,25.5,Mus musculus
NEUR_7690,Cortex,3.44,13.97,Mus musculus
NEUR_1141,Thalamus,62.42,81.62,Mus musculus
NEUR_2739,Amygdala,46.02,87.66,Rattus norvegicus
NEUR_5300,Cortex,60.77,111.06,Danio rerio
NEUR_8154,Hypothalamus,27.7,95.15,Rattus norvegicus
NEUR_9033,Cerebellum,11.39,116.27,Rattus norvegicus
NEUR_9653,Striatum,46.76,109.61,Mus musculus
NEUR_7152,Hypothalamus,68.59,104.49,Rattus norvegicus
NEUR_3775,Hypothalamus,125.75,13.48,Danio rerio
NEUR_9060,Thalamus,73.82,65.24,Macaca mulatta
NEUR_1380,Hippocampus,85.16,41.17,Mus musculus
NEUR_7743,Cortex,39.64,114.27,Danio rerio
NEUR_7412,Cerebellum,12.79,48.63,Mus musculus
NEUR_1310,Striatum,17.9,18.64,Rattus norvegicus
NEUR_6945,Striatum,51.42,35.04,Macaca mulatta
NEUR_7655,Hypothalamus,131.33,62.75,Macaca mulatta
NEUR_3174,Thalamus,18.24,93.88,Macaca mulatta
NEUR_9545,Amygdala,124.07,39.89,Rattus norvegicus
NEUR_9829,Thalamus,146.78,116.01,Danio rerio
NEUR_9866,Amygdala,8.0,97.79,Mus musculus
