neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_6261,Thalamus,116.87,82.35,Danio rerio
NEUR_9608,Hippocampus,35.05,114.34,Mus musculus
NEUR_4312,Thalamus,87.55,101.47,Rattus norvegicus
NEUR_3158,Thalamus,81.73,73.68,Danio rerio
NEUR_8752,Hypothalamus,31.68,69.24,Macaca mulatta
NEUR_9638,Amygdala,79.53,51.25,Mus musculus
NEUR_4100,Hippocampus,30.01,40.67,Macaca mulatta
NEUR_9911,Striatum,109.13,26.47,Mus musculus
NEUR_8309,Amygdala,82.2,64.05,Danio rerio
NEUR_2437,Cortex,91.53,112.82,Danio rerio
NEUR_3015,Hippocampus,47.45,74.67,Mus musculus
NEUR_4801,Amygdala,37.11,48.23,Mus musculus
NEUR_3598,Cortex,134.9,35.13,Danio rerio
NEUR_7691,Cortex,56.14,19.58,Danio rerio
NEUR_4313,Hypothalamus,69.59,63.72,Rattus norvegicus
NEUR_4973,Thalamus,64.83,32.55,Mus musculus
NEUR_9920,Cerebellum,55.61,17.12,Mus musculus
NEUR_6433,Cerebellum,61.53,15.31,Rattus norvegicus
NEUR_1575,Thalamus,149.42,48.9,Danio rerio
NEUR_3003,Striatum,30.78,40.92,Mus musculus
NEUR_9783,Hippocampus,49.32,12.68,Mus musculus
NEUR_9811,Hippocampus,50.83,35.25,Rattus norvegicus
NEUR_3318,Amygdala,70.33,66.04,Macaca mulatta
NEUR_6692,Hippocampus,30.21,25.38,Rattus norvegicus
NEUR_7197,Amygdala,145.45,60.7,Mus musculus
NEUR_5911,Thalamus,128.2,67.18,Macaca mulatta
NEUR_9769,Cortex,90.38,78.05,Danio rerio
NEUR_9660,Cerebellum,136.52,114.43,Rattus norvegicus
NEUR_7178,Thalamus,17.36,26.54,Danio rerio
NEUR_8818,Cerebellum,72.43,108.5,Danio rerio
NEUR_7247,Cortex,8.81,40.53,Mus musculus
NEUR_6976,Amygdala,69.06,68.29,Danio rerio
NEUR_3291,Hippocampus,121.96,68.71,Mus musculus
NEUR_6716,Cortex,141.88,84.17,Mus musculus
NEUR_2258,Striatum,129.44,38.76,Rattus norvegicus
NEUR_9518,Cortex,69.16,64.02,Rattus norvegicus
NEUR_1625,Hippocampus,105.35,73.73,Macaca mulatta
NEUR_4399,Cerebellum,130.81,73.2,Mus musculus
NEUR_3025,Amygdala,22.58,119.14,Danio rerio
NEUR_1161,Striatum,24.22,104.91,Rattus norvegicus
NEUR_9391,Hypothalamus,76.37,55.92,Mus musculus
NEUR_8152,Cortex,68.69,42.77,Mus musculus
NEUR_6347,Cerebellum,80.52,98.56,Rattus norvegicus
NEUR_2267,Amygdala,69.61,67.79,Mus musculus
NEUR_6660,Hippocampus,123.56,57.96,Mus musculus
NEUR_6294,Hippocampus,78.95,97.87,Rattus norvegicus
NEUR_1887,Cerebellum,59.96,40.61,Rattus norvegicus
NEUR_9522,Hippocampus,102.7,34.95,Rattus norvegicus
NEUR_2340,Thalamus,122.11,82.09,Macaca mulatta
NEUR_9783,Thalamus,147.39,72.51,Mus musculus
NEUR_3776,Hippocampus,1.77,28.13,Macaca mulatta
NEUR_6975,Amygdala,94.03,93.01,Mus musculus
NEUR_9245,Amygdala,95.99,66.21,Mus musculus
NEUR_3070,Cortex,90.22,57.7,Rattus norvegicus
NEUR_6696,Thalamus,64.26,63.4,Mus musculus
NEUR_5283,Cortex,89.52,19.75,Danio rerio
NEUR_1860,Cortex,146.75,73.35,Rattus norvegicus
NEUR_1797,Thalamus,63.37,85.07,Macaca mulatta
NEUR_6751,Cortex,49.93,38.02,Mus musculus
NEUR_5980,Hippocampus,111.98,81.47,Mus musculus
NEUR_6995,Thalamus,109.66,101.61,Mus musculus
NEUR_9821,Amygdala,55.59,39.38,Macaca mulatta
NEUR_4173,Cortex,1.46,24.04,Macaca mulatta
NEUR_5704,Amygdala,22.69,37.13,Mus musculus
NEUR_6639,Cortex,87.27,54.39,Rattus norvegicus
NEUR_7877,Hypothalamus,21.08,111.45,Mus musculus
NEUR_1792,Cortex,130.62,35.39,Macaca mulatta
NEUR_3300,Cerebellum,57.66,67.13,Rattus norvegicus
NEUR_1656,Cerebellum,88.17,80.18,Rattus norvegicus
NEUR_6242,Thalamus,25.59,116.06,Rattus norvegicus
NEUR_7436,Hypothalamus,62.99,81.74,Mus musculus
NEUR_4004,Cerebellum,31.11,109.62,Mus musculus
NEUR_7745,Hippocampus,80.54,83.77,Rattus norvegicus
NEUR_4857,Amygdala,119.16,107.78,Rattus norvegicus
NEUR_1987,Amygdala,80.76,113.56,Danio rerio
NEUR_2768,Thalamus,66.09,74.73,Macaca mulatta
NEUR_5406,Cortex,16.12,69.34,Macaca mulatta
NEUR_4463,Hippocampus,35.03,107.66,Danio rerio
NEUR_3492,Amygdala,67.42,100.1,Mus musculus
NEUR_9223,Cerebellum,29.18,111.71,Danio rerio
NEUR_9745,Hypothalamus,118.4,114.94,Mus musculus
NEUR_5393,Thalamus,131.01,109.74,Rattus norvegicus
NEUR_8771,Cortex,79.56,30.81,Macaca mulatta
NEUR_9665,Thalamus,43.63,28.83,Rattus norvegicus
NEUR_7220,Cortex,97.55,35.1,Danio rerio
NEUR_5728,Thalamus,80.79,109.82,Rattus norvegicus
NEUR_2829,Hypothalamus,85.93,63.9,Mus musculus
NEUR_5053,Amygdala,123.74,76.52,Danio rerio
NEUR_5711,Hippocampus,106.8,93.39,Rattus norvegicus
NEUR_4481,Striatum,51.13,76.85,Macaca mulatta
NEUR_3247,Thalamus,141.57,49.16,Danio rerio
NEUR_1154,Cerebellum,55.11,61.91,Mus musculus
NEUR_8678,Hippocampus,142.46,41.2,Mus musculus
NEUR_2235,Striatum,4.66,95.1,Danio rerio
NEUR_9340,Hypothalamus,21.83,116.8,Danio rerio
NEUR_8020,Hippocampus,115.33,32.81,Mus musculus
NEUR_2712,Hypothalamus,90.52,69.22,Danio rerio
NEUR_7731,Striatum,109.65,82.88,Macaca mulatta
NEUR_2786,Amygdala,97.55,23.06,Macaca mulatta
NEUR_2416,Thalamus,147.54,111.68,Macaca mulatta
NEUR_9026,Cortex,118.1,16.85,Rattus norvegicus
NEUR_4764,Hypothalamus,131.06,56.91,Danio rerio
NEUR_7957,Amygdala,54.45,77.15,Mus musculus
NEUR_9763,Cortex,27.1,43.51,Macaca mulatta
NEUR_2601,Hippocampus,66.94,75.4,Macaca mulatta
NEUR_7051,Amygdala,78.22,117.8,Rattus norvegicus
NEUR_5508,Cerebellum,113.85,62.48,Mus musculus
NEUR_1088,Cortex,100.72,83.25,Danio rerio
NEUR_3331,Thalamus,133.54,65.75,Rattus norvegicus
