neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_8339,Striatum,129.7,103.85,Macaca mulatta
NEUR_6145,Cortex,52.58,77.58,Danio rerio
NEUR_7618,Hippocampus,10.95,79.6,Rattus norvegicus
NEUR_5248,Striatum,48.88,28.41,Mus musculus
NEUR_6512,Striatum,22.15,81.95,Mus musculus
NEUR_5088,Amygdala,24.53,59.06,Rattus norvegicus
NEUR_3470,Hypothalamus,2.31,62.03,Danio rerio
NEUR_7576,Hypothalamus,141.47,27.1,Danio rerio
NEUR_3172,Cerebellum,114.74,85.5,Mus musculus
NEUR_5402,Cerebellum,14.17,81.08,Rattus norvegicus
NEUR_2639,Hippocampus,109.42,99.09,Rattus norvegicus
NEUR_7363,Striatum,32.0,54.23,Mus musculus
NEUR_7568,Cortex,96.9,46.32,Mus musculus
NEUR_7765,Hippocampus,127.19,72.94,Rattus norvegicus
NEUR_4003,Amygdala,114.3,48.62,Rattus norvegicus
NEUR_8556,Thalamus,45.53,59.26,Rattus norvegicus
NEUR_9068,Cerebellum,31.02,70.08,Danio rerio
NEUR_5197,Cortex,134.42,77.8,Macaca mulatta
NEUR_3504,Cerebellum,99.43,11.5,Danio rerio
NEUR_7044,Amygdala,20.9,51.59,Mus musculus
NEUR_6189,Amygdala,91.05,86.68,Danio rerio
NEUR_3752,Cerebellum,77.47,89.09,Danio rerio
NEUR_6702,Thalamus,54.06,65.29,Mus musculus
NEUR_2313,Hypothalamus,19.59,74.16,Mus musculus
NEUR_1302,Striatum,22.01,84.48,Macaca mulatta
NEUR_8435,Striatum,11.4,63.93,Macaca mulatta
NEUR_6909,Amygdala,41.27,71.59,Danio rerio
NEUR_1492,Hippocampus,70.65,32.82,Mus musculus
NEUR_3677,Thalamus,118.23,28.92,Danio rerio
NEUR_6260,Cerebellum,97.76,37.69,Danio rerio
NEUR_7871,Amygdala,9.63,33.07,Rattus norvegicus
NEUR_5044,Striatum,74.88,88.55,Macaca mulatta
NEUR_6493,Cortex,145.29,112.38,Danio rerio
NEUR_3080,Hippocampus,46.24,114.62,Macaca mulatta
NEUR_2730,Cerebellum,140.69,98.88,Mus musculus
NEUR_7958,Thalamus,116.13,44.03,Danio rerio
