neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_1394,Cerebellum,66.58,105.34,Macaca mulatta
NEUR_6638,Thalamus,101.89,79.67,Macaca mulatta
NEUR_5333,Cortex,17.04,89.6,Danio rerio
NEUR_8560,Thalamus,82.59,40.79,Rattus norvegicus
NEUR_4055,Striatum,26.4,98.79,Macaca mulatta
NEUR_2964,Cortex,22.5,104.59,Mus musculus
NEUR_6548,Cerebellum,4.54,40.64,Mus musculus
NEUR_9050,Amygdala,51.64,99.34,Rattus norvegicus
NEUR_4419,Cortex,74.31,110.94,Mus musculus
NEUR_5406,Thalamus,26.04,11.71,Rattus norvegicus
NEUR_5810,Amygdala,23.97,88.46,Mus musculus
NEUR_6699,Striatum,127.2,27.55,Danio rerio
NEUR_5573,Striatum,113.85,60.19,Macaca mulatta
NEUR_4087,Cerebellum,130.37,72.08,Macaca mulatta
NEUR_9120,Cortex,13.76,109.32,Mus musculus
NEUR_4527,Cortex,139.14,101.1,Macaca mulatta
NEUR_3066,Cerebellum,48.21,103.22,Macaca mulatta
NEUR_6212,Cortex,95.53,65.86,Rattus norvegicus
NEUR_8916,Thalamus,118.59,106.19,Macaca mulatta
NEUR_8739,Hypothalamus,5.82,40.25,Danio rerio
NEUR_1011,Hypothalamus,148.31,33.87,Mus musculus
NEUR_1876,Hypothalamus,125.54,26.4,Danio rerio
NEUR_2540,Amygdala,39.85,15.08,Danio rerio
NEUR_8154,Thalamus,56.23,75.75,Danio rerio
NEUR_5698,Cerebellum,86.33,85.94,Danio rerio
NEUR_4438,Hypothalamus,48.63,115.78,Rattus norvegicus
NEUR_8950,Hypothalamus,138.48,119.5,Mus musculus
NEUR_8861,Cerebellum,18.37,40.76,Mus musculus
NEUR_6887,Amygdala,96.1,52.06,Rattus norvegicus
NEUR_3545,Amygdala,129.55,49.97,Mus musculus
NEUR_4400,Cerebellum,22.9,28.8,Rattus norvegicus
NEUR_6978,Striatum,147.82,58.25,Rattus norvegicus
NEUR_9651,Striatum,22.31,82.89,Macaca mulatta
NEUR_4072,Cortex,139.19,31.61,Danio rerio
NEUR_5791,Hippocampus,27.55,68.12,Danio rerio
NEUR_1508,Amygdala,94.49,99.0,Danio rerio
NEUR_2376,Cortex,147.64,30.65,Macaca mulatta
NEUR_2310,Hypothalamus,128.37,49.65,Mus musculus
NEUR_1431,Striatum,16.29,78.08,Mus musculus
NEUR_1053,Cerebellum,125.64,65.03,Danio rerio
NEUR_8488,Striatum,90.62,17.18,Danio rerio
NEUR_8938,Cortex,7.47,86.11,Rattus norvegicus
NEUR_7478,Hypothalamus,29.7,117.42,Macaca mulatta
NEUR_6958,Hypothalamus,65.09,92.61,Mus musculus
NEUR_5094,Striatum,45.85,113.27,Mus musculus
NEUR_4941,Amygdala,122.44,111.71,Danio rerio
NEUR_5519,Hippocampus,94.86,102.11,Mus musculus
NEUR_3685,Cortex,19.17,54.45,Mus musculus
NEUR_1808,Cortex,2.05,112.82,Mus musculus
NEUR_8981,Thalamus,46.14,24.14,Danio rerio
NEUR_5006,Striatum,116.9,114.88,Mus musculus
NEUR_8328,Hippocampus,47.66,19.33,Macaca mulatta
NEUR_2966,Hypothalamus,91.07,45.49,Rattus norvegicus
NEUR_5672,Amygdala,46.82,82.67,Danio rerio
NEUR_2515,Hippocampus,130.33,61.29,Macaca mulatta
NEUR_4590,Hypothalamus,10.5,52.08,Danio rerio
NEUR_7974,Hypothalamus,78.83,42.01,Rattus norvegicus
NEUR_5965,Striatum,9.35,74.55,Rattus norvegicus
NEUR_9918,Cerebellum,9.35,49.56,Macaca mulatta
NEUR_4280,Striatum,86.16,44.72,Mus musculus
NEUR_5956,Hypothalamus,88.5,40.4,Danio rerio
NEUR_7658,Hypothalamus,59.84,26.31,Danio rerio
NEUR_7162,Amygdala,30.82,104.88,Mus musculus
NEUR_6350,Striatum,69.25,98.67,Macaca mulatta
NEUR_9224,Thalamus,52.49,94.27,Rattus norvegicus
NEUR_3276,Hypothalamus,85.1,51.46,Rattus norvegicus
NEUR_7025,Thalamus,110.76,107.3,Macaca mulatta
NEUR_8011,Thalamus,98.21,14.94,Danio rerio
NEUR_9639,Cortex,93.27,104.47,Rattus norvegicus
NEUR_6918,Thalamus,81.02,76.41,Mus musculus
NEUR_9690,Hypothalamus,107.0,45.88,Macaca mulatta
NEUR_6412,Hypothalamus,29.37,108.77,Danio rerio
NEUR_7535,Cerebellum,110.46,97.31,Rattus norvegicus
NEUR_3030,Thalamus,70.77,41.14,Mus musculus
NEUR_3193,Hippocampus,92.34,79.28,Macaca mulatta
NEUR_6227,Amygdala,117.9,99.22,Macaca mulatta
NEUR_9060,Hypothalamus,104.07,85.26,Mus musculus
NEUR_9134,Thalamus,81.83,77.57,Macaca mulatta
NEUR_4583,Striatum,60.26,63.0,Rattus norvegicus
NEUR_4463,Cortex,102.69,97.33,Macaca mulatta
NEUR_4300,Thalamus,4.2,30.02,Rattus norvegicus
NEUR_5348,Thalamus,131.45,62.01,Mus musculus
