neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_9024,Hypothalamus,55.17,17.71,Macaca mulatta
NEUR_3917,Thalamus,66.06,91.92,Mus musculus
NEUR_5614,Hypothalamus,61.58,36.34,Macaca mulatta
NEUR_7761,Hypothalamus,89.01,103.13,Rattus norvegicus
NEUR_1473,Striatum,61.09,59.53,Mus musculus
NEUR_8105,Cortex,58.6,103.0,Mus musculus
NEUR_5284,Hypothalamus,43.4,32.63,Danio rerio
NEUR_2840,Thalamus,15.14,12.62,Mus musculus
NEUR_8780,Hypothalamus,105.65,113.87,Macaca mulatta
NEUR_7778,Amygdala,138.48,30.5,Danio rerio
NEUR_5321,Cerebellum,13.3,115.27,Danio rerio
NEUR_4424,Striatum,18.61,109.18,Rattus norvegicus
NEUR_6372,Amygdala,12.94,95.63,Danio rerio
NEUR_9878,Cerebellum,115.82,90.43,Rattus norvegicus
NEUR_3948,Striatum,128.54,91.76,Mus musculus
NEUR_9461,Striatum,11.34,73.64,Mus musculus
NEUR_2740,Hypothalamus,125.98,86.12,Macaca mulatta
NEUR_3403,Cerebellum,63.98,100.13,Macaca mulatta
NEUR_9579,Striatum,143.73,110.98,Rattus norvegicus
NEUR_6493,Amygdala,23.93,45.31,Mus musculus
NEUR_1672,Thalamus,71.14,49.07,Rattus norvegicus
NEUR_4096,Thalamus,149.52,26.9,Rattus norvegicus
NEUR_1085,Thalamus,129.78,92.88,Macaca mulatta
NEUR_5566,Cerebellum,144.3,23.98,Mus musculus
NEUR_6634,Striatum,96.24,18.27,Rattus norvegicus
NEUR_1642,Amygdala,71.15,56.77,Macaca mulatta
NEUR_3464,Striatum,84.84,29.46,Mus musculus
NEUR_1363,Hippocampus,31.5,59.37,Macaca mulatta
NEUR_3637,Amygdala,52.98,41.46,Macaca mulatta
NEUR_4832,Striatum,96.66,91.75,Macaca mulatta
NEUR_4417,Striatum,16.64,16.52,Macaca mulatta
NEUR_3834,Hypothalamus,1.67,111.52,Mus musculus
NEUR_8391,Amygdala,143.72,113.12,Danio rerio
NEUR_3987,Cortex,143.68,48.6,Rattus norvegicus
NEUR_4735,Hippocampus,128.01,59.73,Danio rerio
NEUR_9724,Thalamus,87.45,97.02,Rattus norvegicus
NEUR_3484,Cortex,106.89,61.17,Rattus norvegicus
NEUR_2114,Amygdala,120.82,96.62,Mus musculus
NEUR_3075,Hypothalamus,11.06,101.31,Danio rerio
NEUR_2945,Amygdala,112.51,93.08,Mus musculus
NEUR_7385,Cerebellum,108.07,18.43,Danio rerio
NEUR_7921,Cortex,122.72,25.81,Macaca mulatta
NEUR_6780,Hippocampus,37.16,102.51,Rattus norvegicus
NEUR_3727,Cerebellum,10.02,69.66,Mus musculus
NEUR_3910,Amygdala,39.56,84.44,Danio rerio
NEUR_5516,Cerebellum,47.8,102.46,Mus musculus
NEUR_2806,Hypothalamus,104.24,84.3,Macaca mulatta
NEUR_1857,Thalamus,138.75,111.61,Rattus norvegicus
NEUR_5024,Cortex,58.6,30.45,Danio rerio
NEUR_9715,Cortex,149.45,44.68,Danio rerio
NEUR_2915,Cortex,148.75,102.49,Rattus norvegicus
NEUR_4539,Cortex,123.72,88.21,Rattus norvegicus
NEUR_2847,Hippocampus,8.36,67.77,Rattus norvegicus
NEUR_1096,Hippocampus,138.69,57.14,Danio rerio
NEUR_8232,Cortex,89.18,36.44,Rattus norvegicus
NEUR_3614,Hippocampus,136.44,44.51,Mus musculus
NEUR_9947,Hippocampus,108.39,103.96,Mus musculus
NEUR_5455,Hypothalamus,100.53,50.21,Macaca mulatta
NEUR_8440,Thalamus,72.9,104.45,Mus musculus
NEUR_8685,Striatum,77.11,55.63,Rattus norvegicus
NEUR_7232,Amygdala,33.81,80.12,Danio rerio
NEUR_9028,Cortex,110.25,13.25,Danio rerio
NEUR_4952,Cortex,4.99,44.9,Mus musculus
NEUR_9339,Cerebellum,2.49,108.04,Danio rerio
NEUR_6688,Cortex,97.23,113.09,Mus musculus
NEUR_9323,Cortex,80.64,37.3,Rattus norvegicus
NEUR_6198,Cerebellum,116.49,22.05,Macaca mulatta
NEUR_9807,Striatum,146.95,56.69,Mus musculus
NEUR_6349,Cerebellum,50.29,16.7,Danio rerio
NEUR_1643,Amygdala,134.6,119.79,Macaca mulatta
NEUR_7813,Thalamus,136.03,20.22,Danio rerio
NEUR_2210,Cerebellum,124.77,109.4,Mus musculus
NEUR_1341,Cortex,30.27,36.92,Rattus norvegicus
NEUR_3468,Hypothalamus,61.17,31.69,Danio rerio
NEUR_6256,Thalamus,11.42,57.31,Danio rerio
NEUR_4807,Thalamus,90.87,42.09,Macaca mulatta
NEUR_1117,Thalamus,2.62,30.27,Danio rerio
NEUR_4968,Amygdala,104.19,108.79,Mus musculus
NEUR_4790,Cortex,49.08,15.05,Mus musculus
NEUR_3804,Striatum,71.83,28.66,Mus musculus
NEUR_8471,Hippocampus,124.57,115.11,Rattus norvegicus
NEUR_7545,Thalamus,49.26,67.77,Macaca mulatta
NEUR_5228,Cerebellum,87.57,18.18,Rattus norvegicus
NEUR_2793,Hippocampus,86.95,38.86,Danio rerio
NEUR_6448,Thalamus,64.21,55.59,Danio rerio
NEUR_4063,Striatum,120.83,57.66,Macaca mulatta
NEUR_6552,Cortex,125.47,76.3,Macaca mulatta
NEUR_8919,Amygdala,10.81,95.33,Macaca mulatta
NEUR_5172,Hippocampus,115.25,54.98,Macaca mulatta
NEUR_6908,Hippocampus,111.38,88.21,Macaca mulatta
NEUR_7673,Cortex,43.86,108.24,Macaca mulatta
NEUR_6569,Thalamus,2.71,57.22,Macaca mulatta
NEUR_8958,Amygdala,97.27,65.25,Macaca mulatta
NEUR_8907,Hippocampus,132.21,84.59,Rattus norvegicus
NEUR_2265,Thalamus,11.03,28.92,Macaca mulatta
NEUR_2702,Hippocampus,22.52,114.76,Rattus norvegicus
NEUR_7741,Striatum,58.43,72.71,Rattus norvegicus
NEUR_4994,Cerebellum,107.08,48.92,Danio rerio
NEUR_5544,Cerebellum,131.85,44.49,Macaca mulatta
NEUR_3467,Cerebellum,128.28,39.0,Danio rerio
NEUR_4674,Cortex,36.85,112.42,Rattus norvegicus
NEUR_4232,Hypothalamus,92.13,16.86,Danio rerio
NEUR_5750,Hypothalamus,47.08,16.9,Danio rerio
NEUR_4399,Thalamus,146.51,19.06,Mus musculus
NEUR_4848,Cortex,147.08,84.15,Rattus norvegicus
NEUR_4990,Cerebellum,20.67,57.9,Rattus norvegicus
NEUR_5593,Hippocampus,126.81,111.99,Macaca mulatta
NEUR_6262,Thalamus,72.67,40.7,Macaca mulatta
NEUR_4525,Hypothalamus,7.91,28.24,Danio rerio
NEUR_7650,Striatum,140.25,26.03,Danio rerio
NEUR_4003,Hypothalamus,104.26,42.81,Macaca mulatta
NEUR_9983,Hippocampus,133.66,107.43,Macaca mulatta
NEUR_9403,Amygdala,130.27,34.52,Macaca mulatta
NEUR_7566,Cerebellum,34.69,35.18,Macaca mulatta
NEUR_1192,Striatum,14.62,83.37,Rattus norvegicus
NEUR_4716,Amygdala,4.82,81.6,Rattus norvegicus
NEUR_1091,Amygdala,15.16,63.97,Mus musculus
NEUR_9531,Cortex,112.84,90.9,Danio rerio
NEUR_5452,Hippocampus,78.22,69.2,Danio rerio
NEUR_8606,Striatum,137.36,88.83,Mus musculus
NEUR_5604,Cortex,122.99,93.63,Macaca mulatta
NEUR_7380,Hippocampus,41.66,49.85,Rattus norvegicus
NEUR_4273,Cortex,48.81,98.75,Rattus norvegicus
NEUR_7632,Cerebellum,115.7,36.49,Macaca mulatta
NEUR_4719,Cortex,136.15,62.95,Macaca mulatta
NEUR_5994,Thalamus,63.96,20.2,Macaca mulatta
NEUR_9148,Thalamus,28.49,47.12,Danio rerio
NEUR_7771,Amygdala,148.93,14.21,Mus musculus
NEUR_8615,Hypothalamus,86.02,46.76,Macaca mulatta
NEUR_3970,Thalamus,82.18,78.95,Macaca mulatta
NEUR_9239,Amygdala,80.79,28.19,Macaca mulatta
NEUR_8020,Hypothalamus,67.37,33.41,Rattus norvegicus
NEUR_5080,Hypothalamus,35.77,108.83,Macaca mulatta
NEUR_1397,Amygdala,36.38,19.23,Danio rerio
NEUR_4318,Cortex,126.3,115.19,Macaca mulatta
NEUR_3262,Thalamus,128.98,59.73,Mus musculus
NEUR_2505,Striatum,2.23,84.09,Macaca mulatta
NEUR_5172,Hypothalamus,90.31,12.41,Macaca mulatta
NEUR_1450,Hippocampus,104.59,54.41,Macaca mulatta
NEUR_2947,Striatum,32.32,60.9,Mus musculus
NEUR_6334,Thalamus,90.22,69.4,Mus musculus
NEUR_4529,Cerebellum,14.52,118.97,Danio rerio
NEUR_8674,Cortex,115.17,42.61,Macaca mulatta
NEUR_9575,Hypothalamus,106.51,107.72,Macaca mulatta
NEUR_9383,Cortex,67.26,114.56,Danio rerio
NEUR_9648,Cortex,146.41,102.44,Macaca mulatta
NEUR_6138,Striatum,84.51,49.17,Danio rerio
NEUR_1004,Cortex,23.12,18.68,Mus musculus
NEUR_9607,Cerebellum,28.54,26.6,Macaca mulatta
NEUR_3333,Thalamus,134.6,111.13,Rattus norvegicus
NEUR_6017,Thalamus,65.27,18.23,Danio rerio
NEUR_8679,Thalamus,27.2,110.39,Rattus norvegicus
NEUR_5245,Cerebellum,19.57,99.0,Danio rerio
NEUR_6354,Amygdala,20.15,37.31,Macaca mulatta
NEUR_8283,Striatum,44.53,76.2,Rattus norvegicus
NEUR_5260,Hypothalamus,62.5,39.96,Macaca mulatta
NEUR_6496,Hippocampus,64.1,56.57,Rattus norvegicus
NEUR_8835,Cerebellum,88.31,67.76,Danio rerio
NEUR_3864,Striatum,96.04,90.63,Macaca mulatta
NEUR_5434,Thalamus,92.21,76.05,Danio rerio
NEUR_6991,Cerebellum,89.41,91.01,Mus musculus
NEUR_4613,Amygdala,140.22,54.76,Rattus norvegicus
NEUR_9779,Cortex,143.39,93.99,Macaca mulatta
NEUR_4837,Thalamus,65.82,36.63,Macaca mulatta
NEUR_2418,Amygdala,134.41,34.17,Rattus norvegicus
NEUR_7682,Hypothalamus,31.15,106.97,Mus musculus
NEUR_8576,Hippocampus,145.87,63.5,Macaca mulatta
NEUR_3486,Striatum,135.04,85.95,Danio rerio
NEUR_2880,Hippocampus,62.52,36.86,Macaca mulatta
NEUR_7497,Cerebellum,142.01,80.77,Rattus norvegicus
NEUR_7473,Amygdala,21.09,90.93,Rattus norvegicus
NEUR_9251,Thalamus,147.41,19.74,Rattus norvegicus
NEUR_6103,Cerebellum,35.62,63.64,Rattus norvegicus
NEUR_6468,Hypothalamus,85.41,52.01,Danio rerio
NEUR_1068,Amygdala,30.94,64.3,Rattus norvegicus
NEUR_7190,Cortex,114.15,12.34,Rattus norvegicus
NEUR_8784,Cerebellum,67.02,45.49,Macaca mulatta
NEUR_2305,Thalamus,33.62,59.23,Rattus norvegicus
NEUR_8151,Hypothalamus,79.89,99.0,Rattus norvegicus
NEUR_4074,Thalamus,91.65,95.35,Rattus norvegicus
NEUR_2771,Cerebellum,1.88,106.09,Rattus norvegicus
NEUR_6549,Hypothalamus,32.32,30.03,Danio rerio
NEUR_5761,Cortex,131.33,100.66,Macaca mulatta
NEUR_6290,Cerebellum,21.27,90.11,Macaca mulatta
NEUR_2292,Striatum,7.89,99.11,Macaca mulatta
NEUR_9320,Cerebellum,76.81,69.75,Mus musculus
NEUR_7710,Cortex,115.13,49.81,Mus musculus
NEUR_9407,Thalamus,139.39,25.17,Danio rerio
NEUR_1513,Amygdala,96.6,20.92,Mus musculus
NEUR_9876,Striatum,32.66,35.14,Mus musculus
NEUR_6524,Thalamus,92.93,23.32,Rattus norvegicus
NEUR_2255,Cortex,130.11,42.71,Macaca mulatta
NEUR_3081,Hippocampus,128.04,97.27,Macaca mulatta
NEUR_8259,Cortex,140.58,108.83,Rattus norvegicus
NEUR_3075,Thalamus,82.5,110.17,Macaca mulatta
NEUR_9684,Amygdala,148.45,50.37,Rattus norvegicus
NEUR_4578,Striatum,78.9,45.89,Rattus norvegicus
NEUR_8366,Hypothalamus,125.36,87.69,Mus musculus
NEUR_4293,Thalamus,125.64,67.39,Danio rerio
NEUR_1822,Thalamus,142.92,60.65,Macaca mulatta
NEUR_3480,Hippocampus,48.46,30.38,Danio rerio
NEUR_1297,Striatum,105.14,96.06,Rattus norvegicus
NEUR_8706,Hippocampus,140.08,88.99,Mus musculus
NEUR_9711,Thalamus,114.95,13.6,Danio rerio
NEUR_8542,Hippocampus,49.46,119.54,Danio rerio
NEUR_1564,Hypothalamus,120.01,58.05,Mus musculus
NEUR_3344,Cerebellum,62.15,82.62,Rattus norvegicus
NEUR_7901,Thalamus,34.39,118.27,Mus musculus
NEUR_2763,Striatum,4.7,31.81,Danio rerio
NEUR_3786,Hypothalamus,136.31,20.87,Macaca mulatta
NEUR_7846,Striatum,24.3,69.05,Mus musculus
NEUR_6566,Hypothalamus,20.49,41.64,Mus musculus
NEUR_3616,Striatum,95.44,89.39,Mus musculus
NEUR_1682,Hypothalamus,23.56,65.47,Rattus norvegicus
NEUR_5377,Amygdala,11.11,52.39,Macaca mulatta
NEUR_7339,Hippocampus,81.27,48.0,Danio rerio
NEUR_8477,Hypothalamus,13.2,70.61,Macaca mulatta
NEUR_9632,Thalamus,76.01,58.25,Macaca mulatta
NEUR_3845,Cerebellum,50.31,92.19,Mus musculus
NEUR_5487,Amygdala,143.6,109.7,Rattus norvegicus
NEUR_1240,Hippocampus,30.05,87.69,Danio rerio
NEUR_8659,Thalamus,50.12,46.02,Rattus norvegicus
NEUR_5078,Cerebellum,147.11,85.35,Macaca mulatta
NEUR_2817,Hypothalamus,137.19,75.77,Mus musculus
NEUR_7243,Cortex,33.65,56.38,Mus musculus
NEUR_7795,Thalamus,66.89,103.03,Macaca mulatta
NEUR_9334,Hippocampus,145.73,111.92,Rattus norvegicus
NEUR_1594,Hypothalamus,69.01,14.66,Mus musculus
