neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_8437,Thalamus,80.86,51.11,Danio rerio
NEUR_6937,Cerebellum,148.92,107.09,Danio rerio
NEUR_4718,Cerebellum,44.69,60.83,Mus musculus
NEUR_3996,Striatum,66.62,50.67,Danio rerio
NEUR_9049,Cerebellum,66.13,77.15,Mus musculus
NEUR_9509,Thalamus,64.15,47.51,Macaca mulatta
NEUR_2370,Amygdala,84.83,117.93,Rattus norvegicus
NEUR_1766,Cortex,78.32,99.67,Macaca mulatta
NEUR_1509,Cerebellum,33.94,56.14,Mus musculus
NEUR_6693,Hippocampus,71.76,103.99,Macaca mulatta
NEUR_6028,Cerebellum,29.95,82.64,Danio rerio
NEUR_2740,Amygdala,26.96,109.97,Danio rerio
NEUR_1933,Hippocampus,63.78,69.47,Mus musculus
NEUR_4575,Cortex,135.49,82.75,Danio rerio
NEUR_8612,Thalamus,89.25,59.68,Mus musculus
NEUR_6422,Amygdala,22.8,74.91,Macaca mulatta
NEUR_1471,Amygdala,31.01,101.05,Danio rerio
NEUR_7283,Cortex,93.71,65.08,Rattus norvegicus
NEUR_9235,Striatum,124.8,39.95,Rattus norvegicus
NEUR_5738,Cortex,32.76,95.82,Macaca mulatta
NEUR_7072,Cortex,88.8,23.88,Danio rerio
NEUR_3295,Cortex,10.19,13.9,Danio rerio
NEUR_7710,Cerebellum,54.41,87.32,Mus musculus
NEUR_3983,Thalamus,146.85,43.27,Rattus norvegicus
NEUR_7120,Hippocampus,60.87,29.4,Mus musculus
NEUR_6299,Striatum,48.94,99.84,Macaca mulatta
NEUR_8118,Amygdala,1.98,56.72,Macaca mulatta
NEUR_2892,Hippocampus,43.01,66.77,Mus musculus
NEUR_1190,Amygdala,87.67,50.62,Mus musculus
NEUR_6524,Striatum,127.48,53.98,Mus musculus
NEUR_3145,Hippocampus,65.56,98.04,Danio rerio
NEUR_9200,Thalamus,40.55,65.56,Mus musculus
NEUR_2562,Hippocampus,1.86,59.68,Macaca mulatta
NEUR_1206,Hippocampus,120.71,61.14,Danio rerio
NEUR_1657,Cerebellum,78.42,91.93,Macaca mulatta
NEUR_6631,Striatum,109.92,34.56,Danio rerio
NEUR_6329,Thalamus,46.8,102.37,Danio rerio
NEUR_7830,Cortex,102.37,28.75,Danio rerio
NEUR_3099,Amygdala,113.68,119.72,Macaca mulatta
NEUR_3991,Hypothalamus,102.88,64.23,Danio rerio
NEUR_3648,Cortex,93.28,41.2,Rattus norvegicus
NEUR_9072,Striatum,5.05,11.56,Danio rerio
NEUR_9216,Amygdala,0.1,36.64,Rattus norvegicus
NEUR_1573,Hypothalamus,122.04,78.86,Mus musculus
NEUR_9516,Thalamus,83.37,10.77,Rattus norvegicus
NEUR_8368,Cortex,0.94,113.14,Macaca mulatta
NEUR_8975,Striatum,64.94,28.61,Rattus norvegicus
NEUR_5986,Cerebellum,22.68,53.21,Macaca mulatta
NEUR_1768,Amygdala,32.35,20.64,Mus musculus
NEUR_9637,Cortex,134.3,84.99,Mus musculus
NEUR_3173,Thalamus,122.48,60.63,Macaca mulatta
NEUR_2257,Cortex,27.67,41.35,Danio rerio
NEUR_4211,Hypothalamus,72.9,116.7,Macaca mulatta
NEUR_1449,Amygdala,35.73,68.4,Mus musculus
NEUR_3983,Cortex,108.04,94.52,Rattus norvegicus
NEUR_5636,Amygdala,79.91,108.82,Rattus norvegicus
NEUR_3838,Hippocampus,94.79,111.65,Mus musculus
NEUR_1847,Thalamus,86.72,40.79,Rattus norvegicus
NEUR_8639,Thalamus,22.1,15.65,Macaca mulatta
NEUR_3226,Amygdala,56.51,111.04,Danio rerio
NEUR_8187,Cortex,10.4,82.27,Danio rerio
NEUR_4207,Cerebellum,118.65,67.37,Danio rerio
NEUR_7403,Thalamus,59.21,44.14,Rattus norvegicus
NEUR_5593,Cerebellum,144.32,102.14,Danio rerio
NEUR_9367,Cerebellum,49.89,115.38,Rattus norvegicus
NEUR_8964,Hippocampus,115.99,92.13,Mus musculus
NEUR_3711,Striatum,34.93,14.08,Mus musculus
NEUR_1268,Amygdala,93.39,107.31,Rattus norvegicus
NEUR_8289,Striatum,134.45,93.14,Danio rerio
NEUR_2497,Striatum,10.54,64.17,Mus musculus
NEUR_7812,Amygdala,148.11,108.79,Rattus norvegicus
NEUR_2386,Hypothalamus,3.56,63.58,Rattus norvegicus
NEUR_1941,Thalamus,33.88,37.98,Macaca mulatta
NEUR_6886,Hippocampus,34.23,35.05,Macaca mulatta
NEUR_1297,Striatum,92.9,35.92,Danio rerio
NEUR_8756,Cerebellum,10.24,34.41,Macaca mulatta
NEUR_3402,Cerebellum,108.7,56.46,Mus musculus
NEUR_6336,Hypothalamus,76.76,61.53,Macaca mulatta
NEUR_9559,Cerebellum,28.17,109.88,Mus musculus
NEUR_9745,Striatum,109.68,72.78,Danio rerio
NEUR_6019,Amygdala,5.85,11.02,Danio rerio
NEUR_3965,Cortex,20.72,87.96,Rattus norvegicus
NEUR_1369,Hypothalamus,138.38,43.01,Rattus norvegicus
NEUR_9584,Cerebellum,17.15,66.14,Danio rerio
NEUR_6585,Hypothalamus,123.15,84.89,Rattus norvegicus
NEUR_7392,Thalamus,35.07,36.16,Danio rerio
NEUR_8912,Thalamus,80.12,39.83,Macaca mulatta
NEUR_7039,Cortex,28.27,31.65,Rattus norvegicus
NEUR_2253,Cerebellum,42.02,39.01,Mus musculus
NEUR_9019,Hippocampus,47.12,47.31,Mus musculus
NEUR_7502,Cerebellum,37.51,82.15,Macaca mulatta
NEUR_5553,Striatum,69.66,86.15,Macaca mulatta
NEUR_6547,Hippocampus,130.46,22.89,Mus musculus
NEUR_7898,Cerebellum,33.46,75.21,Mus musculus
NEUR_7467,Cortex,28.58,10.78,Macaca mulatta
NEUR_9209,Thalamus,68.19,14.33,Danio rerio
NEUR_7881,Hippocampus,56.66,58.44,Mus musculus
NEUR_3574,Amygdala,2.9,112.41,Rattus norvegicus
NEUR_2038,Striatum,145.1,107.69,Macaca mulatta
NEUR_7835,Cerebellum,148.79,64.61,Macaca mulatta
NEUR_2742,Amygdala,105.57,15.35,Macaca mulatta
NEUR_6768,Thalamus,2.68,116.77,Rattus norvegicus
NEUR_3530,Hippocampus,125.95,107.1,Macaca mulatta
NEUR_9509,Amygdala,125.41,83.87,Macaca mulatta
NEUR_8118,Amygdala,35.62,106.18,Mus musculus
NEUR_2833,Cortex,95.38,76.88,Rattus norvegicus
NEUR_8951,Hippocampus,94.36,78.28,Macaca mulatta
NEUR_3759,Hypothalamus,36.04,109.71,Rattus norvegicus
NEUR_7295,Hippocampus,69.8,103.2,Mus musculus
NEUR_9719,Thalamus,36.22,116.66,Mus musculus
NEUR_1968,Hypothalamus,131.39,52.81,Mus musculus
NEUR_9443,Amygdala,23.43,95.47,Mus musculus
NEUR_1107,Cerebellum,88.06,103.7,Mus musculus
NEUR_9291,Cerebellum,103.56,98.2,Danio rerio
NEUR_2498,Striatum,23.91,101.14,Rattus norvegicus
NEUR_7739,Cerebellum,71.56,74.96,Macaca mulatta
NEUR_6509,Hippocampus,122.14,28.41,Rattus norvegicus
NEUR_1067,Cerebellum,45.87,86.4,Mus musculus
NEUR_4814,Striatum,125.61,108.66,Macaca mulatta
NEUR_3411,Cortex,130.28,92.79,Mus musculus
NEUR_5222,Cortex,145.95,16.78,Rattus norvegicus
NEUR_3900,Striatum,129.33,37.34,Macaca mulatta
NEUR_6029,Hippocampus,142.81,28.9,Danio rerio
NEUR_3943,Amygdala,113.94,101.0,Macaca mulatta
NEUR_7176,Amygdala,28.55,74.7,Rattus norvegicus
NEUR_4354,Thalamus,14.86,67.07,Mus musculus
NEUR_9015,Amygdala,83.64,38.98,Mus musculus
NEUR_8894,Cortex,7.36,22.86,Rattus norvegicus
NEUR_7444,Amygdala,67.01,48.42,Mus musculus
NEUR_3671,Striatum,80.08,93.23,Rattus norvegicus
