neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_8142,Cortex,91.93,81.27,Rattus norvegicus
NEUR_4846,Hypothalamus,35.51,33.9,Macaca mulatta
NEUR_8637,Amygdala,133.46,113.18,Danio rerio
NEUR_7561,Thalamus,67.92,22.03,Macaca mulatta
NEUR_5839,Thalamus,126.14,107.87,Mus musculus
NEUR_9921,Amygdala,82.2,22.35,Danio rerio
NEUR_6546,Hypothalamus,116.71,42.34,Danio rerio
NEUR_5361,Thalamus,87.94,92.86,Mus musculus
NEUR_6574,Cerebellum,31.13,97.63,Rattus norvegicus
NEUR_7504,Hippocampus,105.2,63.59,Mus musculus
NEUR_1312,Thalamus,115.03,33.03,Danio rerio
NEUR_4522,Hippocampus,17.52,68.06,Rattus norvegicus
NEUR_9986,Amygdala,90.65,50.25,Rattus norvegicus
NEUR_5237,Hypothalamus,16.46,107.89,Danio rerio
NEUR_9527,Amygdala,86.61,30.82,Mus musculus
NEUR_7888,Hippocampus,137.81,32.72,Danio rerio
NEUR_1008,Thalamus,132.19,91.43,Mus musculus
NEUR_3209,Hippocampus,76.3,59.04,Mus musculus
NEUR_8374,Thalamus,87.95,44.45,Danio rerio
NEUR_4219,Hypothalamus,117.37,24.27,Danio rerio
NEUR_5666,Hypothalamus,130.56,88.57,Mus musculus
NEUR_8815,Amygdala,97.71,30.17,Danio rerio
NEUR_8854,Hippocampus,117.35,92.73,Mus musculus
NEUR_2002,Hippocampus,16.35,10.55,Macaca mulatta
NEUR_1751,Cortex,5.7,61.69,Macaca mulatta
NEUR_5589,Thalamus,77.28,27.46,Macaca mulatta
NEUR_7617,Amygdala,136.42,106.98,Macaca mulatta
NEUR_4122,Cortex,108.44,61.76,Danio rerio
NEUR_3646,Thalamus,35.01,114.45,Danio rerio
NEUR_2806,Thalamus,21.03,14.16,Mus musculus
NEUR_6691,Hippocampus,30.88,17.56,Mus musculus
NEUR_3919,Cerebellum,45.97,57.91,Danio rerio
NEUR_1789,Thalamus,128.31,110.41,Macaca mulatta
NEUR_4307,Cerebellum,78.47,69.48,Rattus norvegicus
NEUR_5799,Hypothalamus,108.95,35.9,Mus musculus
NEUR_6843,Cortex,99.91,82.11,Mus musculus
NEUR_2289,Cerebellum,48.12,106.05,Macaca mulatta
NEUR_5022,Thalamus,116.89,32.55,Mus musculus
