neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_3774,Thalamus,134.43,56.73,Danio rerio
NEUR_8018,Hypothalamus,124.23,42.77,Macaca mulatta
NEUR_7488,Cortex,47.9,50.12,Rattus norvegicus
NEUR_9601,Thalamus,13.52,28.33,Macaca mulatta
NEUR_8513,Amygdala,120.65,101.01,Danio rerio
NEUR_1724,Cerebellum,93.22,68.46,Macaca mulatta
NEUR_8423,Striatum,22.6,19.23,Mus musculus
NEUR_5021,Hypothalamus,64.55,86.41,Danio rerio
NEUR_3112,Thalamus,16.29,17.79,Rattus norvegicus
NEUR_9694,Amygdala,142.83,53.45,Macaca mulatta
NEUR_6987,Hippocampus,43.53,106.53,Mus musculus
NEUR_6673,Hippocampus,107.34,81.69,Macaca mulatta
NEUR_9955,Striatum,148.95,59.22,Danio rerio
NEUR_7955,Thalamus,89.24,88.49,Mus musculus
NEUR_8975,Hippocampus,94.4,26.72,Mus musculus
NEUR_8691,Hypothalamus,73.18,21.86,Mus musculus
NEUR_2874,Striatum,109.19,113.52,Rattus norvegicus
NEUR_1891,Cerebellum,132.12,98.57,Danio rerio
NEUR_2678,Striatum,100.14,50.61,Rattus norvegicus
NEUR_2380,Striatum,107.45,40.8,Macaca mulatta
NEUR_9864,Hypothalamus,110.92,14.48,Mus musculus
NEUR_6372,Hippocampus,75.16,49.86,Rattus norvegicus
NEUR_1112,Amygdala,59.07,84.24,Rattus norvegicus
NEUR_5654,Amygdala,139.14,34.65,Rattus norvegicus
NEUR_9049,Cortex,73.76,104.4,Macaca mulatta
NEUR_8638,Cortex,3.09,41.97,Mus musculus
NEUR_3721,Thalamus,5.09,65.71,Danio rerio
NEUR_2368,Hypothalamus,40.17,89.95,Rattus norvegicus
NEUR_2068,Amygdala,95.86,37.71,Macaca mulatta
NEUR_6974,Thalamus,84.29,76.39,Danio rerio
NEUR_8215,Cerebellum,3.28,114.01,Rattus norvegicus
NEUR_3139,Striatum,110.73,57.59,Danio rerio
NEUR_9888,Thalamus,58.81,11.24,Macaca mulatta
NEUR_5695,Cortex,76.62,107.16,Danio rerio
NEUR_7720,Hippocampus,31.62,36.31,Rattus norvegicus
NEUR_7874,Amygdala,140.47,115.74,Danio rerio
NEUR_3141,Thalamus,90.17,114.41,Mus musculus
NEUR_3437,Cerebellum,130.57,61.72,Rattus norvegicus
NEUR_8957,Hypothalamus,55.31,102.98,Mus musculus
NEUR_2517,Hypothalamus,127.93,118.77,Macaca mulatta
NEUR_5700,Cerebellum,146.4,53.37,Macaca mulatta
NEUR_4900,Cortex,100.06,11.48,Macaca mulatta
NEUR_7286,Amygdala,3.23,17.79,Danio rerio
NEUR_4001,Cerebellum,65.53,32.12,Danio rerio
NEUR_2579,Thalamus,25.0,114.04,Macaca mulatta
NEUR_5128,Hypothalamus,111.17,106.87,Rattus norvegicus
NEUR_1971,Striatum,132.82,116.82,Danio rerio
NEUR_8955,Amygdala,59.43,52.66,Danio rerio
NEUR_6919,Cerebellum,87.95,74.26,Mus musculus
NEUR_5836,Cortex,92.43,111.71,Rattus norvegicus
NEUR_1617,Hippocampus,7.59,79.15,Rattus norvegicus
NEUR_1462,Cerebellum,9.93,12.06,Macaca mulatta
NEUR_9752,Hypothalamus,95.43,108.49,Rattus norvegicus
NEUR_3787,Cerebellum,118.12,87.39,Rattus norvegicus
NEUR_6855,Hypothalamus,135.53,76.2,Mus musculus
NEUR_4126,Cerebellum,45.73,91.68,Macaca mulatta
NEUR_5900,Thalamus,135.03,50.46,Danio rerio
NEUR_2979,Hypothalamus,111.88,82.1,Danio rerio
NEUR_7577,Hippocampus,149.99,92.5,Rattus norvegicus
NEUR_1412,Hippocampus,15.18,90.64,Rattus norvegicus
NEUR_6874,Striatum,17.33,10.94,Mus musculus
NEUR_2888,Hippocampus,121.9,69.51,Danio rerio
NEUR_1529,Amygdala,35.07,116.82,Macaca mulatta
NEUR_5966,Amygdala,120.25,103.39,Danio rerio
NEUR_9961,Cortex,24.02,20.28,Rattus norvegicus
NEUR_2757,Hippocampus,24.92,24.52,Mus musculus
NEUR_7501,Amygdala,46.72,93.31,Mus musculus
NEUR_9333,Hypothalamus,57.24,24.91,Macaca mulatta
NEUR_5301,Cortex,57.53,50.47,Macaca mulatta
NEUR_1295,Cortex,115.43,14.82,Mus musculus
NEUR_7194,Hypothalamus,12.04,29.4,Rattus norvegicus
NEUR_3672,Cerebellum,8.27,96.33,Rattus norvegicus
NEUR_3984,Striatum,35.05,38.91,Danio rerio
NEUR_9386,Cerebellum,75.12,94.12,Mus musculus
NEUR_3301,Amygdala,65.93,15.67,Mus musculus
NEUR_1292,Cortex,113.46,80.48,Macaca mulatta
NEUR_1840,Hypothalamus,6.24,55.85,Rattus norvegicus
NEUR_3951,Cortex,134.67,57.18,Macaca mulatta
NEUR_6024,Hippocampus,130.18,46.65,Macaca mulatta
NEUR_3344,Cerebellum,108.65,60.92,Macaca mulatta
NEUR_3320,Cortex,67.41,103.09,Mus musculus
NEUR_1768,Striatum,47.04,47.98,Danio rerio
NEUR_7114,Cerebellum,139.67,78.06,Danio rerio
NEUR_9940,Amygdala,15.9,17.67,Rattus norvegicus
NEUR_4777,Thalamus,52.64,85.56,Danio rerio
NEUR_1271,Cortex,90.9,68.04,Danio rerio
NEUR_8977,Hypothalamus,77.5,14.9,Mus musculus
NEUR_5850,Striatum,121.15,108.43,Macaca mulatta
NEUR_2268,Hippocampus,43.42,33.59,Macaca mulatta
NEUR_3245,Hippocampus,121.42,73.27,Danio rerio
NEUR_4264,Hypothalamus,111.35,105.35,Macaca mulatta
NEUR_8769,Hippocampus,133.08,10.59,Mus musculus
NEUR_1034,Cerebellum,58.77,24.22,Danio rerio
NEUR_2604,Hypothalamus,51.08,65.7,Danio rerio
NEUR_9910,Thalamus,55.64,107.07,Danio rerio
NEUR_4886,Striatum,128.1,76.86,Mus musculus
NEUR_7876,Cerebellum,29.21,26.52,Rattus norvegicus
NEUR_2186,Thalamus,15.99,31.85,Mus musculus
NEUR_9840,Cortex,45.3,44.91,Macaca mulatta
NEUR_5232,Thalamus,125.46,12.98,Macaca mulatta
NEUR_5007,Hippocampus,19.91,23.59,Mus musculus
NEUR_6148,Hippocampus,10.58,93.8,Danio rerio
NEUR_5304,Cortex,52.13,42.1,Rattus norvegicus
NEUR_9872,Amygdala,29.8,22.61,Mus musculus
NEUR_7689,Thalamus,59.92,112.0,Rattus norvegicus
NEUR_2458,Thalamus,128.21,35.41,Danio rerio
NEUR_5426,Hypothalamus,8.17,10.94,Danio rerio
NEUR_4968,Hypothalamus,29.45,68.18,Macaca mulatta
NEUR_7525,Hypothalamus,118.73,26.81,Rattus norvegicus
NEUR_5582,Cerebellum,54.31,118.42,Macaca mulatta
NEUR_7714,Hypothalamus,13.65,65.95,Rattus norvegicus
NEUR_8508,Amygdala,75.66,109.65,Rattus norvegicus
NEUR_9626,Amygdala,142.1,112.07,Mus musculus
NEUR_8094,Cerebellum,142.92,49.07,Mus musculus
NEUR_3398,Hypothalamus,90.77,64.58,Macaca mulatta
NEUR_1502,Cerebellum,62.14,21.46,Mus musculus
NEUR_5524,Striatum,57.68,112.73,Mus musculus
NEUR_1372,Striatum,100.98,76.9,Macaca mulatta
NEUR_5588,Hypothalamus,15.16,59.71,Rattus norvegicus
NEUR_2405,Cortex,98.62,53.32,Danio rerio
