neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_3215,Cortex,84.49,61.86,Danio rerio
NEUR_5263,Hippocampus,1.12,65.69,Macaca mulatta
NEUR_4024,Thalamus,39.08,49.79,Macaca mulatta
NEUR_2472,Amygdala,47.05,34.97,Mus musculus
NEUR_2354,Cortex,69.33,21.58,Macaca mulatta
NEUR_6372,Cortex,12.7,99.2,Mus musculus
NEUR_5338,Hippocampus,132.4,84.33,Macaca mulatta
NEUR_7855,Hypothalamus,91.14,58.72,Mus musculus
NEUR_8570,Cerebellum,44.5,59.73,Macaca mulatta
NEUR_9211,Cerebellum,140.49,37.68,Macaca mulatta
NEUR_6479,Hippocampus,124.7,102.93,Mus musculus
NEUR_5535,Amygdala,42.4,48.1,Macaca mulatta
NEUR_8831,Hippocampus,124.15,102.36,Rattus norvegicus
NEUR_1554,Amygdala,127.59,31.47,Macaca mulatta
NEUR_5613,Cortex,65.88,28.64,Rattus norvegicus
NEUR_6100,Cerebellum,59.66,79.57,Rattus norvegicus
NEUR_5223,Hypothalamus,120.47,18.06,Danio rerio
NEUR_4560,Amygdala,121.24,83.29,Macaca mulatta
NEUR_3118,Hippocampus,86.31,55.7,Macaca mulatta
NEUR_3920,Hypothalamus,37.17,26.52,Macaca mulatta
NEUR_6541,Amygdala,23.76,86.56,Rattus norvegicus
NEUR_8464,Hypothalamus,134.89,107.96,Macaca mulatta
NEUR_6730,Hippocampus,105.31,30.95,Danio rerio
NEUR_4482,Striatum,91.92,59.0,Danio rerio
NEUR_7888,Hypothalamus,136.51,105.73,Danio rerio
NEUR_4054,Hippocampus,92.16,53.72,Rattus norvegicus
NEUR_8920,Hypothalamus,36.14,29.7,Rattus norvegicus
NEUR_6337,Hippocampus,4.3,17.64,Macaca mulatta
NEUR_4947,Cortex,27.62,21.22,Rattus norvegicus
NEUR_7505,Striatum,62.34,80.24,Rattus norvegicus
NEUR_9622,Hypothalamus,79.26,20.07,Danio rerio
