neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_6163,Cerebellum,67.77,61.22,Mus musculus
NEUR_4019,Cortex,16.7,50.85,Rattus norvegicus
NEUR_4522,Cortex,30.63,32.72,Rattus norvegicus
NEUR_1940,Hypothalamus,1.85,82.0,Danio rerio
NEUR_2526,Cerebellum,89.04,54.66,Mus musculus
NEUR_3662,Hippocampus,39.99,62.68,Danio rerio
NEUR_1346,Amygdala,49.5,100.72,Mus musculus
NEUR_1560,Hippocampus,102.48,41.84,Mus musculus
NEUR_4877,Hippocampus,104.8,78.53,Rattus norvegicus
NEUR_5696,Cortex,93.37,36.08,Danio rerio
NEUR_4645,Cerebellum,40.59,19.58,Mus musculus
NEUR_2415,Amygdala,39.44,54.3,Mus musculus
NEUR_8541,Hippocampus,42.45,20.16,Mus musculus
NEUR_1577,Cortex,98.61,91.18,Danio rerio
NEUR_3748,Cortex,23.75,37.3,Danio rerio
NEUR_4138,Amygdala,74.28,106.19,Macaca mulatta
NEUR_8427,Cortex,129.65,10.23,Rattus norvegicus
NEUR_3917,Hypothalamus,4.84,108.17,Macaca mulatta
NEUR_7098,Striatum,111.13,80.8,Mus musculus
NEUR_3528,Amygdala,62.78,93.26,Danio rerio
NEUR_5578,Thalamus,83.19,73.08,Mus musculus
NEUR_8050,Hippocampus,75.43,87.53,Macaca mulatta
NEUR_9169,Cerebellum,126.57,118.59,Rattus norvegicus
NEUR_4783,Striatum,119.52,100.82,Macaca mulatta
NEUR_5000,Amygdala,33.25,74.94,Macaca mulatta
NEUR_8789,Hippocampus,1.98,77.72,Danio rerio
NEUR_4157,Cortex,25.07,31.43,Mus musculus
NEUR_1383,Hippocampus,86.3,86.27,Mus musculus
NEUR_7196,Cerebellum,30.5,58.42,Rattus norvegicus
NEUR_8278,Cortex,57.97,15.23,Rattus norvegicus
NEUR_3035,Cortex,49.48,63.66,Macaca mulatta
NEUR_9898,Striatum,57.16,80.21,Rattus norvegicus
NEUR_1322,Thalamus,36.12,42.21,Danio rerio
NEUR_5449,Cortex,129.51,80.7,Danio rerio
NEUR_1691,Striatum,50.54,81.74,Danio rerio
NEUR_4127,Cortex,82.97,13.32,Rattus norvegicus
NEUR_9275,Amygdala,70.74,117.41,Mus musculus
NEUR_1212,Hippocampus,83.52,38.85,Rattus norvegicus
NEUR_2927,Amygdala,53.73,33.68,Rattus norvegicus
NEUR_8545,Amygdala,78.46,65.04,Danio rerio
NEUR_6198,Thalamus,93.35,50.25,Danio rerio
NEUR_2127,Striatum,4.86,37.03,Mus musculus
NEUR_1843,Cortex,20.05,57.83,Mus musculus
NEUR_4216,Hypothalamus,29.91,115.88,Rattus norvegicus
NEUR_6752,Striatum,54.48,63.61,Mus musculus
NEUR_2989,Amygdala,103.57,34.07,Macaca mulatta
NEUR_2331,Hypothalamus,110.04,40.74,Mus musculus
NEUR_8424,Cortex,149.31,66.3,Danio rerio
NEUR_6263,Cortex,102.13,13.7,Rattus norvegicus
NEUR_8313,Cortex,82.64,35.95,Macaca mulatta
NEUR_9095,Thalamus,120.64,102.99,Macaca mulatta
NEUR_6263,Hippocampus,127.19,96.23,Mus musculus
NEUR_8865,Hippocampus,46.77,97.63,Mus musculus
NEUR_4514,Cerebellum,78.16,24.73,Mus musculus
NEUR_9092,Thalamus,6.0,50.6,Danio rerio
NEUR_3914,Amygdala,102.8,17.89,Mus musculus
NEUR_7770,Cortex,120.53,17.23,Mus musculus
NEUR_4548,Hippocampus,134.31,42.47,Macaca mulatta
NEUR_5509,Cerebellum,85.57,39.41,Mus musculus
NEUR_5237,Cortex,52.95,24.3,Macaca mulatta
NEUR_9287,Hypothalamus,128.11,60.81,Macaca mulatta
NEUR_5185,Hypothalamus,75.21,88.93,Danio rerio
NEUR_8803,Amygdala,66.35,101.18,Mus musculus
NEUR_9583,Striatum,26.41,50.56,Danio rerio
NEUR_1466,Hypothalamus,39.04,78.4,Danio rerio
NEUR_6534,Thalamus,30.88,26.26,Mus musculus
NEUR_1029,Hypothalamus,15.68,55.31,Macaca mulatta
NEUR_9566,Striatum,82.0,45.98,Mus musculus
NEUR_8998,Amygdala,32.92,10.25,Macaca mulatta
NEUR_4793,Cortex,121.69,62.85,Mus musculus
NEUR_7149,Cortex,142.31,71.81,Danio rerio
NEUR_9872,Hippocampus,120.96,54.09,Macaca mulatta
NEUR_4489,Hippocampus,60.56,54.34,Danio rerio
NEUR_8978,Thalamus,7.29,98.01,Rattus norvegicus
NEUR_2586,Thalamus,19.67,96.05,Macaca mulatta
NEUR_1678,Cerebellum,50.46,53.33,Rattus norvegicus
NEUR_1148,Thalamus,76.36,75.73,Rattus norvegicus
NEUR_5282,Cerebellum,73.24,41.28,Macaca mulatta
NEUR_9729,Thalamus,62.66,20.73,Danio rerio
NEUR_5522,Cortex,95.03,97.47,Rattus norvegicus
NEUR_9193,Striatum,6.13,51.45,Macaca mulatta
NEUR_4510,Cerebellum,29.15,116.13,Danio rerio
NEUR_9831,Thalamus,32.12,92.38,Mus musculus
NEUR_3206,Thalamus,57.85,40.0,Mus musculus
NEUR_3622,Hypothalamus,129.12,102.23,Danio rerio
NEUR_2485,Thalamus,143.82,41.49,Mus musculus
NEUR_9028,Amygdala,148.1,27.23,Mus musculus
NEUR_8879,Cerebellum,4.05,34.45,Rattus norvegicus
NEUR_1738,Amygdala,53.84,73.65,Macaca mulatta
NEUR_6964,Striatum,2.28,75.63,Rattus norvegicus
NEUR_8072,Cerebellum,126.66,31.21,Macaca mulatta
NEUR_6972,Hypothalamus,144.8,76.86,Danio rerio
NEUR_2214,Thalamus,71.82,44.23,Mus musculus
NEUR_6220,Cortex,124.21,27.37,Rattus norvegicus
NEUR_9875,Striatum,19.21,58.01,Rattus norvegicus
NEUR_5715,Thalamus,31.0,85.59,Danio rerio
NEUR_5706,Hippocampus,109.7,11.93,Mus musculus
NEUR_3492,Hippocampus,6.31,38.81,Macaca mulatta
NEUR_2757,Hypothalamus,115.48,75.18,Danio rerio
NEUR_8978,Hypothalamus,145.91,94.6,Mus musculus
NEUR_6920,Striatum,100.5,33.79,Rattus norvegicus
NEUR_6621,Cortex,89.33,111.93,Rattus norvegicus
NEUR_1991,Hypothalamus,12.12,74.03,Mus musculus
NEUR_1214,Hippocampus,30.0,68.04,Mus musculus
NEUR_2531,Thalamus,133.41,62.17,Macaca mulatta
NEUR_3045,Amygdala,7.5,24.1,Mus musculus
NEUR_7104,Hypothalamus,6.27,118.87,Mus musculus
NEUR_1046,Thalamus,28.85,119.94,Rattus norvegicus
NEUR_4121,Amygdala,124.35,88.3,Rattus norvegicus
NEUR_8800,Hippocampus,122.59,71.85,Mus musculus
NEUR_6376,Striatum,43.28,61.09,Danio rerio
NEUR_7656,Hypothalamus,115.33,116.16,Rattus norvegicus
NEUR_4279,Cerebellum,38.69,106.74,Macaca mulatta
NEUR_6469,Hypothalamus,94.04,29.45,Danio rerio
NEUR_8812,Thalamus,103.84,81.74,Rattus norvegicus
NEUR_6419,Striatum,144.68,25.74,Danio rerio
NEUR_5700,Amygdala,131.39,62.89,Mus musculus
NEUR_9931,Cerebellum,104.26,60.43,Macaca mulatta
NEUR_8248,Hypothalamus,26.09,93.52,Mus musculus
NEUR_2061,Amygdala,42.33,72.09,Rattus norvegicus
NEUR_4338,Cerebellum,60.59,71.81,Mus musculus
NEUR_6313,Hypothalamus,50.72,81.0,Danio rerio
NEUR_5506,Cortex,21.46,56.75,Mus musculus
NEUR_3846,Striatum,71.77,41.72,Macaca mulatta
NEUR_3873,Cortex,15.95,26.4,Mus musculus
NEUR_1467,Amygdala,47.19,44.34,Danio rerio
NEUR_2762,Cortex,119.07,51.63,Macaca mulatta
NEUR_6255,Cortex,146.91,79.45,Macaca mulatta
NEUR_2169,Cerebellum,91.0,78.25,Macaca mulatta
NEUR_2582,Cortex,41.7,17.02,Macaca mulatta
NEUR_6002,Amygdala,31.61,107.43,Rattus norvegicus
NEUR_8529,Striatum,144.18,98.48,Rattus norvegicus
NEUR_9373,Hippocampus,138.48,12.59,Rattus norvegicus
NEUR_5988,Hypothalamus,144.34,100.46,Macaca mulatta
NEUR_5608,Hippocampus,13.2,35.41,Macaca mulatta
NEUR_7297,Hypothalamus,12.35,44.65,Mus musculus
NEUR_3787,Cerebellum,114.09,90.35,Danio rerio
NEUR_1865,Striatum,89.35,64.07,Danio rerio
NEUR_2139,Hypothalamus,59.77,58.08,Macaca mulatta
NEUR_1283,Amygdala,16.79,64.45,Mus musculus
NEUR_1132,Thalamus,19.25,98.45,Mus musculus
NEUR_7854,Hippocampus,149.99,111.93,Rattus norvegicus
NEUR_5125,Striatum,140.63,13.0,Danio rerio
NEUR_9231,Thalamus,98.35,65.84,Mus musculus
NEUR_4413,Hypothalamus,60.21,23.74,Rattus norvegicus
NEUR_4282,Hippocampus,33.55,81.31,Rattus norvegicus
NEUR_1598,Thalamus,101.33,114.9,Macaca mulatta
NEUR_4140,Thalamus,19.88,73.95,Rattus norvegicus
NEUR_9899,Cortex,14.72,41.18,Mus musculus
NEUR_8768,Hippocampus,147.68,64.32,Mus musculus
NEUR_8150,Cerebellum,70.26,50.5,Mus musculus
NEUR_6306,Thalamus,65.93,68.39,Rattus norvegicus
NEUR_2719,Amygdala,7.73,38.24,Rattus norvegicus
NEUR_2585,Cortex,12.51,73.24,Macaca mulatta
NEUR_1347,Hypothalamus,70.12,46.25,Mus musculus
NEUR_2186,Amygdala,35.9,105.63,Mus musculus
NEUR_6187,Striatum,26.83,24.73,Mus musculus
NEUR_9888,Thalamus,121.06,22.52,Mus musculus
NEUR_9848,Amygdala,123.37,106.04,Danio rerio
NEUR_5024,Cortex,78.74,85.32,Macaca mulatta
NEUR_8024,Striatum,136.69,110.27,Macaca mulatta
NEUR_3772,Amygdala,147.2,69.21,Danio rerio
NEUR_2178,Hypothalamus,107.24,54.46,Rattus norvegicus
NEUR_5492,Amygdala,70.16,79.58,Mus musculus
NEUR_5974,Hippocampus,94.38,109.5,Rattus norvegicus
NEUR_9482,Amygdala,71.72,58.61,Mus musculus
NEUR_3499,Hypothalamus,133.59,99.21,Rattus norvegicus
NEUR_4982,Hippocampus,91.76,49.16,Rattus norvegicus
NEUR_8692,Striatum,31.76,32.83,Macaca mulatta
NEUR_1510,Cortex,113.94,51.36,Rattus norvegicus
NEUR_7665,Hypothalamus,64.97,69.52,Mus musculus
NEUR_5033,Striatum,9.26,10.57,Macaca mulatta
NEUR_4129,Amygdala,59.26,61.23,Mus musculus
NEUR_7544,Hypothalamus,37.91,64.65,Rattus norvegicus
NEUR_2287,Amygdala,8.96,45.38,Rattus norvegicus
NEUR_8936,Cortex,139.96,15.13,Macaca mulatta
NEUR_3223,Hippocampus,114.6,59.25,Danio rerio
NEUR_3408,Striatum,119.78,87.28,Mus musculus
NEUR_4260,Hippocampus,86.39,71.98,Danio rerio
NEUR_3353,Thalamus,116.12,98.41,Danio rerio
NEUR_8164,Hippocampus,90.34,91.72,Macaca mulatta
NEUR_7888,Cortex,126.74,30.63,Danio rerio
NEUR_1957,Thalamus,121.08,82.49,Macaca mulatta
NEUR_3546,Striatum,141.44,12.27,Mus musculus
NEUR_7196,Cerebellum,145.81,78.38,Macaca mulatta
NEUR_6867,Cerebellum,132.39,60.52,Rattus norvegicus
NEUR_9585,Cerebellum,34.29,76.23,Rattus norvegicus
NEUR_3208,Hippocampus,9.16,26.07,Macaca mulatta
NEUR_2594,Hippocampus,75.33,77.0,Macaca mulatta
NEUR_8058,Hypothalamus,25.4,93.46,Danio rerio
NEUR_8123,Cortex,26.46,81.86,Danio rerio
NEUR_5044,Thalamus,116.53,92.82,Macaca mulatta
