neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_2544,Cortex,105.13,93.51,Danio rerio
NEUR_1487,Striatum,78.34,78.22,Rattus norvegicus
NEUR_8578,Striatum,131.63,68.44,Macaca mulatta
NEUR_5716,Amygdala,48.84,82.66,Macaca mulatta
NEUR_1695,Hippocampus,145.68,31.36,Danio rerio
NEUR_4053,Striatum,117.26,93.98,Rattus norvegicus
NEUR_5299,Striatum,125.36,42.26,Danio rerio
NEUR_5747,Hippocampus,119.34,118.8,Mus musculus
NEUR_6283,Hippocampus,63.81,69.46,Mus musculus
NEUR_3584,Hypothalamus,44.05,22.18,Macaca mulatta
NEUR_4384,Cerebellum,99.61,35.07,Danio rerio
NEUR_2674,Hippocampus,118.38,108.94,Mus musculus
NEUR_7607,Cortex,88.64,108.87,Danio rerio
NEUR_4738,Hypothalamus,101.03,71.09,Danio rerio
NEUR_5861,Cortex,21.11,35.44,Mus musculus
NEUR_1221,Hippocampus,7.68,97.4,Danio rerio
NEUR_4027,Hippocampus,138.18,113.22,Macaca mulatta
NEUR_1011,Hypothalamus,55.45,25.48,Rattus norvegicus
NEUR_3023,Hypothalamus,47.13,92.78,Mus musculus
NEUR_3209,Cortex,144.03,66.95,Macaca mulatta
NEUR_8251,Striatum,143.0,23.65,Danio rerio
NEUR_6526,Hippocampus,24.04,61.74,Danio rerio
NEUR_7898,Cerebellum,58.53,77.89,Danio rerio
NEUR_9940,Thalamus,95.19,82.93,Danio rerio
NEUR_9760,Cerebellum,65.66,106.25,Rattus norvegicus
NEUR_5365,Thalamus,149.51,101.25,Rattus norvegicus
NEUR_2207,Striatum,111.25,34.52,Rattus norvegicus
NEUR_6545,Cortex,53.16,38.3,Danio rerio
NEUR_1712,Cerebellum,38.96,11.79,Macaca mulatta
NEUR_6396,Cerebellum,114.97,114.96,Danio rerio
NEUR_6502,Hypothalamus,76.71,104.09,Mus musculus
NEUR_9937,Hippocampus,29.66,86.16,Danio rerio
NEUR_2514,Hypothalamus,110.27,89.48,Mus musculus
NEUR_5495,Hypothalamus,44.0,64.95,Danio rerio
NEUR_2153,Hippocampus,125.95,72.18,Macaca mulatta
NEUR_7095,Hippocampus,143.36,37.77,Mus musculus
NEUR_2680,Thalamus,115.16,20.76,Rattus norvegicus
NEUR_2690,Hypothalamus,135.24,67.46,Rattus norvegicus
NEUR_5909,Hippocampus,134.34,117.64,Rattus norvegicus
NEUR_9833,Amygdala,123.99,84.96,Mus musculus
NEUR_6988,Hypothalamus,98.5,38.18,Mus musculus
NEUR_9053,Hypothalamus,118.56,90.27,Mus musculus
NEUR_7603,Thalamus,21.62,106.13,Danio rerio
NEUR_3815,Thalamus,39.01,115.45,Rattus norvegicus
NEUR_7516,Hypothalamus,12.73,94.35,Rattus norvegicus
NEUR_4957,Cerebellum,14.67,36.39,Danio rerio
NEUR_1110,Cortex,13.8,105.95,Mus musculus
NEUR_3035,Cortex,100.15,54.36,Rattus norvegicus
NEUR_4671,Striatum,73.06,20.55,Macaca mulatta
NEUR_6706,Amygdala,34.04,117.63,Macaca mulatta
NEUR_3607,Cortex,142.86,48.85,Danio rerio
NEUR_8626,Thalamus,67.27,35.15,Mus musculus
NEUR_2713,Cortex,125.29,104.43,Mus musculus
NEUR_3897,Thalamus,50.19,101.46,Mus musculus
NEUR_3612,Cortex,3.18,78.92,Danio rerio
NEUR_1247,Cerebellum,87.16,13.47,Danio rerio
NEUR_9449,Thalamus,85.21,66.92,Mus musculus
NEUR_1636,Cortex,43.7,24.85,Macaca mulatta
NEUR_2662,Amygdala,102.16,115.88,Macaca mulatta
NEUR_9140,Cerebellum,76.45,44.82,Macaca mulatta
NEUR_8883,Cortex,94.98,84.79,Danio rerio
NEUR_5497,Cerebellum,32.45,78.49,Danio rerio
NEUR_6361,Hippocampus,149.63,102.42,Macaca mulatta
NEUR_2040,Thalamus,70.06,94.59,Macaca mulatta
NEUR_4008,Hippocampus,18.32,62.77,Rattus norvegicus
NEUR_1622,Striatum,95.76,30.94,Macaca mulatta
NEUR_4097,Striatum,4.33,52.87,Rattus norvegicus
NEUR_4890,Hippocampus,117.53,85.24,Mus musculus
NEUR_9833,Hippocampus,123.06,106.89,Danio rerio
NEUR_9350,Striatum,36.57,112.36,Mus musculus
NEUR_2607,Cerebellum,21.2,96.48,Danio rerio
NEUR_4029,Cortex,72.88,57.41,Danio rerio
NEUR_6615,Cortex,66.85,88.81,Rattus norvegicus
NEUR_9070,Cortex,82.94,11.75,Rattus norvegicus
NEUR_8081,Cerebellum,87.74,57.95,Mus musculus
NEUR_4383,Cortex,135.29,35.02,Macaca mulatta
NEUR_5502,Striatum,117.47,89.3,Danio rerio
NEUR_3111,Cerebellum,7.42,32.44,Rattus norvegicus
NEUR_5841,Hypothalamus,136.48,38.47,Danio rerio
NEUR_6915,Cortex,5.57,44.94,Mus musculus
NEUR_9482,Cerebellum,92.71,57.72,Macaca mulatta
NEUR_1336,Amygdala,127.74,117.95,Macaca mulatta
NEUR_4624,Thalamus,114.61,107.28,Danio rerio
NEUR_1945,Hippocampus,127.6,71.02,Mus musculus
NEUR_2231,Hippocampus,89.66,48.48,Rattus norvegicus
NEUR_7426,Amygdala,88.24,93.12,Danio rerio
NEUR_4395,Striatum,144.65,53.61,Danio rerio
NEUR_1564,Amygdala,105.94,30.28,Mus musculus
NEUR_6646,Thalamus,123.53,45.8,Danio rerio
NEUR_2675,Cerebellum,120.44,103.93,Danio rerio
NEUR_5898,Cortex,124.03,42.88,Danio rerio
NEUR_9649,Amygdala,52.67,85.74,Macaca mulatta
NEUR_6307,Amygdala,25.65,12.76,Mus musculus
NEUR_1393,Cortex,26.25,85.19,Mus musculus
NEUR_8868,Cerebellum,12.63,77.84,Macaca mulatta
NEUR_5415,Thalamus,80.83,97.62,Danio rerio
NEUR_3588,Amygdala,26.51,55.11,Rattus norvegicus
NEUR_1130,Thalamus,129.07,42.19,Mus musculus
NEUR_9854,Hippocampus,132.75,59.22,Danio rerio
NEUR_7305,Thalamus,112.14,31.19,Macaca mulatta
NEUR_3601,Hypothalamus,4.56,39.04,Mus musculus
NEUR_6847,Cortex,2.44,73.03,Mus musculus
NEUR_3145,Hypothalamus,30.79,55.41,Rattus norvegicus
NEUR_7469,Amygdala,14.98,90.61,Mus musculus
NEUR_4675,Cerebellum,134.15,97.41,Mus musculus
NEUR_4885,Amygdala,1.54,16.45,Danio rerio
NEUR_2092,Striatum,9.25,34.86,Mus musculus
NEUR_2454,Thalamus,16.68,46.22,Danio rerio
NEUR_9609,Amygdala,129.63,104.36,Danio rerio
NEUR_1206,Striatum,61.12,61.66,Danio rerio
NEUR_1358,Hippocampus,24.02,23.19,Rattus norvegicus
NEUR_4128,Hypothalamus,80.08,115.1,Rattus norvegicus
NEUR_2392,Amygdala,81.07,17.02,Danio rerio
NEUR_4728,Hypothalamus,21.29,43.03,Danio rerio
NEUR_8293,Cortex,112.71,58.52,Rattus norvegicus
NEUR_3477,Cerebellum,24.71,107.5,Mus musculus
NEUR_2257,Hippocampus,70.73,79.89,Rattus norvegicus
NEUR_6099,Cortex,140.15,36.55,Danio rerio
NEUR_1305,Hippocampus,63.99,96.09,Macaca mulatta
NEUR_1340,Hippocampus,96.53,35.44,Mus musculus
