neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_1306,Hippocampus,61.01,81.58,Rattus norvegicus
NEUR_3459,Amygdala,83.11,27.09,Rattus norvegicus
NEUR_6282,Cortex,49.8,81.3,Mus musculus
NEUR_8902,Cortex,12.16,30.45,Mus musculus
NEUR_5768,Cerebellum,140.08,25.93,Macaca mulatta
NEUR_3777,Hippocampus,125.43,113.73,Macaca mulatta
NEUR_5610,Amygdala,110.73,84.8,Macaca mulatta
NEUR_5391,Striatum,99.4,30.12,Danio rerio
NEUR_6765,Thalamus,32.73,26.39,Mus musculus
NEUR_1043,Amygdala,82.33,25.04,Danio rerio
NEUR_7668,Striatum,28.27,29.78,Mus musculus
NEUR_9821,Cortex,117.56,103.13,Mus musculus
NEUR_2810,Cerebellum,66.96,106.67,Mus musculus
NEUR_4900,Striatum,6.21,96.78,Rattus norvegicus
NEUR_2715,Amygdala,34.45,101.82,Mus musculus
NEUR_1887,Hippocampus,0.46,37.13,Rattus norvegicus
NEUR_4653,Cortex,4.06,70.93,Mus musculus
NEUR_5974,Hypothalamus,18.92,46.04,Rattus norvegicus
NEUR_2735,Striatum,4.31,87.1,Rattus norvegicus
NEUR_4089,Cortex,79.72,19.8,Rattus norvegicus
NEUR_4093,Hippocampus,87.07,22.91,Macaca mulatta
NEUR_8638,Amygdala,42.57,81.06,Danio rerio
NEUR_4926,Thalamus,85.91,104.38,Macaca mulatta
NEUR_2294,Hypothalamus,57.12,99.99,Rattus norvegicus
NEUR_5650,Hypothalamus,97.7,12.82,Mus musculus
NEUR_9390,Amygdala,146.79,113.42,Danio rerio
NEUR_8761,Hippocampus,99.31,21.24,Mus musculus
NEUR_7089,Thalamus,3.06,119.93,Macaca mulatta
NEUR_7692,Cortex,58.67,87.26,Macaca mulatta
NEUR_7324,Cortex,50.95,87.36,Danio rerio
NEUR_2271,Cerebellum,102.98,47.31,Danio rerio
NEUR_9238,Striatum,51.94,114.3,Mus musculus
NEUR_8479,Amygdala,47.25,45.97,Rattus norvegicus
NEUR_4729,Cerebellum,8.9,104.96,Rattus norvegicus
NEUR_6604,Cerebellum,24.49,49.31,Macaca mulatta
NEUR_4507,Striatum,72.52,47.56,Danio rerio
NEUR_6884,Hippocampus,101.98,113.78,Danio rerio
NEUR_1517,Thalamus,108.21,99.27,Macaca mulatta
NEUR_5895,Striatum,28.51,105.21,Macaca mulatta
NEUR_6772,Hippocampus,117.27,96.15,Rattus norvegicus
NEUR_2124,Cerebellum,39.3,118.95,Danio rerio
NEUR_3767,Amygdala,47.11,47.69,Rattus norvegicus
NEUR_5513,Hippocampus,93.09,71.46,Macaca mulatta
