neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_4562,Hippocampus,82.45,39.32,Mus musculus
NEUR_7968,Striatum,100.7,78.51,Rattus norvegicus
NEUR_3430,Cerebellum,89.96,87.03,Mus musculus
NEUR_1165,Hypothalamus,22.04,13.18,Macaca mulatta
NEUR_7294,Amygdala,27.7,84.99,Macaca mulatta
NEUR_5366,Cortex,50.83,99.72,Rattus norvegicus
NEUR_9780,Hippocampus,18.12,79.35,Danio rerio
NEUR_9424,Amygdala,60.88,114.52,Mus musculus
NEUR_1013,Striatum,3.29,35.7,Mus musculus
NEUR_1203,Cortex,63.43,58.73,Macaca mulatta
NEUR_5507,Hippocampus,23.76,111.24,Danio rerio
NEUR_7963,Amygdala,94.82,49.92,Danio rerio
NEUR_2030,Thalamus,127.79,87.77,Macaca mulatta
NEUR_9660,Cerebellum,120.27,112.19,Danio rerio
NEUR_6931,Hippocampus,141.82,92.38,Macaca mulatta
NEUR_7410,Cerebellum,95.46,69.36,Danio rerio
NEUR_3368,Thalamus,83.05,103.97,Danio rerio
NEUR_4555,Cortex,148.43,37.53,Rattus norvegicus
NEUR_4531,Cerebellum,99.5,99.28,Macaca mulatta
NEUR_2203,Amygdala,128.88,12.99,Danio rerio
NEUR_9004,Thalamus,47.67,51.49,Danio rerio
NEUR_4512,Striatum,92.38,94.04,Danio rerio
NEUR_4494,Hypothalamus,5.41,89.81,Danio rerio
NEUR_1173,Hippocampus,91.76,30.23,Macaca mulatta
NEUR_1972,Thalamus,85.21,13.45,Danio rerio
NEUR_7535,Hippocampus,26.35,99.09,Rattus norvegicus
NEUR_2237,Hippocampus,72.88,11.04,Rattus norvegicus
NEUR_3051,Thalamus,55.65,30.11,Macaca mulatta
NEUR_9845,Hypothalamus,29.54,11.12,Rattus norvegicus
NEUR_6947,Hypothalamus,117.68,24.64,Mus musculus
NEUR_8102,Striatum,141.72,13.28,Macaca mulatta
NEUR_3026,Cerebellum,55.65,85.58,Mus musculus
NEUR_3654,Cortex,22.79,90.61,Rattus norvegicus
NEUR_2686,Striatum,76.8,31.18,Danio rerio
NEUR_8708,Amygdala,126.74,105.29,Danio rerio
NEUR_7230,Striatum,106.05,88.15,Macaca mulatta
NEUR_5204,Amygdala,26.42,28.11,Mus musculus
NEUR_1501,Cerebellum,77.95,44.12,Danio rerio
NEUR_5402,Cerebellum,115.57,72.46,Danio rerio
NEUR_1802,Cortex,129.19,39.87,Mus musculus
NEUR_2313,Amygdala,79.38,93.81,Rattus norvegicus
NEUR_5772,Hippocampus,54.34,61.67,Rattus norvegicus
NEUR_9768,Amygdala,67.54,24.14,Rattus norvegicus
NEUR_3212,Cerebellum,67.38,36.47,Rattus norvegicus
NEUR_7953,Amygdala,119.06,63.71,Mus musculus
NEUR_6723,Hypothalamus,49.04,39.61,Mus musculus
NEUR_7448,Cerebellum,21.63,39.35,Rattus norvegicus
NEUR_6748,Hypothalamus,116.86,24.15,Mus musculus
NEUR_1825,Cerebellum,87.91,58.71,Mus musculus
NEUR_5179,Cerebellum,80.17,95.96,Danio rerio
NEUR_1431,Cortex,141.38,105.31,Rattus norvegicus
NEUR_5794,Amygdala,29.54,100.03,Danio rerio
NEUR_8452,Hypothalamus,119.58,48.21,Macaca mulatta
NEUR_6016,Striatum,15.91,104.53,Macaca mulatta
NEUR_8676,Hypothalamus,22.06,44.47,Danio rerio
NEUR_2535,Striatum,120.01,100.3,Mus musculus
NEUR_3434,Cerebellum,54.0,36.38,Mus musculus
NEUR_9201,Striatum,52.46,111.48,Rattus norvegicus
NEUR_9022,Hippocampus,121.93,70.35,Rattus norvegicus
NEUR_6553,Amygdala,56.92,61.74,Macaca mulatta
NEUR_4892,Striatum,27.69,69.0,Rattus norvegicus
NEUR_6124,Striatum,33.27,23.11,Macaca mulatta
NEUR_6918,Cerebellum,79.8,109.73,Danio rerio
NEUR_4707,Cortex,15.4,64.95,Macaca mulatta
NEUR_9741,Cortex,59.11,43.56,Rattus norvegicus
NEUR_8345,Cerebellum,136.63,115.0,Danio rerio
NEUR_2639,Thalamus,59.38,98.51,Macaca mulatta
NEUR_1958,Hippocampus,49.28,40.43,Mus musculus
NEUR_6545,Hippocampus,106.36,105.59,Macaca mulatta
NEUR_7159,Cerebellum,45.46,15.12,Mus musculus
NEUR_2275,Thalamus,63.75,76.51,Macaca mulatta
NEUR_2436,Cerebellum,73.57,38.71,Rattus norvegicus
NEUR_3841,Amygdala,140.24,32.58,Rattus norvegicus
NEUR_9282,Striatum,60.54,77.4,Rattus norvegicus
NEUR_8610,Amygdala,131.07,56.15,Danio rerio
NEUR_7138,Cortex,140.93,72.84,Rattus norvegicus
NEUR_6819,Cerebellum,46.52,87.72,Mus musculus
NEUR_9650,Hypothalamus,100.58,71.69,Danio rerio
NEUR_6385,Hypothalamus,145.37,56.63,Macaca mulatta
NEUR_5558,Striatum,144.7,109.67,Macaca mulatta
NEUR_3802,Cerebellum,65.3,80.41,Danio rerio
NEUR_6951,Striatum,122.16,72.47,Macaca mulatta
NEUR_5437,Amygdala,132.3,115.21,Mus musculus
NEUR_6304,Cortex,20.12,15.37,Macaca mulatta
NEUR_9272,Hippocampus,142.3,72.67,Mus musculus
NEUR_4410,Amygdala,127.17,13.15,Rattus norvegicus
NEUR_4971,Hippocampus,75.98,16.29,Macaca mulatta
NEUR_2374,Amygdala,59.76,110.09,Rattus norvegicus
NEUR_8698,Hippocampus,38.59,27.95,Danio rerio
NEUR_2609,Amygdala,140.01,17.05,Macaca mulatta
NEUR_3702,Striatum,9.44,56.29,Rattus norvegicus
NEUR_5386,Hypothalamus,145.66,18.76,Macaca mulatta
NEUR_4374,Cortex,23.48,108.18,Rattus norvegicus
NEUR_9653,Hippocampus,78.59,91.21,Mus musculus
NEUR_4498,Hippocampus,79.35,47.83,Danio rerio
NEUR_4702,Thalamus,104.94,95.14,Danio rerio
NEUR_6602,Hypothalamus,20.88,47.11,Mus musculus
NEUR_9856,Hippocampus,66.79,83.46,Rattus norvegicus
NEUR_3567,Cerebellum,63.42,30.48,Danio rerio
NEUR_3141,Thalamus,30.44,109.85,Danio rerio
NEUR_3239,Thalamus,104.02,47.17,Danio rerio
NEUR_8129,Amygdala,46.19,90.0,Rattus norvegicus
NEUR_8317,Cortex,35.03,53.99,Mus musculus
NEUR_4777,Striatum,18.11,105.55,Mus musculus
NEUR_1363,Thalamus,57.04,74.48,Danio rerio
NEUR_4873,Cortex,33.0,110.18,Macaca mulatta
NEUR_3586,Amygdala,70.78,23.6,Macaca mulatta
NEUR_9194,Hippocampus,76.75,95.05,Rattus norvegicus
NEUR_2475,Hypothalamus,124.25,93.96,Macaca mulatta
NEUR_3262,Cortex,92.0,59.43,Rattus norvegicus
NEUR_7933,Cortex,115.02,67.98,Danio rerio
NEUR_5427,Striatum,102.01,105.96,Mus musculus
NEUR_8657,Amygdala,102.5,73.65,Danio rerio
NEUR_7184,Thalamus,36.18,87.91,Macaca mulatta
NEUR_3477,Hypothalamus,89.48,90.72,Danio rerio
NEUR_8662,Amygdala,78.8,30.28,Macaca mulatta
NEUR_5287,Thalamus,64.03,60.45,Mus musculus
NEUR_4406,Striatum,113.05,107.06,Danio rerio
NEUR_4542,Striatum,51.54,26.35,Mus musculus
NEUR_3967,Cerebellum,146.07,32.46,Mus musculus
NEUR_1419,Hypothalamus,109.82,19.15,Danio rerio
NEUR_3515,Amygdala,91.77,113.33,Danio rerio
NEUR_6263,Cerebellum,136.42,56.9,Rattus norvegicus
NEUR_9024,Amygdala,100.91,112.67,Rattus norvegicus
NEUR_8028,Hippocampus,3.81,30.38,Mus musculus
NEUR_2040,Cerebellum,26.48,65.45,Macaca mulatta
NEUR_7197,Hippocampus,3.73,50.53,Danio rerio
NEUR_6939,Striatum,25.64,117.17,Danio rerio
NEUR_3609,Cortex,24.38,57.22,Macaca mulatta
NEUR_3794,Striatum,20.43,40.74,Macaca mulatta
NEUR_5651,Striatum,122.26,25.73,Rattus norvegicus
NEUR_1272,Striatum,36.34,52.87,Danio rerio
NEUR_1797,Thalamus,56.07,48.1,Danio rerio
NEUR_3276,Hippocampus,100.44,43.09,Mus musculus
