neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_1342,Hippocampus,149.19,91.92,Rattus norvegicus
NEUR_8206,Hippocampus,82.41,30.98,Rattus norvegicus
NEUR_4063,Cerebellum,39.18,65.56,Mus musculus
NEUR_3865,Striatum,98.4,32.6,Rattus norvegicus
NEUR_3293,Striatum,0.66,110.88,Macaca mulatta
NEUR_5022,Striatum,116.92,77.31,Danio rerio
NEUR_7118,Thalamus,21.58,85.27,Macaca mulatta
NEUR_9147,Hippocampus,106.59,111.38,Mus musculus
NEUR_6820,Cortex,140.37,115.34,Danio rerio
NEUR_6125,Hippocampus,149.69,64.09,Macaca mulatta
NEUR_6017,Cortex,72.98,93.11,Danio rerio
NEUR_8097,Striatum,19.8,28.06,Danio rerio
NEUR_5079,Thalamus,92.51,108.85,Macaca mulatta
NEUR_7242,Cortex,83.0,115.94,Macaca mulatta
NEUR_9986,Hypothalamus,14.78,76.61,Mus musculus
NEUR_3030,Thalamus,144.11,64.71,Danio rerio
NEUR_4852,Striatum,71.77,81.54,Mus musculus
NEUR_9508,Cerebellum,59.14,46.01,Macaca mulatta
NEUR_9261,Thalamus,59.53,48.84,Danio rerio
NEUR_1824,Hypothalamus,109.87,84.39,Macaca mulatta
NEUR_7202,Hippocampus,118.63,80.9,Rattus norvegicus
NEUR_7435,Hippocampus,37.58,43.54,Mus musculus
NEUR_2298,Hippocampus,144.28,119.54,Rattus norvegicus
NEUR_2845,Hypothalamus,47.06,25.54,Rattus norvegicus
NEUR_7585,Striatum,58.27,64.17,Mus musculus
NEUR_5038,Cortex,114.27,71.67,Macaca mulatta
NEUR_2084,Cerebellum,109.82,69.56,Rattus norvegicus
NEUR_9287,Striatum,80.63,46.17,Macaca mulatta
NEUR_7795,Hippocampus,52.06,52.06,Rattus norvegicus
NEUR_7513,Hypothalamus,96.26,54.46,Macaca mulatta
NEUR_2842,Amygdala,85.05,45.87,Mus musculus
NEUR_9567,Thalamus,29.49,61.13,Mus musculus
NEUR_4714,Amygdala,51.26,25.28,Mus musculus
NEUR_5410,Hypothalamus,131.71,28.07,Mus musculus
NEUR_2778,Hypothalamus,91.08,111.56,Macaca mulatta
NEUR_5855,Cerebellum,129.09,66.62,Mus musculus
NEUR_4808,Hippocampus,137.61,77.57,Macaca mulatta
NEUR_7760,Cerebellum,13.7,78.85,Macaca mulatta
NEUR_6523,Cerebellum,32.73,92.48,Mus musculus
NEUR_7618,Cerebellum,96.98,13.58,Mus musculus
NEUR_4451,Thalamus,45.96,72.51,Macaca mulatta
NEUR_9014,Hypothalamus,110.24,117.13,Mus musculus
NEUR_2576,Cortex,100.58,62.19,Danio rerio
NEUR_4566,Cerebellum,57.96,19.06,Rattus norvegicus
NEUR_6294,Hypothalamus,67.48,60.81,Danio rerio
NEUR_5332,Cerebellum,148.97,50.56,Rattus norvegicus
NEUR_3451,Cerebellum,1.97,91.66,Mus musculus
NEUR_4958,Amygdala,71.91,100.65,Rattus norvegicus
NEUR_8654,Thalamus,59.49,24.61,Mus musculus
NEUR_1785,Cortex,1.37,46.82,Macaca mulatta
NEUR_8909,Cerebellum,96.93,60.14,Rattus norvegicus
NEUR_3917,Hippocampus,136.96,87.48,Macaca mulatta
NEUR_7031,Striatum,93.62,62.17,Mus musculus
