neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_5462,Hippocampus,90.53,20.38,Rattus norvegicus
NEUR_3762,Cortex,145.12,50.93,Danio rerio
NEUR_8295,Hippocampus,59.81,28.5,Danio rerio
NEUR_4425,Hypothalamus,144.24,75.97,Danio rerio
NEUR_6129,Amygdala,7.97,19.76,Danio rerio
NEUR_7981,Striatum,18.65,96.92,Rattus norvegicus
NEUR_1576,Amygdala,72.9,109.71,Mus musculus
NEUR_1542,Hippocampus,34.55,60.13,Rattus norvegicus
NEUR_1858,Striatum,139.33,48.73,Danio rerio
NEUR_1409,Hippocampus,123.45,17.51,Macaca mulatta
NEUR_2458,Cortex,13.82,85.03,Mus musculus
NEUR_7391,Hypothalamus,27.04,42.49,Danio rerio
NEUR_9586,Cerebellum,128.91,88.18,Mus musculus
NEUR_3264,Hypothalamus,85.4,30.61,Rattus norvegicus
NEUR_5916,Hippocampus,135.3,60.32,Macaca mulatta
NEUR_8288,Hypothalamus,41.66,14.78,Danio rerio
NEUR_6019,Thalamus,149.86,71.06,Mus musculus
NEUR_9334,Cerebellum,56.59,99.18,Mus musculus
NEUR_8853,Cerebellum,117.26,76.86,Mus musculus
NEUR_3721,Amygdala,98.62,41.98,Mus musculus
NEUR_1648,Amygdala,143.79,40.44,Rattus norvegicus
NEUR_5944,Cortex,128.35,17.97,Rattus norvegicus
NEUR_9175,Hippocampus,55.76,74.45,Danio rerio
NEUR_8216,Hypothalamus,55.37,50.73,Mus musculus
NEUR_2626,Amygdala,34.55,13.89,Macaca mulatta
NEUR_4267,Thalamus,109.43,78.9,Danio rerio
NEUR_9489,Striatum,69.59,58.35,Mus musculus
NEUR_8261,Striatum,15.63,113.03,Mus musculus
NEUR_1322,Striatum,38.43,85.84,Macaca mulatta
NEUR_3447,Thalamus,29.62,37.25,Rattus norvegicus
NEUR_3526,Cerebellum,0.27,12.21,Danio rerio
NEUR_5292,Hippocampus,44.85,14.37,Rattus norvegicus
NEUR_3095,Thalamus,110.36,65.95,Danio rerio
NEUR_4679,Amygdala,115.74,58.27,Mus musculus
NEUR_4009,Amygdala,98.71,86.69,Danio rerio
NEUR_7332,Hippocampus,39.81,37.47,Mus musculus
NEUR_3933,Hypothalamus,119.78,96.73,Macaca mulatta
NEUR_5340,Striatum,43.24,93.01,Mus musculus
NEUR_3887,Thalamus,65.22,68.44,Mus musculus
NEUR_1226,Cortex,34.99,33.9,Mus musculus
NEUR_5589,Hypothalamus,82.04,64.97,Rattus norvegicus
NEUR_2249,Hypothalamus,23.82,42.7,Danio rerio
NEUR_1745,Thalamus,42.19,60.26,Danio rerio
NEUR_8549,Thalamus,74.22,100.02,Macaca mulatta
NEUR_7522,Thalamus,130.28,34.04,Danio rerio
NEUR_6314,Amygdala,80.12,68.51,Mus musculus
NEUR_5676,Hypothalamus,142.09,56.6,Rattus norvegicus
NEUR_7333,Cortex,141.35,39.84,Mus musculus
NEUR_3670,Hypothalamus,20.69,56.35,Macaca mulatta
NEUR_9009,Hypothalamus,53.58,45.79,Macaca mulatta
NEUR_7745,Hypothalamus,25.69,100.86,Mus musculus
NEUR_2761,Cortex,84.1,113.75,Danio rerio
NEUR_6856,Thalamus,124.2,33.65,Rattus norvegicus
NEUR_9972,Amygdala,111.69,65.93,Rattus norvegicus
NEUR_3997,Cortex,107.11,12.08,Rattus norvegicus
NEUR_7365,Cerebellum,69.7,77.3,Mus musculus
NEUR_2112,Hypothalamus,110.47,112.81,Mus musculus
NEUR_9266,Hypothalamus,18.29,97.23,Mus musculus
NEUR_8193,Hypothalamus,127.65,68.92,Macaca mulatta
NEUR_8587,Cortex,93.11,81.24,Danio rerio
NEUR_2254,Thalamus,95.21,17.8,Mus musculus
NEUR_8454,Hippocampus,51.55,103.48,Danio rerio
NEUR_7415,Striatum,17.1,35.16,Rattus norvegicus
NEUR_2791,Thalamus,92.83,18.03,Mus musculus
NEUR_4615,Cortex,53.23,55.58,Rattus norvegicus
NEUR_9952,Thalamus,4.81,36.98,Danio rerio
NEUR_9913,Hippocampus,18.79,27.86,Danio rerio
NEUR_6871,Hippocampus,36.08,59.89,Danio rerio
NEUR_9470,Hippocampus,93.93,39.47,Mus musculus
NEUR_3070,Striatum,68.58,52.39,Rattus norvegicus
NEUR_7170,Hypothalamus,141.27,33.98,Macaca mulatta
NEUR_6220,Cerebellum,74.37,62.44,Macaca mulatta
NEUR_8967,Thalamus,7.42,45.2,Macaca mulatta
NEUR_7686,Striatum,89.75,43.86,Mus musculus
NEUR_1008,Striatum,82.21,117.2,Macaca mulatta
NEUR_1108,Thalamus,66.46,111.94,Macaca mulatta
NEUR_4766,Striatum,127.96,100.38,Danio rerio
NEUR_3195,Thalamus,62.25,43.02,Mus musculus
NEUR_6097,Amygdala,0.65,58.79,Danio rerio
NEUR_6295,Hippocampus,63.24,29.21,Rattus norvegicus
NEUR_8055,Cerebellum,104.5,98.65,Macaca mulatta
NEUR_7152,Hippocampus,143.9,79.97,Danio rerio
NEUR_6665,Striatum,50.81,46.14,Macaca mulatta
NEUR_6209,Striatum,1.53,71.41,Rattus norvegicus
NEUR_9676,Cerebellum,47.04,35.7,Danio rerio
NEUR_7091,Amygdala,86.25,78.15,Rattus norvegicus
NEUR_1059,Cortex,68.29,35.59,Rattus norvegicus
NEUR_1855,Thalamus,93.84,92.58,Mus musculus
NEUR_6363,Hippocampus,116.26,115.67,Danio rerio
NEUR_5364,Thalamus,50.63,44.23,Danio rerio
NEUR_8998,Striatum,7.71,104.71,Mus musculus
NEUR_9871,Hypothalamus,13.78,34.27,Mus musculus
NEUR_8834,Hypothalamus,71.09,48.0,Mus musculus
NEUR_7578,Cerebellum,73.5,54.27,Mus musculus
NEUR_7981,Hippocampus,46.53,87.18,Macaca mulatta
NEUR_4516,Hypothalamus,148.7,13.56,Mus musculus
NEUR_2575,Cortex,17.77,43.83,Danio rerio
NEUR_1695,Hypothalamus,23.31,32.93,Danio rerio
NEUR_6331,Hippocampus,136.55,99.37,Macaca mulatta
NEUR_3688,Amygdala,136.91,93.67,Danio rerio
NEUR_3841,Cortex,110.62,119.58,Rattus norvegicus
NEUR_7209,Cortex,23.27,96.47,Mus musculus
NEUR_2861,Amygdala,63.31,25.82,Macaca mulatta
NEUR_7803,Cerebellum,140.74,22.12,Rattus norvegicus
NEUR_6907,Cortex,116.12,20.2,Macaca mulatta
NEUR_8479,Thalamus,114.88,110.99,Rattus norvegicus
NEUR_5639,Hypothalamus,119.63,93.22,Rattus norvegicus
NEUR_2514,Striatum,137.03,33.11,Mus musculus
NEUR_5919,Cortex,42.15,90.76,Danio rerio
NEUR_4437,Amygdala,50.78,118.85,Macaca mulatta
NEUR_4636,Hypothalamus,64.22,45.13,Danio rerio
NEUR_3188,Hypothalamus,144.9,92.1,Rattus norvegicus
NEUR_8206,Hippocampus,70.19,58.64,Danio rerio
NEUR_2752,Hypothalamus,68.19,69.02,Macaca mulatta
NEUR_7891,Cortex,95.79,86.76,Macaca mulatta
NEUR_9188,Thalamus,97.26,51.36,Macaca mulatta
NEUR_9848,Striatum,138.45,30.57,Danio rerio
NEUR_4980,Amygdala,51.56,78.98,Mus musculus
NEUR_5537,Cerebellum,9.58,78.48,Mus musculus
NEUR_7797,Striatum,52.37,115.7,Mus musculus
NEUR_3851,Cortex,43.37,52.45,Mus musculus
NEUR_1668,Hypothalamus,96.32,60.19,Mus musculus
NEUR_5151,Cortex,126.36,80.87,Rattus norvegicus
NEUR_7965,Cerebellum,93.95,118.18,Rattus norvegicus
NEUR_1359,Cortex,81.89,63.33,Macaca mulatta
NEUR_4535,Hypothalamus,39.56,39.68,Rattus norvegicus
NEUR_1976,Amygdala,27.45,96.78,Macaca mulatta
NEUR_3541,Striatum,117.19,86.17,Rattus norvegicus
NEUR_4882,Striatum,83.35,112.1,Danio rerio
NEUR_1579,Hypothalamus,33.92,18.8,Mus musculus
