neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_2177,Striatum,8.15,110.36,Macaca mulatta
NEUR_1826,Thalamus,66.08,26.25,Mus musculus
NEUR_3930,Striatum,34.95,48.22,Danio rerio
NEUR_5558,Hypothalamus,96.2,19.89,Danio rerio
NEUR_4747,Amygdala,45.29,27.02,Mus musculus
NEUR_5266,Cerebellum,131.12,26.92,Mus musculus
NEUR_9439,Hippocampus,65.47,60.71,Rattus norvegicus
NEUR_6463,Cerebellum,58.3,99.2,Rattus norvegicus
NEUR_4154,Thalamus,85.91,33.05,Macaca mulatta
NEUR_5249,Striatum,75.58,69.26,Danio rerio
NEUR_1681,Cerebellum,117.55,71.3,Rattus norvegicus
NEUR_1162,Cerebellum,108.65,70.7,Mus musculus
NEUR_4668,Hippocampus,125.11,20.51,Macaca mulatta
NEUR_4768,Cortex,22.73,72.88,Mus musculus
NEUR_1698,Striatum,110.83,29.75,Danio rerio
NEUR_8834,Amygdala,83.16,87.77,Mus musculus
NEUR_6575,Amygdala,110.58,94.42,Macaca mulatta
NEUR_1846,Hypothalamus,89.23,58.96,Danio rerio
NEUR_8251,Cortex,134.08,34.06,Mus musculus
NEUR_2100,Amygdala,92.8,68.67,Macaca mulatta
NEUR_6606,Striatum,59.36,95.46,Mus musculus
NEUR_6426,Cortex,39.9,39.49,Mus musculus
NEUR_5393,Thalamus,147.67,67.51,Mus musculus
NEUR_7349,Thalamus,5.27,60.05,Macaca mulatta
NEUR_9064,Hypothalamus,19.48,117.1,Mus musculus
NEUR_9572,Cortex,89.89,110.55,Macaca mulatta
NEUR_4869,Amygdala,14.13,35.4,Danio rerio
NEUR_1785,Striatum,106.02,89.01,Danio rerio
NEUR_7916,Striatum,34.15,50.19,Danio rerio
NEUR_5355,Thalamus,73.94,29.44,Macaca mulatta
NEUR_7710,Thalamus,11.68,88.57,Macaca mulatta
NEUR_1182,Cortex,72.84,34.43,Mus musculus
NEUR_9544,Hippocampus,115.31,94.42,Mus musculus
NEUR_7504,Cortex,44.37,63.49,Danio rerio
NEUR_2066,Hippocampus,93.65,51.65,Danio rerio
NEUR_8838,Hippocampus,109.12,40.79,Mus musculus
NEUR_9794,Amygdala,7.12,68.42,Mus musculus
NEUR_8076,Thalamus,128.73,106.41,Macaca mulatta
NEUR_4564,Cortex,40.64,108.94,Macaca mulatta
NEUR_3502,Hippocampus,117.4,67.55,Mus musculus
