neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_2734,Hypothalamus,36.22,67.67,Macaca mulatta
NEUR_9206,Thalamus,6.35,96.26,Rattus norvegicus
NEUR_2913,Cerebellum,69.55,88.59,Mus musculus
NEUR_3968,Cerebellum,30.73,72.42,Danio rerio
NEUR_4200,Thalamus,25.69,41.85,Danio rerio
NEUR_5342,Striatum,80.22,95.86,Macaca mulatta
NEUR_1037,Cerebellum,122.21,95.88,Danio rerio
NEUR_7820,Striatum,59.91,43.57,Rattus norvegicus
NEUR_9706,Hippocampus,51.72,31.04,Mus musculus
NEUR_5897,Thalamus,114.61,52.13,Macaca mulatta
NEUR_2341,Thalamus,79.96,116.3,Mus musculus
NEUR_6844,Hippocampus,130.23,89.85,Rattus norvegicus
NEUR_7079,Cortex,11.25,69.53,Mus musculus
NEUR_3348,Hippocampus,29.91,40.17,Danio rerio
NEUR_3083,Hippocampus,81.75,80.75,Macaca mulatta
NEUR_4030,Striatum,39.16,92.5,Mus musculus
NEUR_6676,Striatum,115.0,16.91,Mus musculus
NEUR_7995,Cortex,127.72,58.89,Danio rerio
NEUR_9548,Striatum,84.12,20.85,Rattus norvegicus
NEUR_2136,Cerebellum,60.77,46.37,Mus musculus
NEUR_8858,Striatum,29.45,66.87,Macaca mulatta
NEUR_5976,Cerebellum,100.3,60.89,Macaca mulatta
NEUR_4403,Amygdala,39.97,99.82,Rattus norvegicus
NEUR_4916,Striatum,24.47,73.38,Rattus norvegicus
NEUR_4558,Striatum,119.28,10.1,Danio rerio
NEUR_4987,Hypothalamus,88.35,100.54,Macaca mulatta
NEUR_3585,Hypothalamus,89.0,10.48,Macaca mulatta
NEUR_7605,Cortex,6.14,47.1,Mus musculus
NEUR_7648,Cerebellum,116.79,35.17,Rattus norvegicus
NEUR_1714,Hypothalamus,136.92,18.01,Macaca mulatta
NEUR_9830,Amygdala,88.1,75.11,Danio rerio
NEUR_9090,Cerebellum,51.99,65.27,Macaca mulatta
NEUR_8113,Hypothalamus,55.63,107.4,Mus musculus
NEUR_9295,Cortex,104.75,100.11,Mus musculus
NEUR_8681,Amygdala,134.17,78.39,Rattus norvegicus
NEUR_1192,Hypothalamus,70.68,115.5,Rattus norvegicus
NEUR_8070,Cerebellum,65.98,102.22,Danio rerio
NEUR_5845,Hypothalamus,38.3,115.75,Danio rerio
NEUR_5594,Amygdala,147.82,27.87,Danio rerio
