neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_9847,Thalamus,130.63,110.0,Macaca mulatta
NEUR_3734,Striatum,51.82,33.46,Danio rerio
NEUR_4923,Thalamus,116.08,39.82,Danio rerio
NEUR_5682,Hippocampus,101.23,82.62,Macaca mulatta
NEUR_1773,Hippocampus,45.9,17.76,Macaca mulatta
NEUR_5879,Hypothalamus,26.24,68.6,Mus musculus
NEUR_7601,Thalamus,11.09,107.86,Danio rerio
NEUR_7861,Thalamus,116.76,85.51,Rattus norvegicus
NEUR_2613,Hippocampus,109.41,41.72,Macaca mulatta
NEUR_3078,Thalamus,73.99,33.52,Rattus norvegicus
NEUR_9064,Amygdala,128.75,32.07,Macaca mulatta
NEUR_3525,Cerebellum,7.72,93.79,Rattus norvegicus
NEUR_7786,Hypothalamus,7.79,103.99,Danio rerio
NEUR_3535,Hippocampus,108.99,40.05,Macaca mulatta
NEUR_9567,Cortex,23.86,88.8,Macaca mulatta
NEUR_1067,Cortex,5.25,21.83,Mus musculus
NEUR_8082,Cerebellum,20.1,80.81,Mus musculus
NEUR_7691,Hippocampus,107.05,67.23,Rattus norvegicus
NEUR_5099,Striatum,64.42,52.7,Mus musculus
NEUR_6326,Cortex,108.18,55.36,Mus musculus
NEUR_8731,Hippocampus,61.26,70.75,Macaca mulatta
NEUR_5805,Striatum,133.38,116.98,Macaca mulatta
NEUR_3475,Hypothalamus,23.8,51.06,Mus musculus
NEUR_9393,Hippocampus,118.56,48.19,Macaca mulatta
NEUR_3680,Hypothalamus,86.33,27.34,Mus musculus
NEUR_7351,Hippocampus,105.08,114.26,Rattus norvegicus
NEUR_7128,Striatum,12.87,30.18,Danio rerio
NEUR_8564,Cerebellum,148.81,88.42,Danio rerio
NEUR_5221,Thalamus,130.82,21.0,Danio rerio
NEUR_4839,Hypothalamus,108.23,52.82,Macaca mulatta
NEUR_3843,Hippocampus,133.71,10.37,Mus musculus
NEUR_2743,Amygdala,147.63,82.05,Rattus norvegicus
NEUR_1154,Amygdala,93.38,68.5,Danio rerio
NEUR_5694,Cortex,7.11,33.28,Danio rerio
NEUR_6744,Hypothalamus,144.77,86.06,Mus musculus
NEUR_8293,Amygdala,138.68,112.98,Mus musculus
NEUR_4147,Hippocampus,109.94,46.33,Danio rerio
NEUR_3587,Thalamus,149.07,82.62,Rattus norvegicus
NEUR_4215,Hippocampus,51.25,115.4,Mus musculus
NEUR_6416,Hypothalamus,48.5,29.33,Macaca mulatta
NEUR_7664,Amygdala,52.13,68.47,Danio rerio
NEUR_8239,Amygdala,105.56,55.07,Mus musculus
NEUR_3371,Cerebellum,47.61,31.89,Rattus norvegicus
NEUR_8970,Cerebellum,140.01,35.45,Mus musculus
NEUR_3808,Striatum,128.64,97.75,Macaca mulatta
NEUR_3473,Cortex,116.47,38.9,Rattus norvegicus
NEUR_9786,Hypothalamus,94.26,116.37,Macaca mulatta
NEUR_8270,Striatum,110.64,82.9,Rattus norvegicus
NEUR_3000,Striatum,56.38,79.97,Macaca mulatta
NEUR_5091,Striatum,15.7,35.16,Macaca mulatta
NEUR_9572,Amygdala,27.34,79.75,Rattus norvegicus
NEUR_9858,Hippocampus,3.67,58.43,Macaca mulatta
NEUR_7310,Cerebellum,12.41,113.81,Macaca mulatta
NEUR_4112,Striatum,104.06,15.97,Rattus norvegicus
NEUR_7476,Striatum,72.36,69.42,Macaca mulatta
NEUR_4968,Hippocampus,133.91,82.64,Danio rerio
NEUR_9492,Amygdala,43.92,63.35,Rattus norvegicus
NEUR_4830,Cortex,28.12,40.01,Rattus norvegicus
NEUR_1040,Amygdala,7.23,104.55,Rattus norvegicus
NEUR_1260,Hypothalamus,132.97,61.75,Rattus norvegicus
NEUR_4268,Cortex,146.38,102.57,Mus musculus
NEUR_3323,Amygdala,86.38,17.16,Macaca mulatta
NEUR_7692,Striatum,38.06,28.82,Mus musculus
NEUR_1308,Striatum,100.25,60.13,Danio rerio
NEUR_4610,Striatum,71.46,45.68,Danio rerio
NEUR_6773,Amygdala,81.43,115.13,Danio rerio
NEUR_4672,Thalamus,13.46,96.76,Macaca mulatta
NEUR_8904,Cerebellum,39.21,29.28,Danio rerio
NEUR_7912,Hypothalamus,138.78,94.18,Danio rerio
NEUR_8714,Hypothalamus,117.0,107.98,Rattus norvegicus
NEUR_5821,Cortex,21.11,99.93,Macaca mulatta
NEUR_3849,Cerebellum,110.74,109.09,Macaca mulatta
NEUR_6239,Cortex,140.15,37.3,Mus musculus
NEUR_4691,Cerebellum,72.49,33.33,Mus musculus
NEUR_9600,Amygdala,40.16,93.71,Danio rerio
NEUR_2144,Cortex,99.25,72.83,Mus musculus
NEUR_3658,Thalamus,143.98,76.5,Mus musculus
NEUR_4639,Amygdala,24.13,83.65,Danio rerio
NEUR_9155,Amygdala,110.12,12.68,Macaca mulatta
NEUR_8100,Cerebellum,33.97,65.97,Rattus norvegicus
NEUR_1296,Striatum,109.36,84.34,Rattus norvegicus
NEUR_8851,Thalamus,102.17,68.97,Mus musculus
NEUR_6172,Striatum,1.91,34.45,Danio rerio
NEUR_8452,Striatum,140.88,104.56,Macaca mulatta
NEUR_1178,Hippocampus,85.53,117.64,Mus musculus
NEUR_2371,Cerebellum,78.03,29.09,Danio rerio
NEUR_9905,Hypothalamus,89.87,87.92,Danio rerio
NEUR_7371,Striatum,91.16,45.31,Mus musculus
NEUR_1727,Hypothalamus,144.06,45.1,Macaca mulatta
NEUR_2617,Thalamus,3.65,108.53,Macaca mulatta
NEUR_8567,Cerebellum,84.89,104.33,Rattus norvegicus
NEUR_9323,Striatum,7.41,47.53,Danio rerio
NEUR_7895,Amygdala,113.98,74.68,Mus musculus
NEUR_5157,Thalamus,48.1,18.78,Macaca mulatta
NEUR_6628,Hypothalamus,18.78,96.47,Danio rerio
NEUR_3989,Hippocampus,132.36,98.45,Mus musculus
NEUR_4132,Cerebellum,124.04,15.6,Macaca mulatta
NEUR_7226,Hippocampus,110.16,48.46,Danio rerio
NEUR_1400,Striatum,99.52,89.95,Danio rerio
NEUR_8481,Thalamus,18.76,80.14,Macaca mulatta
NEUR_3862,Cerebellum,125.1,65.5,Rattus norvegicus
NEUR_3831,Cerebellum,39.56,117.44,Danio rerio
NEUR_2940,Hippocampus,49.77,89.02,Danio rerio
NEUR_7578,Cortex,1.03,95.55,Danio rerio
NEUR_7795,Cerebellum,134.64,107.51,Mus musculus
NEUR_3468,Cortex,123.66,19.5,Macaca mulatta
NEUR_6073,Hypothalamus,83.58,28.69,Macaca mulatta
NEUR_5357,Thalamus,62.52,103.7,Mus musculus
NEUR_8634,Cortex,106.91,23.81,Danio rerio
NEUR_7361,Hippocampus,120.77,115.58,Macaca mulatta
NEUR_5342,Hypothalamus,54.63,58.86,Rattus norvegicus
NEUR_1136,Thalamus,146.59,57.57,Danio rerio
NEUR_1532,Thalamus,75.23,20.13,Danio rerio
NEUR_4379,Cerebellum,8.15,39.15,Mus musculus
NEUR_9597,Hypothalamus,91.98,25.7,Mus musculus
NEUR_7239,Striatum,42.31,41.25,Rattus norvegicus
NEUR_1631,Thalamus,7.1,89.97,Danio rerio
NEUR_6971,Hippocampus,141.63,85.17,Rattus norvegicus
NEUR_1511,Hippocampus,71.35,74.44,Macaca mulatta
NEUR_8320,Cerebellum,34.97,27.98,Danio rerio
NEUR_3053,Thalamus,94.66,24.83,Mus musculus
NEUR_4454,Amygdala,62.65,86.39,Rattus norvegicus
NEUR_4353,Cerebellum,13.47,12.72,Macaca mulatta
NEUR_6058,Hypothalamus,31.94,91.28,Rattus norvegicus
NEUR_8922,Thalamus,72.3,15.59,Mus musculus
NEUR_8878,Hippocampus,103.06,71.89,Danio rerio
NEUR_5655,Cerebellum,117.88,54.15,Macaca mulatta
NEUR_7290,Striatum,54.45,65.44,Rattus norvegicus
NEUR_8981,Hypothalamus,45.46,93.06,Mus musculus
NEUR_1574,Striatum,92.43,47.68,Macaca mulatta
NEUR_6138,Thalamus,137.7,63.69,Mus musculus
NEUR_8829,Cerebellum,75.4,102.43,Rattus norvegicus
NEUR_1270,Amygdala,72.02,97.65,Mus musculus
NEUR_3141,Amygdala,95.73,50.36,Rattus norvegicus
NEUR_6261,Striatum,69.56,93.5,Rattus norvegicus
NEUR_7818,Cortex,138.21,14.37,Mus musculus
NEUR_5196,Thalamus,147.3,36.24,Rattus norvegicus
NEUR_8183,Striatum,54.51,48.96,Macaca mulatta
NEUR_6364,Amygdala,26.22,66.97,Danio rerio
NEUR_8715,Cortex,20.86,43.51,Rattus norvegicus
NEUR_7416,Thalamus,26.99,107.09,Macaca mulatta
NEUR_5044,Striatum,57.3,35.53,Danio rerio
NEUR_3402,Cortex,4.16,21.81,Rattus norvegicus
NEUR_7976,Hypothalamus,104.84,33.13,Macaca mulatta
NEUR_3329,Striatum,31.13,20.98,Macaca mulatta
NEUR_5749,Thalamus,53.41,86.96,Macaca mulatta
NEUR_2684,Thalamus,145.04,68.92,Macaca mulatta
NEUR_7910,Thalamus,35.9,69.45,Rattus norvegicus
NEUR_6606,Hypothalamus,72.97,26.55,Macaca mulatta
NEUR_7343,Cortex,53.17,32.21,Rattus norvegicus
NEUR_5497,Cerebellum,49.52,104.44,Macaca mulatta
NEUR_4860,Striatum,107.46,66.78,Macaca mulatta
NEUR_3638,Striatum,75.31,85.14,Rattus norvegicus
NEUR_1631,Thalamus,21.06,98.41,Mus musculus
NEUR_8975,Cerebellum,53.39,38.28,Danio rerio
NEUR_4957,Hypothalamus,128.08,56.03,Macaca mulatta
NEUR_8827,Thalamus,43.77,71.71,Mus musculus
NEUR_3950,Thalamus,21.55,29.17,Mus musculus
NEUR_9525,Hippocampus,67.16,36.52,Macaca mulatta
NEUR_2463,Cortex,141.14,32.05,Danio rerio
NEUR_2676,Hippocampus,58.22,12.98,Macaca mulatta
NEUR_2988,Hypothalamus,113.96,33.96,Macaca mulatta
NEUR_3100,Hypothalamus,129.43,106.65,Danio rerio
NEUR_6551,Amygdala,3.67,11.75,Rattus norvegicus
NEUR_7320,Cortex,44.42,89.77,Rattus norvegicus
NEUR_5627,Amygdala,27.56,81.46,Macaca mulatta
NEUR_5588,Hippocampus,89.75,111.04,Mus musculus
NEUR_7753,Hippocampus,112.19,49.0,Mus musculus
NEUR_7769,Striatum,109.0,11.7,Macaca mulatta
NEUR_3329,Hypothalamus,31.09,71.12,Macaca mulatta
NEUR_3944,Striatum,89.74,18.71,Macaca mulatta
NEUR_7388,Striatum,99.88,37.47,Mus musculus
NEUR_3194,Cerebellum,83.49,16.22,Mus musculus
NEUR_1114,Striatum,49.42,44.11,Mus musculus
NEUR_3122,Amygdala,94.22,27.65,Rattus norvegicus
NEUR_1827,Thalamus,43.5,79.57,Mus musculus
NEUR_8037,Cerebellum,112.4,35.15,Rattus norvegicus
NEUR_1784,Cortex,120.82,91.36,Rattus norvegicus
NEUR_7595,Striatum,95.17,83.29,Mus musculus
NEUR_7160,Striatum,21.02,35.48,Mus musculus
NEUR_5956,Cerebellum,3.16,101.46,Danio rerio
NEUR_8421,Amygdala,38.33,20.68,Rattus norvegicus
NEUR_7396,Amygdala,0.37,39.06,Rattus norvegicus
NEUR_3326,Thalamus,56.06,93.1,Rattus norvegicus
NEUR_9998,Hippocampus,142.98,117.6,Danio rerio
NEUR_7741,Thalamus,128.62,41.21,Macaca mulatta
NEUR_4467,Striatum,25.95,50.65,Danio rerio
NEUR_1943,Thalamus,126.1,71.42,Mus musculus
NEUR_8523,Cerebellum,88.25,48.47,Mus musculus
NEUR_7640,Cortex,100.39,119.02,Danio rerio
NEUR_6531,Cortex,27.25,118.41,Mus musculus
NEUR_5001,Cortex,133.33,66.99,Danio rerio
NEUR_3322,Cortex,67.87,46.08,Mus musculus
NEUR_3913,Cortex,6.39,57.29,Mus musculus
NEUR_8922,Cortex,1.67,100.76,Macaca mulatta
NEUR_5338,Cortex,70.29,35.67,Danio rerio
NEUR_4352,Thalamus,14.73,112.68,Mus musculus
NEUR_7290,Hippocampus,89.33,31.5,Mus musculus
