neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_9603,Cerebellum,146.41,118.96,Macaca mulatta
NEUR_4577,Hypothalamus,55.34,18.92,Mus musculus
NEUR_4561,Thalamus,107.86,105.82,Macaca mulatta
NEUR_2712,Thalamus,0.3,61.42,Danio rerio
NEUR_4810,Cerebellum,72.5,113.8,Rattus norvegicus
NEUR_2846,Cerebellum,93.71,86.56,Rattus norvegicus
NEUR_7778,Hippocampus,130.05,110.72,Rattus norvegicus
NEUR_1560,Amygdala,52.93,79.24,Rattus norvegicus
NEUR_4307,Amygdala,8.86,52.69,Mus musculus
NEUR_2494,Amygdala,133.86,99.51,Rattus norvegicus
NEUR_7695,Striatum,125.16,103.55,Rattus norvegicus
NEUR_9803,Cerebellum,109.43,43.05,Macaca mulatta
NEUR_9596,Amygdala,48.52,102.67,Mus musculus
NEUR_7629,Hippocampus,98.45,50.55,Rattus norvegicus
NEUR_8667,Thalamus,128.41,89.35,Rattus norvegicus
NEUR_1321,Thalamus,75.38,82.22,Mus musculus
NEUR_9551,Cerebellum,6.15,28.21,Macaca mulatta
NEUR_3728,Cortex,138.44,58.14,Rattus norvegicus
NEUR_3545,Amygdala,135.91,109.07,Rattus norvegicus
NEUR_3778,Striatum,18.07,37.73,Danio rerio
NEUR_1504,Cortex,136.86,69.0,Macaca mulatta
NEUR_7480,Amygdala,25.72,99.55,Danio rerio
NEUR_1605,Cortex,142.73,11.2,Macaca mulatta
NEUR_5788,Thalamus,142.73,44.83,Mus musculus
NEUR_6014,Amygdala,145.52,25.06,Rattus norvegicus
NEUR_2445,Hypothalamus,75.27,25.21,Rattus norvegicus
NEUR_9151,Hypothalamus,103.73,117.59,Mus musculus
NEUR_4826,Hippocampus,121.79,26.97,Macaca mulatta
NEUR_4438,Striatum,86.99,96.55,Mus musculus
NEUR_5366,Cortex,35.18,29.17,Mus musculus
NEUR_8323,Striatum,101.82,10.56,Mus musculus
NEUR_7475,Cerebellum,141.41,112.29,Danio rerio
NEUR_5396,Amygdala,12.65,37.57,Rattus norvegicus
NEUR_5470,Hypothalamus,130.09,14.12,Macaca mulatta
NEUR_1849,Hypothalamus,4.06,101.8,Rattus norvegicus
NEUR_3495,Hippocampus,57.62,92.11,Danio rerio
NEUR_6383,Striatum,40.17,60.25,Mus musculus
NEUR_9260,Cerebellum,131.26,23.54,Danio rerio
NEUR_2853,Hippocampus,51.59,17.7,Macaca mulatta
NEUR_1857,Thalamus,31.12,26.71,Macaca mulatta
NEUR_1551,Cerebellum,45.39,42.11,Macaca mulatta
NEUR_7782,Hippocampus,25.35,44.82,Macaca mulatta
NEUR_4459,Cortex,20.39,86.64,Rattus norvegicus
NEUR_2456,Striatum,24.82,94.48,Danio rerio
NEUR_9683,Hippocampus,24.24,71.45,Rattus norvegicus
NEUR_1526,Cerebellum,84.65,25.55,Danio rerio
NEUR_9691,Striatum,50.92,54.15,Macaca mulatta
