neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_7990,Amygdala,23.24,70.96,Rattus norvegicus
NEUR_2440,Hypothalamus,98.8,90.21,Rattus norvegicus
NEUR_9198,Cerebellum,87.99,57.55,Macaca mulatta
NEUR_1334,Cortex,45.16,47.32,Mus musculus
NEUR_3728,Hippocampus,51.96,67.8,Mus musculus
NEUR_8788,Amygdala,51.56,27.48,Danio rerio
NEUR_2564,Hypothalamus,124.69,29.17,Danio rerio
NEUR_3486,Striatum,87.8,117.82,Mus musculus
NEUR_3636,Amygdala,138.29,29.63,Danio rerio
NEUR_9686,Hypothalamus,17.14,96.33,Rattus norvegicus
NEUR_4891,Striatum,68.2,80.43,Mus musculus
NEUR_7602,Cerebellum,147.0,107.53,Rattus norvegicus
NEUR_5545,Cortex,38.66,11.77,Rattus norvegicus
NEUR_4866,Cerebellum,77.36,55.05,Danio rerio
NEUR_2797,Thalamus,1.49,59.04,Rattus norvegicus
NEUR_2964,Hypothalamus,109.56,47.07,Danio rerio
NEUR_7906,Thalamus,83.99,78.13,Mus musculus
NEUR_7645,Striatum,125.97,11.51,Macaca mulatta
NEUR_8179,Striatum,72.19,75.4,Mus musculus
NEUR_6112,Amygdala,41.71,57.39,Danio rerio
NEUR_7582,Hypothalamus,14.46,96.07,Danio rerio
NEUR_5868,Hippocampus,145.25,28.81,Danio rerio
NEUR_4221,Cerebellum,38.01,60.86,Rattus norvegicus
NEUR_5704,Cerebellum,85.62,94.88,Macaca mulatta
NEUR_9454,Hippocampus,6.96,53.74,Rattus norvegicus
NEUR_3801,Hippocampus,22.03,25.93,Mus musculus
NEUR_7722,Thalamus,57.55,54.16,Mus musculus
NEUR_1331,Hippocampus,133.74,54.7,Danio rerio
NEUR_2864,Thalamus,16.99,30.37,Rattus norvegicus
NEUR_9027,Hypothalamus,2.28,58.65,Mus musculus
NEUR_4123,Hippocampus,143.09,63.41,Macaca mulatta
NEUR_8991,Thalamus,70.55,33.82,Rattus norvegicus
NEUR_2851,Striatum,14.23,18.14,Macaca mulatta
NEUR_4345,Hypothalamus,139.71,47.72,Macaca mulatta
NEUR_4159,Cerebellum,98.68,47.6,Mus musculus
NEUR_1583,Thalamus,50.49,90.01,Mus musculus
NEUR_4632,Thalamus,114.7,52.0,Mus musculus
NEUR_4008,Cerebellum,6.25,20.87,Mus musculus
NEUR_6229,Striatum,5.84,39.74,Macaca mulatta
NEUR_1416,Striatum,125.12,31.39,Danio rerio
NEUR_5350,Amygdala,133.65,90.07,Rattus norvegicus
NEUR_6767,Cerebellum,106.58,113.36,Macaca mulatta
NEUR_1775,Amygdala,65.3,10.43,Danio rerio
NEUR_9659,Thalamus,52.34,73.41,Macaca mulatta
NEUR_4436,Amygdala,68.49,12.22,Mus musculus
NEUR_5073,Amygdala,111.26,90.92,Rattus norvegicus
NEUR_8634,Hypothalamus,110.33,99.27,Danio rerio
NEUR_3003,Striatum,117.11,67.98,Macaca mulatta
NEUR_7634,Cerebellum,17.62,117.74,Danio rerio
NEUR_5547,Hypothalamus,44.09,69.89,Macaca mulatta
NEUR_6177,Cerebellum,144.33,31.78,Danio rerio
NEUR_1771,Cerebellum,16.22,113.63,Rattus norvegicus
NEUR_1394,Cerebellum,144.42,119.58,Rattus norvegicus
NEUR_2525,Amygdala,84.97,43.61,Macaca mulatta
NEUR_3734,Striatum,6.4,105.63,Macaca mulatta
NEUR_7855,Cerebellum,4.81,68.39,Macaca mulatta
NEUR_5573,Cerebellum,116.81,15.26,Danio rerio
NEUR_9910,Hypothalamus,74.34,49.23,Rattus norvegicus
NEUR_2021,Cerebellum,15.06,28.04,Danio rerio
NEUR_8449,Cortex,128.79,109.86,Rattus norvegicus
NEUR_2603,Hippocampus,38.44,104.66,Danio rerio
NEUR_6706,Thalamus,12.68,50.47,Mus musculus
NEUR_7566,Thalamus,19.6,76.99,Danio rerio
NEUR_3256,Amygdala,123.64,76.49,Macaca mulatta
NEUR_5009,Hippocampus,50.41,104.23,Mus musculus
NEUR_7924,Amygdala,125.5,14.79,Rattus norvegicus
NEUR_7853,Amygdala,1.21,55.89,Macaca mulatta
NEUR_7188,Striatum,53.29,43.11,Rattus norvegicus
NEUR_4570,Cerebellum,47.6,98.41,Danio rerio
NEUR_6875,Hypothalamus,131.0,25.14,Rattus norvegicus
NEUR_8948,Cerebellum,72.7,78.03,Rattus norvegicus
NEUR_1949,Hypothalamus,22.71,112.02,Macaca mulatta
NEUR_9746,Thalamus,59.88,10.5,Mus musculus
NEUR_7263,Amygdala,114.72,31.74,Rattus norvegicus
NEUR_2144,Hippocampus,95.25,28.6,Mus musculus
NEUR_3033,Striatum,17.22,110.84,Mus musculus
NEUR_8562,Cerebellum,45.95,76.32,Rattus norvegicus
NEUR_7437,Striatum,57.36,65.0,Danio rerio
NEUR_8042,Striatum,94.66,81.39,Rattus norvegicus
NEUR_2505,Cortex,86.74,41.53,Mus musculus
NEUR_7119,Cerebellum,102.03,111.86,Danio rerio
NEUR_8155,Hippocampus,13.29,77.07,Danio rerio
NEUR_9301,Cortex,52.42,105.88,Rattus norvegicus
NEUR_2109,Cortex,112.69,96.27,Danio rerio
NEUR_8309,Striatum,118.39,80.55,Mus musculus
NEUR_9273,Striatum,106.61,107.01,Rattus norvegicus
NEUR_3197,Hypothalamus,66.13,84.63,Rattus norvegicus
NEUR_4308,Amygdala,72.32,113.78,Rattus norvegicus
NEUR_9045,Cerebellum,116.72,87.56,Macaca mulatta
NEUR_3259,Cortex,23.39,45.07,Mus musculus
NEUR_4994,Striatum,63.23,97.95,Danio rerio
NEUR_8684,Striatum,15.93,79.84,Danio rerio
NEUR_2519,Thalamus,11.06,41.48,Danio rerio
NEUR_7094,Cerebellum,109.89,92.07,Macaca mulatta
NEUR_2198,Thalamus,49.97,70.67,Macaca mulatta
NEUR_7858,Thalamus,60.6,59.74,Danio rerio
NEUR_7104,Cerebellum,49.83,32.77,Macaca mulatta
NEUR_2036,Hypothalamus,44.81,100.41,Rattus norvegicus
NEUR_7045,Cortex,127.74,79.51,Macaca mulatta
NEUR_7793,Hippocampus,137.02,11.78,Macaca mulatta
NEUR_5766,Hippocampus,24.97,30.35,Mus musculus
NEUR_2828,Cerebellum,94.21,87.59,Danio rerio
NEUR_2368,Cerebellum,70.17,37.3,Rattus norvegicus
NEUR_7743,Hypothalamus,143.54,16.97,Danio rerio
NEUR_5147,Amygdala,8.08,73.25,Macaca mulatta
NEUR_9252,Cerebellum,107.18,111.29,Rattus norvegicus
NEUR_1351,Thalamus,72.95,31.92,Danio rerio
NEUR_5748,Amygdala,86.06,102.59,Mus musculus
NEUR_4035,Hippocampus,74.75,92.93,Rattus norvegicus
NEUR_1614,Thalamus,64.4,72.1,Rattus norvegicus
NEUR_2454,Thalamus,93.03,54.96,Rattus norvegicus
NEUR_6827,Striatum,95.01,70.39,Macaca mulatta
NEUR_8959,Hippocampus,133.69,87.7,Danio rerio
NEUR_9634,Amygdala,17.04,76.07,Rattus norvegicus
NEUR_2962,Cortex,64.97,34.15,Macaca mulatta
NEUR_8227,Striatum,138.12,25.03,Rattus norvegicus
NEUR_3618,Amygdala,46.57,97.68,Mus musculus
NEUR_2658,Hippocampus,56.03,116.42,Macaca mulatta
NEUR_6318,Hypothalamus,18.87,84.29,Danio rerio
NEUR_3895,Striatum,36.17,73.14,Danio rerio
NEUR_9680,Amygdala,21.04,59.32,Danio rerio
NEUR_9430,Cerebellum,24.21,101.77,Danio rerio
NEUR_9657,Hypothalamus,75.72,54.42,Mus musculus
NEUR_5847,Cerebellum,8.21,39.91,Mus musculus
NEUR_9890,Amygdala,63.98,92.31,Rattus norvegicus
NEUR_4941,Cerebellum,99.3,61.59,Rattus norvegicus
NEUR_3554,Cortex,69.25,112.81,Rattus norvegicus
NEUR_6564,Amygdala,65.42,104.59,Macaca mulatta
NEUR_3478,Amygdala,98.67,54.64,Macaca mulatta
NEUR_8949,Hypothalamus,129.94,27.62,Macaca mulatta
NEUR_4144,Striatum,39.39,88.21,Danio rerio
NEUR_5622,Hypothalamus,74.59,57.97,Rattus norvegicus
NEUR_7645,Striatum,9.57,67.12,Rattus norvegicus
NEUR_4736,Striatum,73.04,16.92,Danio rerio
NEUR_6297,Cortex,113.46,39.6,Macaca mulatta
NEUR_8597,Hippocampus,48.01,86.26,Macaca mulatta
NEUR_8315,Hypothalamus,22.99,82.22,Mus musculus
NEUR_5712,Cerebellum,52.06,110.77,Rattus norvegicus
NEUR_1577,Striatum,8.55,30.5,Macaca mulatta
NEUR_3457,Thalamus,82.46,73.14,Rattus norvegicus
NEUR_1506,Hippocampus,98.29,107.5,Mus musculus
NEUR_5823,Hypothalamus,94.07,115.09,Rattus norvegicus
NEUR_9200,Cerebellum,24.36,47.95,Macaca mulatta
NEUR_4466,Amygdala,109.26,65.73,Macaca mulatta
NEUR_1482,Cortex,83.08,38.24,Mus musculus
NEUR_3021,Hypothalamus,138.71,49.21,Mus musculus
NEUR_6014,Striatum,91.93,44.12,Rattus norvegicus
NEUR_9834,Hippocampus,55.31,79.22,Rattus norvegicus
NEUR_9491,Striatum,24.45,57.24,Macaca mulatta
NEUR_7676,Striatum,125.53,45.76,Mus musculus
NEUR_5418,Hippocampus,83.06,44.97,Macaca mulatta
NEUR_7143,Hypothalamus,31.64,32.42,Danio rerio
NEUR_6734,Cerebellum,119.87,113.51,Rattus norvegicus
NEUR_5347,Striatum,108.2,98.09,Danio rerio
NEUR_5918,Hypothalamus,93.97,23.28,Rattus norvegicus
NEUR_9543,Amygdala,4.28,110.97,Macaca mulatta
NEUR_6904,Amygdala,109.57,100.08,Danio rerio
NEUR_3146,Striatum,19.83,98.84,Mus musculus
NEUR_3771,Hypothalamus,38.34,96.21,Danio rerio
NEUR_9906,Amygdala,58.33,57.4,Rattus norvegicus
NEUR_9069,Hypothalamus,95.81,96.55,Mus musculus
NEUR_6339,Amygdala,35.17,42.99,Mus musculus
NEUR_9332,Thalamus,92.21,82.86,Danio rerio
NEUR_4190,Hippocampus,102.56,90.25,Mus musculus
NEUR_8852,Cerebellum,37.85,116.52,Mus musculus
NEUR_7074,Cortex,88.58,102.41,Rattus norvegicus
NEUR_6540,Thalamus,114.6,112.63,Danio rerio
NEUR_6226,Cerebellum,84.25,114.1,Rattus norvegicus
NEUR_4497,Amygdala,85.57,16.25,Macaca mulatta
NEUR_7946,Striatum,117.43,47.22,Danio rerio
NEUR_1971,Hippocampus,8.75,38.62,Danio rerio
NEUR_6892,Cerebellum,82.29,84.0,Macaca mulatta
NEUR_9022,Amygdala,144.62,73.5,Danio rerio
NEUR_6560,Hypothalamus,89.08,35.4,Mus musculus
NEUR_5114,Amygdala,54.19,84.2,Danio rerio
NEUR_5099,Thalamus,8.38,57.01,Mus musculus
NEUR_6305,Cortex,140.09,115.2,Macaca mulatta
NEUR_2955,Hypothalamus,60.73,116.29,Macaca mulatta
NEUR_2809,Hippocampus,44.1,119.24,Danio rerio
NEUR_9455,Cerebellum,131.68,45.4,Rattus norvegicus
NEUR_1913,Hypothalamus,104.56,91.28,Macaca mulatta
NEUR_6141,Cortex,63.99,87.28,Danio rerio
NEUR_9276,Amygdala,35.18,16.93,Rattus norvegicus
NEUR_9775,Hippocampus,101.68,116.51,Rattus norvegicus
NEUR_8627,Amygdala,39.62,93.44,Macaca mulatta
NEUR_3674,Striatum,5.56,73.7,Mus musculus
NEUR_8323,Hippocampus,39.49,16.35,Mus musculus
NEUR_7866,Amygdala,30.6,21.1,Mus musculus
NEUR_9144,Cerebellum,27.42,78.68,Danio rerio
NEUR_2595,Amygdala,13.69,42.86,Rattus norvegicus
NEUR_2179,Hypothalamus,119.81,13.62,Danio rerio
NEUR_8924,Cortex,19.52,106.35,Macaca mulatta
NEUR_9774,Striatum,134.07,110.68,Danio rerio
NEUR_8608,Hippocampus,82.97,97.44,Macaca mulatta
NEUR_2259,Hippocampus,48.78,67.34,Macaca mulatta
NEUR_2828,Amygdala,144.19,21.98,Macaca mulatta
NEUR_5001,Hypothalamus,146.13,49.21,Mus musculus
NEUR_7960,Thalamus,126.25,41.15,Macaca mulatta
NEUR_2675,Cerebellum,134.02,63.86,Macaca mulatta
NEUR_1474,Hypothalamus,149.61,85.13,Rattus norvegicus
NEUR_8189,Amygdala,78.54,89.63,Mus musculus
NEUR_2088,Cerebellum,117.58,103.1,Rattus norvegicus
NEUR_4840,Striatum,146.71,15.02,Mus musculus
NEUR_5140,Cerebellum,69.1,55.71,Macaca mulatta
NEUR_5802,Cerebellum,142.11,95.15,Mus musculus
NEUR_9913,Amygdala,101.89,53.57,Rattus norvegicus
NEUR_7974,Amygdala,130.56,85.4,Mus musculus
NEUR_5830,Thalamus,30.43,39.89,Macaca mulatta
NEUR_1605,Amygdala,43.62,50.78,Danio rerio
NEUR_1017,Cortex,2.53,99.62,Macaca mulatta
NEUR_1921,Cortex,103.37,112.44,Danio rerio
NEUR_3982,Cortex,37.01,19.57,Macaca mulatta
NEUR_6575,Amygdala,54.99,97.01,Rattus norvegicus
NEUR_9562,Amygdala,46.58,10.47,Danio rerio
NEUR_2371,Hippocampus,13.09,117.66,Rattus norvegicus
NEUR_4973,Hypothalamus,65.55,10.06,Macaca mulatta
NEUR_4044,Thalamus,89.0,82.68,Rattus norvegicus
NEUR_3171,Hippocampus,53.05,75.56,Rattus norvegicus
NEUR_6908,Cerebellum,140.23,109.24,Mus musculus
NEUR_2661,Cortex,143.02,63.47,Mus musculus
NEUR_1635,Cerebellum,86.45,11.04,Danio rerio
NEUR_6913,Hypothalamus,66.79,74.51,Mus musculus
NEUR_1246,Hypothalamus,120.7,30.81,Macaca mulatta
NEUR_5146,Cerebellum,64.25,86.79,Macaca mulatta
NEUR_7352,Cerebellum,40.73,44.26,Macaca mulatta
NEUR_2494,Thalamus,130.51,13.43,Mus musculus
NEUR_9353,Amygdala,75.31,49.91,Macaca mulatta
NEUR_3236,Cortex,20.73,19.04,Rattus norvegicus
NEUR_1710,Amygdala,66.27,94.07,Rattus norvegicus
NEUR_8789,Cerebellum,68.58,80.67,Danio rerio
NEUR_1835,Amygdala,128.66,46.72,Mus musculus
NEUR_5113,Amygdala,49.48,101.97,Danio rerio
NEUR_4207,Thalamus,80.38,25.41,Mus musculus
NEUR_2295,Hippocampus,7.95,53.4,Mus musculus
NEUR_8986,Hippocampus,41.9,52.57,Macaca mulatta
NEUR_4102,Thalamus,54.2,44.16,Danio rerio
NEUR_8133,Hypothalamus,23.33,93.49,Mus musculus
NEUR_7574,Striatum,96.92,57.93,Macaca mulatta
NEUR_7278,Cerebellum,17.8,41.51,Mus musculus
NEUR_9980,Hippocampus,78.52,88.08,Macaca mulatta
NEUR_5289,Amygdala,121.5,105.43,Danio rerio
NEUR_7719,Cortex,143.29,33.35,Macaca mulatta
NEUR_5074,Cortex,15.21,106.76,Mus musculus
NEUR_6234,Amygdala,54.57,72.05,Macaca mulatta
NEUR_3311,Thalamus,149.47,40.15,Danio rerio
NEUR_3839,Striatum,55.85,71.92,Macaca mulatta
NEUR_1981,Striatum,72.6,29.52,Danio rerio
NEUR_9107,Thalamus,130.58,105.12,Rattus norvegicus
NEUR_1212,Hypothalamus,140.04,61.97,Danio rerio
NEUR_5129,Thalamus,23.74,118.53,Danio rerio
NEUR_6124,Amygdala,114.35,115.81,Danio rerio
NEUR_5053,Thalamus,51.39,113.52,Macaca mulatta
NEUR_1019,Hypothalamus,100.39,101.96,Macaca mulatta
NEUR_5839,Amygdala,143.98,76.25,Danio rerio
NEUR_6074,Striatum,128.35,20.39,Macaca mulatta
NEUR_6438,Hypothalamus,76.33,112.34,Danio rerio
NEUR_8608,Cortex,109.67,74.4,Mus musculus
NEUR_5655,Hypothalamus,71.27,13.47,Rattus norvegicus
NEUR_2406,Thalamus,44.2,57.76,Macaca mulatta
NEUR_9018,Cortex,34.55,12.61,Rattus norvegicus
NEUR_7688,Striatum,2.95,104.35,Macaca mulatta
NEUR_6944,Hypothalamus,147.03,83.93,Mus musculus
NEUR_9863,Striatum,109.94,60.06,Macaca mulatta
NEUR_8829,Amygdala,89.06,87.73,Mus musculus
NEUR_6536,Cerebellum,31.71,111.72,Rattus norvegicus
NEUR_2068,Hypothalamus,81.71,28.67,Rattus norvegicus
NEUR_3549,Thalamus,126.63,80.44,Danio rerio
NEUR_1941,Striatum,104.18,67.34,Rattus norvegicus
NEUR_9708,Striatum,134.83,91.55,Macaca mulatta
NEUR_4345,Cortex,98.77,97.03,Mus musculus
NEUR_8096,Hypothalamus,92.62,49.03,Mus musculus
NEUR_9203,Cortex,116.25,43.31,Mus musculus
NEUR_2106,Cerebellum,88.78,95.48,Macaca mulatta
NEUR_8965,Amygdala,2.54,80.37,Rattus norvegicus
NEUR_3810,Hippocampus,23.84,21.68,Macaca mulatta
NEUR_4331,Amygdala,18.69,62.68,Rattus norvegicus
NEUR_4256,Amygdala,68.73,102.04,Rattus norvegicus
NEUR_9891,Striatum,109.47,110.2,Mus musculus
NEUR_1312,Hippocampus,86.72,48.1,Macaca mulatta
NEUR_9334,Hypothalamus,73.8,25.72,Mus musculus
NEUR_4532,Hypothalamus,123.91,21.96,Rattus norvegicus
NEUR_5593,Striatum,41.41,63.19,Danio rerio
NEUR_1073,Thalamus,90.59,27.64,Mus musculus
NEUR_9303,Striatum,92.01,118.14,Danio rerio
NEUR_8548,Amygdala,96.29,42.58,Mus musculus
NEUR_5379,Striatum,63.74,56.27,Mus musculus
NEUR_3916,Striatum,52.13,71.7,Danio rerio
NEUR_5547,Hippocampus,135.77,26.0,Macaca mulatta
NEUR_4220,Hypothalamus,42.36,12.13,Mus musculus
NEUR_1852,Amygdala,105.09,14.9,Mus musculus
NEUR_3468,Cortex,94.63,61.56,Macaca mulatta
NEUR_2176,Hippocampus,81.39,71.42,Danio rerio
NEUR_9187,Amygdala,3.75,58.44,Danio rerio
NEUR_5557,Cortex,137.18,33.56,Rattus norvegicus
NEUR_1255,Hypothalamus,94.53,82.27,Macaca mulatta
NEUR_1168,Thalamus,138.8,99.06,Danio rerio
NEUR_5357,Cerebellum,37.11,71.65,Danio rerio
NEUR_4504,Striatum,95.73,117.84,Danio rerio
NEUR_8112,Hypothalamus,138.23,71.63,Mus musculus
NEUR_1635,Cortex,123.51,37.45,Mus musculus
NEUR_6846,Amygdala,81.12,12.97,Danio rerio
NEUR_1532,Striatum,139.44,39.39,Macaca mulatta
NEUR_1927,Cerebellum,67.09,30.01,Mus musculus
NEUR_5379,Amygdala,145.87,111.28,Rattus norvegicus
NEUR_5139,Hippocampus,147.42,42.83,Danio rerio
NEUR_4515,Hippocampus,142.57,59.99,Rattus norvegicus
NEUR_2492,Hypothalamus,17.13,32.1,Danio rerio
NEUR_9518,Hippocampus,7.4,38.37,Mus musculus
NEUR_5136,Striatum,96.82,77.42,Danio rerio
