neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_8816,Hippocampus,89.61,41.6,Danio rerio
NEUR_9926,Hypothalamus,40.61,101.12,Mus musculus
NEUR_2491,Amygdala,64.31,100.76,Danio rerio
NEUR_2719,Hippocampus,44.07,74.01,Rattus norvegicus
NEUR_1160,Thalamus,116.08,12.31,Macaca mulatta
NEUR_6082,Hypothalamus,106.03,41.55,Danio rerio
NEUR_4731,Cerebellum,121.85,70.69,Danio rerio
NEUR_4029,Thalamus,27.22,57.26,Macaca mulatta
NEUR_5160,Amygdala,109.97,79.27,Rattus norvegicus
NEUR_4041,Cerebellum,68.17,92.79,Rattus norvegicus
NEUR_2758,Hippocampus,80.07,117.07,Macaca mulatta
NEUR_9751,Thalamus,24.7,109.38,Mus musculus
NEUR_9403,Cerebellum,31.22,10.77,Rattus norvegicus
NEUR_1823,Striatum,26.17,48.23,Danio rerio
NEUR_4578,Cortex,148.67,83.1,Macaca mulatta
NEUR_3779,Hypothalamus,46.2,91.51,Mus musculus
NEUR_3975,Thalamus,56.63,90.36,Danio rerio
NEUR_9246,Hippocampus,73.44,111.74,Danio rerio
NEUR_8727,Hippocampus,15.93,62.33,Macaca mulatta
NEUR_3506,Amygdala,53.17,49.32,Macaca mulatta
NEUR_3762,Thalamus,86.91,52.02,Macaca mulatta
NEUR_8115,Hypothalamus,48.74,41.04,Rattus norvegicus
NEUR_4270,Hippocampus,115.83,12.57,Macaca mulatta
NEUR_1672,Cerebellum,138.16,75.2,Rattus norvegicus
NEUR_8681,Striatum,123.33,109.35,Mus musculus
NEUR_5824,Amygdala,90.34,66.01,Mus musculus
NEUR_9149,Striatum,11.13,117.42,Danio rerio
NEUR_6002,Thalamus,16.86,13.29,Macaca mulatta
NEUR_6385,Cerebellum,84.9,85.57,Rattus norvegicus
NEUR_8907,Cortex,3.18,50.5,Danio rerio
NEUR_3641,Hypothalamus,57.67,76.88,Rattus norvegicus
NEUR_2537,Hippocampus,99.5,51.8,Macaca mulatta
NEUR_9663,Amygdala,88.44,26.3,Danio rerio
NEUR_1671,Cerebellum,83.66,68.72,Danio rerio
NEUR_2069,Cortex,37.56,20.41,Macaca mulatta
NEUR_5342,Hippocampus,115.83,62.59,Rattus norvegicus
NEUR_3468,Amygdala,9.66,67.16,Rattus norvegicus
NEUR_5456,Amygdala,31.77,113.93,Macaca mulatta
NEUR_3228,Hypothalamus,12.33,10.81,Macaca mulatta
NEUR_4323,Striatum,91.56,67.58,Danio rerio
NEUR_2555,Thalamus,136.23,10.03,Macaca mulatta
NEUR_3364,Cortex,73.89,82.09,Macaca mulatta
NEUR_9633,Amygdala,137.67,21.74,Macaca mulatta
NEUR_6704,Amygdala,77.33,84.47,Danio rerio
NEUR_8717,Thalamus,97.8,88.56,Macaca mulatta
NEUR_2418,Hypothalamus,45.38,44.9,Rattus norvegicus
NEUR_1122,Striatum,125.54,23.65,Danio rerio
NEUR_1192,Cerebellum,70.39,16.72,Rattus norvegicus
NEUR_2209,Cortex,123.83,96.72,Macaca mulatta
NEUR_3098,Thalamus,83.4,24.38,Macaca mulatta
NEUR_2429,Thalamus,45.8,72.89,Rattus norvegicus
NEUR_3161,Cortex,46.23,101.84,Macaca mulatta
NEUR_2322,Cerebellum,28.77,43.35,Rattus norvegicus
NEUR_4709,Hippocampus,25.45,23.85,Macaca mulatta
NEUR_5838,Cerebellum,0.54,108.65,Rattus norvegicus
NEUR_7544,Striatum,108.78,32.52,Macaca mulatta
NEUR_6396,Cerebellum,36.41,14.42,Danio rerio
NEUR_1495,Cerebellum,110.2,109.9,Rattus norvegicus
NEUR_3250,Cortex,118.86,119.37,Mus musculus
NEUR_3787,Hypothalamus,60.12,38.4,Rattus norvegicus
NEUR_2940,Hypothalamus,18.09,38.04,Danio rerio
NEUR_5925,Amygdala,104.98,23.98,Macaca mulatta
NEUR_7542,Amygdala,32.91,67.32,Danio rerio
NEUR_2015,Hippocampus,61.05,96.32,Mus musculus
NEUR_4733,Amygdala,34.34,64.29,Mus musculus
NEUR_8133,Amygdala,7.96,90.15,Rattus norvegicus
NEUR_8983,Hippocampus,3.73,63.1,Rattus norvegicus
NEUR_1491,Amygdala,148.22,38.6,Mus musculus
NEUR_3555,Hypothalamus,101.88,41.68,Mus musculus
NEUR_9282,Thalamus,19.78,17.71,Macaca mulatta
NEUR_4978,Cerebellum,16.98,76.75,Macaca mulatta
NEUR_7936,Hippocampus,147.93,65.95,Mus musculus
NEUR_3417,Hippocampus,46.9,18.6,Rattus norvegicus
NEUR_4405,Hippocampus,103.26,85.91,Mus musculus
NEUR_5891,Cerebellum,132.74,37.57,Rattus norvegicus
NEUR_1165,Cerebellum,110.62,115.93,Rattus norvegicus
NEUR_7488,Thalamus,148.32,20.66,Rattus norvegicus
NEUR_1641,Cortex,16.57,45.56,Rattus norvegicus
NEUR_9935,Striatum,17.07,116.12,Macaca mulatta
NEUR_6561,Hippocampus,127.59,111.57,Danio rerio
NEUR_8344,Cerebellum,21.1,83.76,Macaca mulatta
NEUR_2667,Hippocampus,70.25,17.75,Macaca mulatta
NEUR_2259,Hypothalamus,78.72,15.77,Macaca mulatta
NEUR_1228,Thalamus,145.38,84.15,Danio rerio
NEUR_2152,Amygdala,1.18,104.24,Rattus norvegicus
NEUR_1696,Amygdala,73.44,65.9,Danio rerio
NEUR_9676,Amygdala,8.92,60.0,Rattus norvegicus
NEUR_3248,Amygdala,85.63,42.15,Danio rerio
NEUR_3422,Cortex,27.84,109.22,Macaca mulatta
NEUR_2404,Hypothalamus,58.51,119.09,Danio rerio
NEUR_3760,Thalamus,66.45,27.91,Rattus norvegicus
NEUR_2680,Hippocampus,96.6,24.5,Danio rerio
NEUR_8529,Cortex,102.19,60.89,Danio rerio
NEUR_3568,Striatum,17.39,117.54,Danio rerio
NEUR_4383,Striatum,44.3,84.37,Danio rerio
NEUR_2892,Hippocampus,57.45,10.24,Danio rerio
NEUR_9523,Cortex,117.77,87.54,Mus musculus
NEUR_5166,Striatum,84.75,66.39,Danio rerio
NEUR_7259,Cortex,56.44,54.24,Macaca mulatta
NEUR_6958,Thalamus,119.14,87.71,Mus musculus
NEUR_5772,Hypothalamus,140.73,109.46,Rattus norvegicus
NEUR_7565,Hippocampus,48.81,59.91,Rattus norvegicus
NEUR_6671,Amygdala,6.64,40.26,Danio rerio
NEUR_5083,Cortex,32.28,41.2,Danio rerio
NEUR_3151,Hypothalamus,49.66,111.53,Rattus norvegicus
NEUR_9982,Thalamus,85.67,64.21,Rattus norvegicus
NEUR_4569,Striatum,133.1,49.13,Macaca mulatta
NEUR_8389,Hippocampus,103.45,92.0,Mus musculus
NEUR_2918,Cortex,20.75,80.26,Danio rerio
NEUR_4905,Amygdala,73.48,49.84,Macaca mulatta
NEUR_4179,Hippocampus,25.2,49.5,Danio rerio
NEUR_3601,Striatum,126.81,61.78,Mus musculus
NEUR_9228,Cortex,2.92,118.54,Mus musculus
NEUR_8842,Amygdala,46.01,100.11,Macaca mulatta
NEUR_7811,Thalamus,36.63,77.26,Danio rerio
NEUR_2064,Hypothalamus,64.76,94.31,Mus musculus
NEUR_2242,Striatum,108.63,84.57,Danio rerio
NEUR_1411,Thalamus,117.04,74.68,Mus musculus
NEUR_9551,Thalamus,81.32,97.69,Rattus norvegicus
NEUR_6861,Cortex,88.89,23.46,Rattus norvegicus
NEUR_5551,Hippocampus,50.43,54.99,Danio rerio
NEUR_1926,Thalamus,139.36,107.5,Danio rerio
NEUR_3068,Cerebellum,92.13,17.87,Mus musculus
NEUR_5768,Striatum,92.42,29.27,Macaca mulatta
NEUR_1978,Thalamus,135.16,95.04,Rattus norvegicus
NEUR_8802,Amygdala,67.33,107.47,Mus musculus
NEUR_3665,Amygdala,90.24,102.1,Mus musculus
NEUR_4890,Amygdala,67.83,44.88,Rattus norvegicus
NEUR_2741,Thalamus,16.38,76.27,Mus musculus
NEUR_9158,Cortex,50.47,118.36,Danio rerio
NEUR_6204,Hypothalamus,39.08,104.52,Danio rerio
NEUR_1498,Thalamus,29.03,46.28,Mus musculus
NEUR_3052,Cortex,28.93,48.62,Mus musculus
NEUR_5904,Thalamus,107.79,64.41,Mus musculus
NEUR_3590,Cortex,22.1,77.39,Mus musculus
NEUR_1850,Thalamus,99.79,115.79,Macaca mulatta
NEUR_4424,Hypothalamus,85.57,75.52,Mus musculus
NEUR_7173,Hypothalamus,95.18,28.68,Macaca mulatta
NEUR_3845,Hypothalamus,85.29,104.9,Mus musculus
NEUR_5122,Hypothalamus,129.58,72.67,Macaca mulatta
NEUR_9979,Cortex,54.22,16.32,Macaca mulatta
NEUR_6703,Cortex,70.7,117.08,Mus musculus
NEUR_9881,Striatum,140.31,18.56,Danio rerio
NEUR_8522,Hypothalamus,126.74,116.85,Macaca mulatta
NEUR_3916,Cortex,53.77,13.39,Danio rerio
NEUR_2821,Thalamus,47.76,93.69,Macaca mulatta
NEUR_2035,Amygdala,90.11,51.37,Macaca mulatta
NEUR_9764,Cortex,13.99,115.88,Danio rerio
NEUR_1894,Striatum,88.62,16.83,Rattus norvegicus
NEUR_1506,Amygdala,13.34,119.62,Rattus norvegicus
NEUR_4566,Cortex,73.54,51.91,Danio rerio
NEUR_1468,Hypothalamus,103.88,35.46,Rattus norvegicus
NEUR_5720,Striatum,89.27,65.45,Danio rerio
NEUR_9496,Cortex,112.63,38.84,Danio rerio
NEUR_7979,Striatum,69.45,28.47,Danio rerio
NEUR_2286,Hypothalamus,109.2,18.11,Mus musculus
NEUR_1711,Hypothalamus,20.43,77.09,Macaca mulatta
NEUR_1636,Amygdala,19.57,84.2,Macaca mulatta
NEUR_8738,Thalamus,69.35,119.27,Danio rerio
NEUR_5766,Cerebellum,5.46,64.43,Danio rerio
NEUR_4735,Hypothalamus,2.07,101.25,Danio rerio
NEUR_9856,Cerebellum,33.91,57.24,Rattus norvegicus
NEUR_1124,Striatum,98.6,52.71,Mus musculus
NEUR_1529,Hypothalamus,56.55,39.16,Mus musculus
NEUR_9611,Thalamus,17.53,17.99,Mus musculus
NEUR_8441,Cortex,39.78,66.37,Rattus norvegicus
NEUR_5809,Striatum,139.76,91.1,Macaca mulatta
NEUR_2244,Cerebellum,22.42,91.37,Mus musculus
NEUR_5562,Striatum,62.72,78.43,Macaca mulatta
NEUR_1668,Amygdala,42.83,61.44,Macaca mulatta
NEUR_1599,Thalamus,125.8,103.34,Rattus norvegicus
NEUR_3598,Cerebellum,14.23,112.21,Danio rerio
NEUR_4909,Hippocampus,88.34,105.39,Rattus norvegicus
NEUR_7952,Striatum,40.08,25.52,Macaca mulatta
