neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_5115,Amygdala,72.21,57.17,Macaca mulatta
NEUR_2233,Hypothalamus,145.44,68.86,Mus musculus
NEUR_1753,Hippocampus,82.73,108.39,Rattus norvegicus
NEUR_4995,Cortex,91.03,20.79,Macaca mulatta
NEUR_5449,Hypothalamus,22.38,42.96,Rattus norvegicus
NEUR_8701,Thalamus,113.66,58.39,Macaca mulatta
NEUR_4414,Amygdala,111.63,36.34,Rattus norvegicus
NEUR_4354,Cerebellum,54.02,73.81,Danio rerio
NEUR_9318,Hypothalamus,127.5,80.94,Macaca mulatta
NEUR_8733,Cortex,46.72,71.39,Rattus norvegicus
NEUR_8435,Cerebellum,15.0,97.03,Mus musculus
NEUR_1682,Cortex,132.73,70.22,Danio rerio
NEUR_9141,Hippocampus,28.68,95.39,Mus musculus
NEUR_2334,Cortex,47.52,104.01,Mus musculus
NEUR_2101,Hypothalamus,73.88,109.3,Macaca mulatta
NEUR_1687,Cerebellum,20.1,34.06,Danio rerio
NEUR_3530,Cerebellum,62.96,23.5,Mus musculus
NEUR_6811,Hypothalamus,38.32,95.37,Mus musculus
NEUR_9970,Amygdala,142.11,44.36,Rattus norvegicus
NEUR_1208,Striatum,42.67,64.82,Mus musculus
NEUR_8161,Hippocampus,116.97,33.96,Danio rerio
NEUR_7987,Cortex,143.6,20.46,Macaca mulatta
NEUR_2980,Amygdala,75.26,64.28,Macaca mulatta
NEUR_4671,Cerebellum,147.75,95.99,Danio rerio
NEUR_9427,Amygdala,131.63,115.85,Rattus norvegicus
NEUR_9126,Thalamus,106.36,85.1,Rattus norvegicus
NEUR_7971,Cerebellum,139.38,104.31,Mus musculus
NEUR_7880,Thalamus,134.74,26.53,Mus musculus
NEUR_3043,Thalamus,30.73,119.79,Danio rerio
NEUR_4988,Cerebellum,20.6,91.58,Macaca mulatta
NEUR_6503,Cortex,25.75,69.22,Rattus norvegicus
NEUR_9901,Cortex,109.86,48.57,Macaca mulatta
NEUR_8835,Amygdala,4.46,67.24,Mus musculus
NEUR_7902,Striatum,51.65,13.66,Danio rerio
NEUR_6626,Cortex,45.93,104.17,Rattus norvegicus
NEUR_1034,Amygdala,60.9,29.14,Mus musculus
NEUR_1313,Amygdala,46.35,24.24,Mus musculus
NEUR_4030,Hippocampus,64.27,75.9,Rattus norvegicus
NEUR_1970,Cerebellum,124.11,111.33,Mus musculus
NEUR_2574,Cerebellum,36.01,84.03,Danio rerio
NEUR_3974,Cortex,138.18,14.01,Mus musculus
NEUR_8518,Cortex,90.89,75.02,Mus musculus
NEUR_4382,Cerebellum,145.08,76.76,Rattus norvegicus
NEUR_1624,Cerebellum,17.03,14.04,Mus musculus
NEUR_4923,Cortex,104.66,83.48,Danio rerio
NEUR_6516,Hippocampus,124.28,56.73,Macaca mulatta
NEUR_1679,Hippocampus,131.78,70.03,Macaca mulatta
NEUR_8021,Amygdala,85.48,34.74,Rattus norvegicus
NEUR_8215,Cortex,65.07,111.76,Macaca mulatta
NEUR_4606,Striatum,106.61,59.91,Macaca mulatta
NEUR_7427,Cortex,73.55,28.44,Mus musculus
NEUR_1244,Cerebellum,126.89,50.35,Danio rerio
NEUR_8093,Cortex,36.48,47.33,Mus musculus
NEUR_4998,Striatum,97.4,34.28,Macaca mulatta
NEUR_3560,Cortex,115.29,104.67,Mus musculus
NEUR_9587,Cortex,96.4,41.0,Macaca mulatta
NEUR_7686,Amygdala,149.4,65.2,Danio rerio
NEUR_9173,Hypothalamus,54.55,19.0,Danio rerio
NEUR_7643,Hippocampus,114.95,37.92,Rattus norvegicus
NEUR_7694,Amygdala,88.23,74.17,Mus musculus
NEUR_9885,Striatum,101.09,95.93,Macaca mulatta
NEUR_8800,Striatum,47.28,90.33,Rattus norvegicus
NEUR_6580,Cortex,138.82,38.36,Rattus norvegicus
NEUR_8585,Amygdala,25.21,20.92,Danio rerio
NEUR_2295,Hippocampus,50.3,41.23,Mus musculus
NEUR_9635,Striatum,82.77,23.63,Macaca mulatta
NEUR_3086,Cerebellum,106.48,108.37,Macaca mulatta
NEUR_3634,Amygdala,11.51,60.3,Danio rerio
NEUR_6866,Cortex,138.24,10.62,Macaca mulatta
NEUR_5760,Striatum,63.88,54.93,Rattus norvegicus
NEUR_2503,Amygdala,117.45,77.25,Rattus norvegicus
NEUR_8329,Amygdala,141.18,62.79,Danio rerio
NEUR_8373,Hypothalamus,36.87,99.97,Danio rerio
NEUR_9117,Cerebellum,55.29,44.67,Macaca mulatta
NEUR_8286,Thalamus,149.7,117.78,Mus musculus
NEUR_2625,Striatum,141.33,21.16,Danio rerio
NEUR_4496,Hypothalamus,41.32,20.78,Macaca mulatta
NEUR_1432,Amygdala,123.68,61.19,Macaca mulatta
NEUR_2395,Cerebellum,97.1,67.36,Rattus norvegicus
