neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_7817,Hypothalamus,79.66,84.52,Danio rerio
NEUR_7780,Hypothalamus,83.14,50.63,Danio rerio
NEUR_6646,Hypothalamus,52.89,83.29,Rattus norvegicus
NEUR_2317,Striatum,33.15,81.76,Danio rerio
NEUR_6863,Thalamus,84.46,98.45,Rattus norvegicus
NEUR_9068,Cortex,1.87,46.38,Mus musculus
NEUR_5663,Hypothalamus,4.29,10.21,Rattus norvegicus
NEUR_2842,Cerebellum,74.24,113.29,Macaca mulatta
NEUR_3865,Thalamus,3.44,96.3,Rattus norvegicus
NEUR_4748,Striatum,69.19,119.87,Macaca mulatta
NEUR_5283,Hypothalamus,4.88,52.73,Danio rerio
NEUR_7859,Hippocampus,105.63,102.97,Rattus norvegicus
NEUR_8064,Thalamus,140.64,67.76,Macaca mulatta
NEUR_3422,Thalamus,124.16,28.81,Rattus norvegicus
NEUR_8554,Cerebellum,31.31,17.7,Macaca mulatta
NEUR_9321,Striatum,45.8,111.89,Macaca mulatta
NEUR_6259,Amygdala,65.49,19.77,Rattus norvegicus
NEUR_4634,Hippocampus,112.99,85.44,Macaca mulatta
NEUR_4098,Cortex,127.18,105.11,Macaca mulatta
NEUR_7192,Cerebellum,86.54,116.16,Macaca mulatta
NEUR_1325,Amygdala,104.06,11.58,Rattus norvegicus
NEUR_9505,Thalamus,35.98,42.04,Macaca mulatta
NEUR_7474,Hypothalamus,105.55,40.09,Macaca mulatta
NEUR_9458,Cortex,149.65,57.0,Danio rerio
NEUR_6842,Thalamus,4.92,75.78,Macaca mulatta
NEUR_1224,Thalamus,63.79,47.18,Danio rerio
NEUR_2945,Hippocampus,90.57,69.78,Rattus norvegicus
NEUR_1348,Hypothalamus,65.32,78.98,Mus musculus
NEUR_4318,Hippocampus,72.85,65.49,Danio rerio
NEUR_9564,Amygdala,116.73,77.24,Danio rerio
NEUR_6655,Striatum,70.2,97.23,Danio rerio
NEUR_8139,Hypothalamus,87.39,60.4,Rattus norvegicus
NEUR_9163,Cerebellum,137.63,100.25,Rattus norvegicus
NEUR_8572,Amygdala,111.52,115.35,Macaca mulatta
NEUR_3392,Hippocampus,37.43,88.13,Mus musculus
NEUR_7186,Amygdala,17.41,60.44,Mus musculus
NEUR_9518,Amygdala,83.57,88.93,Macaca mulatta
NEUR_7855,Thalamus,29.08,91.41,Macaca mulatta
NEUR_6736,Cortex,139.16,60.48,Macaca mulatta
NEUR_3569,Cortex,113.21,88.33,Macaca mulatta
NEUR_3163,Amygdala,119.6,99.32,Macaca mulatta
NEUR_7071,Hypothalamus,126.01,70.15,Macaca mulatta
NEUR_5325,Hypothalamus,109.97,38.77,Rattus norvegicus
NEUR_1796,Thalamus,33.93,40.05,Danio rerio
NEUR_1198,Cerebellum,104.86,92.78,Rattus norvegicus
NEUR_3914,Hypothalamus,29.98,58.61,Mus musculus
NEUR_2676,Hypothalamus,114.4,111.26,Danio rerio
NEUR_8541,Thalamus,96.68,89.14,Macaca mulatta
NEUR_2955,Striatum,72.88,61.59,Danio rerio
NEUR_8828,Hypothalamus,33.9,75.52,Danio rerio
NEUR_5707,Cerebellum,20.05,33.68,Danio rerio
NEUR_6919,Hypothalamus,46.8,91.16,Danio rerio
NEUR_4341,Cerebellum,1.97,25.25,Macaca mulatta
NEUR_5397,Striatum,97.66,53.87,Danio rerio
NEUR_9697,Striatum,117.69,37.89,Rattus norvegicus
NEUR_3679,Thalamus,119.9,18.5,Danio rerio
NEUR_7370,Hypothalamus,133.97,63.24,Rattus norvegicus
NEUR_1014,Thalamus,81.47,86.72,Rattus norvegicus
NEUR_7512,Cortex,36.3,106.52,Mus musculus
NEUR_4440,Thalamus,95.39,110.76,Macaca mulatta
NEUR_2499,Cerebellum,94.1,36.36,Mus musculus
NEUR_2686,Hypothalamus,127.67,97.63,Rattus norvegicus
NEUR_8436,Cerebellum,40.31,62.55,Danio rerio
NEUR_2955,Amygdala,67.75,58.81,Macaca mulatta
NEUR_7925,Hippocampus,7.29,52.69,Danio rerio
NEUR_5818,Hippocampus,133.79,55.16,Rattus norvegicus
NEUR_7142,Thalamus,53.2,65.23,Macaca mulatta
NEUR_7385,Cortex,106.22,18.5,Macaca mulatta
NEUR_5550,Thalamus,14.58,107.95,Mus musculus
NEUR_2835,Hypothalamus,120.99,111.54,Macaca mulatta
NEUR_5959,Striatum,60.87,14.67,Rattus norvegicus
NEUR_7095,Striatum,111.34,119.08,Macaca mulatta
NEUR_9698,Hypothalamus,15.42,118.69,Mus musculus
NEUR_3308,Thalamus,3.99,31.04,Macaca mulatta
NEUR_6953,Hypothalamus,148.32,55.48,Rattus norvegicus
NEUR_8992,Hippocampus,70.47,59.03,Rattus norvegicus
NEUR_8705,Hippocampus,84.28,89.96,Danio rerio
NEUR_6451,Striatum,90.03,28.14,Mus musculus
NEUR_4326,Amygdala,32.82,25.2,Mus musculus
NEUR_6205,Cortex,55.08,107.78,Macaca mulatta
NEUR_8143,Hypothalamus,149.48,70.16,Mus musculus
NEUR_2844,Amygdala,88.25,59.77,Rattus norvegicus
NEUR_1739,Hippocampus,55.78,108.42,Macaca mulatta
NEUR_8871,Cortex,3.06,58.86,Mus musculus
NEUR_9927,Cerebellum,79.63,75.87,Macaca mulatta
NEUR_5768,Cortex,113.71,23.65,Danio rerio
NEUR_1295,Striatum,5.25,63.98,Mus musculus
NEUR_3745,Cortex,35.06,108.25,Mus musculus
NEUR_2482,Striatum,11.06,90.3,Mus musculus
NEUR_2142,Thalamus,74.75,11.25,Danio rerio
NEUR_2999,Amygdala,143.47,107.59,Danio rerio
NEUR_1006,Cerebellum,112.78,20.38,Danio rerio
NEUR_7342,Cerebellum,141.35,78.33,Macaca mulatta
NEUR_7195,Hypothalamus,70.52,91.62,Rattus norvegicus
NEUR_9128,Hypothalamus,131.49,102.41,Macaca mulatta
NEUR_9340,Hypothalamus,96.34,23.06,Mus musculus
NEUR_7772,Hippocampus,148.22,28.44,Rattus norvegicus
NEUR_7281,Striatum,130.73,74.45,Danio rerio
NEUR_4684,Hippocampus,33.85,49.46,Danio rerio
NEUR_2929,Thalamus,30.26,19.41,Macaca mulatta
NEUR_7460,Cerebellum,63.37,46.18,Rattus norvegicus
NEUR_2451,Amygdala,34.43,18.29,Rattus norvegicus
NEUR_4863,Cortex,30.08,80.35,Mus musculus
NEUR_4799,Cortex,79.33,44.58,Rattus norvegicus
NEUR_9800,Hypothalamus,121.29,114.3,Mus musculus
NEUR_2552,Hippocampus,120.18,94.72,Danio rerio
NEUR_8637,Amygdala,82.88,49.56,Macaca mulatta
NEUR_9058,Amygdala,82.9,15.23,Danio rerio
NEUR_9864,Cortex,130.91,84.66,Macaca mulatta
NEUR_2377,Amygdala,93.46,110.77,Macaca mulatta
NEUR_3614,Striatum,89.17,118.99,Macaca mulatta
NEUR_4679,Cortex,36.72,11.67,Rattus norvegicus
NEUR_8476,Thalamus,103.2,71.27,Macaca mulatta
NEUR_1054,Striatum,5.37,118.04,Danio rerio
NEUR_1747,Hypothalamus,113.97,71.01,Macaca mulatta
NEUR_5178,Cortex,68.24,92.07,Macaca mulatta
NEUR_2324,Hypothalamus,42.06,81.75,Rattus norvegicus
NEUR_8197,Hypothalamus,113.37,70.32,Mus musculus
NEUR_4905,Hippocampus,8.64,91.56,Danio rerio
NEUR_3055,Thalamus,39.8,66.39,Rattus norvegicus
NEUR_3708,Hippocampus,43.39,33.24,Danio rerio
NEUR_1445,Thalamus,101.26,92.29,Macaca mulatta
NEUR_9314,Cerebellum,20.56,57.61,Mus musculus
NEUR_4269,Cortex,89.32,106.65,Macaca mulatta
NEUR_6036,Amygdala,3.06,88.42,Macaca mulatta
NEUR_1922,Thalamus,35.75,71.24,Rattus norvegicus
NEUR_1719,Hypothalamus,15.58,101.44,Mus musculus
NEUR_5889,Amygdala,4.91,61.37,Danio rerio
NEUR_1343,Amygdala,147.64,71.33,Rattus norvegicus
NEUR_5577,Striatum,25.44,24.61,Rattus norvegicus
NEUR_1148,Thalamus,98.06,84.88,Danio rerio
NEUR_7443,Thalamus,95.84,88.22,Mus musculus
NEUR_4216,Hypothalamus,0.62,93.16,Macaca mulatta
NEUR_4642,Striatum,67.24,69.22,Mus musculus
NEUR_4250,Cerebellum,126.84,37.0,Rattus norvegicus
NEUR_9892,Hippocampus,25.38,119.99,Danio rerio
NEUR_9598,Hypothalamus,3.24,45.0,Mus musculus
NEUR_9337,Hypothalamus,98.1,26.0,Rattus norvegicus
NEUR_5964,Cerebellum,133.93,16.13,Macaca mulatta
NEUR_5794,Cortex,42.85,58.0,Rattus norvegicus
NEUR_1389,Striatum,75.5,85.89,Danio rerio
NEUR_7502,Thalamus,96.45,14.59,Macaca mulatta
NEUR_3775,Hippocampus,61.96,111.61,Rattus norvegicus
NEUR_8787,Striatum,79.89,32.82,Macaca mulatta
NEUR_6386,Striatum,32.49,70.17,Macaca mulatta
NEUR_8444,Thalamus,60.3,37.19,Danio rerio
