neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_2033,Hippocampus,131.12,39.22,Danio rerio
NEUR_9247,Thalamus,69.78,57.1,Mus musculus
NEUR_9147,Hippocampus,145.33,92.29,Mus musculus
NEUR_7022,Striatum,115.02,99.6,Macaca mulatta
NEUR_9191,Amygdala,0.88,97.88,Danio rerio
NEUR_5835,Cortex,79.75,24.21,Macaca mulatta
NEUR_4792,Striatum,19.53,52.59,Macaca mulatta
NEUR_2637,Hypothalamus,109.78,17.28,Mus musculus
NEUR_4046,Thalamus,132.45,74.31,Macaca mulatta
NEUR_8555,Thalamus,23.51,79.45,Mus musculus
NEUR_9658,Hippocampus,126.86,18.1,Danio rerio
NEUR_6703,Hippocampus,0.48,30.15,Danio rerio
NEUR_2396,Amygdala,90.05,17.03,Danio rerio
NEUR_1480,Cortex,18.64,61.91,Mus musculus
NEUR_1401,Thalamus,51.48,90.43,Rattus norvegicus
NEUR_6328,Cortex,139.18,85.18,Mus musculus
NEUR_3066,Hippocampus,85.94,32.58,Mus musculus
NEUR_2113,Hypothalamus,50.25,76.01,Mus musculus
NEUR_9435,Amygdala,77.67,95.6,Rattus norvegicus
NEUR_8358,Cortex,63.94,79.26,Danio rerio
NEUR_4315,Striatum,147.74,87.55,Macaca mulatta
NEUR_8907,Thalamus,127.27,44.74,Macaca mulatta
NEUR_5660,Hypothalamus,99.77,48.82,Macaca mulatta
NEUR_5510,Hypothalamus,13.07,75.81,Macaca mulatta
NEUR_2068,Cortex,6.92,20.1,Rattus norvegicus
NEUR_3165,Cortex,105.21,33.06,Danio rerio
NEUR_4077,Hippocampus,88.05,111.67,Macaca mulatta
NEUR_6974,Cortex,52.08,100.51,Danio rerio
NEUR_2420,Cortex,24.79,55.62,Rattus norvegicus
NEUR_9592,Cortex,85.43,59.51,Rattus norvegicus
NEUR_8858,Cerebellum,127.13,23.68,Rattus norvegicus
NEUR_6349,Hypothalamus,140.86,78.46,Rattus norvegicus
NEUR_6884,Thalamus,111.17,76.37,Rattus norvegicus
NEUR_1126,Striatum,11.99,40.7,Mus musculus
NEUR_3888,Thalamus,68.1,16.61,Danio rerio
NEUR_6439,Hippocampus,145.56,97.79,Mus musculus
NEUR_3851,Striatum,38.18,37.76,Macaca mulatta
NEUR_7728,Cortex,113.24,19.73,Mus musculus
NEUR_2462,Hypothalamus,79.48,49.58,Macaca mulatta
NEUR_1958,Striatum,136.97,57.08,Rattus norvegicus
NEUR_2503,Hypothalamus,121.14,15.42,Mus musculus
NEUR_2929,Amygdala,86.75,56.78,Macaca mulatta
NEUR_9502,Cerebellum,90.39,53.93,Rattus norvegicus
NEUR_2182,Hypothalamus,65.37,100.07,Macaca mulatta
NEUR_5504,Striatum,119.84,35.7,Rattus norvegicus
NEUR_3623,Amygdala,80.02,93.17,Mus musculus
NEUR_6971,Hippocampus,116.56,11.88,Danio rerio
NEUR_8873,Hypothalamus,63.32,32.9,Macaca mulatta
NEUR_8129,Cerebellum,4.09,102.37,Danio rerio
NEUR_8478,Thalamus,144.96,16.23,Danio rerio
NEUR_4519,Hypothalamus,59.52,58.92,Danio rerio
NEUR_3129,Hippocampus,8.08,119.07,Macaca mulatta
NEUR_1400,Cerebellum,133.0,86.86,Danio rerio
NEUR_6013,Cortex,7.61,30.78,Mus musculus
NEUR_9093,Cortex,119.98,118.44,Rattus norvegicus
NEUR_8521,Striatum,11.37,92.65,Mus musculus
NEUR_8843,Hippocampus,13.32,75.11,Danio rerio
NEUR_3651,Thalamus,82.5,18.73,Danio rerio
NEUR_8889,Hippocampus,65.79,73.79,Mus musculus
NEUR_7265,Hippocampus,102.78,73.82,Macaca mulatta
NEUR_4086,Amygdala,39.74,102.73,Rattus norvegicus
NEUR_1390,Amygdala,105.01,107.31,Rattus norvegicus
NEUR_6872,Hypothalamus,45.24,77.17,Rattus norvegicus
NEUR_1113,Hippocampus,18.85,26.54,Mus musculus
NEUR_3083,Hypothalamus,14.53,114.27,Macaca mulatta
NEUR_2111,Cortex,132.94,101.47,Danio rerio
NEUR_2004,Thalamus,3.86,70.97,Macaca mulatta
NEUR_5474,Hippocampus,73.81,32.08,Mus musculus
NEUR_8047,Cortex,105.43,56.55,Danio rerio
NEUR_5057,Cortex,108.46,42.32,Rattus norvegicus
NEUR_8576,Amygdala,14.75,50.97,Danio rerio
NEUR_3920,Hippocampus,20.41,118.37,Macaca mulatta
NEUR_3526,Cortex,5.68,43.99,Mus musculus
NEUR_6227,Thalamus,120.67,112.44,Danio rerio
NEUR_4641,Amygdala,120.13,98.45,Danio rerio
NEUR_4377,Hypothalamus,45.99,111.46,Mus musculus
NEUR_8608,Thalamus,63.02,59.97,Mus musculus
NEUR_6413,Cerebellum,102.97,69.47,Macaca mulatta
NEUR_5223,Hippocampus,115.95,50.61,Rattus norvegicus
NEUR_6391,Hypothalamus,23.11,100.94,Danio rerio
NEUR_7503,Hypothalamus,147.64,48.77,Rattus norvegicus
NEUR_6359,Thalamus,73.36,85.74,Macaca mulatta
NEUR_5749,Hippocampus,108.99,55.76,Macaca mulatta
NEUR_3402,Amygdala,112.1,94.27,Rattus norvegicus
NEUR_5994,Thalamus,81.12,64.93,Rattus norvegicus
NEUR_3214,Thalamus,127.56,44.59,Rattus norvegicus
NEUR_4503,Thalamus,93.77,84.81,Macaca mulatta
NEUR_6155,Striatum,1.52,52.41,Mus musculus
NEUR_3192,Hypothalamus,38.48,38.59,Mus musculus
NEUR_5265,Striatum,22.07,19.07,Danio rerio
NEUR_4411,Striatum,63.05,91.48,Mus musculus
NEUR_7808,Amygdala,113.89,64.62,Macaca mulatta
NEUR_2797,Hypothalamus,125.03,87.18,Mus musculus
NEUR_4852,Striatum,21.77,68.56,Rattus norvegicus
NEUR_5687,Hippocampus,9.1,23.33,Danio rerio
NEUR_1784,Thalamus,126.35,39.8,Rattus norvegicus
NEUR_1093,Cortex,90.28,41.78,Rattus norvegicus
NEUR_4704,Thalamus,48.88,56.77,Macaca mulatta
NEUR_1982,Striatum,114.56,66.33,Macaca mulatta
NEUR_4904,Striatum,94.05,63.2,Rattus norvegicus
NEUR_7811,Amygdala,26.42,119.33,Danio rerio
NEUR_8605,Hypothalamus,55.45,104.21,Danio rerio
NEUR_5763,Hypothalamus,1.07,86.03,Macaca mulatta
NEUR_1022,Thalamus,10.16,113.1,Danio rerio
NEUR_6647,Cortex,24.27,64.02,Mus musculus
NEUR_7676,Amygdala,71.12,23.31,Macaca mulatta
