neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_7674,Striatum,101.14,10.47,Rattus norvegicus
NEUR_7080,Amygdala,85.98,65.43,Mus musculus
NEUR_8680,Thalamus,71.69,58.76,Macaca mulatta
NEUR_2580,Hippocampus,18.29,55.44,Rattus norvegicus
NEUR_6281,Hypothalamus,25.65,78.09,Danio rerio
NEUR_9465,Striatum,93.65,95.98,Mus musculus
NEUR_1578,Cerebellum,30.4,99.11,Danio rerio
NEUR_1718,Hippocampus,56.29,111.77,Macaca mulatta
NEUR_4129,Hippocampus,115.32,77.24,Danio rerio
NEUR_6133,Thalamus,36.54,71.6,Danio rerio
NEUR_2457,Thalamus,111.47,100.02,Macaca mulatta
NEUR_6776,Thalamus,31.84,116.92,Danio rerio
NEUR_7694,Cerebellum,80.3,108.38,Rattus norvegicus
NEUR_5056,Hippocampus,139.8,115.07,Mus musculus
NEUR_2861,Cerebellum,16.63,94.89,Danio rerio
NEUR_8612,Cerebellum,148.94,95.05,Mus musculus
NEUR_3012,Hippocampus,123.71,118.48,Rattus norvegicus
NEUR_5222,Cortex,27.05,20.31,Mus musculus
NEUR_9333,Cortex,138.52,24.05,Macaca mulatta
NEUR_5669,Thalamus,17.78,30.96,Mus musculus
NEUR_4216,Hippocampus,41.82,43.77,Mus musculus
NEUR_9861,Thalamus,140.06,58.23,Mus musculus
NEUR_5916,Amygdala,95.47,32.19,Macaca mulatta
NEUR_6360,Cerebellum,67.45,57.51,Danio rerio
NEUR_1725,Hypothalamus,79.62,67.7,Macaca mulatta
NEUR_9785,Hypothalamus,32.75,115.25,Mus musculus
NEUR_5343,Cerebellum,128.41,13.0,Rattus norvegicus
NEUR_5078,Amygdala,70.7,98.59,Danio rerio
NEUR_2465,Cerebellum,145.93,119.98,Macaca mulatta
NEUR_2084,Amygdala,117.39,93.82,Danio rerio
NEUR_1692,Thalamus,119.06,110.77,Rattus norvegicus
NEUR_1627,Hippocampus,145.03,79.16,Danio rerio
NEUR_3204,Hippocampus,2.39,94.22,Mus musculus
NEUR_2550,Striatum,31.17,83.8,Rattus norvegicus
NEUR_8942,Hypothalamus,142.75,10.85,Macaca mulatta
NEUR_5970,Thalamus,1.26,62.05,Mus musculus
NEUR_7088,Amygdala,85.65,118.97,Danio rerio
NEUR_9127,Amygdala,70.51,86.1,Mus musculus
NEUR_2268,Cortex,102.8,69.03,Macaca mulatta
NEUR_4997,Striatum,138.7,99.64,Mus musculus
NEUR_6495,Amygdala,87.0,23.31,Macaca mulatta
NEUR_3379,Thalamus,110.33,119.84,Rattus norvegicus
NEUR_6979,Thalamus,131.13,77.48,Mus musculus
NEUR_1588,Cortex,52.08,71.91,Rattus norvegicus
