neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_1237,Hippocampus,13.98,106.88,Macaca mulatta
NEUR_5554,Hippocampus,24.66,62.11,Mus musculus
NEUR_9271,Cerebellum,2.35,29.21,Mus musculus
NEUR_8889,Cortex,49.11,93.89,Mus musculus
NEUR_9847,Amygdala,54.74,18.1,Mus musculus
NEUR_3145,Striatum,68.12,63.88,Danio rerio
NEUR_1911,Amygdala,14.37,49.76,Macaca mulatta
NEUR_6997,Cerebellum,129.64,99.2,Macaca mulatta
NEUR_9495,Cerebellum,141.34,24.96,Mus musculus
NEUR_2344,Hypothalamus,54.49,108.07,Macaca mulatta
NEUR_6214,Amygdala,43.72,108.22,Rattus norvegicus
NEUR_6269,Hypothalamus,72.32,10.09,Rattus norvegicus
NEUR_4511,Amygdala,53.02,68.55,Danio rerio
NEUR_1647,Cerebellum,37.61,104.5,Macaca mulatta
NEUR_5930,Hippocampus,65.76,35.96,Mus musculus
NEUR_8544,Hypothalamus,25.77,44.59,Danio rerio
NEUR_3984,Cortex,128.88,101.21,Macaca mulatta
NEUR_6651,Amygdala,48.29,68.04,Rattus norvegicus
NEUR_3552,Striatum,72.52,85.1,Rattus norvegicus
NEUR_3485,Cortex,79.19,18.02,Mus musculus
NEUR_7966,Striatum,99.55,51.39,Danio rerio
NEUR_1085,Hypothalamus,64.65,19.26,Mus musculus
NEUR_9844,Amygdala,72.56,37.93,Mus musculus
NEUR_8470,Thalamus,46.45,76.82,Mus musculus
NEUR_5478,Thalamus,31.03,44.25,Mus musculus
NEUR_2133,Thalamus,130.39,64.02,Macaca mulatta
NEUR_3022,Amygdala,8.22,11.0,Mus musculus
NEUR_8343,Cerebellum,14.86,61.11,Macaca mulatta
NEUR_6435,Thalamus,80.98,60.6,Macaca mulatta
NEUR_8637,Striatum,57.4,26.1,Macaca mulatta
NEUR_4785,Hippocampus,123.51,19.85,Rattus norvegicus
NEUR_2826,Striatum,90.65,19.43,Mus musculus
NEUR_9568,Hippocampus,36.36,18.53,Macaca mulatta
NEUR_2202,Striatum,28.55,83.83,Rattus norvegicus
NEUR_8930,Striatum,109.95,20.71,Mus musculus
NEUR_4526,Hypothalamus,12.93,98.09,Danio rerio
NEUR_8833,Striatum,143.91,56.38,Danio rerio
NEUR_4799,Cerebellum,144.18,71.64,Danio rerio
NEUR_1161,Amygdala,107.46,18.98,Macaca mulatta
NEUR_7449,Cerebellum,128.56,53.64,Macaca mulatta
NEUR_5908,Cortex,44.04,76.3,Mus musculus
NEUR_2723,Thalamus,136.81,46.26,Macaca mulatta
NEUR_8403,Amygdala,92.26,36.91,Mus musculus
NEUR_5923,Amygdala,57.48,13.04,Rattus norvegicus
NEUR_8046,Cortex,135.49,86.34,Macaca mulatta
NEUR_6288,Hypothalamus,101.76,90.78,Macaca mulatta
NEUR_1090,Cerebellum,73.06,27.41,Rattus norvegicus
NEUR_2841,Cerebellum,11.33,23.7,Macaca mulatta
NEUR_9559,Thalamus,129.44,60.32,Mus musculus
NEUR_8335,Hypothalamus,88.66,15.84,Danio rerio
NEUR_7929,Hippocampus,43.25,114.16,Danio rerio
NEUR_5645,Cerebellum,96.09,119.15,Macaca mulatta
NEUR_4554,Amygdala,88.13,85.66,Danio rerio
NEUR_2177,Hypothalamus,32.57,74.8,Danio rerio
NEUR_6474,Hippocampus,98.26,68.17,Rattus norvegicus
NEUR_1506,Striatum,141.95,29.26,Mus musculus
NEUR_2784,Striatum,118.23,67.91,Rattus norvegicus
NEUR_2318,Amygdala,21.08,28.84,Macaca mulatta
NEUR_1624,Cerebellum,129.47,97.89,Rattus norvegicus
NEUR_2659,Cortex,51.76,113.63,Rattus norvegicus
NEUR_5366,Thalamus,75.7,115.93,Macaca mulatta
NEUR_3373,Amygdala,135.68,62.78,Danio rerio
NEUR_6119,Amygdala,40.47,37.91,Mus musculus
NEUR_8858,Amygdala,112.88,65.64,Mus musculus
NEUR_4162,Hypothalamus,149.94,49.26,Mus musculus
NEUR_7475,Hypothalamus,48.82,27.17,Danio rerio
