neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_6522,Thalamus,17.22,39.53,Macaca mulatta
NEUR_8692,Hippocampus,113.85,79.68,Danio rerio
NEUR_5877,Cortex,33.41,20.09,Macaca mulatta
NEUR_8742,Hippocampus,37.78,48.35,Macaca mulatta
NEUR_6747,Cortex,106.74,83.87,Mus musculus
NEUR_5119,Hippocampus,111.37,102.37,Mus musculus
NEUR_2858,Hippocampus,16.7,112.07,Danio rerio
NEUR_3354,Amygdala,148.3,71.45,Mus musculus
NEUR_7335,Cortex,85.57,100.35,Mus musculus
NEUR_6317,Hippocampus,31.88,99.7,Rattus norvegicus
NEUR_5216,Cortex,72.42,92.85,Mus musculus
NEUR_2871,Hypothalamus,142.48,58.02,Rattus norvegicus
NEUR_5319,Hippocampus,84.43,54.65,Rattus norvegicus
NEUR_5635,Hypothalamus,30.2,13.08,Macaca mulatta
NEUR_3469,Hypothalamus,65.44,56.37,Macaca mulatta
NEUR_7262,Hippocampus,75.63,89.93,Rattus norvegicus
NEUR_3228,Hippocampus,77.17,34.0,Rattus norvegicus
NEUR_5058,Cerebellum,94.54,49.61,Rattus norvegicus
NEUR_4173,Hippocampus,77.08,105.18,Rattus norvegicus
NEUR_4999,Striatum,38.18,39.63,Danio rerio
NEUR_2772,Hippocampus,82.06,11.06,Danio rerio
NEUR_7604,Thalamus,124.33,60.7,Danio rerio
NEUR_9980,Striatum,19.1,112.78,Danio rerio
NEUR_7247,Thalamus,69.31,21.8,Rattus norvegicus
NEUR_8412,Cortex,69.25,26.73,Macaca mulatta
NEUR_4047,Cortex,17.03,32.71,Danio rerio
NEUR_2077,Cerebellum,26.6,45.75,Mus musculus
NEUR_5305,Cerebellum,106.95,115.18,Macaca mulatta
NEUR_7595,Cerebellum,46.57,65.19,Rattus norvegicus
NEUR_6536,Hypothalamus,135.84,117.75,Danio rerio
NEUR_7862,Striatum,128.24,29.01,Mus musculus
NEUR_8717,Thalamus,24.57,91.39,Rattus norvegicus
NEUR_1276,Amygdala,131.56,43.38,Danio rerio
NEUR_7624,Hypothalamus,53.66,54.02,Danio rerio
NEUR_1052,Cortex,44.02,54.01,Mus musculus
NEUR_4009,Striatum,79.41,82.17,Mus musculus
NEUR_1625,Cortex,69.09,37.65,Mus musculus
NEUR_3780,Hypothalamus,149.3,14.69,Danio rerio
NEUR_5593,Thalamus,80.53,15.12,Rattus norvegicus
NEUR_5554,Cerebellum,44.03,107.58,Rattus norvegicus
NEUR_8245,Cerebellum,63.4,80.52,Rattus norvegicus
NEUR_8070,Hippocampus,118.34,116.12,Macaca mulatta
NEUR_3642,Hippocampus,123.22,76.59,Mus musculus
NEUR_8907,Thalamus,122.32,78.13,Rattus norvegicus
NEUR_7587,Hypothalamus,75.69,31.27,Rattus norvegicus
NEUR_5674,Amygdala,84.94,108.72,Danio rerio
NEUR_4542,Hippocampus,56.06,45.66,Rattus norvegicus
NEUR_2855,Hypothalamus,148.49,37.07,Mus musculus
NEUR_7646,Cerebellum,73.9,82.74,Macaca mulatta
NEUR_7947,Amygdala,75.62,74.27,Danio rerio
NEUR_1753,Striatum,36.41,101.23,Macaca mulatta
NEUR_7448,Cortex,88.79,95.64,Danio rerio
NEUR_5136,Striatum,128.89,24.38,Rattus norvegicus
NEUR_7125,Cerebellum,5.59,101.78,Mus musculus
NEUR_1035,Cerebellum,136.8,21.12,Mus musculus
NEUR_2864,Striatum,95.19,116.44,Danio rerio
NEUR_6571,Cerebellum,142.57,82.92,Danio rerio
NEUR_6132,Hypothalamus,46.14,94.5,Macaca mulatta
NEUR_8152,Striatum,22.58,98.61,Danio rerio
NEUR_9801,Thalamus,100.12,20.25,Macaca mulatta
NEUR_7313,Amygdala,130.05,67.57,Mus musculus
NEUR_1012,Cortex,149.66,52.93,Macaca mulatta
NEUR_8005,Amygdala,7.16,20.28,Mus musculus
NEUR_9177,Hippocampus,89.14,89.91,Danio rerio
NEUR_2546,Hypothalamus,121.46,114.02,Rattus norvegicus
NEUR_4949,Cortex,83.5,85.04,Mus musculus
NEUR_2446,Hypothalamus,34.38,39.97,Rattus norvegicus
NEUR_9801,Cerebellum,23.85,95.74,Danio rerio
NEUR_1137,Amygdala,31.19,42.65,Mus musculus
NEUR_8318,Amygdala,101.85,71.37,Danio rerio
NEUR_7274,Amygdala,106.02,28.86,Macaca mulatta
NEUR_5056,Hypothalamus,14.54,71.54,Macaca mulatta
NEUR_5134,Amygdala,7.05,68.63,Mus musculus
NEUR_2688,Striatum,66.6,116.07,Danio rerio
NEUR_6127,Cerebellum,149.14,26.49,Danio rerio
NEUR_7129,Thalamus,59.38,13.77,Mus musculus
NEUR_3848,Hypothalamus,74.69,93.68,Macaca mulatta
NEUR_1506,Cerebellum,95.53,29.2,Rattus norvegicus
NEUR_8380,Hypothalamus,80.12,42.39,Rattus norvegicus
NEUR_3130,Thalamus,129.36,97.57,Macaca mulatta
NEUR_2766,Amygdala,11.91,59.44,Mus musculus
NEUR_8507,Cerebellum,16.2,43.64,Mus musculus
NEUR_9929,Cerebellum,114.55,28.56,Rattus norvegicus
NEUR_2379,Striatum,78.0,66.51,Mus musculus
NEUR_2493,Hypothalamus,105.35,40.69,Macaca mulatta
NEUR_8182,Hippocampus,46.59,10.44,Macaca mulatta
NEUR_3478,Hypothalamus,3.22,15.19,Macaca mulatta
NEUR_6730,Thalamus,126.67,75.24,Danio rerio
NEUR_1461,Amygdala,23.89,94.53,Mus musculus
NEUR_2162,Cerebellum,130.09,77.66,Rattus norvegicus
NEUR_7082,Striatum,18.44,71.68,Mus musculus
NEUR_8768,Striatum,107.04,105.64,Danio rerio
NEUR_7847,Cerebellum,149.54,74.5,Danio rerio
NEUR_5967,Amygdala,85.67,12.53,Rattus norvegicus
NEUR_2543,Cortex,37.98,94.6,Mus musculus
NEUR_2361,Striatum,19.28,63.53,Mus musculus
NEUR_5042,Cerebellum,124.24,70.36,Mus musculus
NEUR_5753,Cortex,44.77,42.58,Mus musculus
NEUR_2698,Cerebellum,22.91,54.46,Danio rerio
NEUR_7496,Hypothalamus,73.06,13.44,Rattus norvegicus
NEUR_2500,Cortex,29.18,79.51,Danio rerio
NEUR_5615,Cortex,123.77,30.23,Rattus norvegicus
NEUR_2722,Hypothalamus,16.62,76.36,Rattus norvegicus
NEUR_4539,Cortex,59.4,46.6,Macaca mulatta
NEUR_5888,Cerebellum,86.19,117.83,Rattus norvegicus
NEUR_8277,Hypothalamus,123.51,118.16,Rattus norvegicus
NEUR_2444,Cortex,10.24,85.0,Macaca mulatta
NEUR_6343,Cerebellum,56.17,52.51,Danio rerio
NEUR_2036,Hypothalamus,26.09,44.37,Danio rerio
NEUR_6973,Hippocampus,67.19,22.86,Danio rerio
