neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_8229,Hypothalamus,21.59,74.93,Mus musculus
NEUR_5288,Cerebellum,68.49,30.05,Danio rerio
NEUR_2299,Hypothalamus,88.05,109.46,Macaca mulatta
NEUR_6689,Thalamus,141.43,76.31,Mus musculus
NEUR_2507,Hippocampus,127.06,35.51,Macaca mulatta
NEUR_4658,Thalamus,44.25,92.03,Danio rerio
NEUR_5010,Amygdala,51.83,75.42,Danio rerio
NEUR_8968,Amygdala,9.59,104.04,Mus musculus
NEUR_3465,Hippocampus,56.69,31.49,Mus musculus
NEUR_3401,Amygdala,4.17,115.22,Macaca mulatta
NEUR_1689,Thalamus,100.87,39.23,Danio rerio
NEUR_4175,Thalamus,128.9,56.6,Macaca mulatta
NEUR_7317,Cerebellum,25.68,109.54,Danio rerio
NEUR_8871,Thalamus,59.73,74.66,Danio rerio
NEUR_8193,Striatum,149.17,97.26,Danio rerio
NEUR_4040,Hippocampus,47.67,16.89,Danio rerio
NEUR_5517,Thalamus,108.47,101.95,Macaca mulatta
NEUR_5480,Hippocampus,114.48,113.9,Mus musculus
NEUR_9156,Cortex,107.51,104.28,Mus musculus
NEUR_4635,Amygdala,48.31,30.7,Mus musculus
NEUR_3939,Striatum,79.93,41.13,Macaca mulatta
NEUR_4213,Hypothalamus,97.04,60.29,Mus musculus
NEUR_1227,Amygdala,47.39,57.5,Mus musculus
NEUR_9035,Hypothalamus,23.18,103.21,Danio rerio
NEUR_4333,Hippocampus,7.6,23.4,Rattus norvegicus
NEUR_7180,Hippocampus,97.24,59.77,Macaca mulatta
NEUR_6480,Cerebellum,76.58,88.87,Macaca mulatta
NEUR_9706,Striatum,78.3,30.48,Rattus norvegicus
NEUR_6760,Striatum,107.48,12.93,Danio rerio
NEUR_8326,Striatum,149.54,100.14,Macaca mulatta
NEUR_6554,Striatum,93.67,90.95,Danio rerio
NEUR_9891,Thalamus,138.14,34.77,Mus musculus
NEUR_9592,Amygdala,107.08,23.93,Danio rerio
NEUR_3808,Hypothalamus,3.39,16.31,Mus musculus
NEUR_3466,Hypothalamus,138.21,14.93,Macaca mulatta
NEUR_5716,Amygdala,3.17,107.18,Danio rerio
NEUR_9832,Hippocampus,59.62,82.8,Macaca mulatta
NEUR_8887,Hippocampus,48.5,39.29,Danio rerio
NEUR_7468,Striatum,20.43,27.86,Macaca mulatta
NEUR_3575,Cortex,144.45,109.03,Macaca mulatta
NEUR_5581,Hippocampus,104.9,96.7,Rattus norvegicus
NEUR_2364,Hippocampus,9.36,108.96,Macaca mulatta
NEUR_6064,Thalamus,66.71,118.47,Macaca mulatta
NEUR_2264,Cerebellum,57.74,64.51,Rattus norvegicus
NEUR_3390,Hypothalamus,71.67,62.13,Macaca mulatta
NEUR_1294,Cortex,53.99,92.26,Macaca mulatta
NEUR_7402,Hypothalamus,52.22,81.31,Danio rerio
NEUR_7680,Cortex,134.91,25.03,Macaca mulatta
NEUR_5531,Hypothalamus,7.46,26.73,Mus musculus
NEUR_8168,Hypothalamus,106.35,60.11,Rattus norvegicus
NEUR_5787,Hypothalamus,105.26,28.15,Danio rerio
NEUR_2845,Thalamus,89.86,59.04,Macaca mulatta
NEUR_4221,Cerebellum,37.58,88.87,Danio rerio
NEUR_9134,Striatum,137.4,114.57,Macaca mulatta
NEUR_1915,Cortex,122.0,54.84,Macaca mulatta
NEUR_8711,Hypothalamus,119.46,65.28,Mus musculus
NEUR_9815,Hippocampus,50.17,45.92,Rattus norvegicus
NEUR_5092,Hippocampus,80.28,32.82,Macaca mulatta
NEUR_7296,Hypothalamus,80.03,32.48,Danio rerio
NEUR_2769,Cerebellum,10.72,10.72,Macaca mulatta
NEUR_2585,Striatum,134.5,31.26,Macaca mulatta
NEUR_9308,Amygdala,54.96,24.0,Mus musculus
NEUR_7663,Cerebellum,67.79,29.59,Rattus norvegicus
NEUR_2344,Striatum,32.42,66.96,Rattus norvegicus
NEUR_1056,Thalamus,121.72,110.68,Macaca mulatta
NEUR_1885,Thalamus,47.01,68.49,Macaca mulatta
NEUR_9614,Hippocampus,91.87,100.78,Rattus norvegicus
NEUR_5272,Cortex,94.38,56.09,Macaca mulatta
NEUR_5505,Cortex,74.66,27.51,Mus musculus
NEUR_7354,Striatum,144.58,13.24,Rattus norvegicus
NEUR_6804,Hypothalamus,140.84,76.25,Mus musculus
NEUR_8761,Thalamus,37.36,62.3,Danio rerio
NEUR_9671,Cortex,24.76,59.27,Danio rerio
NEUR_6401,Hippocampus,25.16,16.36,Macaca mulatta
NEUR_5302,Hippocampus,136.94,51.52,Rattus norvegicus
NEUR_4658,Cerebellum,30.47,20.65,Mus musculus
NEUR_6205,Cortex,141.53,48.98,Macaca mulatta
NEUR_8764,Cortex,10.96,50.16,Rattus norvegicus
NEUR_6155,Thalamus,136.04,80.06,Rattus norvegicus
NEUR_5095,Cerebellum,97.53,17.96,Rattus norvegicus
NEUR_6142,Hippocampus,83.73,87.96,Macaca mulatta
NEUR_6042,Hippocampus,79.69,112.38,Danio rerio
NEUR_8174,Thalamus,65.47,69.46,Mus musculus
NEUR_3899,Amygdala,9.85,103.7,Mus musculus
NEUR_2477,Thalamus,107.77,20.07,Mus musculus
NEUR_4616,Amygdala,79.61,119.62,Mus musculus
NEUR_2968,Hypothalamus,111.74,65.17,Rattus norvegicus
NEUR_7748,Cortex,79.92,53.76,Danio rerio
NEUR_3832,Cerebellum,70.46,56.47,Mus musculus
NEUR_5503,Hippocampus,37.37,111.61,Mus musculus
NEUR_1310,Thalamus,83.31,70.56,Mus musculus
NEUR_8954,Hippocampus,5.15,29.22,Rattus norvegicus
NEUR_2795,Hypothalamus,114.4,20.07,Danio rerio
NEUR_5389,Cortex,122.57,108.99,Mus musculus
NEUR_8329,Thalamus,59.7,106.81,Rattus norvegicus
NEUR_2250,Amygdala,68.22,47.57,Rattus norvegicus
NEUR_5828,Amygdala,111.97,82.06,Danio rerio
NEUR_3268,Cerebellum,128.01,53.76,Mus musculus
NEUR_6751,Thalamus,3.95,20.31,Danio rerio
NEUR_6847,Cortex,24.1,44.08,Rattus norvegicus
NEUR_9679,Thalamus,82.01,63.41,Macaca mulatta
NEUR_4462,Hippocampus,111.19,103.65,Macaca mulatta
NEUR_6794,Striatum,93.64,81.02,Danio rerio
NEUR_5687,Striatum,23.57,71.63,Danio rerio
NEUR_4989,Hippocampus,48.93,76.26,Macaca mulatta
NEUR_8642,Striatum,6.89,116.56,Macaca mulatta
NEUR_5058,Thalamus,37.36,39.02,Macaca mulatta
NEUR_5012,Hypothalamus,90.06,17.41,Mus musculus
NEUR_1431,Hypothalamus,36.7,81.14,Danio rerio
NEUR_5068,Cerebellum,111.47,99.0,Macaca mulatta
NEUR_4173,Cerebellum,138.52,24.79,Rattus norvegicus
NEUR_9153,Hypothalamus,94.14,70.71,Macaca mulatta
NEUR_2871,Amygdala,116.19,91.17,Rattus norvegicus
NEUR_8022,Hippocampus,59.04,77.05,Mus musculus
NEUR_6731,Cerebellum,101.25,65.53,Danio rerio
NEUR_8196,Thalamus,18.42,101.84,Rattus norvegicus
NEUR_9372,Cortex,52.25,104.32,Mus musculus
NEUR_6661,Striatum,105.71,48.22,Mus musculus
NEUR_9143,Hypothalamus,140.05,31.95,Rattus norvegicus
NEUR_9929,Striatum,128.36,74.34,Macaca mulatta
NEUR_9991,Thalamus,10.59,33.47,Macaca mulatta
NEUR_1470,Cortex,146.66,47.05,Danio rerio
NEUR_9649,Thalamus,51.44,30.72,Mus musculus
NEUR_4774,Amygdala,47.74,44.27,Danio rerio
NEUR_4766,Amygdala,29.32,43.28,Rattus norvegicus
NEUR_6558,Cerebellum,9.26,85.34,Danio rerio
NEUR_8530,Hypothalamus,119.18,105.65,Danio rerio
NEUR_2016,Hippocampus,82.52,26.07,Rattus norvegicus
NEUR_1851,Striatum,112.1,90.17,Mus musculus
NEUR_7855,Amygdala,130.95,30.06,Rattus norvegicus
NEUR_2135,Hippocampus,73.42,110.3,Macaca mulatta
NEUR_1843,Cortex,7.95,23.98,Macaca mulatta
NEUR_9336,Cortex,73.29,26.16,Mus musculus
NEUR_4050,Hippocampus,99.82,19.95,Rattus norvegicus
NEUR_5660,Hippocampus,13.74,35.93,Mus musculus
NEUR_2815,Cortex,15.4,90.69,Macaca mulatta
NEUR_3985,Amygdala,101.32,33.49,Rattus norvegicus
NEUR_2252,Hippocampus,140.71,26.09,Macaca mulatta
NEUR_1737,Cortex,135.17,99.63,Rattus norvegicus
NEUR_9208,Striatum,125.98,59.77,Rattus norvegicus
NEUR_9095,Cerebellum,62.01,93.04,Rattus norvegicus
NEUR_9821,Cortex,55.0,92.82,Mus musculus
NEUR_1605,Striatum,20.24,90.75,Danio rerio
NEUR_9317,Amygdala,31.2,42.01,Mus musculus
NEUR_8415,Hypothalamus,59.92,11.51,Mus musculus
NEUR_7434,Striatum,48.31,54.94,Mus musculus
NEUR_3407,Striatum,141.58,10.75,Mus musculus
NEUR_1013,Hypothalamus,37.69,65.58,Danio rerio
NEUR_4631,Cortex,129.97,47.19,Mus musculus
NEUR_1961,Amygdala,90.25,107.15,Mus musculus
NEUR_7092,Cortex,39.67,115.35,Danio rerio
NEUR_3043,Amygdala,92.94,21.32,Macaca mulatta
NEUR_6880,Hippocampus,100.5,52.29,Rattus norvegicus
NEUR_8710,Cerebellum,133.88,12.81,Danio rerio
NEUR_7056,Amygdala,58.84,67.25,Mus musculus
NEUR_3523,Cerebellum,67.82,21.46,Danio rerio
NEUR_9038,Thalamus,38.52,111.28,Danio rerio
NEUR_2019,Amygdala,146.76,46.8,Macaca mulatta
NEUR_1699,Hippocampus,86.86,103.8,Rattus norvegicus
NEUR_9905,Hippocampus,44.1,48.23,Mus musculus
NEUR_5884,Hypothalamus,61.0,86.12,Mus musculus
NEUR_1615,Hypothalamus,72.21,85.91,Danio rerio
NEUR_4361,Hypothalamus,115.47,54.19,Danio rerio
NEUR_2411,Cerebellum,57.47,22.44,Danio rerio
NEUR_7511,Hypothalamus,22.9,44.53,Macaca mulatta
NEUR_3992,Amygdala,126.6,81.09,Macaca mulatta
NEUR_5459,Cortex,95.41,81.38,Rattus norvegicus
NEUR_1669,Thalamus,20.92,58.37,Danio rerio
NEUR_1234,Cortex,30.21,93.29,Mus musculus
NEUR_2670,Striatum,100.31,13.72,Macaca mulatta
NEUR_9671,Thalamus,44.59,31.4,Macaca mulatta
NEUR_3101,Thalamus,47.12,39.82,Macaca mulatta
NEUR_7126,Thalamus,48.36,63.48,Mus musculus
NEUR_3734,Cortex,4.75,40.09,Rattus norvegicus
NEUR_4074,Cortex,34.51,105.92,Mus musculus
NEUR_8436,Striatum,26.81,109.69,Macaca mulatta
NEUR_9392,Cortex,90.92,46.56,Rattus norvegicus
NEUR_1127,Hypothalamus,41.22,119.58,Mus musculus
NEUR_7769,Thalamus,18.36,61.08,Danio rerio
NEUR_2656,Amygdala,132.4,89.28,Rattus norvegicus
NEUR_8075,Hippocampus,145.17,32.14,Macaca mulatta
NEUR_1377,Cerebellum,149.63,64.31,Danio rerio
NEUR_5413,Thalamus,9.45,66.75,Mus musculus
NEUR_5767,Cerebellum,99.8,28.26,Danio rerio
NEUR_6290,Hypothalamus,147.6,66.45,Danio rerio
NEUR_9092,Striatum,4.36,63.19,Danio rerio
NEUR_9114,Thalamus,144.1,108.27,Rattus norvegicus
NEUR_7434,Hypothalamus,82.31,64.61,Macaca mulatta
NEUR_2641,Hypothalamus,96.46,59.08,Danio rerio
NEUR_5426,Amygdala,1.39,38.19,Danio rerio
NEUR_6101,Striatum,0.66,82.42,Danio rerio
NEUR_1864,Striatum,128.8,107.91,Mus musculus
NEUR_7660,Cerebellum,0.24,60.04,Danio rerio
NEUR_5195,Cerebellum,93.86,59.59,Mus musculus
NEUR_8864,Thalamus,123.84,49.1,Macaca mulatta
NEUR_2902,Hippocampus,65.57,92.64,Mus musculus
NEUR_2064,Cortex,100.53,69.49,Mus musculus
NEUR_6043,Amygdala,141.92,99.76,Rattus norvegicus
NEUR_8153,Hypothalamus,36.3,74.91,Rattus norvegicus
NEUR_7934,Hippocampus,108.84,92.98,Mus musculus
NEUR_9483,Hypothalamus,100.77,105.81,Danio rerio
NEUR_8291,Amygdala,58.01,84.03,Mus musculus
NEUR_3528,Cerebellum,75.15,74.19,Rattus norvegicus
NEUR_8737,Cortex,48.55,37.3,Mus musculus
NEUR_6717,Hippocampus,83.61,119.21,Macaca mulatta
NEUR_6006,Hypothalamus,14.02,32.02,Rattus norvegicus
NEUR_9832,Cortex,75.93,11.83,Macaca mulatta
NEUR_8986,Cortex,136.59,49.73,Macaca mulatta
NEUR_6936,Amygdala,51.36,93.08,Mus musculus
NEUR_8982,Hypothalamus,143.66,40.27,Danio rerio
NEUR_2447,Striatum,25.96,32.12,Danio rerio
NEUR_5546,Hypothalamus,3.92,106.97,Rattus norvegicus
NEUR_3832,Thalamus,67.73,63.55,Macaca mulatta
NEUR_6303,Thalamus,15.68,29.45,Macaca mulatta
NEUR_8626,Amygdala,47.67,21.98,Danio rerio
NEUR_9020,Cortex,80.12,112.42,Danio rerio
NEUR_6404,Hippocampus,69.36,29.04,Mus musculus
NEUR_1201,Hippocampus,138.4,115.76,Rattus norvegicus
NEUR_6299,Striatum,82.18,119.48,Mus musculus
NEUR_6288,Thalamus,111.68,116.69,Mus musculus
NEUR_3377,Hypothalamus,111.11,47.35,Mus musculus
NEUR_4457,Amygdala,23.21,16.78,Danio rerio
NEUR_9697,Amygdala,85.98,74.07,Rattus norvegicus
NEUR_8954,Cortex,115.93,72.47,Mus musculus
NEUR_6184,Hypothalamus,18.14,98.08,Mus musculus
NEUR_9098,Thalamus,79.82,65.7,Danio rerio
NEUR_7722,Cortex,97.73,117.06,Mus musculus
NEUR_6624,Thalamus,11.02,77.42,Danio rerio
