neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_3953,Hypothalamus,129.36,87.86,Rattus norvegicus
NEUR_8625,Cerebellum,81.31,34.88,Macaca mulatta
NEUR_4303,Cortex,66.5,83.6,Macaca mulatta
NEUR_2287,Amygdala,126.94,74.97,Macaca mulatta
NEUR_5023,Hippocampus,97.7,77.26,Mus musculus
NEUR_3205,Thalamus,82.79,37.0,Mus musculus
NEUR_6128,Hippocampus,142.94,67.98,Danio rerio
NEUR_5790,Amygdala,38.59,44.97,Mus musculus
NEUR_1501,Striatum,9.98,43.89,Macaca mulatta
NEUR_9245,Hippocampus,56.11,69.54,Rattus norvegicus
NEUR_2434,Cerebellum,134.89,96.66,Macaca mulatta
NEUR_5647,Hippocampus,94.83,35.55,Macaca mulatta
NEUR_8135,Hypothalamus,78.34,62.08,Macaca mulatta
NEUR_1044,Cerebellum,137.15,86.17,Danio rerio
NEUR_8039,Hippocampus,116.07,74.27,Macaca mulatta
NEUR_6371,Hypothalamus,70.66,97.97,Rattus norvegicus
NEUR_9339,Striatum,129.5,30.1,Rattus norvegicus
NEUR_2186,Striatum,132.46,39.56,Danio rerio
NEUR_1258,Amygdala,24.11,98.1,Mus musculus
NEUR_2159,Amygdala,73.46,55.8,Macaca mulatta
NEUR_2562,Thalamus,56.78,10.86,Rattus norvegicus
NEUR_7969,Hippocampus,125.34,89.51,Macaca mulatta
NEUR_1384,Striatum,33.13,39.33,Rattus norvegicus
NEUR_3736,Striatum,25.37,104.28,Danio rerio
NEUR_1619,Hippocampus,143.37,100.53,Mus musculus
NEUR_6969,Cortex,38.51,38.11,Macaca mulatta
NEUR_5159,Amygdala,30.32,61.15,Danio rerio
NEUR_5582,Thalamus,88.09,99.1,Rattus norvegicus
NEUR_9959,Thalamus,73.14,33.35,Danio rerio
NEUR_5171,Striatum,26.99,69.31,Rattus norvegicus
NEUR_9504,Thalamus,140.69,97.77,Macaca mulatta
NEUR_5450,Hippocampus,74.98,80.08,Mus musculus
NEUR_2417,Cortex,83.38,112.77,Mus musculus
NEUR_6247,Thalamus,87.06,71.99,Macaca mulatta
NEUR_8426,Striatum,65.79,108.47,Mus musculus
NEUR_2730,Striatum,48.91,116.91,Macaca mulatta
NEUR_3997,Cortex,16.61,15.34,Mus musculus
NEUR_3727,Cerebellum,69.32,118.78,Macaca mulatta
NEUR_3798,Hippocampus,101.16,31.5,Macaca mulatta
NEUR_9608,Striatum,28.71,31.96,Mus musculus
NEUR_4194,Hippocampus,133.74,104.77,Rattus norvegicus
NEUR_4530,Striatum,51.09,90.9,Mus musculus
NEUR_9371,Striatum,6.35,105.85,Rattus norvegicus
NEUR_5822,Amygdala,70.69,31.01,Macaca mulatta
NEUR_2456,Amygdala,138.1,42.17,Mus musculus
NEUR_9363,Hippocampus,133.2,41.73,Mus musculus
NEUR_3306,Thalamus,111.79,38.23,Macaca mulatta
NEUR_1469,Striatum,28.77,50.89,Danio rerio
NEUR_2594,Cortex,132.09,106.25,Macaca mulatta
NEUR_8979,Cortex,51.09,10.88,Macaca mulatta
NEUR_6876,Thalamus,135.4,38.48,Rattus norvegicus
NEUR_5997,Cerebellum,110.16,109.11,Danio rerio
NEUR_3976,Hippocampus,127.14,119.31,Rattus norvegicus
NEUR_7282,Striatum,38.46,62.33,Macaca mulatta
NEUR_5157,Striatum,100.31,92.52,Macaca mulatta
NEUR_6938,Cortex,98.71,38.06,Macaca mulatta
NEUR_3232,Hypothalamus,69.63,16.39,Rattus norvegicus
NEUR_9443,Hypothalamus,31.8,31.07,Macaca mulatta
NEUR_1103,Hippocampus,119.87,68.72,Rattus norvegicus
NEUR_9349,Striatum,22.23,20.6,Mus musculus
NEUR_2388,Thalamus,61.98,80.91,Mus musculus
NEUR_8130,Striatum,75.96,43.55,Macaca mulatta
NEUR_1094,Thalamus,137.19,77.44,Danio rerio
NEUR_5398,Amygdala,52.91,12.45,Mus musculus
NEUR_7244,Cortex,64.52,76.42,Danio rerio
NEUR_6066,Cortex,6.1,47.13,Rattus norvegicus
NEUR_6693,Cortex,141.38,99.77,Danio rerio
NEUR_3670,Hippocampus,44.71,96.54,Rattus norvegicus
NEUR_2388,Amygdala,149.02,84.35,Rattus norvegicus
NEUR_9134,Hippocampus,121.25,66.93,Danio rerio
NEUR_2452,Hippocampus,21.72,75.91,Macaca mulatta
NEUR_6966,Cortex,64.63,49.93,Danio rerio
NEUR_4190,Striatum,112.06,47.81,Mus musculus
NEUR_5196,Hippocampus,99.13,55.29,Danio rerio
NEUR_1100,Cortex,2.3,105.35,Danio rerio
NEUR_7127,Cerebellum,61.51,62.2,Rattus norvegicus
NEUR_3057,Cerebellum,144.11,41.32,Mus musculus
NEUR_4142,Cortex,126.55,85.37,Macaca mulatta
NEUR_1478,Hypothalamus,66.3,90.77,Rattus norvegicus
NEUR_5606,Thalamus,83.41,109.91,Rattus norvegicus
NEUR_4607,Amygdala,6.24,29.37,Rattus norvegicus
NEUR_2732,Hypothalamus,12.39,104.61,Mus musculus
NEUR_2190,Amygdala,126.05,118.11,Rattus norvegicus
NEUR_2736,Hippocampus,109.88,48.25,Danio rerio
NEUR_6512,Amygdala,120.92,83.7,Macaca mulatta
NEUR_4808,Thalamus,115.56,63.21,Danio rerio
NEUR_2660,Cerebellum,89.98,99.6,Danio rerio
NEUR_8543,Striatum,81.9,109.46,Macaca mulatta
NEUR_8058,Striatum,132.34,40.06,Mus musculus
NEUR_6455,Cortex,34.36,95.65,Mus musculus
NEUR_9548,Cerebellum,50.1,26.38,Danio rerio
NEUR_5131,Hypothalamus,108.42,95.76,Danio rerio
NEUR_2427,Cerebellum,95.96,39.32,Danio rerio
NEUR_8792,Thalamus,6.77,85.15,Danio rerio
NEUR_4838,Cerebellum,148.36,115.29,Danio rerio
NEUR_4104,Striatum,5.16,18.45,Rattus norvegicus
NEUR_8436,Thalamus,97.11,71.61,Mus musculus
NEUR_5110,Hippocampus,4.52,108.36,Rattus norvegicus
NEUR_6243,Thalamus,25.16,21.51,Danio rerio
NEUR_9518,Hippocampus,111.66,93.71,Danio rerio
NEUR_9055,Thalamus,22.78,69.72,Macaca mulatta
NEUR_6089,Cortex,68.21,77.8,Macaca mulatta
NEUR_2322,Cerebellum,31.98,60.45,Rattus norvegicus
NEUR_9186,Cerebellum,118.11,115.71,Danio rerio
NEUR_8516,Hypothalamus,57.71,30.44,Rattus norvegicus
NEUR_7125,Hypothalamus,6.75,103.07,Rattus norvegicus
NEUR_5053,Thalamus,147.3,60.56,Danio rerio
NEUR_2245,Striatum,115.96,83.13,Mus musculus
NEUR_6941,Cerebellum,125.92,21.85,Mus musculus
NEUR_1038,Cortex,31.67,109.02,Rattus norvegicus
NEUR_3489,Thalamus,36.96,37.27,Danio rerio
NEUR_7634,Striatum,58.44,64.65,Macaca mulatta
NEUR_9030,Amygdala,101.72,25.82,Mus musculus
NEUR_3778,Striatum,144.52,50.7,Danio rerio
NEUR_3289,Cortex,148.6,49.36,Danio rerio
NEUR_9381,Cortex,119.63,31.33,Danio rerio
NEUR_2606,Hippocampus,148.11,32.29,Macaca mulatta
NEUR_6783,Amygdala,9.18,67.9,Rattus norvegicus
NEUR_4896,Hippocampus,3.85,78.25,Macaca mulatta
NEUR_1857,Hypothalamus,47.47,79.8,Rattus norvegicus
NEUR_3189,Amygdala,100.33,22.59,Macaca mulatta
NEUR_3711,Cerebellum,61.98,24.66,Danio rerio
NEUR_7209,Cortex,103.16,85.26,Danio rerio
NEUR_8791,Hippocampus,41.77,91.28,Mus musculus
NEUR_2726,Striatum,2.11,57.84,Mus musculus
NEUR_5494,Cortex,112.77,110.65,Danio rerio
NEUR_6675,Cerebellum,99.12,25.23,Macaca mulatta
NEUR_5882,Cerebellum,122.33,42.83,Rattus norvegicus
NEUR_2143,Thalamus,113.81,95.23,Mus musculus
NEUR_3264,Cerebellum,32.68,103.81,Rattus norvegicus
NEUR_8672,Amygdala,7.45,60.44,Danio rerio
NEUR_5608,Cerebellum,22.3,75.86,Danio rerio
NEUR_3502,Hypothalamus,139.11,54.03,Danio rerio
NEUR_6782,Striatum,85.31,11.96,Macaca mulatta
NEUR_6570,Hypothalamus,78.88,37.56,Macaca mulatta
NEUR_2479,Thalamus,135.85,28.02,Mus musculus
NEUR_6871,Thalamus,50.27,89.3,Rattus norvegicus
NEUR_4916,Cortex,59.73,27.51,Rattus norvegicus
NEUR_6696,Hippocampus,1.3,75.41,Danio rerio
NEUR_7151,Cortex,144.62,118.33,Mus musculus
NEUR_6957,Striatum,39.39,56.34,Mus musculus
NEUR_5727,Thalamus,21.18,53.39,Mus musculus
NEUR_2626,Cortex,141.84,83.37,Rattus norvegicus
NEUR_6317,Amygdala,36.82,43.48,Mus musculus
NEUR_3497,Amygdala,22.04,58.0,Danio rerio
NEUR_8311,Striatum,102.85,81.59,Rattus norvegicus
NEUR_5922,Striatum,10.17,100.76,Mus musculus
NEUR_1508,Hypothalamus,51.04,30.58,Rattus norvegicus
NEUR_4165,Cerebellum,45.09,110.09,Danio rerio
NEUR_1301,Amygdala,26.45,31.82,Mus musculus
NEUR_1378,Thalamus,35.76,38.52,Danio rerio
NEUR_8900,Hypothalamus,88.65,50.64,Macaca mulatta
NEUR_4591,Hypothalamus,133.6,110.82,Macaca mulatta
NEUR_9600,Striatum,106.08,95.64,Danio rerio
NEUR_2228,Cerebellum,47.11,56.77,Mus musculus
NEUR_8566,Thalamus,45.26,108.42,Rattus norvegicus
NEUR_7966,Hypothalamus,123.27,109.97,Macaca mulatta
NEUR_5976,Cerebellum,17.17,21.62,Macaca mulatta
NEUR_9936,Amygdala,72.31,10.98,Rattus norvegicus
NEUR_8492,Cerebellum,46.86,41.85,Macaca mulatta
NEUR_4404,Striatum,35.83,94.61,Macaca mulatta
NEUR_8927,Amygdala,97.63,26.09,Macaca mulatta
NEUR_6370,Hypothalamus,76.67,64.62,Danio rerio
NEUR_4531,Cortex,135.05,51.06,Macaca mulatta
NEUR_4755,Cortex,114.18,86.33,Rattus norvegicus
NEUR_7116,Hippocampus,5.55,91.48,Danio rerio
NEUR_5333,Hippocampus,132.48,87.85,Mus musculus
NEUR_9710,Striatum,94.85,81.35,Rattus norvegicus
NEUR_1171,Striatum,111.79,29.52,Rattus norvegicus
NEUR_2969,Cortex,131.2,28.43,Mus musculus
NEUR_8988,Cerebellum,45.33,29.13,Danio rerio
NEUR_9188,Hypothalamus,109.43,119.1,Rattus norvegicus
NEUR_7097,Hippocampus,41.16,119.25,Rattus norvegicus
NEUR_7975,Thalamus,100.2,19.73,Mus musculus
NEUR_1223,Cerebellum,86.15,82.76,Danio rerio
NEUR_5229,Amygdala,23.88,67.63,Danio rerio
NEUR_6483,Cerebellum,128.0,30.16,Mus musculus
NEUR_2239,Hypothalamus,71.97,43.86,Macaca mulatta
NEUR_4793,Cortex,101.74,83.53,Macaca mulatta
NEUR_5431,Cerebellum,137.1,111.5,Macaca mulatta
NEUR_4643,Striatum,124.12,53.15,Rattus norvegicus
NEUR_1645,Hypothalamus,17.13,96.93,Rattus norvegicus
NEUR_4577,Amygdala,67.29,79.36,Danio rerio
NEUR_3109,Thalamus,52.75,60.54,Mus musculus
NEUR_3724,Cortex,86.78,50.37,Rattus norvegicus
NEUR_8223,Cerebellum,48.56,105.41,Danio rerio
NEUR_8070,Cerebellum,108.67,113.5,Rattus norvegicus
NEUR_1072,Amygdala,114.59,97.96,Mus musculus
NEUR_4296,Cortex,94.79,40.39,Mus musculus
NEUR_1866,Amygdala,122.68,111.17,Rattus norvegicus
NEUR_1191,Amygdala,102.66,76.9,Macaca mulatta
NEUR_9654,Cerebellum,127.95,117.84,Rattus norvegicus
NEUR_1697,Amygdala,36.59,102.97,Danio rerio
NEUR_3851,Amygdala,88.07,62.46,Danio rerio
NEUR_1397,Cortex,65.15,80.19,Macaca mulatta
NEUR_5320,Hippocampus,37.92,24.46,Rattus norvegicus
NEUR_2864,Cerebellum,143.65,65.39,Macaca mulatta
NEUR_4749,Hypothalamus,100.45,113.9,Mus musculus
NEUR_1024,Hippocampus,98.18,86.07,Rattus norvegicus
NEUR_1957,Striatum,59.78,58.82,Rattus norvegicus
NEUR_7509,Cerebellum,88.44,107.23,Mus musculus
NEUR_9460,Striatum,91.2,113.8,Macaca mulatta
NEUR_7605,Striatum,147.74,88.55,Rattus norvegicus
NEUR_3757,Amygdala,82.33,104.95,Mus musculus
NEUR_8195,Hippocampus,33.09,48.86,Danio rerio
NEUR_9773,Amygdala,117.91,42.89,Danio rerio
NEUR_2184,Cerebellum,107.79,49.08,Macaca mulatta
NEUR_2810,Amygdala,129.56,34.18,Danio rerio
NEUR_1617,Thalamus,47.62,41.26,Mus musculus
NEUR_1718,Hippocampus,42.04,12.57,Rattus norvegicus
NEUR_9251,Striatum,122.11,99.71,Rattus norvegicus
NEUR_7141,Thalamus,147.05,48.97,Macaca mulatta
NEUR_7748,Cortex,44.59,41.6,Danio rerio
NEUR_7033,Hypothalamus,134.11,97.09,Macaca mulatta
NEUR_6122,Cortex,48.01,73.91,Rattus norvegicus
NEUR_7815,Hypothalamus,148.8,88.71,Mus musculus
NEUR_3657,Hypothalamus,129.53,111.72,Mus musculus
NEUR_9724,Striatum,29.29,104.24,Mus musculus
NEUR_7082,Cerebellum,146.02,18.33,Macaca mulatta
NEUR_1828,Cortex,109.95,68.86,Mus musculus
NEUR_3231,Amygdala,2.28,79.18,Mus musculus
NEUR_4119,Hypothalamus,145.61,100.75,Mus musculus
NEUR_8443,Amygdala,111.77,63.59,Danio rerio
NEUR_9082,Thalamus,44.19,100.02,Mus musculus
NEUR_1888,Cortex,19.14,28.87,Rattus norvegicus
NEUR_6534,Striatum,85.19,72.51,Mus musculus
NEUR_9814,Cortex,43.42,117.92,Mus musculus
NEUR_3734,Hypothalamus,118.34,100.6,Mus musculus
NEUR_5407,Hippocampus,47.58,89.43,Danio rerio
NEUR_1535,Hippocampus,51.31,53.92,Mus musculus
NEUR_2761,Amygdala,98.43,98.7,Danio rerio
NEUR_7929,Thalamus,16.89,76.94,Macaca mulatta
NEUR_2694,Amygdala,22.6,112.79,Rattus norvegicus
NEUR_8699,Cortex,89.67,57.87,Danio rerio
NEUR_6867,Thalamus,109.49,81.31,Rattus norvegicus
NEUR_3115,Cortex,5.34,89.89,Danio rerio
NEUR_2013,Hypothalamus,102.59,97.92,Mus musculus
NEUR_1020,Cerebellum,0.75,15.38,Mus musculus
NEUR_6016,Cerebellum,39.27,12.18,Danio rerio
NEUR_5011,Cortex,16.52,22.75,Rattus norvegicus
NEUR_7810,Striatum,77.97,26.37,Mus musculus
NEUR_2855,Hypothalamus,53.6,76.81,Rattus norvegicus
NEUR_5008,Amygdala,26.27,51.36,Macaca mulatta
NEUR_1487,Cerebellum,26.29,15.91,Macaca mulatta
NEUR_1962,Hypothalamus,11.4,79.75,Rattus norvegicus
NEUR_2846,Cortex,14.91,68.34,Macaca mulatta
NEUR_9599,Amygdala,89.68,19.85,Mus musculus
NEUR_8826,Hippocampus,59.14,81.58,Macaca mulatta
NEUR_1257,Amygdala,119.84,44.66,Mus musculus
NEUR_8309,Amygdala,39.46,19.87,Mus musculus
NEUR_3477,Thalamus,79.34,94.97,Danio rerio
NEUR_6075,Amygdala,103.21,70.37,Danio rerio
NEUR_8498,Thalamus,109.51,95.61,Macaca mulatta
NEUR_6989,Hippocampus,107.73,53.56,Rattus norvegicus
NEUR_3001,Hypothalamus,67.51,48.07,Rattus norvegicus
NEUR_3559,Hippocampus,63.19,18.05,Macaca mulatta
NEUR_1100,Hypothalamus,149.79,78.32,Danio rerio
NEUR_8603,Striatum,117.73,115.05,Mus musculus
NEUR_6039,Thalamus,50.81,69.81,Mus musculus
NEUR_9065,Hippocampus,117.07,87.55,Macaca mulatta
NEUR_8189,Cortex,1.72,14.29,Mus musculus
NEUR_6427,Cerebellum,21.96,16.23,Mus musculus
NEUR_4099,Cortex,113.06,22.65,Rattus norvegicus
NEUR_2975,Cerebellum,52.39,17.59,Danio rerio
NEUR_7564,Striatum,43.32,112.44,Macaca mulatta
NEUR_2481,Cortex,147.97,97.74,Mus musculus
NEUR_1128,Striatum,48.62,60.84,Danio rerio
NEUR_1441,Hippocampus,80.08,70.43,Mus musculus
