neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_9215,Thalamus,59.65,78.37,Rattus norvegicus
NEUR_7117,Hypothalamus,132.82,19.52,Macaca mulatta
NEUR_5593,Thalamus,55.44,50.29,Danio rerio
NEUR_2688,Hippocampus,122.36,25.47,Mus musculus
NEUR_3164,Hypothalamus,45.74,30.84,Rattus norvegicus
NEUR_5615,Thalamus,107.61,63.14,Rattus norvegicus
NEUR_9805,Hypothalamus,48.98,43.45,Mus musculus
NEUR_9399,Hippocampus,93.89,14.79,Macaca mulatta
NEUR_9451,Cerebellum,56.3,88.25,Mus musculus
NEUR_5435,Striatum,29.84,106.55,Rattus norvegicus
NEUR_5148,Hypothalamus,72.39,95.14,Danio rerio
NEUR_9040,Thalamus,47.48,21.96,Mus musculus
NEUR_7357,Hypothalamus,137.05,53.56,Mus musculus
NEUR_1288,Cortex,88.26,41.74,Mus musculus
NEUR_4859,Cerebellum,124.82,110.64,Rattus norvegicus
NEUR_2778,Thalamus,146.83,34.02,Mus musculus
NEUR_6347,Cerebellum,104.58,51.29,Macaca mulatta
NEUR_1186,Amygdala,61.27,44.04,Mus musculus
NEUR_2010,Hypothalamus,31.2,30.0,Danio rerio
NEUR_7347,Striatum,126.69,115.29,Macaca mulatta
NEUR_2502,Hippocampus,39.88,16.82,Rattus norvegicus
NEUR_5090,Amygdala,62.91,89.22,Rattus norvegicus
NEUR_7595,Cerebellum,40.23,110.66,Rattus norvegicus
NEUR_2222,Hypothalamus,16.02,14.04,Danio rerio
NEUR_6876,Striatum,111.87,98.08,Macaca mulatta
NEUR_2289,Striatum,3.5,92.46,Rattus norvegicus
NEUR_8461,Striatum,57.22,90.51,Danio rerio
NEUR_8612,Hypothalamus,52.56,95.75,Rattus norvegicus
NEUR_6837,Amygdala,120.74,20.38,Mus musculus
NEUR_8178,Amygdala,10.44,68.46,Rattus norvegicus
NEUR_1286,Striatum,134.81,55.19,Mus musculus
NEUR_4248,Cortex,73.48,97.49,Mus musculus
NEUR_2262,Cerebellum,66.81,98.68,Danio rerio
