species,class,order,weight_kg,length_cm,conservation_status
Majority best,Amphibia,Anura,675.91,2717.56,Extinct in the Wild
Especially whom,Reptilia,Rodentia,323.873,577.1,Extinct in the Wild
American sense,Aves,Passeriformes,1545.672,153.85,Critically Endangered
Three market,Reptilia,Passeriformes,3034.767,728.96,Critically Endangered
Would board,Aves,Squamata,198.552,1218.82,Least Concern
Fight same,Mammalia,Primates,3804.323,2289.73,Near Threatened
Final since,Actinopterygii,Carnivora,4848.467,834.7,Extinct in the Wild
Husband grow,Mammalia,Rodentia,2261.162,2711.07,Least Concern
Because record,Amphibia,Passeriformes,1401.788,1174.45,Extinct in the Wild
Behavior the,Amphibia,Squamata,1334.604,2517.07,Least Concern
However they,Actinopterygii,Primates,1656.413,1979.69,Least Concern
Dark think,Reptilia,Anura,424.777,2410.56,Vulnerable
Sort prepare,Mammalia,Rodentia,3162.339,928.87,Vulnerable
Customer the,Reptilia,Carnivora,1314.246,1226.35,Near Threatened
Voice seat,Actinopterygii,Carnivora,2174.07,1542.0,Near Threatened
Hot into,Actinopterygii,Primates,3479.545,1410.38,Least Concern
Pressure product,Amphibia,Carnivora,4602.395,2624.03,Endangered
Firm stuff,Amphibia,Primates,2500.655,1472.29,Endangered
For onto,Mammalia,Carnivora,2133.966,2158.44,Vulnerable
Role happy,Aves,Carnivora,3144.313,2178.59,Near Threatened
Science claim,Reptilia,Rodentia,2291.461,2227.06,Endangered
Poor street,Mammalia,Rodentia,1827.349,2536.99,Extinct in the Wild
Out management,Aves,Passeriformes,165.279,2975.89,Least Concern
Another only,Amphibia,Primates,144.302,2300.62,Near Threatened
Build money,Actinopterygii,Squamata,1090.085,2049.71,Critically Endangered
Recent guy,Actinopterygii,Passeriformes,3597.951,418.78,Endangered
Light interesting,Amphibia,Squamata,4037.97,1244.04,Vulnerable
Let her,Reptilia,Carnivora,3638.1,787.04,Least Concern
Staff reflect,Aves,Anura,1403.338,2428.57,Near Threatened
Market either,Aves,Rodentia,1808.132,2295.32,Endangered
Several through,Amphibia,Carnivora,478.254,1959.03,Least Concern
Outside technology,Actinopterygii,Carnivora,4439.687,2801.41,Near Threatened
Machine cultural,Amphibia,Anura,285.343,484.6,Critically Endangered
Their at,Reptilia,Anura,475.786,1269.11,Least Concern
Fear campaign,Actinopterygii,Rodentia,2815.549,1519.12,Near Threatened
Can moment,Amphibia,Carnivora,388.256,303.45,Near Threatened
Drug subject,Reptilia,Rodentia,3307.602,426.11,Vulnerable
Push role,Aves,Anura,3435.082,1219.29,Endangered
Especially purpose,Aves,Squamata,1780.729,1348.82,Endangered
Trip book,Aves,Passeriformes,2015.913,1090.22,Extinct in the Wild
Mother week,Reptilia,Passeriformes,201.795,2984.61,Endangered
Image this,Mammalia,Anura,742.692,2944.23,Endangered
Ground large,Actinopterygii,Squamata,4146.171,95.64,Least Concern
Not total,Actinopterygii,Passeriformes,2825.419,336.87,Vulnerable
Thousand process,Amphibia,Passeriformes,105.903,13.75,Least Concern
Risk card,Reptilia,Anura,500.476,695.78,Near Threatened
Animal lay,Actinopterygii,Primates,4286.265,2993.91,Endangered
Save thing,Amphibia,Primates,2187.421,1967.05,Endangered
Decade box,Reptilia,Anura,4948.577,2902.7,Endangered
Ground theory,Reptilia,Primates,976.717,2550.4,Critically Endangered
After career,Aves,Anura,1316.242,1556.37,Endangered
Always challenge,Amphibia,Squamata,3316.3,2077.83,Extinct in the Wild
Sister significant,Reptilia,Squamata,1178.144,1702.92,Endangered
Respond garden,Aves,Carnivora,1081.91,791.77,Vulnerable
Meeting itself,Aves,Passeriformes,2434.642,534.79,Extinct in the Wild
Around answer,Aves,Carnivora,4110.434,1634.65,Least Concern
Represent miss,Aves,Passeriformes,3889.914,799.1,Extinct in the Wild
Such western,Aves,Carnivora,1130.92,72.7,Endangered
View tax,Amphibia,Squamata,1683.88,440.09,Near Threatened
Teacher cold,Mammalia,Primates,4456.665,1941.22,Endangered
Could must,Amphibia,Primates,4960.119,2478.42,Near Threatened
Reflect state,Reptilia,Carnivora,3126.459,299.02,Least Concern
Throw weight,Aves,Carnivora,2289.982,756.33,Endangered
Stop else,Reptilia,Passeriformes,1386.104,492.97,Endangered
Court moment,Mammalia,Anura,2717.06,2150.4,Least Concern
