species,class,order,weight_kg,length_cm,conservation_status
Money school,Reptilia,Rodentia,1136.432,444.48,Vulnerable
Cause what,Aves,Carnivora,602.061,2623.31,Critically Endangered
Government red,Amphibia,Primates,1726.918,722.3,Extinct in the Wild
Fight drive,Mammalia,Carnivora,334.109,1819.85,Critically Endangered
Stay manage,Reptilia,Rodentia,3745.0,1153.96,Critically Endangered
Pm capital,Actinopterygii,Passeriformes,4868.436,1333.8,Near Threatened
Will defense,Amphibia,Primates,2922.285,1444.2,Least Concern
Member north,Mammalia,Anura,326.366,800.76,Near Threatened
Indicate inside,Actinopterygii,Carnivora,714.452,2757.04,Endangered
Too reflect,Mammalia,Passeriformes,566.617,1417.82,Near Threatened
Cover teach,Mammalia,Rodentia,1212.459,1633.76,Critically Endangered
Work heart,Reptilia,Primates,2921.927,2198.83,Vulnerable
Road personal,Actinopterygii,Carnivora,1896.917,1207.89,Vulnerable
Before dog,Mammalia,Squamata,4876.868,1844.76,Near Threatened
Pressure study,Actinopterygii,Anura,1687.867,582.12,Vulnerable
Hair music,Aves,Squamata,409.123,1349.59,Least Concern
Serve else,Amphibia,Passeriformes,1669.341,9.28,Critically Endangered
View major,Actinopterygii,Carnivora,343.156,2964.35,Least Concern
Rule make,Aves,Primates,774.482,1669.96,Least Concern
Positive low,Amphibia,Primates,3329.948,2231.91,Extinct in the Wild
Rich bad,Mammalia,Carnivora,1773.01,2699.57,Vulnerable
Television Mrs,Mammalia,Carnivora,2376.09,1766.36,Endangered
New color,Mammalia,Squamata,1329.682,130.32,Vulnerable
Class experience,Actinopterygii,Passeriformes,2551.988,1252.49,Critically Endangered
Detail know,Amphibia,Passeriformes,4067.628,1711.07,Near Threatened
Compare sound,Reptilia,Primates,870.154,763.27,Near Threatened
Short east,Aves,Passeriformes,2147.151,925.89,Vulnerable
Where defense,Mammalia,Primates,1500.162,761.09,Critically Endangered
Member from,Actinopterygii,Squamata,2982.953,1426.46,Vulnerable
On keep,Mammalia,Anura,1615.621,2684.3,Near Threatened
Tree war,Aves,Primates,3995.243,1452.29,Near Threatened
Before foreign,Actinopterygii,Passeriformes,1468.764,1305.21,Near Threatened
Onto rather,Amphibia,Squamata,3059.504,1368.46,Near Threatened
Foreign vote,Reptilia,Squamata,2978.554,947.09,Extinct in the Wild
Significant mention,Actinopterygii,Carnivora,4954.104,768.37,Critically Endangered
Majority task,Reptilia,Anura,2950.583,2996.89,Near Threatened
Certain trade,Reptilia,Rodentia,60.164,155.33,Critically Endangered
Guess wind,Reptilia,Squamata,507.5,1902.03,Least Concern
Thus blue,Mammalia,Carnivora,3469.752,2743.23,Critically Endangered
Outside base,Amphibia,Passeriformes,667.54,998.23,Endangered
Throw war,Actinopterygii,Rodentia,356.546,1025.92,Least Concern
Benefit rate,Amphibia,Rodentia,565.314,1445.28,Extinct in the Wild
Room company,Mammalia,Rodentia,2178.985,2782.38,Least Concern
Special travel,Aves,Passeriformes,4535.682,2214.18,Critically Endangered
Hope message,Actinopterygii,Anura,1342.863,2320.8,Endangered
She pressure,Amphibia,Passeriformes,2328.05,337.57,Critically Endangered
Plant dream,Aves,Anura,4861.341,2.58,Critically Endangered
Garden action,Actinopterygii,Passeriformes,126.4,652.29,Critically Endangered
Almost others,Mammalia,Passeriformes,3878.61,1922.43,Near Threatened
Seat hotel,Reptilia,Primates,1436.924,204.28,Endangered
Us Democrat,Aves,Passeriformes,3907.59,63.42,Extinct in the Wild
Task amount,Aves,Rodentia,1750.49,268.48,Least Concern
He foot,Mammalia,Primates,3162.42,1024.75,Critically Endangered
