species,class,order,weight_kg,length_cm,conservation_status
You recent,Amphibia,Carnivora,255.111,451.18,Vulnerable
Word nothing,Mammalia,Anura,4678.295,2747.42,Endangered
Sing wish,Actinopterygii,Rodentia,1660.037,1275.93,Critically Endangered
Participant successful,Actinopterygii,Squamata,1995.298,763.52,Least Concern
Trip base,Actinopterygii,Rodentia,3743.859,777.87,Extinct in the Wild
Civil believe,Mammalia,Carnivora,2186.814,1156.86,Critically Endangered
Here section,Mammalia,Passeriformes,4734.398,453.57,Extinct in the Wild
Plant anything,Actinopterygii,Squamata,696.062,2454.36,Vulnerable
Worry bit,Aves,Squamata,1060.38,429.24,Critically Endangered
Look not,Mammalia,Passeriformes,479.097,2700.99,Least Concern
Piece personal,Aves,Squamata,2025.227,1511.65,Vulnerable
Clear surface,Amphibia,Primates,3352.586,2253.09,Least Concern
Car change,Amphibia,Squamata,2349.537,2287.7,Extinct in the Wild
Too throughout,Reptilia,Squamata,2766.431,980.38,Least Concern
Culture safe,Mammalia,Rodentia,676.686,1754.12,Least Concern
Me order,Reptilia,Squamata,136.809,2876.9,Near Threatened
Money behavior,Reptilia,Carnivora,1593.618,1718.91,Least Concern
Wide candidate,Reptilia,Squamata,3962.73,326.84,Endangered
Director deal,Aves,Anura,2974.418,1736.5,Near Threatened
View church,Mammalia,Rodentia,2842.994,409.63,Vulnerable
I knowledge,Aves,Rodentia,460.715,2347.93,Endangered
Receive south,Mammalia,Anura,2809.164,121.11,Extinct in the Wild
Charge bit,Actinopterygii,Rodentia,158.365,1762.37,Endangered
Beat although,Actinopterygii,Carnivora,415.904,1228.84,Extinct in the Wild
Right account,Reptilia,Primates,2471.249,2552.27,Endangered
Already often,Reptilia,Squamata,4100.605,64.86,Endangered
Billion letter,Amphibia,Carnivora,3095.771,2227.09,Endangered
Three animal,Mammalia,Carnivora,783.734,1745.23,Endangered
Story country,Actinopterygii,Primates,2215.704,2644.27,Least Concern
That institution,Reptilia,Squamata,4316.112,1640.68,Vulnerable
Art create,Actinopterygii,Primates,2718.824,1816.64,Endangered
Oil probably,Aves,Primates,4059.867,352.78,Vulnerable
Dark together,Mammalia,Passeriformes,447.863,616.04,Near Threatened
Hair wonder,Reptilia,Anura,209.335,1192.86,Endangered
Let natural,Actinopterygii,Carnivora,654.502,2812.76,Extinct in the Wild
Too leg,Actinopterygii,Carnivora,4675.42,2083.8,Vulnerable
Development young,Mammalia,Primates,2089.678,1926.49,Vulnerable
Owner road,Mammalia,Squamata,372.522,1148.91,Vulnerable
None talk,Mammalia,Anura,885.703,2063.72,Least Concern
Read national,Reptilia,Squamata,2043.304,1644.68,Endangered
Participant way,Reptilia,Passeriformes,2086.457,2983.69,Near Threatened
Get little,Amphibia,Squamata,1646.91,2507.35,Vulnerable
Size this,Amphibia,Rodentia,4506.603,2655.16,Endangered
A morning,Reptilia,Carnivora,1950.503,2264.62,Critically Endangered
True and,Actinopterygii,Primates,3115.69,1195.18,Vulnerable
Future really,Mammalia,Rodentia,4390.201,303.63,Least Concern
Their board,Actinopterygii,Passeriformes,723.941,486.15,Endangered
Central case,Aves,Rodentia,3664.665,2139.26,Near Threatened
Represent protect,Amphibia,Primates,1042.899,2385.22,Extinct in the Wild
Entire task,Mammalia,Anura,1891.638,892.89,Extinct in the Wild
Trial source,Amphibia,Squamata,1462.806,1360.86,Endangered
Red high,Actinopterygii,Primates,1604.295,2424.24,Endangered
Magazine seven,Amphibia,Anura,3241.26,555.12,Endangered
Real manager,Aves,Passeriformes,4904.294,2667.63,Vulnerable
Herself music,Reptilia,Rodentia,218.385,2049.35,Vulnerable
Church look,Aves,Passeriformes,434.525,2607.99,Endangered
New professional,Reptilia,Passeriformes,1465.713,142.92,Least Concern
Measure worker,Reptilia,Primates,2436.178,655.59,Least Concern
Series nearly,Aves,Rodentia,898.682,1224.37,Endangered
Land sound,Aves,Passeriformes,946.74,447.01,Endangered
Have those,Aves,Squamata,2765.476,1047.21,Vulnerable
Tend right,Actinopterygii,Squamata,4462.079,2279.36,Near Threatened
Republican cultural,Amphibia,Passeriformes,2912.145,459.99,Critically Endangered
Mean truth,Reptilia,Squamata,561.16,36.81,Vulnerable
Act pretty,Actinopterygii,Rodentia,4382.956,2290.36,Near Threatened
Short fear,Mammalia,Carnivora,2210.711,855.44,Near Threatened
Four design,Actinopterygii,Rodentia,3180.069,2294.25,Near Threatened
Point present,Actinopterygii,Anura,2114.015,2526.79,Critically Endangered
Central raise,Amphibia,Carnivora,973.582,431.68,Endangered
Wear they,Actinopterygii,Rodentia,1699.739,675.83,Endangered
Wrong always,Mammalia,Anura,323.073,1170.99,Least Concern
Great rate,Amphibia,Squamata,1730.036,970.6,Vulnerable
Ability pick,Aves,Anura,539.828,1138.11,Extinct in the Wild
Assume sit,Reptilia,Primates,4004.277,1827.42,Critically Endangered
Factor spend,Aves,Passeriformes,3659.961,1274.01,Endangered
Lot produce,Mammalia,Carnivora,9.866,302.45,Extinct in the Wild
Join other,Amphibia,Rodentia,892.623,2158.39,Vulnerable
Office goal,Mammalia,Primates,332.307,41.56,Least Concern
Deal stage,Aves,Anura,1778.59,141.06,Vulnerable
Term speak,Amphibia,Rodentia,2897.874,2885.54,Endangered
Institution movement,Actinopterygii,Rodentia,4579.768,5.25,Vulnerable
Eye throughout,Aves,Carnivora,328.307,466.13,Near Threatened
Thought allow,Reptilia,Passeriformes,2033.307,2438.92,Critically Endangered
Clearly general,Actinopterygii,Anura,1573.975,1369.58,Near Threatened
Stuff wear,Reptilia,Rodentia,3658.38,2436.59,Vulnerable
Section care,Mammalia,Squamata,1825.363,2384.8,Extinct in the Wild
Reflect smile,Aves,Passeriformes,3969.982,70.89,Vulnerable
Form second,Reptilia,Rodentia,3801.259,2103.79,Critically Endangered
Produce maintain,Actinopterygii,Primates,3280.67,1477.23,Vulnerable
Main bad,Reptilia,Passeriformes,4640.716,1045.18,Extinct in the Wild
Friend around,Actinopterygii,Rodentia,3508.847,1750.75,Near Threatened
Tough ability,Reptilia,Carnivora,212.633,1826.96,Extinct in the Wild
Theory modern,Actinopterygii,Anura,3320.055,808.72,Endangered
Arm reflect,Mammalia,Carnivora,905.515,484.86,Critically Endangered
Soldier party,Actinopterygii,Squamata,194.633,2883.18,Extinct in the Wild
Together because,Aves,Anura,34.227,647.92,Near Threatened
Speech ok,Reptilia,Carnivora,386.054,2303.5,Near Threatened
Area by,Actinopterygii,Carnivora,4138.18,2794.7,Critically Endangered
Particularly impact,Mammalia,Anura,1404.127,1096.69,Extinct in the Wild
Information husband,Amphibia,Rodentia,1225.443,2803.98,Critically Endangered
Imagine benefit,Mammalia,Squamata,916.259,916.26,Least Concern
Nation impact,Reptilia,Primates,4289.264,1661.32,Vulnerable
Stuff every,Amphibia,Squamata,617.037,1305.04,Near Threatened
Day eye,Reptilia,Squamata,2913.367,215.79,Extinct in the Wild
Son network,Reptilia,Carnivora,3628.06,909.03,Vulnerable
Buy political,Actinopterygii,Carnivora,4908.416,2742.45,Critically Endangered
How strategy,Aves,Anura,734.157,1131.77,Vulnerable
Least performance,Actinopterygii,Anura,2283.927,2634.9,Least Concern
Example report,Mammalia,Carnivora,1616.303,492.03,Vulnerable
Accept process,Aves,Primates,1845.496,1332.5,Least Concern
Necessary institution,Amphibia,Rodentia,1265.101,2153.64,Endangered
Heart environmental,Reptilia,Primates,102.781,2562.59,Critically Endangered
Fill available,Mammalia,Primates,4811.085,2120.93,Vulnerable
Final also,Amphibia,Anura,1712.016,333.0,Extinct in the Wild
People painting,Aves,Squamata,194.399,1738.07,Vulnerable
Kid American,Actinopterygii,Anura,3678.215,1343.65,Least Concern
Administration population,Aves,Squamata,4757.735,1229.92,Extinct in the Wild
Professor country,Actinopterygii,Primates,2249.913,2274.6,Near Threatened
Great know,Actinopterygii,Passeriformes,2222.566,2671.56,Extinct in the Wild
Operation among,Amphibia,Carnivora,2811.42,1522.68,Extinct in the Wild
Carry without,Reptilia,Anura,2842.437,2420.45,Vulnerable
Whose real,Actinopterygii,Rodentia,4399.764,1056.02,Endangered
Ask we,Amphibia,Primates,3178.303,2434.68,Vulnerable
Policy moment,Reptilia,Squamata,4527.372,1043.95,Vulnerable
American court,Actinopterygii,Primates,0.99,1352.0,Vulnerable
Memory sell,Reptilia,Carnivora,3023.711,2616.64,Extinct in the Wild
Usually writer,Amphibia,Rodentia,1291.506,764.4,Near Threatened
West manager,Amphibia,Anura,635.944,2410.98,Endangered
Address turn,Reptilia,Primates,3502.9,2111.58,Critically Endangered
Bring interest,Mammalia,Rodentia,897.197,2177.21,Extinct in the Wild
Thus dinner,Mammalia,Anura,4230.537,673.62,Least Concern
Whose raise,Aves,Primates,3441.649,1812.39,Least Concern
Wear summer,Reptilia,Primates,332.321,254.16,Extinct in the Wild
Term people,Mammalia,Primates,4838.033,1029.12,Least Concern
Goal change,Reptilia,Anura,1412.345,1156.58,Extinct in the Wild
Finally fill,Aves,Carnivora,1239.261,2147.42,Extinct in the Wild
Admit record,Reptilia,Squamata,121.145,845.96,Least Concern
Use next,Reptilia,Passeriformes,3128.185,1520.3,Critically Endangered
Wind medical,Mammalia,Rodentia,3609.611,647.13,Near Threatened
Research win,Amphibia,Anura,822.941,1054.91,Endangered
Theory while,Aves,Primates,2519.246,887.77,Endangered
American scene,Aves,Anura,2623.963,1357.53,Least Concern
Guy half,Amphibia,Primates,328.283,2870.08,Near Threatened
Easy stuff,Reptilia,Squamata,3599.509,1819.16,Least Concern
Design right,Reptilia,Rodentia,57.251,533.48,Vulnerable
Boy himself,Aves,Rodentia,4243.614,2566.45,Least Concern
Improve most,Reptilia,Rodentia,2061.346,2375.9,Near Threatened
Quickly feeling,Reptilia,Squamata,2718.499,2269.4,Critically Endangered
Base dark,Mammalia,Carnivora,3335.964,2605.69,Extinct in the Wild
Mr say,Amphibia,Squamata,623.538,2895.65,Extinct in the Wild
Now special,Mammalia,Rodentia,176.519,2533.47,Vulnerable
Begin people,Amphibia,Squamata,4487.482,1640.58,Endangered
Someone bag,Reptilia,Carnivora,4964.129,2673.96,Vulnerable
Ago head,Reptilia,Anura,1425.817,1383.37,Endangered
Suddenly develop,Aves,Carnivora,10.079,492.44,Least Concern
Standard yet,Aves,Anura,4455.312,444.83,Extinct in the Wild
Western environmental,Actinopterygii,Squamata,256.416,2749.05,Critically Endangered
Cover strong,Aves,Primates,4344.092,595.84,Endangered
Down record,Mammalia,Squamata,1159.383,1021.52,Vulnerable
Sort forget,Aves,Primates,419.437,1075.35,Critically Endangered
Democratic see,Aves,Passeriformes,337.271,2025.28,Near Threatened
Guess difficult,Amphibia,Anura,3270.71,2885.41,Near Threatened
Mission information,Amphibia,Primates,1183.61,599.13,Extinct in the Wild
Happen him,Reptilia,Carnivora,3599.187,32.21,Least Concern
Particular officer,Aves,Primates,2246.206,1544.9,Critically Endangered
Question rich,Amphibia,Anura,4281.913,1568.26,Critically Endangered
Effort send,Amphibia,Rodentia,2919.767,1961.47,Least Concern
Attorney college,Reptilia,Passeriformes,2115.122,242.13,Least Concern
Outside suggest,Amphibia,Primates,392.705,2103.31,Critically Endangered
Can effect,Reptilia,Squamata,2930.898,159.63,Near Threatened
Value daughter,Mammalia,Passeriformes,4584.653,738.85,Vulnerable
Force quality,Aves,Rodentia,553.741,2714.42,Near Threatened
Lawyer beat,Aves,Carnivora,2247.654,2609.81,Vulnerable
Social baby,Mammalia,Carnivora,3338.792,347.41,Least Concern
Light according,Aves,Rodentia,67.912,2719.37,Endangered
Everyone would,Amphibia,Anura,1444.504,1482.39,Endangered
Buy about,Mammalia,Carnivora,3683.88,853.19,Endangered
May sister,Reptilia,Squamata,3092.81,2734.7,Vulnerable
Feeling whole,Aves,Passeriformes,1782.777,1233.48,Vulnerable
Yeah drop,Mammalia,Anura,882.024,642.11,Least Concern
Person pick,Aves,Carnivora,737.078,2381.97,Near Threatened
Old concern,Mammalia,Primates,1875.392,809.83,Extinct in the Wild
Who while,Aves,Carnivora,590.952,1668.35,Endangered
West wall,Reptilia,Squamata,4123.536,914.16,Endangered
Develop guy,Reptilia,Rodentia,3462.67,1333.1,Vulnerable
East message,Aves,Carnivora,502.747,1659.02,Least Concern
Cultural training,Amphibia,Primates,247.493,1383.05,Extinct in the Wild
Last compare,Mammalia,Primates,249.878,17.73,Critically Endangered
Run say,Mammalia,Rodentia,556.144,2568.79,Endangered
Management describe,Aves,Anura,538.09,1953.01,Least Concern
Expect treatment,Aves,Anura,3383.866,2769.65,Endangered
Hotel sure,Aves,Squamata,4690.254,1972.12,Least Concern
Direction street,Reptilia,Rodentia,4600.312,2914.15,Vulnerable
Because tough,Amphibia,Anura,2113.578,2260.36,Endangered
Mother spring,Amphibia,Carnivora,2161.108,1395.11,Vulnerable
Age continue,Aves,Carnivora,1618.997,764.4,Endangered
Field in,Aves,Carnivora,1449.008,1107.3,Least Concern
Indeed member,Reptilia,Carnivora,160.488,2854.99,Critically Endangered
Day culture,Amphibia,Carnivora,690.121,1019.59,Extinct in the Wild
Unit lot,Amphibia,Carnivora,1881.956,1604.75,Extinct in the Wild
After law,Aves,Primates,4756.824,1291.84,Endangered
Firm action,Reptilia,Squamata,3363.798,1074.81,Critically Endangered
Course because,Reptilia,Rodentia,2525.774,1149.5,Near Threatened
Political send,Actinopterygii,Carnivora,1509.182,2260.23,Near Threatened
Care so,Amphibia,Rodentia,3091.786,2701.55,Endangered
Customer return,Actinopterygii,Carnivora,32.531,945.47,Endangered
Those her,Amphibia,Rodentia,4410.83,1089.28,Near Threatened
Six plan,Mammalia,Rodentia,3064.674,1801.74,Least Concern
Number it,Aves,Primates,589.587,353.06,Vulnerable
Partner box,Reptilia,Rodentia,1227.872,1094.76,Extinct in the Wild
Treat member,Mammalia,Anura,64.474,732.01,Least Concern
Develop popular,Reptilia,Anura,2295.446,2867.8,Vulnerable
Behavior bring,Amphibia,Passeriformes,2740.839,2872.39,Least Concern
Information fire,Actinopterygii,Passeriformes,3646.413,769.85,Near Threatened
True effect,Aves,Rodentia,2439.898,2019.54,Endangered
Accept number,Aves,Rodentia,4701.597,2704.21,Vulnerable
Rich discussion,Aves,Passeriformes,4255.896,2760.65,Near Threatened
Civil class,Aves,Anura,3469.798,67.78,Critically Endangered
Piece establish,Mammalia,Anura,3951.621,1487.23,Extinct in the Wild
Social ago,Reptilia,Passeriformes,2231.337,591.85,Endangered
Film environment,Reptilia,Passeriformes,454.977,1720.17,Vulnerable
Leg begin,Amphibia,Primates,717.696,1806.13,Near Threatened
Interesting everything,Actinopterygii,Carnivora,2420.245,2008.28,Critically Endangered
Power serious,Aves,Anura,4943.853,164.72,Vulnerable
Act administration,Amphibia,Primates,2635.931,1572.54,Least Concern
Where hope,Mammalia,Primates,4424.723,1613.92,Critically Endangered
Religious little,Mammalia,Squamata,652.601,2750.23,Extinct in the Wild
Give nature,Mammalia,Rodentia,4216.859,690.78,Least Concern
That weight,Aves,Primates,4145.976,596.87,Critically Endangered
Whether single,Amphibia,Passeriformes,1643.434,2826.04,Near Threatened
Take trade,Reptilia,Squamata,1831.232,2122.57,Endangered
Quite pick,Aves,Primates,2111.907,1556.44,Extinct in the Wild
Hotel term,Amphibia,Rodentia,353.004,2424.5,Critically Endangered
Seven worry,Actinopterygii,Passeriformes,3421.69,1333.91,Least Concern
Star science,Reptilia,Passeriformes,2991.486,1779.61,Extinct in the Wild
Another care,Actinopterygii,Anura,4321.221,2238.86,Least Concern
Fact baby,Amphibia,Rodentia,4741.119,2951.82,Extinct in the Wild
Age despite,Mammalia,Squamata,2099.674,925.54,Least Concern
Ball fall,Reptilia,Rodentia,4437.332,2348.09,Vulnerable
Perhaps require,Actinopterygii,Squamata,1566.78,1310.62,Near Threatened
College PM,Reptilia,Squamata,3669.23,2292.6,Least Concern
Firm behavior,Amphibia,Primates,297.602,1909.41,Near Threatened
Protect five,Actinopterygii,Squamata,157.543,918.46,Critically Endangered
Perform fly,Aves,Squamata,1016.831,2561.6,Endangered
Writer week,Reptilia,Carnivora,1290.259,2124.55,Critically Endangered
Bank see,Reptilia,Squamata,460.673,1553.58,Vulnerable
American after,Amphibia,Carnivora,3466.018,28.69,Near Threatened
Reflect treatment,Aves,Rodentia,3863.956,399.62,Critically Endangered
Woman reality,Reptilia,Anura,3502.752,2894.84,Least Concern
Here left,Reptilia,Anura,1029.494,1244.43,Least Concern
Cut group,Amphibia,Anura,4924.099,1098.47,Extinct in the Wild
Nothing animal,Actinopterygii,Anura,4704.63,44.22,Extinct in the Wild
Over from,Amphibia,Rodentia,2802.027,164.4,Extinct in the Wild
Notice agency,Actinopterygii,Carnivora,3462.862,2589.35,Least Concern
Reach fly,Actinopterygii,Anura,279.361,2459.45,Endangered
Term whether,Aves,Carnivora,3647.731,1878.02,Extinct in the Wild
Since tax,Aves,Carnivora,4236.254,1486.53,Least Concern
Party you,Reptilia,Rodentia,3158.454,845.36,Near Threatened
Nearly although,Reptilia,Primates,3537.509,2900.05,Extinct in the Wild
Might partner,Reptilia,Rodentia,446.041,760.57,Least Concern
Live record,Aves,Primates,4197.442,2870.5,Near Threatened
Structure go,Actinopterygii,Rodentia,4450.984,2342.62,Near Threatened
Doctor man,Mammalia,Primates,768.397,1395.41,Least Concern
Far majority,Actinopterygii,Rodentia,3611.006,2220.36,Extinct in the Wild
First measure,Reptilia,Rodentia,1456.849,688.78,Near Threatened
Hope name,Reptilia,Anura,1758.278,1138.42,Extinct in the Wild
Join deep,Actinopterygii,Primates,1012.469,33.11,Endangered
Seven message,Reptilia,Anura,2136.811,1887.22,Endangered
Stuff argue,Actinopterygii,Carnivora,2290.382,1430.78,Vulnerable
Father south,Mammalia,Carnivora,2897.021,1743.47,Vulnerable
Gun plan,Actinopterygii,Rodentia,4529.675,2954.62,Critically Endangered
Discussion point,Actinopterygii,Rodentia,3324.498,2868.11,Near Threatened
Your give,Actinopterygii,Rodentia,906.216,1109.6,Endangered
Wide feel,Amphibia,Rodentia,3958.733,2683.75,Critically Endangered
Water or,Reptilia,Passeriformes,294.16,1407.53,Vulnerable
Hope road,Amphibia,Squamata,3212.813,2185.56,Extinct in the Wild
Drive black,Mammalia,Anura,723.445,2650.46,Near Threatened
Oil record,Amphibia,Carnivora,3514.901,670.17,Near Threatened
Step term,Aves,Rodentia,1775.901,1686.58,Extinct in the Wild
Determine minute,Mammalia,Anura,2862.533,1546.36,Critically Endangered
Election rest,Mammalia,Passeriformes,3952.773,244.26,Critically Endangered
Among audience,Actinopterygii,Carnivora,3336.63,2985.7,Endangered
