species,class,order,weight_kg,length_cm,conservation_status
Sometimes sea,Reptilia,Squamata,2867.918,2603.75,Near Threatened
Detail effort,Aves,Carnivora,4843.063,2522.06,Critically Endangered
While financial,Mammalia,Squamata,4125.741,1788.55,Least Concern
Authority along,Reptilia,Rodentia,1235.036,2196.19,Critically Endangered
Listen sound,Mammalia,Carnivora,4962.109,33.28,Least Concern
Reveal brother,Aves,Anura,2984.835,2140.97,Endangered
And vote,Aves,Squamata,207.276,1848.79,Least Concern
Room thing,Reptilia,Carnivora,4027.678,828.44,Critically Endangered
Drive action,Aves,Primates,2253.817,2021.56,Extinct in the Wild
Range describe,Reptilia,Rodentia,1015.493,2633.04,Vulnerable
Watch certainly,Amphibia,Rodentia,4694.796,331.17,Near Threatened
Close room,Actinopterygii,Squamata,4694.121,2046.68,Endangered
Small live,Mammalia,Anura,1571.251,2556.71,Critically Endangered
Service part,Aves,Carnivora,310.853,531.89,Near Threatened
Manager simply,Actinopterygii,Carnivora,1619.564,1322.15,Extinct in the Wild
Quickly view,Aves,Rodentia,2395.975,1943.77,Least Concern
Democratic order,Actinopterygii,Passeriformes,3448.119,2488.58,Critically Endangered
Stuff government,Amphibia,Carnivora,606.295,2366.44,Critically Endangered
As human,Aves,Anura,3344.883,101.11,Endangered
Sort area,Amphibia,Primates,2883.112,788.94,Extinct in the Wild
Agency officer,Amphibia,Carnivora,1243.586,2369.87,Near Threatened
Audience dinner,Actinopterygii,Squamata,856.692,1446.71,Endangered
Affect easy,Reptilia,Primates,3090.56,2665.89,Near Threatened
Among financial,Reptilia,Squamata,4922.933,81.21,Endangered
Theory these,Reptilia,Rodentia,1267.787,1156.86,Critically Endangered
Media sell,Mammalia,Primates,3546.742,2934.44,Near Threatened
Either wonder,Aves,Rodentia,3355.774,812.91,Near Threatened
Easy nature,Mammalia,Passeriformes,3365.159,2730.63,Endangered
Action anything,Aves,Passeriformes,3301.147,452.88,Near Threatened
International majority,Actinopterygii,Carnivora,769.061,2430.11,Endangered
During television,Reptilia,Passeriformes,2877.566,2312.43,Least Concern
Mr probably,Amphibia,Anura,957.508,2726.41,Endangered
Simply know,Mammalia,Squamata,1333.875,2737.81,Vulnerable
Child wish,Mammalia,Primates,1430.787,1375.37,Near Threatened
Low exist,Actinopterygii,Squamata,4171.686,2359.39,Least Concern
True some,Reptilia,Carnivora,4864.095,2849.65,Near Threatened
Green spring,Amphibia,Passeriformes,4646.008,2198.07,Least Concern
Off partner,Reptilia,Anura,1833.216,2710.98,Near Threatened
Appear door,Aves,Primates,1580.248,502.25,Near Threatened
Tough all,Amphibia,Passeriformes,402.8,2915.67,Critically Endangered
Grow always,Mammalia,Carnivora,565.834,1269.2,Extinct in the Wild
Central clear,Aves,Rodentia,979.403,590.86,Extinct in the Wild
Upon surface,Reptilia,Carnivora,3184.613,2781.98,Least Concern
Poor office,Actinopterygii,Passeriformes,2173.755,195.25,Endangered
Tax student,Actinopterygii,Primates,4927.775,2615.79,Endangered
Big never,Amphibia,Anura,4137.863,1339.14,Near Threatened
Film current,Reptilia,Rodentia,3570.624,413.23,Critically Endangered
Peace option,Mammalia,Carnivora,1794.523,789.17,Near Threatened
Sing agent,Reptilia,Anura,4321.549,1002.61,Near Threatened
By school,Reptilia,Squamata,3461.844,2620.89,Endangered
Economic participant,Amphibia,Rodentia,252.885,2918.95,Vulnerable
Too main,Mammalia,Squamata,2665.237,2274.09,Vulnerable
Now network,Reptilia,Anura,2408.121,1117.12,Extinct in the Wild
Beautiful five,Actinopterygii,Squamata,1363.644,178.84,Least Concern
Real record,Actinopterygii,Carnivora,3105.596,1115.69,Least Concern
You daughter,Amphibia,Squamata,1564.351,41.85,Least Concern
Out next,Mammalia,Squamata,2587.017,2804.01,Endangered
Both loss,Reptilia,Squamata,3959.808,2884.83,Critically Endangered
Control either,Reptilia,Carnivora,1483.811,1554.36,Critically Endangered
Detail color,Reptilia,Rodentia,1253.485,1569.03,Endangered
Protect magazine,Mammalia,Anura,1763.983,478.22,Vulnerable
Watch good,Mammalia,Rodentia,4275.868,2010.64,Extinct in the Wild
Time so,Aves,Primates,4889.391,1004.88,Critically Endangered
List week,Reptilia,Squamata,1295.355,2783.5,Vulnerable
Drug none,Reptilia,Carnivora,2177.956,613.0,Endangered
