species,class,order,weight_kg,length_cm,conservation_status
You scientist,Aves,Squamata,789.787,511.46,Vulnerable
Until include,Aves,Rodentia,510.779,338.43,Least Concern
Key tend,Aves,Anura,3256.906,1660.85,Near Threatened
Seek skill,Amphibia,Rodentia,878.795,982.28,Critically Endangered
Person reality,Amphibia,Rodentia,2734.43,2129.4,Vulnerable
Red determine,Actinopterygii,Rodentia,1054.176,640.23,Critically Endangered
Run manager,Aves,Passeriformes,987.028,2906.53,Least Concern
Firm upon,Actinopterygii,Primates,2206.424,1465.94,Extinct in the Wild
Go stay,Aves,Anura,1632.697,1700.28,Vulnerable
Might say,Aves,Primates,2798.775,111.55,Extinct in the Wild
Once ever,Reptilia,Passeriformes,3681.457,2567.88,Endangered
Modern should,Reptilia,Rodentia,1938.51,1711.22,Least Concern
Whose example,Actinopterygii,Carnivora,1857.046,1025.5,Near Threatened
Show how,Aves,Carnivora,2213.221,2804.31,Least Concern
Manager song,Reptilia,Anura,2009.848,225.43,Near Threatened
Candidate movement,Amphibia,Primates,1157.229,1408.93,Critically Endangered
Day picture,Mammalia,Squamata,618.714,1388.91,Near Threatened
Eye yes,Actinopterygii,Carnivora,4642.978,846.57,Vulnerable
Not whose,Reptilia,Rodentia,4530.228,1446.38,Near Threatened
Enjoy organization,Reptilia,Passeriformes,174.637,2582.71,Critically Endangered
Art beat,Reptilia,Rodentia,4384.876,1288.93,Critically Endangered
Hotel candidate,Amphibia,Passeriformes,1489.764,1375.82,Near Threatened
Statement fast,Mammalia,Rodentia,4754.487,2943.15,Least Concern
Open view,Aves,Rodentia,4014.024,2371.84,Endangered
That power,Actinopterygii,Carnivora,1436.676,2338.37,Critically Endangered
Cell wife,Aves,Squamata,324.257,1396.95,Near Threatened
New investment,Reptilia,Carnivora,147.833,2430.39,Critically Endangered
Large best,Actinopterygii,Passeriformes,120.385,812.38,Vulnerable
Rest civil,Aves,Rodentia,3388.562,986.77,Critically Endangered
Media few,Actinopterygii,Passeriformes,3086.244,1309.34,Near Threatened
Base nature,Mammalia,Rodentia,1102.32,1000.01,Near Threatened
Send might,Amphibia,Squamata,283.742,997.4,Critically Endangered
Treatment born,Amphibia,Squamata,4995.158,1597.03,Near Threatened
Writer news,Reptilia,Primates,220.531,1251.9,Extinct in the Wild
Personal mention,Actinopterygii,Passeriformes,877.999,1530.88,Vulnerable
Head country,Reptilia,Carnivora,99.456,828.22,Vulnerable
Relate word,Actinopterygii,Passeriformes,4647.733,2037.96,Near Threatened
Rich probably,Reptilia,Squamata,2471.772,191.43,Near Threatened
Trouble former,Reptilia,Passeriformes,3044.584,2353.13,Critically Endangered
Significant sport,Actinopterygii,Anura,4462.939,2965.97,Extinct in the Wild
Especially such,Mammalia,Passeriformes,220.453,2262.95,Extinct in the Wild
May test,Actinopterygii,Rodentia,2472.098,478.42,Extinct in the Wild
Organization brother,Amphibia,Rodentia,4006.61,1730.96,Near Threatened
