species,class,order,weight_kg,length_cm,conservation_status
Nature knowledge,Mammalia,Anura,2169.592,242.57,Endangered
Spend skill,Amphibia,Anura,4306.253,2480.52,Endangered
Modern anything,Actinopterygii,Squamata,1839.219,1740.77,Near Threatened
Work kind,Reptilia,Carnivora,1384.211,979.65,Extinct in the Wild
Knowledge dinner,Actinopterygii,Passeriformes,598.413,869.07,Critically Endangered
Attention support,Amphibia,Rodentia,2005.043,148.08,Near Threatened
Entire point,Reptilia,Squamata,4992.166,1281.18,Extinct in the Wild
Source practice,Amphibia,Squamata,3824.975,2303.23,Vulnerable
Do pay,Reptilia,Passeriformes,1310.082,2731.42,Critically Endangered
Later set,Amphibia,Rodentia,2191.808,1689.68,Vulnerable
Quite free,Amphibia,Passeriformes,4199.601,1870.3,Near Threatened
Cover standard,Reptilia,Squamata,1233.862,2750.63,Least Concern
Draw ball,Amphibia,Carnivora,214.888,616.86,Near Threatened
As away,Amphibia,Carnivora,1953.954,1957.35,Least Concern
Good teacher,Aves,Squamata,2641.307,317.82,Vulnerable
Century become,Reptilia,Passeriformes,4193.905,2309.62,Near Threatened
By rather,Amphibia,Primates,2877.978,525.83,Critically Endangered
Arm goal,Amphibia,Squamata,4137.386,2055.47,Extinct in the Wild
Oil others,Reptilia,Rodentia,3304.336,2180.05,Endangered
Practice behavior,Aves,Rodentia,4093.499,338.5,Endangered
Wrong them,Mammalia,Rodentia,282.471,1039.03,Vulnerable
Kind stay,Reptilia,Carnivora,419.592,2574.8,Vulnerable
Matter maintain,Actinopterygii,Anura,536.885,273.91,Vulnerable
Nation mean,Actinopterygii,Anura,3249.543,2443.91,Endangered
Drug share,Amphibia,Squamata,771.305,91.28,Near Threatened
People rise,Amphibia,Anura,3637.794,256.17,Critically Endangered
Into whatever,Amphibia,Primates,2814.395,2019.55,Least Concern
Quality difference,Reptilia,Passeriformes,1699.254,2757.79,Near Threatened
Course season,Reptilia,Rodentia,4762.756,920.27,Critically Endangered
Itself opportunity,Actinopterygii,Passeriformes,2851.383,2708.99,Least Concern
Glass talk,Amphibia,Primates,1389.564,1721.91,Near Threatened
Near Republican,Reptilia,Squamata,419.507,1443.36,Vulnerable
Special him,Actinopterygii,Passeriformes,4564.548,860.9,Extinct in the Wild
Growth west,Mammalia,Squamata,1770.716,1176.76,Near Threatened
Fear staff,Reptilia,Carnivora,2103.683,1148.53,Endangered
Note season,Aves,Anura,4278.777,80.9,Endangered
Shake early,Amphibia,Squamata,4783.304,2517.2,Critically Endangered
Must specific,Aves,Primates,827.65,1007.11,Vulnerable
Blood threat,Aves,Squamata,1521.937,1298.29,Extinct in the Wild
Appear alone,Mammalia,Anura,1733.412,1357.58,Near Threatened
Increase upon,Mammalia,Squamata,1852.476,2426.64,Least Concern
Whom wind,Actinopterygii,Primates,999.28,700.33,Critically Endangered
Outside affect,Reptilia,Primates,382.538,1905.77,Extinct in the Wild
Mrs more,Aves,Primates,2566.396,1637.34,Endangered
Choice worker,Actinopterygii,Passeriformes,1978.347,1037.84,Critically Endangered
Dog herself,Reptilia,Rodentia,380.551,1634.91,Critically Endangered
Loss process,Aves,Rodentia,4776.526,2773.82,Critically Endangered
You probably,Reptilia,Carnivora,2370.175,2419.34,Extinct in the Wild
Huge those,Actinopterygii,Passeriformes,4714.631,1766.35,Near Threatened
There research,Mammalia,Carnivora,412.694,2540.14,Extinct in the Wild
Positive huge,Actinopterygii,Primates,3931.714,722.07,Endangered
Response onto,Actinopterygii,Primates,2039.45,941.52,Vulnerable
Coach hold,Aves,Passeriformes,1475.764,2183.02,Extinct in the Wild
Education teach,Aves,Passeriformes,1876.356,760.7,Endangered
Much hair,Mammalia,Anura,3115.307,2245.86,Extinct in the Wild
Hear relationship,Actinopterygii,Primates,3685.659,508.0,Critically Endangered
Win total,Mammalia,Passeriformes,68.972,996.63,Critically Endangered
Recently letter,Reptilia,Squamata,4465.187,799.23,Least Concern
Growth far,Mammalia,Anura,4201.613,2527.62,Extinct in the Wild
Reveal guess,Reptilia,Passeriformes,2531.387,2369.48,Critically Endangered
Bed white,Aves,Squamata,785.989,2190.66,Near Threatened
Good call,Aves,Carnivora,2683.554,2458.83,Critically Endangered
Star road,Amphibia,Passeriformes,4529.763,1785.18,Critically Endangered
Five room,Aves,Passeriformes,4818.731,1026.45,Extinct in the Wild
Stop thing,Actinopterygii,Rodentia,2411.449,420.99,Critically Endangered
Teacher unit,Amphibia,Primates,3361.032,1227.12,Near Threatened
Skill mind,Reptilia,Squamata,3744.09,2076.08,Extinct in the Wild
Administration west,Aves,Anura,2900.526,2093.92,Critically Endangered
