species,class,order,weight_kg,length_cm,conservation_status
Stop help,Reptilia,Squamata,4254.358,1419.65,Endangered
Bit writer,Aves,Squamata,3896.483,130.18,Endangered
Tonight condition,Reptilia,Rodentia,808.426,396.09,Critically Endangered
Once upon,Reptilia,Anura,4768.21,1985.25,Least Concern
Head development,Actinopterygii,Primates,1360.07,1911.44,Near Threatened
Wall however,Mammalia,Anura,3807.875,2642.77,Extinct in the Wild
Bank up,Mammalia,Anura,55.231,1913.63,Extinct in the Wild
However top,Amphibia,Rodentia,4088.98,1240.23,Critically Endangered
House join,Mammalia,Anura,661.408,1935.79,Endangered
Sense report,Mammalia,Anura,1691.269,962.31,Vulnerable
Picture ball,Actinopterygii,Passeriformes,3740.279,1899.68,Least Concern
Explain so,Amphibia,Anura,1455.175,1068.93,Extinct in the Wild
Impact example,Aves,Passeriformes,141.188,129.95,Endangered
Rather knowledge,Amphibia,Anura,2841.447,982.48,Least Concern
Buy teacher,Actinopterygii,Carnivora,737.55,1398.28,Endangered
Hit message,Reptilia,Carnivora,4472.384,1663.42,Extinct in the Wild
Position address,Reptilia,Rodentia,4262.098,1894.29,Critically Endangered
Growth score,Actinopterygii,Passeriformes,340.509,2787.48,Critically Endangered
Study car,Reptilia,Squamata,418.248,2649.76,Least Concern
Bill yeah,Actinopterygii,Carnivora,1735.27,1634.43,Extinct in the Wild
Middle tell,Actinopterygii,Passeriformes,3251.304,1594.88,Critically Endangered
Soon stay,Aves,Passeriformes,3863.115,1214.4,Endangered
Sea team,Aves,Passeriformes,1287.957,2970.76,Vulnerable
Television amount,Aves,Anura,3485.461,1288.71,Near Threatened
Style employee,Reptilia,Anura,391.566,370.85,Endangered
Attention hand,Aves,Squamata,2375.519,1057.9,Critically Endangered
Republican glass,Aves,Passeriformes,439.768,493.82,Extinct in the Wild
Same two,Reptilia,Passeriformes,3743.794,1861.44,Near Threatened
Daughter find,Mammalia,Squamata,4916.346,2988.21,Least Concern
Much long,Mammalia,Rodentia,1842.058,1454.24,Least Concern
Teach experience,Reptilia,Anura,1544.372,1495.84,Vulnerable
Year base,Reptilia,Passeriformes,940.684,2155.92,Extinct in the Wild
Throw peace,Aves,Passeriformes,2803.882,2796.5,Critically Endangered
Dark subject,Reptilia,Rodentia,3802.103,222.96,Least Concern
Threat in,Amphibia,Primates,3453.315,1901.08,Endangered
Result read,Reptilia,Rodentia,499.625,2486.68,Near Threatened
Choice develop,Aves,Anura,507.227,1532.29,Critically Endangered
Talk seem,Reptilia,Rodentia,4778.08,1245.44,Vulnerable
Finish thousand,Actinopterygii,Passeriformes,1222.98,2579.16,Least Concern
One father,Actinopterygii,Squamata,2670.688,2506.79,Extinct in the Wild
Surface fear,Amphibia,Carnivora,780.555,1214.79,Vulnerable
Gun such,Aves,Carnivora,1430.111,2526.03,Critically Endangered
Message strong,Reptilia,Rodentia,1753.964,836.09,Extinct in the Wild
Old watch,Aves,Primates,2379.652,2885.3,Least Concern
Off rate,Reptilia,Carnivora,2330.389,1519.36,Endangered
Method memory,Actinopterygii,Primates,2918.268,894.32,Least Concern
Media challenge,Reptilia,Passeriformes,4666.211,2299.41,Critically Endangered
Cup follow,Actinopterygii,Anura,2346.533,1369.4,Endangered
Case them,Amphibia,Passeriformes,663.797,1477.41,Near Threatened
Bed ago,Actinopterygii,Squamata,3558.167,2450.5,Least Concern
Girl say,Actinopterygii,Carnivora,210.831,2611.18,Endangered
Trip contain,Reptilia,Carnivora,2063.294,250.65,Critically Endangered
In less,Reptilia,Anura,3558.209,1699.01,Critically Endangered
