species,class,order,weight_kg,length_cm,conservation_status
Major concern,Mammalia,Primates,1035.754,1445.34,Critically Endangered
Record after,Actinopterygii,Anura,2515.867,2323.43,Extinct in the Wild
New bill,Aves,Carnivora,2844.022,2475.9,Near Threatened
Oil give,Mammalia,Carnivora,4468.353,240.32,Least Concern
Professor trip,Actinopterygii,Squamata,3095.628,1422.92,Extinct in the Wild
Together little,Mammalia,Squamata,2169.025,1691.04,Critically Endangered
Still paper,Mammalia,Rodentia,2707.602,1417.83,Near Threatened
Stand seem,Actinopterygii,Rodentia,4550.603,321.37,Endangered
Writer who,Actinopterygii,Squamata,1736.141,1578.58,Critically Endangered
Again wonder,Amphibia,Squamata,2901.361,546.76,Critically Endangered
History present,Reptilia,Rodentia,14.341,778.9,Endangered
It seven,Reptilia,Carnivora,846.271,2210.77,Vulnerable
Yeah fine,Mammalia,Anura,2252.143,54.91,Endangered
She stay,Reptilia,Carnivora,2343.779,2713.39,Near Threatened
Operation Republican,Amphibia,Primates,3536.051,1335.4,Endangered
Rate pay,Aves,Primates,57.781,1841.88,Extinct in the Wild
Good society,Amphibia,Passeriformes,111.964,576.9,Extinct in the Wild
Participant almost,Reptilia,Squamata,4539.444,2463.29,Vulnerable
Should industry,Reptilia,Rodentia,3905.536,915.2,Near Threatened
Operation around,Amphibia,Anura,874.284,681.9,Least Concern
Such argue,Mammalia,Squamata,376.051,1089.94,Endangered
Street research,Amphibia,Carnivora,3037.846,2550.47,Endangered
Occur nice,Reptilia,Primates,4892.015,110.54,Critically Endangered
Deep debate,Actinopterygii,Anura,63.372,1219.72,Extinct in the Wild
To candidate,Reptilia,Primates,102.998,2018.34,Extinct in the Wild
Stay least,Amphibia,Carnivora,1239.75,1385.22,Critically Endangered
Main often,Mammalia,Primates,4252.806,826.75,Least Concern
Address thousand,Aves,Squamata,1835.719,1405.52,Extinct in the Wild
Everybody impact,Aves,Squamata,1467.974,820.52,Least Concern
Listen many,Reptilia,Passeriformes,3360.408,1999.77,Near Threatened
One poor,Mammalia,Primates,4034.613,2808.4,Near Threatened
Enter agreement,Aves,Anura,656.427,2175.91,Critically Endangered
Sell large,Amphibia,Squamata,700.816,2418.73,Least Concern
Form free,Mammalia,Carnivora,1148.95,1713.55,Least Concern
That hold,Aves,Primates,2587.522,746.68,Least Concern
Arrive charge,Mammalia,Passeriformes,136.931,1097.52,Near Threatened
For mission,Amphibia,Carnivora,4413.11,850.04,Near Threatened
Discuss society,Amphibia,Primates,2791.484,2239.36,Vulnerable
Some cell,Reptilia,Rodentia,1452.952,439.23,Extinct in the Wild
Agree husband,Aves,Rodentia,2684.64,39.04,Near Threatened
Pick wide,Aves,Carnivora,2037.381,2889.57,Vulnerable
I sister,Aves,Squamata,2530.048,2795.81,Endangered
Democratic society,Actinopterygii,Anura,3046.441,1883.75,Vulnerable
Girl might,Mammalia,Rodentia,3822.952,1901.28,Endangered
Military which,Aves,Rodentia,4614.542,2117.75,Endangered
Food line,Mammalia,Carnivora,2524.395,1423.22,Extinct in the Wild
No clearly,Aves,Passeriformes,1663.147,1608.71,Vulnerable
Find determine,Aves,Carnivora,137.066,2897.79,Least Concern
Building discuss,Aves,Passeriformes,2733.638,1480.19,Vulnerable
Technology seat,Actinopterygii,Passeriformes,4591.874,219.77,Extinct in the Wild
Grow way,Reptilia,Passeriformes,852.905,2580.56,Near Threatened
By we,Amphibia,Squamata,4143.118,2962.92,Least Concern
Area yet,Amphibia,Passeriformes,2600.268,1901.33,Near Threatened
West field,Mammalia,Rodentia,3408.871,2276.51,Least Concern
Store hear,Reptilia,Carnivora,3828.903,1394.3,Least Concern
Short training,Amphibia,Squamata,514.258,1470.47,Least Concern
Cover citizen,Aves,Anura,2928.461,303.19,Endangered
Student care,Actinopterygii,Anura,3468.803,2351.15,Vulnerable
Too capital,Mammalia,Rodentia,4238.481,2661.71,Critically Endangered
Partner kitchen,Mammalia,Anura,3435.464,1866.46,Least Concern
Let because,Amphibia,Passeriformes,3792.576,2869.18,Near Threatened
Car law,Actinopterygii,Anura,2034.408,2654.67,Least Concern
Like woman,Amphibia,Passeriformes,3094.72,1990.03,Endangered
Public song,Reptilia,Carnivora,811.759,2082.37,Critically Endangered
Participant fight,Aves,Carnivora,2050.601,1096.89,Critically Endangered
High third,Mammalia,Carnivora,464.386,988.75,Near Threatened
Great four,Actinopterygii,Carnivora,1816.295,1806.69,Endangered
Night magazine,Reptilia,Primates,1772.581,2509.78,Least Concern
Foot such,Actinopterygii,Primates,4912.163,2712.53,Least Concern
Mean speech,Reptilia,Anura,292.892,354.09,Critically Endangered
Challenge theory,Actinopterygii,Squamata,1732.463,2340.3,Critically Endangered
More education,Aves,Passeriformes,183.51,1499.53,Vulnerable
Common child,Mammalia,Rodentia,4136.992,1516.56,Critically Endangered
Quickly very,Reptilia,Primates,1456.411,361.6,Vulnerable
Us here,Amphibia,Passeriformes,431.527,1828.38,Least Concern
Actually commercial,Actinopterygii,Primates,1740.597,656.09,Least Concern
