species,class,order,weight_kg,length_cm,conservation_status
Run senior,Aves,Carnivora,4721.62,553.19,Least Concern
Mind really,Aves,Squamata,4308.224,219.97,Vulnerable
Trial fine,Reptilia,Squamata,2356.035,1371.19,Vulnerable
Step mention,Mammalia,Primates,4492.215,2537.31,Vulnerable
Surface run,Reptilia,Rodentia,4731.86,1286.56,Vulnerable
Watch able,Reptilia,Primates,4524.091,2448.09,Near Threatened
House single,Mammalia,Squamata,2441.5,2244.0,Least Concern
Sound left,Actinopterygii,Anura,3441.239,2807.57,Vulnerable
Still community,Mammalia,Anura,3825.597,1741.35,Vulnerable
Effect offer,Reptilia,Primates,811.683,2530.57,Least Concern
At during,Aves,Anura,84.252,2242.1,Vulnerable
By responsibility,Mammalia,Carnivora,3416.307,1899.62,Vulnerable
Cup story,Aves,Squamata,4098.663,1373.07,Vulnerable
Almost employee,Aves,Squamata,4605.49,995.81,Endangered
Alone care,Mammalia,Rodentia,1479.291,1002.6,Near Threatened
Rise where,Aves,Carnivora,3728.581,2995.33,Vulnerable
Choose notice,Reptilia,Squamata,4010.725,1427.42,Near Threatened
Us answer,Reptilia,Anura,1104.686,2907.51,Least Concern
Close building,Amphibia,Carnivora,1797.564,2575.11,Extinct in the Wild
Professor someone,Amphibia,Passeriformes,1363.041,2214.53,Endangered
Want because,Reptilia,Primates,1149.482,1417.84,Extinct in the Wild
Chair your,Actinopterygii,Rodentia,529.737,1181.35,Least Concern
Would society,Actinopterygii,Rodentia,4340.981,1957.79,Critically Endangered
Body Mr,Aves,Primates,1675.727,2294.6,Critically Endangered
Successful mention,Aves,Squamata,3198.744,756.85,Endangered
Check music,Amphibia,Carnivora,4419.487,2803.38,Endangered
Interview past,Amphibia,Rodentia,4032.073,1335.87,Endangered
Moment ok,Reptilia,Rodentia,1634.609,1334.97,Endangered
Soldier mouth,Mammalia,Squamata,1915.604,582.87,Vulnerable
Kid process,Actinopterygii,Squamata,28.237,1922.88,Critically Endangered
Expert building,Aves,Anura,2600.13,1712.8,Vulnerable
Ready think,Reptilia,Anura,3170.189,2766.11,Near Threatened
Newspaper tonight,Mammalia,Anura,1414.234,411.34,Vulnerable
Physical still,Mammalia,Primates,1517.681,2424.14,Least Concern
Especially course,Mammalia,Carnivora,942.907,2894.3,Near Threatened
Compare help,Actinopterygii,Carnivora,4968.405,1176.03,Least Concern
Score election,Aves,Carnivora,3259.877,2270.07,Least Concern
Successful good,Actinopterygii,Passeriformes,4921.4,71.42,Near Threatened
Attack eye,Reptilia,Anura,2762.121,1381.01,Critically Endangered
Green far,Actinopterygii,Rodentia,2803.141,2292.07,Least Concern
Current drug,Aves,Squamata,3724.439,1395.75,Extinct in the Wild
Add dog,Aves,Passeriformes,3101.817,726.33,Vulnerable
Myself fund,Mammalia,Anura,1223.678,1410.15,Least Concern
Start century,Amphibia,Primates,3178.487,560.02,Critically Endangered
Much generation,Aves,Passeriformes,305.149,2453.38,Vulnerable
Herself water,Aves,Anura,2994.859,669.89,Endangered
Season leg,Aves,Primates,3017.495,2424.93,Extinct in the Wild
Later nothing,Reptilia,Passeriformes,389.258,738.94,Extinct in the Wild
Present focus,Reptilia,Squamata,422.277,2659.3,Endangered
Lawyer religious,Aves,Primates,784.659,1358.28,Critically Endangered
Student prove,Aves,Anura,4574.405,1995.49,Critically Endangered
Sometimes memory,Aves,Primates,1775.549,312.53,Endangered
Every feel,Mammalia,Carnivora,474.754,62.03,Vulnerable
Fire social,Aves,Primates,1024.147,1275.6,Extinct in the Wild
Husband Mr,Mammalia,Passeriformes,744.982,2681.48,Extinct in the Wild
No future,Amphibia,Squamata,3519.551,413.34,Vulnerable
Argue affect,Reptilia,Anura,3089.051,985.57,Critically Endangered
Bank table,Aves,Rodentia,20.953,533.88,Extinct in the Wild
Training artist,Actinopterygii,Rodentia,1142.525,1383.96,Vulnerable
Represent hour,Actinopterygii,Rodentia,969.196,1260.32,Critically Endangered
Admit administration,Amphibia,Primates,89.499,1615.66,Least Concern
Reveal threat,Amphibia,Anura,2176.045,1084.4,Critically Endangered
Team movie,Mammalia,Carnivora,1997.483,1668.89,Extinct in the Wild
Skin medical,Aves,Primates,2532.45,1807.78,Near Threatened
History industry,Amphibia,Squamata,2640.077,1181.45,Vulnerable
At wish,Amphibia,Rodentia,3517.832,2630.23,Extinct in the Wild
Cell situation,Amphibia,Anura,3137.375,476.22,Least Concern
Side call,Reptilia,Anura,4639.659,2900.59,Vulnerable
Note measure,Mammalia,Anura,3275.171,2687.48,Critically Endangered
Charge break,Mammalia,Carnivora,570.236,2200.77,Endangered
Community over,Mammalia,Passeriformes,717.266,2060.74,Least Concern
Get its,Amphibia,Rodentia,1188.307,2652.93,Extinct in the Wild
Write do,Aves,Carnivora,1250.14,2242.77,Endangered
Each enjoy,Actinopterygii,Carnivora,2754.816,1165.95,Critically Endangered
Republican get,Aves,Rodentia,4185.471,1772.96,Vulnerable
Quickly seven,Amphibia,Primates,2091.793,163.66,Least Concern
Media chance,Amphibia,Primates,1457.664,1743.07,Near Threatened
Practice film,Actinopterygii,Rodentia,3068.759,536.28,Vulnerable
Short learn,Mammalia,Rodentia,354.563,1777.37,Extinct in the Wild
Computer organization,Aves,Rodentia,1483.468,1182.99,Near Threatened
We western,Actinopterygii,Carnivora,2081.48,606.44,Critically Endangered
Consumer again,Aves,Anura,1570.631,2282.21,Near Threatened
Already environmental,Mammalia,Carnivora,38.054,1960.61,Extinct in the Wild
Room practice,Amphibia,Primates,1557.906,70.68,Endangered
Carry general,Mammalia,Anura,2373.13,822.75,Vulnerable
Pick sense,Actinopterygii,Carnivora,4049.151,581.28,Endangered
Little father,Mammalia,Primates,3807.307,1114.61,Least Concern
Wish probably,Aves,Passeriformes,4618.313,2379.37,Least Concern
As baby,Aves,Anura,1220.92,1513.51,Endangered
Eat here,Mammalia,Anura,2919.101,1760.81,Extinct in the Wild
Matter chance,Amphibia,Anura,3623.008,726.28,Extinct in the Wild
