species,class,order,weight_kg,length_cm,conservation_status
Nearly move,Actinopterygii,Rodentia,390.296,2221.31,Least Concern
Pm dog,Actinopterygii,Passeriformes,2544.172,2326.38,Critically Endangered
Maintain strong,Aves,Anura,1284.681,1975.76,Near Threatened
This turn,Aves,Rodentia,213.25,1304.44,Vulnerable
Class market,Amphibia,Anura,4544.334,1682.79,Extinct in the Wild
Environment really,Reptilia,Primates,2553.997,71.44,Least Concern
Consider daughter,Amphibia,Squamata,1114.241,1917.34,Extinct in the Wild
Future reason,Actinopterygii,Squamata,1736.887,374.19,Least Concern
Ball contain,Amphibia,Primates,1434.088,1039.2,Least Concern
Describe authority,Actinopterygii,Rodentia,827.628,261.5,Least Concern
Field only,Reptilia,Rodentia,519.477,1248.9,Extinct in the Wild
Sense finish,Mammalia,Anura,147.273,1667.42,Vulnerable
Too citizen,Amphibia,Carnivora,2071.559,1706.79,Extinct in the Wild
Interesting involve,Reptilia,Anura,3944.717,2412.49,Near Threatened
Foot machine,Aves,Passeriformes,2527.231,2405.78,Endangered
Budget fine,Mammalia,Rodentia,4784.241,2639.16,Endangered
Movie present,Mammalia,Anura,436.933,1239.6,Extinct in the Wild
Card another,Aves,Squamata,4651.858,2560.28,Vulnerable
Bad indicate,Mammalia,Squamata,4223.045,308.76,Endangered
Case would,Amphibia,Anura,2013.936,1813.89,Extinct in the Wild
Subject mouth,Amphibia,Squamata,3248.135,2325.71,Vulnerable
Some drop,Amphibia,Primates,2543.531,93.56,Near Threatened
Entire say,Aves,Primates,2892.455,349.68,Vulnerable
Let suddenly,Reptilia,Primates,3020.039,2749.32,Extinct in the Wild
Back accept,Actinopterygii,Carnivora,4228.725,1633.91,Endangered
Mission concern,Amphibia,Anura,663.931,1029.31,Endangered
Adult inside,Aves,Primates,3427.077,448.32,Critically Endangered
Those painting,Amphibia,Primates,850.118,228.17,Critically Endangered
Least hear,Mammalia,Passeriformes,2766.238,138.91,Near Threatened
Article never,Amphibia,Rodentia,4548.967,2370.36,Extinct in the Wild
Collection drop,Mammalia,Carnivora,4933.253,318.5,Near Threatened
Somebody gas,Reptilia,Squamata,3830.562,2771.17,Extinct in the Wild
To government,Amphibia,Carnivora,1904.444,1730.73,Near Threatened
Music recent,Actinopterygii,Passeriformes,4267.772,306.41,Least Concern
Support front,Mammalia,Squamata,984.85,1735.47,Endangered
Base surface,Aves,Anura,4718.781,2860.24,Endangered
Chance I,Mammalia,Anura,3605.306,138.99,Endangered
Low attention,Reptilia,Squamata,2987.781,500.02,Near Threatened
Look special,Mammalia,Rodentia,4898.799,1945.08,Endangered
Research song,Mammalia,Carnivora,1735.07,2512.34,Least Concern
Artist my,Actinopterygii,Passeriformes,3259.426,2614.93,Critically Endangered
Wall catch,Reptilia,Squamata,2786.45,160.97,Near Threatened
Another direction,Mammalia,Rodentia,506.115,2728.19,Critically Endangered
Nearly artist,Mammalia,Primates,3984.151,1493.9,Near Threatened
Mention one,Aves,Squamata,3546.286,1253.51,Vulnerable
Test dream,Aves,Anura,4531.19,1496.99,Critically Endangered
Group mouth,Mammalia,Primates,1908.525,2705.69,Vulnerable
Cause first,Aves,Rodentia,2940.611,775.25,Endangered
Sound establish,Aves,Carnivora,1831.96,1179.69,Vulnerable
Thousand mission,Mammalia,Primates,4839.65,979.37,Endangered
Including four,Mammalia,Squamata,2379.419,1563.93,Critically Endangered
According seek,Reptilia,Passeriformes,2404.241,2026.4,Endangered
Quality still,Aves,Rodentia,252.178,2135.29,Extinct in the Wild
Look clearly,Aves,Carnivora,963.969,2080.08,Critically Endangered
Year minute,Actinopterygii,Passeriformes,2516.135,482.48,Endangered
Organization though,Amphibia,Rodentia,949.55,1411.48,Least Concern
Really way,Amphibia,Passeriformes,2006.703,690.75,Near Threatened
Ever tree,Actinopterygii,Carnivora,2962.886,1084.63,Endangered
Stock throw,Aves,Carnivora,680.019,221.87,Extinct in the Wild
Remain product,Amphibia,Primates,999.523,2580.89,Endangered
Maybe old,Aves,Primates,3460.026,1370.86,Endangered
Top civil,Actinopterygii,Anura,700.6,2725.65,Near Threatened
Similar American,Reptilia,Primates,3751.9,6.02,Critically Endangered
Last include,Mammalia,Anura,4923.246,2922.59,Vulnerable
Generation three,Amphibia,Anura,3816.719,2281.04,Vulnerable
Lawyer for,Reptilia,Primates,4564.466,1640.99,Vulnerable
Nature buy,Amphibia,Primates,1431.562,1738.12,Critically Endangered
Institution determine,Actinopterygii,Rodentia,4212.207,373.03,Critically Endangered
Group others,Aves,Squamata,2493.244,249.19,Extinct in the Wild
Rate feeling,Mammalia,Primates,432.92,20.39,Least Concern
Response fund,Amphibia,Passeriformes,2179.852,1215.68,Least Concern
Key bring,Aves,Anura,469.551,1183.42,Endangered
Range everything,Amphibia,Anura,3392.517,1040.22,Vulnerable
Million on,Amphibia,Primates,1873.149,2918.11,Least Concern
Cover myself,Mammalia,Primates,986.976,2357.11,Least Concern
Technology drug,Aves,Primates,2517.903,2852.89,Extinct in the Wild
Majority partner,Actinopterygii,Anura,4820.673,1829.32,Least Concern
Seek arrive,Mammalia,Passeriformes,912.319,1012.51,Near Threatened
Radio natural,Reptilia,Carnivora,3959.186,2846.41,Endangered
Apply support,Reptilia,Passeriformes,4069.917,2960.47,Near Threatened
Eight create,Aves,Squamata,444.876,2552.84,Extinct in the Wild
Organization authority,Mammalia,Primates,4830.076,670.2,Least Concern
Present your,Mammalia,Passeriformes,308.927,1986.37,Endangered
Pm look,Mammalia,Squamata,2737.295,2782.41,Vulnerable
Stand story,Aves,Carnivora,1378.914,509.36,Near Threatened
Run move,Actinopterygii,Anura,3596.004,1561.64,Near Threatened
Better professor,Amphibia,Carnivora,4941.154,1889.18,Extinct in the Wild
Field recent,Actinopterygii,Rodentia,2862.481,4.38,Critically Endangered
Receive source,Mammalia,Primates,4942.706,2290.72,Vulnerable
Method plan,Mammalia,Squamata,2882.277,34.89,Vulnerable
Various single,Amphibia,Passeriformes,3016.317,1438.35,Vulnerable
Example hospital,Actinopterygii,Carnivora,1145.265,1257.95,Near Threatened
Member central,Amphibia,Rodentia,492.315,495.86,Least Concern
Dream nothing,Aves,Carnivora,4891.369,476.98,Endangered
Open fill,Aves,Primates,2169.727,2862.63,Critically Endangered
Treatment about,Amphibia,Anura,1744.764,1245.52,Extinct in the Wild
Medical summer,Amphibia,Primates,2360.634,186.32,Endangered
Again cell,Reptilia,Rodentia,534.293,21.18,Extinct in the Wild
No fast,Actinopterygii,Passeriformes,2668.69,1464.98,Vulnerable
Green charge,Amphibia,Anura,1528.5,2344.96,Least Concern
Prepare a,Mammalia,Primates,923.349,1239.07,Endangered
Cold two,Actinopterygii,Rodentia,1808.068,2507.41,Vulnerable
Knowledge development,Aves,Primates,1763.102,2212.83,Near Threatened
Edge finish,Actinopterygii,Carnivora,3277.528,2893.4,Extinct in the Wild
Already result,Amphibia,Squamata,3704.094,1084.17,Least Concern
Rule according,Mammalia,Primates,3442.654,1251.63,Near Threatened
So rise,Reptilia,Squamata,1524.884,92.11,Vulnerable
Report age,Amphibia,Primates,1840.935,1198.26,Critically Endangered
Trip case,Actinopterygii,Carnivora,1490.096,114.12,Least Concern
Hold represent,Mammalia,Squamata,3553.355,782.39,Near Threatened
Three there,Amphibia,Carnivora,3036.115,93.46,Endangered
Raise accept,Mammalia,Rodentia,292.88,2002.91,Critically Endangered
Woman describe,Reptilia,Passeriformes,2456.587,1644.91,Vulnerable
War bit,Amphibia,Anura,1043.898,372.48,Extinct in the Wild
Whether hand,Actinopterygii,Passeriformes,1828.813,2756.91,Critically Endangered
Argue stay,Amphibia,Squamata,4354.901,1174.22,Endangered
Until central,Amphibia,Primates,1840.751,851.07,Vulnerable
Realize morning,Amphibia,Carnivora,1075.701,299.64,Critically Endangered
Grow every,Mammalia,Squamata,793.086,321.55,Critically Endangered
Sign approach,Amphibia,Passeriformes,4017.506,1162.35,Near Threatened
Attorney message,Aves,Carnivora,4413.166,2142.52,Extinct in the Wild
Care final,Mammalia,Passeriformes,2234.875,1522.37,Near Threatened
Save check,Reptilia,Passeriformes,139.375,2489.8,Extinct in the Wild
Especially information,Amphibia,Carnivora,4570.98,937.43,Extinct in the Wild
Personal keep,Mammalia,Rodentia,4902.545,2536.55,Endangered
Everything tough,Amphibia,Squamata,3114.685,353.35,Least Concern
Heavy very,Actinopterygii,Primates,1045.222,2081.96,Endangered
South development,Aves,Anura,961.252,1974.7,Least Concern
Far lot,Reptilia,Primates,273.317,2473.97,Near Threatened
Civil question,Actinopterygii,Primates,154.346,966.53,Near Threatened
Begin draw,Reptilia,Squamata,527.918,2176.92,Endangered
Tax matter,Reptilia,Carnivora,1928.74,1957.9,Endangered
Financial claim,Aves,Squamata,572.344,2970.31,Least Concern
Than stock,Actinopterygii,Rodentia,1295.085,583.52,Critically Endangered
Rich politics,Aves,Carnivora,4317.368,2486.9,Least Concern
Tend drive,Amphibia,Squamata,132.609,1670.05,Extinct in the Wild
Budget rest,Mammalia,Anura,4888.577,897.34,Extinct in the Wild
Deal wrong,Mammalia,Rodentia,1611.39,926.48,Endangered
Base prepare,Mammalia,Primates,4591.264,1503.27,Least Concern
Change often,Amphibia,Carnivora,4388.621,1814.53,Endangered
Challenge your,Actinopterygii,Primates,2627.409,1283.8,Vulnerable
Deep wonder,Actinopterygii,Passeriformes,3865.103,1371.37,Endangered
Official up,Reptilia,Primates,2179.519,452.61,Endangered
Several feeling,Aves,Passeriformes,4781.884,274.08,Near Threatened
Red small,Amphibia,Rodentia,2087.193,452.29,Least Concern
Pull parent,Amphibia,Carnivora,3898.97,2189.07,Critically Endangered
Century development,Actinopterygii,Rodentia,3157.337,2986.98,Critically Endangered
Real American,Amphibia,Carnivora,1584.958,1521.44,Extinct in the Wild
Hand although,Actinopterygii,Primates,1866.008,49.89,Extinct in the Wild
Try moment,Mammalia,Primates,1746.883,1027.34,Critically Endangered
Peace group,Actinopterygii,Rodentia,1922.376,2393.81,Extinct in the Wild
Main Mrs,Mammalia,Carnivora,3487.455,1482.88,Critically Endangered
Against account,Reptilia,Carnivora,4538.621,1547.06,Extinct in the Wild
Owner successful,Amphibia,Anura,4540.248,1751.94,Near Threatened
Check a,Amphibia,Primates,3175.422,1418.7,Vulnerable
Military perform,Reptilia,Passeriformes,2857.488,2437.19,Extinct in the Wild
Born include,Actinopterygii,Rodentia,1569.498,634.25,Critically Endangered
Great anything,Reptilia,Primates,1271.888,1538.49,Vulnerable
Executive art,Aves,Squamata,912.179,2227.44,Near Threatened
Conference defense,Reptilia,Anura,787.246,1691.23,Vulnerable
Old position,Mammalia,Squamata,4317.307,2632.37,Least Concern
Spend inside,Mammalia,Rodentia,1344.951,258.94,Near Threatened
Whose national,Mammalia,Anura,3117.635,950.51,Extinct in the Wild
It fight,Amphibia,Rodentia,3545.347,920.19,Least Concern
Team or,Mammalia,Passeriformes,3992.96,1606.91,Least Concern
Administration without,Mammalia,Anura,2124.558,1821.48,Endangered
Enter baby,Aves,Primates,3686.23,1119.25,Endangered
Be soon,Amphibia,Anura,490.205,1900.44,Extinct in the Wild
Game carry,Amphibia,Passeriformes,3714.245,1059.64,Endangered
Quite finish,Reptilia,Rodentia,2438.109,2340.11,Least Concern
Catch fact,Reptilia,Squamata,1225.005,1499.51,Endangered
Management late,Mammalia,Primates,1841.734,515.61,Endangered
His upon,Aves,Carnivora,2456.421,2915.19,Critically Endangered
Station type,Mammalia,Rodentia,3301.469,262.89,Endangered
Agreement compare,Amphibia,Passeriformes,3436.923,254.32,Extinct in the Wild
Skill think,Mammalia,Rodentia,1539.168,1446.49,Least Concern
Minute piece,Amphibia,Primates,1107.004,282.73,Endangered
Take senior,Mammalia,Squamata,1878.802,198.43,Near Threatened
Book partner,Actinopterygii,Carnivora,795.166,1589.13,Extinct in the Wild
Military game,Actinopterygii,Rodentia,2178.213,2437.8,Vulnerable
War be,Amphibia,Anura,4173.656,2958.31,Vulnerable
Summer record,Aves,Passeriformes,2151.657,29.21,Critically Endangered
Simple story,Actinopterygii,Anura,1901.733,313.84,Vulnerable
Itself what,Reptilia,Primates,4337.641,1260.57,Extinct in the Wild
Reach war,Mammalia,Carnivora,1934.725,1875.64,Least Concern
Board rather,Amphibia,Primates,833.628,494.33,Vulnerable
Television enough,Actinopterygii,Primates,4454.445,1612.2,Critically Endangered
General teach,Actinopterygii,Primates,180.866,2909.79,Endangered
Toward recent,Actinopterygii,Passeriformes,4470.296,462.06,Vulnerable
Trial southern,Reptilia,Squamata,1925.946,2457.11,Critically Endangered
Fine key,Mammalia,Anura,2443.0,1027.45,Critically Endangered
Who this,Mammalia,Squamata,748.09,36.15,Extinct in the Wild
Feeling picture,Mammalia,Carnivora,4568.593,1014.63,Endangered
Dog campaign,Aves,Carnivora,588.794,1485.64,Critically Endangered
Explain four,Actinopterygii,Primates,2709.682,84.31,Endangered
I sister,Amphibia,Anura,3377.984,194.17,Vulnerable
Weight court,Actinopterygii,Rodentia,2029.942,1352.53,Endangered
Whom hotel,Mammalia,Carnivora,3725.316,2533.45,Near Threatened
Seat stay,Reptilia,Anura,2203.488,1575.02,Least Concern
Rather tree,Mammalia,Passeriformes,4183.684,705.5,Least Concern
Commercial discussion,Amphibia,Rodentia,3492.077,1155.07,Vulnerable
Do Congress,Amphibia,Carnivora,1263.17,498.45,Endangered
Heart how,Actinopterygii,Squamata,3964.026,1129.58,Extinct in the Wild
There within,Reptilia,Squamata,1137.455,2963.29,Critically Endangered
Owner order,Mammalia,Squamata,4548.428,905.19,Critically Endangered
Republican under,Actinopterygii,Anura,4070.079,2140.15,Extinct in the Wild
Air summer,Actinopterygii,Anura,1182.096,1346.01,Least Concern
Standard easy,Mammalia,Primates,2949.929,2066.26,Extinct in the Wild
Window himself,Mammalia,Rodentia,2100.557,2392.94,Critically Endangered
Think face,Actinopterygii,Rodentia,2004.493,1748.16,Endangered
Bill short,Reptilia,Carnivora,1287.121,2492.83,Least Concern
Anyone response,Reptilia,Primates,1617.303,2854.01,Extinct in the Wild
Responsibility marriage,Aves,Carnivora,2416.134,1047.13,Critically Endangered
Anything at,Actinopterygii,Primates,2407.141,2117.86,Vulnerable
Sense general,Actinopterygii,Anura,4424.625,907.72,Least Concern
Compare course,Aves,Anura,2688.742,1532.26,Critically Endangered
Make resource,Aves,Rodentia,367.758,1482.51,Extinct in the Wild
Serious up,Reptilia,Squamata,2875.426,2134.58,Endangered
Home while,Aves,Primates,4140.277,1452.1,Vulnerable
Second better,Amphibia,Carnivora,2616.248,987.25,Critically Endangered
Surface hour,Actinopterygii,Squamata,4796.582,1811.59,Vulnerable
None deal,Aves,Passeriformes,459.492,1462.3,Least Concern
Decade for,Actinopterygii,Carnivora,3284.816,2253.27,Endangered
Trouble person,Amphibia,Primates,718.166,1201.65,Near Threatened
Manager blood,Amphibia,Primates,2392.825,2991.69,Vulnerable
Fight tree,Actinopterygii,Carnivora,2658.093,2238.74,Endangered
Total land,Reptilia,Anura,3116.463,670.0,Least Concern
Bar dog,Aves,Anura,821.999,1070.83,Least Concern
Both cover,Aves,Squamata,157.868,945.25,Least Concern
Magazine quickly,Aves,Carnivora,3187.841,1404.44,Near Threatened
Five use,Actinopterygii,Rodentia,446.002,1205.56,Near Threatened
One ask,Mammalia,Primates,2715.88,2842.85,Least Concern
Fight law,Amphibia,Passeriformes,1655.419,1412.46,Vulnerable
Age policy,Amphibia,Primates,1204.039,1776.49,Endangered
East between,Mammalia,Primates,4126.441,170.1,Extinct in the Wild
Why thus,Aves,Passeriformes,905.199,2299.1,Endangered
Be skill,Amphibia,Passeriformes,3500.942,2633.19,Endangered
Road common,Aves,Carnivora,2547.509,2984.12,Endangered
Artist woman,Amphibia,Carnivora,71.061,1650.24,Endangered
Final third,Mammalia,Carnivora,3775.172,2399.9,Vulnerable
There dream,Aves,Squamata,1244.071,531.08,Endangered
Paper method,Mammalia,Primates,3465.586,2276.07,Extinct in the Wild
Camera scientist,Reptilia,Squamata,1232.368,1716.95,Extinct in the Wild
Himself now,Mammalia,Primates,3528.0,231.88,Extinct in the Wild
Prove finally,Actinopterygii,Passeriformes,505.255,2242.33,Vulnerable
Game themselves,Aves,Passeriformes,1370.723,1748.64,Least Concern
Into whatever,Mammalia,Carnivora,3733.129,2236.96,Least Concern
Son heart,Aves,Squamata,2862.663,1371.59,Near Threatened
Majority entire,Reptilia,Passeriformes,2241.049,1014.49,Endangered
Few media,Aves,Squamata,4071.295,2571.98,Least Concern
