species,class,order,weight_kg,length_cm,conservation_status
Worker consumer,Actinopterygii,Carnivora,2145.418,2690.71,Critically Endangered
Environment certainly,Amphibia,Rodentia,1951.574,263.53,Least Concern
Need time,Amphibia,Anura,4168.603,1300.29,Critically Endangered
Middle happen,Amphibia,Anura,422.183,986.07,Endangered
Worry region,Aves,Anura,946.222,1743.83,Critically Endangered
Vote opportunity,Actinopterygii,Squamata,3647.091,654.23,Extinct in the Wild
Where citizen,Aves,Carnivora,969.212,2886.02,Near Threatened
May score,Reptilia,Rodentia,1862.013,1516.18,Vulnerable
At ground,Reptilia,Passeriformes,3765.032,2178.48,Endangered
Million attention,Mammalia,Anura,4662.657,2780.57,Least Concern
Any Democrat,Amphibia,Squamata,215.057,162.75,Extinct in the Wild
Establish blue,Actinopterygii,Rodentia,4628.653,1753.46,Least Concern
Society everyone,Amphibia,Anura,915.455,1909.63,Least Concern
Quite focus,Mammalia,Carnivora,841.324,2984.05,Endangered
Give blue,Reptilia,Passeriformes,3561.1,83.3,Endangered
Off senior,Aves,Primates,1121.928,1467.62,Extinct in the Wild
Set laugh,Aves,Primates,1741.209,877.68,Least Concern
Anyone line,Aves,Passeriformes,187.728,2611.1,Extinct in the Wild
Hope charge,Reptilia,Squamata,3498.146,53.23,Least Concern
Necessary represent,Amphibia,Passeriformes,1169.814,2751.92,Near Threatened
Recent space,Aves,Passeriformes,170.775,1994.57,Near Threatened
Evening follow,Mammalia,Carnivora,463.585,195.54,Vulnerable
Learn positive,Aves,Anura,264.834,239.09,Extinct in the Wild
Hear simply,Actinopterygii,Rodentia,303.204,1759.49,Least Concern
Project night,Actinopterygii,Passeriformes,1196.622,917.94,Near Threatened
Dream or,Amphibia,Squamata,2097.845,1967.27,Near Threatened
Trouble because,Aves,Squamata,2126.823,1971.44,Critically Endangered
Everything material,Aves,Rodentia,1503.213,2244.38,Extinct in the Wild
Face father,Mammalia,Carnivora,138.579,2648.4,Least Concern
Field what,Actinopterygii,Rodentia,4392.847,38.92,Critically Endangered
Order son,Actinopterygii,Squamata,4418.73,2006.51,Extinct in the Wild
Over other,Amphibia,Anura,3700.483,2157.65,Critically Endangered
Wear dream,Actinopterygii,Carnivora,3458.708,2325.69,Critically Endangered
Also child,Reptilia,Primates,1294.754,2807.74,Near Threatened
Song table,Aves,Rodentia,2734.389,20.21,Least Concern
House meeting,Amphibia,Anura,4856.88,2217.98,Near Threatened
Morning another,Actinopterygii,Rodentia,3393.235,628.11,Near Threatened
Protect fill,Amphibia,Carnivora,3519.007,2465.62,Vulnerable
Against with,Actinopterygii,Primates,3223.047,2930.94,Endangered
Industry change,Amphibia,Passeriformes,1293.873,1708.29,Vulnerable
Remember open,Actinopterygii,Passeriformes,1952.146,2397.72,Least Concern
Especially my,Actinopterygii,Squamata,3939.656,2431.6,Near Threatened
Dark but,Aves,Anura,3655.978,1441.51,Critically Endangered
Use explain,Actinopterygii,Squamata,2316.368,726.72,Least Concern
Kind concern,Actinopterygii,Rodentia,2019.584,1361.96,Vulnerable
Quite hundred,Aves,Passeriformes,234.665,473.7,Vulnerable
Report community,Amphibia,Rodentia,569.022,1222.28,Vulnerable
Million between,Actinopterygii,Anura,1701.009,2119.92,Endangered
Consider little,Actinopterygii,Squamata,2867.642,1936.51,Least Concern
Grow loss,Actinopterygii,Rodentia,4683.178,2995.88,Least Concern
Event myself,Amphibia,Primates,4435.31,1360.46,Endangered
Course happy,Mammalia,Squamata,1058.457,1553.95,Endangered
Within large,Aves,Carnivora,2765.4,1010.61,Extinct in the Wild
War care,Aves,Passeriformes,4233.225,1242.35,Endangered
Bad choice,Mammalia,Squamata,4951.469,1025.62,Near Threatened
Growth success,Actinopterygii,Anura,1698.163,1266.93,Least Concern
Stay fight,Mammalia,Primates,366.31,2976.05,Near Threatened
Thing market,Amphibia,Primates,2357.711,1396.57,Endangered
Forward matter,Mammalia,Anura,384.146,1319.96,Near Threatened
Him media,Mammalia,Primates,2147.038,2286.76,Near Threatened
Address society,Aves,Passeriformes,2950.995,2465.65,Endangered
Rest ten,Aves,Rodentia,4032.602,45.08,Near Threatened
Task put,Amphibia,Squamata,470.562,2006.16,Critically Endangered
Imagine lead,Aves,Primates,1287.559,2816.46,Endangered
Wait bed,Aves,Rodentia,1049.721,2513.43,Vulnerable
Seven vote,Reptilia,Anura,3256.77,939.66,Least Concern
Investment reach,Aves,Primates,3854.648,1136.15,Extinct in the Wild
Put shake,Reptilia,Carnivora,1491.164,1003.45,Endangered
Research never,Amphibia,Primates,850.218,1036.15,Extinct in the Wild
Which bag,Actinopterygii,Squamata,4717.095,1061.62,Critically Endangered
Benefit end,Actinopterygii,Passeriformes,1358.793,667.66,Extinct in the Wild
Table language,Mammalia,Carnivora,3327.244,436.31,Least Concern
Recent star,Reptilia,Primates,4357.446,1121.39,Critically Endangered
Rule figure,Mammalia,Squamata,3028.813,2238.02,Least Concern
Hand care,Reptilia,Passeriformes,224.034,1111.94,Endangered
Security quickly,Amphibia,Rodentia,3838.938,388.92,Critically Endangered
He police,Amphibia,Carnivora,3230.491,2467.52,Vulnerable
Simple commercial,Amphibia,Squamata,1261.04,2547.43,Critically Endangered
Next let,Mammalia,Rodentia,2683.6,2861.77,Least Concern
Truth point,Mammalia,Anura,3687.624,1650.48,Critically Endangered
Condition friend,Actinopterygii,Anura,2869.664,1830.02,Near Threatened
Door each,Actinopterygii,Rodentia,4036.54,1850.38,Near Threatened
Car health,Aves,Passeriformes,2754.006,1391.8,Near Threatened
Yes check,Mammalia,Rodentia,4561.24,2913.12,Least Concern
Amount design,Actinopterygii,Rodentia,2380.034,1288.1,Least Concern
Down dream,Actinopterygii,Squamata,1902.554,1379.46,Endangered
Interesting want,Mammalia,Carnivora,1299.371,1780.07,Least Concern
Among manage,Amphibia,Anura,2349.139,2511.19,Near Threatened
Bar today,Amphibia,Anura,2538.966,2605.18,Extinct in the Wild
Work find,Actinopterygii,Rodentia,3327.75,540.86,Least Concern
Store watch,Aves,Anura,2310.728,999.29,Critically Endangered
Current tonight,Aves,Rodentia,3126.131,844.09,Endangered
Great end,Mammalia,Anura,3436.665,426.26,Extinct in the Wild
Talk argue,Actinopterygii,Passeriformes,2170.144,1844.28,Extinct in the Wild
Seem near,Aves,Rodentia,2298.983,780.25,Least Concern
Peace though,Mammalia,Passeriformes,275.352,2962.06,Vulnerable
About theory,Reptilia,Anura,4173.839,1395.5,Critically Endangered
Single indicate,Reptilia,Primates,4094.174,314.9,Least Concern
Wall after,Amphibia,Carnivora,1111.331,466.49,Endangered
Including table,Reptilia,Primates,3718.435,769.84,Near Threatened
Character hit,Actinopterygii,Anura,1098.338,2275.93,Vulnerable
Process fact,Mammalia,Carnivora,4124.51,2385.76,Critically Endangered
Action financial,Actinopterygii,Carnivora,2784.722,1023.0,Extinct in the Wild
Discover them,Aves,Carnivora,1770.167,2549.79,Extinct in the Wild
Learn plan,Reptilia,Passeriformes,161.272,1509.62,Critically Endangered
Building message,Actinopterygii,Squamata,727.227,2970.34,Critically Endangered
Herself ground,Aves,Rodentia,3926.204,462.5,Near Threatened
Coach to,Aves,Squamata,3371.551,933.86,Least Concern
Part smile,Actinopterygii,Primates,3967.404,2400.46,Endangered
Act something,Actinopterygii,Primates,701.662,300.73,Vulnerable
Sport kid,Actinopterygii,Anura,1432.756,2418.74,Vulnerable
New staff,Amphibia,Squamata,4283.27,1787.03,Vulnerable
Week help,Amphibia,Primates,4473.212,223.16,Near Threatened
Amount politics,Amphibia,Anura,3939.516,656.29,Extinct in the Wild
Stuff language,Amphibia,Passeriformes,1127.512,732.27,Endangered
Western strong,Reptilia,Anura,3130.857,2929.77,Vulnerable
Some protect,Actinopterygii,Passeriformes,4077.515,777.07,Critically Endangered
Thank article,Actinopterygii,Passeriformes,825.408,1941.99,Near Threatened
Court up,Actinopterygii,Passeriformes,1985.929,498.93,Endangered
Alone factor,Aves,Passeriformes,4973.212,1494.93,Endangered
Training management,Mammalia,Carnivora,1017.432,2679.01,Least Concern
Bad drive,Reptilia,Squamata,238.329,2940.15,Extinct in the Wild
Class same,Reptilia,Rodentia,2782.305,1638.32,Critically Endangered
Enjoy for,Mammalia,Passeriformes,2787.915,2085.03,Endangered
Six among,Amphibia,Anura,3813.278,51.46,Critically Endangered
City environment,Amphibia,Rodentia,4106.857,618.51,Least Concern
Contain magazine,Aves,Anura,3796.227,805.77,Least Concern
Sign air,Mammalia,Passeriformes,388.021,1735.72,Endangered
Area current,Amphibia,Passeriformes,514.094,469.79,Least Concern
Build effect,Amphibia,Rodentia,1921.725,85.73,Vulnerable
Likely go,Reptilia,Anura,3204.629,382.15,Least Concern
Despite personal,Aves,Rodentia,4256.977,1446.23,Vulnerable
Action boy,Amphibia,Rodentia,734.884,1239.25,Least Concern
Others hundred,Aves,Primates,2797.594,2126.54,Vulnerable
Idea clear,Mammalia,Anura,4912.995,2883.7,Endangered
Music race,Mammalia,Carnivora,4176.762,1224.86,Extinct in the Wild
Worker sure,Reptilia,Carnivora,696.941,2704.49,Endangered
