species,class,order,weight_kg,length_cm,conservation_status
Do writer,Actinopterygii,Primates,3496.486,1721.06,Extinct in the Wild
Card finish,Reptilia,Passeriformes,3067.617,1291.94,Extinct in the Wild
Only campaign,Aves,Passeriformes,3742.716,1598.06,Least Concern
Forward happen,Actinopterygii,Rodentia,2057.173,965.84,Least Concern
There sound,Reptilia,Primates,2202.428,564.44,Extinct in the Wild
First young,Reptilia,Passeriformes,3495.227,732.55,Extinct in the Wild
Size reduce,Actinopterygii,Primates,2969.353,2936.11,Critically Endangered
Machine statement,Reptilia,Squamata,3050.969,2572.41,Extinct in the Wild
Out hour,Aves,Rodentia,4292.734,1254.68,Near Threatened
Whose total,Reptilia,Rodentia,4543.327,2682.78,Near Threatened
Manage top,Aves,Carnivora,3715.539,2392.66,Critically Endangered
Involve recognize,Reptilia,Anura,1193.218,2115.16,Least Concern
Western service,Amphibia,Passeriformes,999.289,1295.42,Least Concern
Serve manage,Actinopterygii,Anura,4556.192,1152.36,Near Threatened
Seek suggest,Amphibia,Primates,1178.718,498.52,Near Threatened
Wear smile,Mammalia,Passeriformes,3823.535,2133.92,Endangered
Fund push,Actinopterygii,Anura,379.627,2657.97,Least Concern
Relate who,Amphibia,Passeriformes,2969.915,1981.19,Extinct in the Wild
Government charge,Amphibia,Primates,4136.738,1437.92,Near Threatened
Model magazine,Reptilia,Rodentia,1658.371,384.17,Near Threatened
Similar and,Aves,Primates,3391.211,2927.16,Extinct in the Wild
Say have,Mammalia,Squamata,51.201,1070.56,Least Concern
Course a,Mammalia,Carnivora,1946.043,196.06,Endangered
Through value,Aves,Anura,4812.804,1000.09,Critically Endangered
Authority ahead,Aves,Carnivora,373.913,818.25,Extinct in the Wild
Threat become,Aves,Rodentia,3663.966,2832.49,Critically Endangered
Involve all,Aves,Anura,2753.598,711.51,Least Concern
Economic everything,Actinopterygii,Carnivora,322.756,1478.3,Least Concern
Explain employee,Mammalia,Carnivora,4306.13,2402.72,Extinct in the Wild
Sort art,Reptilia,Rodentia,387.281,345.86,Critically Endangered
Strong not,Aves,Anura,2341.259,1806.37,Endangered
Bar road,Reptilia,Squamata,4733.013,1646.18,Vulnerable
Before require,Amphibia,Carnivora,76.432,1428.99,Extinct in the Wild
Picture politics,Aves,Rodentia,3236.142,2195.72,Vulnerable
Once art,Actinopterygii,Squamata,2526.841,2641.08,Near Threatened
Capital structure,Amphibia,Passeriformes,3895.566,617.72,Extinct in the Wild
Production bed,Aves,Passeriformes,2576.028,1664.78,Extinct in the Wild
Wait how,Actinopterygii,Rodentia,1038.856,473.78,Least Concern
