species,class,order,weight_kg,length_cm,conservation_status
Behind serve,Actinopterygii,Rodentia,2720.166,2697.48,Endangered
Crime option,Actinopterygii,Passeriformes,3779.632,597.06,Near Threatened
Central protect,Mammalia,Squamata,1916.472,292.78,Near Threatened
Attack continue,Reptilia,Anura,3862.035,1751.89,Extinct in the Wild
Care unit,Reptilia,Squamata,613.08,2786.7,Extinct in the Wild
Its management,Reptilia,Anura,72.671,2210.08,Vulnerable
Style toward,Mammalia,Passeriformes,1482.635,2133.4,Extinct in the Wild
Clearly effect,Mammalia,Carnivora,1112.995,1237.9,Least Concern
Treatment along,Aves,Anura,2791.985,1103.18,Vulnerable
Dinner series,Amphibia,Primates,2976.22,1602.64,Extinct in the Wild
Reality kind,Actinopterygii,Rodentia,1480.92,2401.52,Critically Endangered
Anyone ever,Amphibia,Rodentia,3083.874,701.47,Near Threatened
Talk loss,Mammalia,Primates,1030.199,904.54,Critically Endangered
Community produce,Mammalia,Anura,116.3,464.08,Endangered
Ahead want,Mammalia,Passeriformes,3997.627,2635.17,Extinct in the Wild
Owner art,Reptilia,Carnivora,1874.289,713.18,Least Concern
Old already,Amphibia,Anura,3865.708,1624.97,Least Concern
Office wide,Amphibia,Squamata,4802.232,450.62,Endangered
Challenge even,Actinopterygii,Carnivora,2592.682,1431.66,Extinct in the Wild
Still difference,Reptilia,Rodentia,1542.099,2196.78,Vulnerable
Use goal,Mammalia,Squamata,4000.267,257.9,Endangered
Something cup,Aves,Squamata,422.43,909.63,Critically Endangered
Ready clear,Aves,Primates,2137.475,1378.84,Least Concern
Quickly force,Actinopterygii,Anura,208.011,1098.84,Extinct in the Wild
Material send,Mammalia,Rodentia,1283.423,1169.03,Endangered
Character nation,Mammalia,Anura,2770.682,2720.26,Vulnerable
Ago structure,Aves,Rodentia,285.805,2662.92,Endangered
Area tough,Actinopterygii,Rodentia,1814.527,1485.01,Least Concern
Hand answer,Reptilia,Carnivora,4867.389,2655.88,Endangered
Rich age,Actinopterygii,Primates,3699.397,1558.48,Near Threatened
Bag enough,Actinopterygii,Primates,3031.454,1897.72,Critically Endangered
Ten arrive,Actinopterygii,Passeriformes,4695.189,970.01,Near Threatened
Easy until,Aves,Anura,1536.626,854.95,Critically Endangered
Candidate history,Amphibia,Carnivora,2298.787,2953.37,Near Threatened
Fund girl,Actinopterygii,Carnivora,3851.322,2959.81,Vulnerable
Southern want,Reptilia,Passeriformes,1349.219,1069.83,Near Threatened
Bit should,Aves,Carnivora,4785.755,803.4,Endangered
Southern voice,Mammalia,Primates,4421.94,329.63,Least Concern
Hundred ground,Amphibia,Passeriformes,912.95,436.56,Critically Endangered
Past air,Aves,Squamata,4961.16,2705.69,Critically Endangered
Difficult certain,Aves,Squamata,4091.043,572.93,Vulnerable
Center care,Reptilia,Primates,4865.609,556.24,Critically Endangered
Success our,Aves,Squamata,1161.797,1827.7,Near Threatened
Fire party,Mammalia,Carnivora,4442.629,2518.19,Critically Endangered
Into official,Amphibia,Rodentia,2900.351,2232.4,Near Threatened
Draw relate,Amphibia,Rodentia,2222.421,1931.71,Least Concern
Born make,Amphibia,Anura,2508.69,257.68,Least Concern
Hour knowledge,Mammalia,Rodentia,4129.495,1019.28,Vulnerable
Eye stock,Aves,Rodentia,3063.619,2587.97,Critically Endangered
Physical us,Aves,Primates,4355.175,542.03,Critically Endangered
Coach there,Mammalia,Rodentia,1977.196,2831.35,Endangered
Catch pick,Mammalia,Rodentia,4694.784,2853.52,Least Concern
Point theory,Mammalia,Anura,3001.467,2218.4,Least Concern
Find clearly,Reptilia,Anura,244.074,219.55,Endangered
Pattern medical,Aves,Primates,834.15,282.43,Least Concern
Build defense,Amphibia,Primates,3477.501,201.03,Critically Endangered
Read professor,Mammalia,Rodentia,1681.113,695.14,Vulnerable
Mother check,Mammalia,Carnivora,600.591,1860.88,Least Concern
Ahead car,Actinopterygii,Anura,4693.44,923.92,Least Concern
No clear,Mammalia,Anura,2736.997,1119.27,Vulnerable
Material majority,Aves,Primates,3684.972,2074.96,Critically Endangered
Expect begin,Reptilia,Anura,1733.954,956.11,Critically Endangered
Quickly fund,Aves,Passeriformes,4918.648,2782.36,Critically Endangered
Heavy operation,Reptilia,Anura,4325.33,8.69,Least Concern
Design idea,Mammalia,Squamata,3699.551,2866.01,Near Threatened
Manage rest,Amphibia,Primates,492.38,1992.62,Endangered
Admit exactly,Reptilia,Passeriformes,378.792,1832.16,Least Concern
Once mouth,Actinopterygii,Primates,3354.84,1977.43,Vulnerable
Floor decade,Mammalia,Carnivora,4478.237,561.46,Critically Endangered
Letter wear,Amphibia,Primates,2682.977,2069.41,Vulnerable
Next walk,Mammalia,Primates,393.019,1365.83,Vulnerable
Military born,Amphibia,Rodentia,1625.914,2511.46,Endangered
Attention ahead,Actinopterygii,Squamata,3382.67,1759.87,Endangered
Debate anything,Aves,Squamata,2049.388,281.26,Critically Endangered
Future physical,Mammalia,Passeriformes,3337.907,1151.18,Endangered
Collection though,Reptilia,Primates,3683.757,234.43,Vulnerable
Bar country,Aves,Passeriformes,1710.029,1206.26,Extinct in the Wild
Shoulder long,Aves,Primates,2215.61,309.15,Least Concern
Usually way,Actinopterygii,Passeriformes,2624.093,1315.95,Extinct in the Wild
Western also,Aves,Anura,199.182,2031.81,Extinct in the Wild
Rate common,Amphibia,Passeriformes,4434.682,1360.97,Vulnerable
Heavy specific,Mammalia,Primates,399.194,50.14,Endangered
Important how,Mammalia,Rodentia,241.226,2852.01,Critically Endangered
Culture collection,Aves,Squamata,2003.955,559.73,Endangered
Single institution,Mammalia,Rodentia,2898.128,1523.43,Extinct in the Wild
Add letter,Aves,Primates,1287.91,1766.41,Vulnerable
Cover step,Aves,Passeriformes,3048.379,2513.47,Extinct in the Wild
Operation wear,Reptilia,Passeriformes,3414.44,917.41,Extinct in the Wild
Case respond,Aves,Carnivora,1957.165,1454.04,Critically Endangered
National against,Mammalia,Carnivora,3868.812,1500.85,Extinct in the Wild
Often same,Reptilia,Rodentia,3503.967,2675.49,Least Concern
Situation agree,Actinopterygii,Primates,2660.459,2971.8,Near Threatened
Animal describe,Reptilia,Anura,2969.479,885.97,Least Concern
Science girl,Actinopterygii,Passeriformes,1008.912,1939.94,Extinct in the Wild
People blue,Mammalia,Rodentia,2695.068,1632.99,Endangered
Mr explain,Reptilia,Carnivora,2054.087,1351.69,Vulnerable
Action fast,Reptilia,Rodentia,2553.445,2558.57,Critically Endangered
Artist treat,Amphibia,Carnivora,1439.839,10.57,Vulnerable
Three rather,Actinopterygii,Passeriformes,887.646,1175.34,Least Concern
Whatever not,Aves,Squamata,3178.171,610.8,Least Concern
Tend second,Amphibia,Rodentia,1974.461,2713.93,Least Concern
Seat phone,Actinopterygii,Anura,2760.451,215.14,Least Concern
Give seat,Reptilia,Carnivora,3878.952,433.91,Least Concern
Perform difficult,Aves,Carnivora,2052.445,1100.79,Least Concern
Reality home,Mammalia,Squamata,3973.413,1192.76,Critically Endangered
Television glass,Actinopterygii,Carnivora,587.199,667.94,Least Concern
Word should,Mammalia,Carnivora,2275.081,2945.82,Least Concern
Big several,Reptilia,Primates,2989.01,255.78,Vulnerable
Positive tax,Amphibia,Squamata,885.55,1865.24,Critically Endangered
Morning yet,Reptilia,Carnivora,3996.491,646.78,Vulnerable
Enough order,Reptilia,Passeriformes,301.306,2026.84,Vulnerable
Really team,Actinopterygii,Primates,1969.204,203.73,Vulnerable
Run federal,Amphibia,Passeriformes,2850.193,797.64,Least Concern
Oil democratic,Amphibia,Primates,1726.969,1629.78,Near Threatened
Professor leader,Mammalia,Primates,3639.723,2833.07,Near Threatened
Remember type,Actinopterygii,Passeriformes,2614.472,1678.37,Endangered
International in,Aves,Passeriformes,237.482,2773.57,Vulnerable
Raise clear,Reptilia,Rodentia,1422.366,2015.95,Endangered
Near have,Reptilia,Carnivora,187.402,1486.0,Critically Endangered
Nice administration,Reptilia,Carnivora,605.161,548.86,Near Threatened
Score worker,Mammalia,Anura,3064.675,2929.99,Endangered
Again father,Reptilia,Anura,845.855,2450.44,Near Threatened
Civil get,Reptilia,Passeriformes,1510.25,2533.72,Vulnerable
Stock forget,Amphibia,Squamata,3319.527,2764.3,Critically Endangered
Degree attention,Amphibia,Squamata,817.811,189.01,Vulnerable
Human your,Reptilia,Carnivora,1003.356,2143.5,Critically Endangered
Store develop,Reptilia,Anura,4107.235,494.35,Vulnerable
Teacher upon,Actinopterygii,Rodentia,3408.335,2571.22,Least Concern
Industry soon,Mammalia,Passeriformes,2310.786,773.95,Endangered
Store often,Mammalia,Anura,3384.842,808.1,Endangered
Worry score,Amphibia,Squamata,3614.882,2959.56,Near Threatened
New want,Actinopterygii,Passeriformes,72.347,2942.1,Vulnerable
Find agreement,Aves,Passeriformes,205.242,2746.89,Endangered
Which glass,Mammalia,Squamata,1775.849,1517.17,Critically Endangered
Mother radio,Mammalia,Passeriformes,1672.611,2136.59,Least Concern
Gas challenge,Mammalia,Carnivora,3257.25,2726.01,Extinct in the Wild
Not necessary,Actinopterygii,Passeriformes,1198.503,232.93,Critically Endangered
Skill again,Actinopterygii,Squamata,1167.321,517.82,Endangered
Fund tend,Reptilia,Anura,36.704,2383.17,Endangered
Similar blood,Actinopterygii,Passeriformes,1488.717,374.22,Critically Endangered
Evening court,Reptilia,Squamata,3872.169,1612.39,Vulnerable
Important enjoy,Aves,Squamata,1873.606,523.22,Critically Endangered
Concern because,Aves,Passeriformes,4135.622,788.89,Vulnerable
Certainly help,Reptilia,Squamata,1593.655,373.04,Endangered
Instead to,Reptilia,Carnivora,884.999,443.4,Extinct in the Wild
Summer yourself,Aves,Anura,3072.112,1393.18,Critically Endangered
Article number,Actinopterygii,Squamata,2948.432,484.38,Least Concern
Area together,Aves,Rodentia,3333.889,268.23,Extinct in the Wild
Leave ten,Mammalia,Rodentia,1018.393,1267.58,Near Threatened
Me artist,Amphibia,Primates,3134.666,378.19,Least Concern
Assume clear,Aves,Rodentia,1898.439,2344.97,Near Threatened
Road hundred,Mammalia,Primates,604.544,1326.89,Vulnerable
Ten instead,Reptilia,Squamata,987.593,1657.64,Least Concern
Already loss,Actinopterygii,Primates,539.797,1363.7,Near Threatened
Treatment market,Mammalia,Rodentia,2098.156,1476.64,Least Concern
Mean ago,Amphibia,Carnivora,776.558,408.09,Endangered
Option first,Amphibia,Carnivora,3354.497,1344.26,Vulnerable
Subject last,Amphibia,Anura,1440.027,29.74,Least Concern
Here head,Actinopterygii,Carnivora,200.49,1049.8,Critically Endangered
Compare low,Reptilia,Squamata,2079.317,1431.5,Near Threatened
Call you,Reptilia,Passeriformes,2251.694,644.48,Vulnerable
Industry human,Mammalia,Passeriformes,882.323,322.32,Critically Endangered
Bank value,Actinopterygii,Anura,2136.456,2101.5,Endangered
Employee own,Amphibia,Squamata,1457.343,2770.14,Endangered
While recognize,Aves,Primates,4955.386,999.84,Endangered
Here around,Aves,Primates,3636.74,2806.73,Endangered
Simple true,Actinopterygii,Carnivora,2435.028,2346.8,Critically Endangered
Fish wind,Actinopterygii,Carnivora,4216.961,635.28,Critically Endangered
Set my,Amphibia,Carnivora,4414.359,1195.65,Endangered
Eat dream,Reptilia,Anura,977.17,748.63,Least Concern
System natural,Mammalia,Passeriformes,1347.965,77.2,Vulnerable
Trouble material,Actinopterygii,Primates,3899.477,585.54,Extinct in the Wild
Religious article,Mammalia,Squamata,1466.008,189.11,Extinct in the Wild
Ability themselves,Amphibia,Anura,1046.624,942.42,Critically Endangered
Help force,Aves,Squamata,115.771,2243.03,Least Concern
Practice hand,Aves,Passeriformes,1011.98,1766.85,Extinct in the Wild
Rest per,Amphibia,Squamata,455.64,913.54,Critically Endangered
