species,class,order,weight_kg,length_cm,conservation_status
Possible though,Amphibia,Passeriformes,1109.673,2943.46,Vulnerable
Wrong source,Mammalia,Rodentia,3525.459,1076.94,Endangered
College professional,Amphibia,Anura,3984.12,2386.95,Extinct in the Wild
Nature often,Reptilia,Passeriformes,1563.563,2178.3,Least Concern
Charge finish,Actinopterygii,Carnivora,1369.317,1090.96,Critically Endangered
More blue,Aves,Primates,3504.174,2406.64,Critically Endangered
Notice successful,Amphibia,Squamata,858.552,2406.14,Vulnerable
New per,Actinopterygii,Carnivora,1965.994,1293.34,Extinct in the Wild
Head know,Aves,Carnivora,4711.578,2572.83,Near Threatened
Learn customer,Mammalia,Carnivora,2768.273,2434.06,Near Threatened
Perform various,Aves,Passeriformes,3806.89,1620.64,Endangered
Everybody factor,Mammalia,Squamata,4466.189,759.28,Critically Endangered
In main,Reptilia,Passeriformes,3050.42,1428.34,Least Concern
Pressure grow,Mammalia,Anura,3733.288,1566.06,Endangered
Return base,Mammalia,Primates,1561.201,2637.33,Endangered
Tough myself,Mammalia,Passeriformes,3540.974,2152.42,Near Threatened
The one,Aves,Primates,3561.067,2647.62,Endangered
Organization collection,Reptilia,Anura,727.417,2231.71,Critically Endangered
Foot factor,Reptilia,Squamata,652.056,1013.11,Least Concern
Star walk,Mammalia,Rodentia,1882.905,793.2,Endangered
From name,Actinopterygii,Anura,1164.788,44.9,Extinct in the Wild
Hotel play,Aves,Anura,1085.449,2917.31,Least Concern
Either physical,Actinopterygii,Squamata,4915.861,945.67,Vulnerable
National model,Mammalia,Rodentia,2850.406,2502.33,Least Concern
Big ask,Mammalia,Passeriformes,4813.051,254.44,Near Threatened
Blood American,Actinopterygii,Squamata,3511.87,1483.06,Least Concern
Without money,Reptilia,Anura,3780.815,1693.2,Vulnerable
Usually memory,Reptilia,Squamata,1591.907,2667.79,Extinct in the Wild
Fine all,Actinopterygii,Anura,4001.001,744.73,Least Concern
Throw less,Amphibia,Passeriformes,4238.143,1962.33,Near Threatened
Position surface,Reptilia,Primates,2738.526,653.23,Least Concern
Heavy change,Reptilia,Rodentia,53.786,844.9,Critically Endangered
Activity media,Reptilia,Squamata,4888.747,1463.62,Endangered
Politics trouble,Actinopterygii,Passeriformes,1657.665,2839.39,Near Threatened
Each car,Actinopterygii,Rodentia,1688.766,173.32,Critically Endangered
Which protect,Actinopterygii,Passeriformes,4359.597,1016.15,Extinct in the Wild
Cultural very,Actinopterygii,Anura,1371.884,2595.69,Endangered
Safe Democrat,Mammalia,Rodentia,4351.162,1804.02,Endangered
Inside people,Aves,Passeriformes,4256.922,2895.41,Extinct in the Wild
Rather next,Aves,Passeriformes,466.894,2262.39,Near Threatened
Maybe page,Amphibia,Squamata,4538.735,1473.2,Critically Endangered
Mean old,Actinopterygii,Primates,4008.898,855.75,Least Concern
Develop bag,Actinopterygii,Primates,4836.591,1771.49,Near Threatened
Response back,Reptilia,Anura,3917.206,721.24,Near Threatened
Child too,Amphibia,Squamata,712.428,390.94,Vulnerable
All hospital,Amphibia,Anura,4223.183,2996.18,Critically Endangered
Wear agent,Reptilia,Rodentia,4871.156,1070.43,Vulnerable
In determine,Actinopterygii,Squamata,2087.243,2693.97,Extinct in the Wild
Account determine,Amphibia,Passeriformes,4576.356,1611.75,Least Concern
Hour eight,Reptilia,Squamata,4945.827,2234.29,Endangered
Girl identify,Mammalia,Squamata,114.948,408.19,Critically Endangered
Cultural your,Reptilia,Squamata,491.789,1288.46,Extinct in the Wild
Two eight,Amphibia,Primates,4389.715,1745.38,Endangered
Cost to,Mammalia,Squamata,3044.645,1148.73,Near Threatened
Foreign ready,Aves,Primates,4560.78,1764.85,Near Threatened
Staff join,Actinopterygii,Primates,4379.488,2753.13,Endangered
World international,Reptilia,Passeriformes,4704.909,2975.13,Near Threatened
Although thought,Actinopterygii,Primates,4178.97,1576.07,Extinct in the Wild
Open most,Mammalia,Rodentia,3632.206,135.85,Near Threatened
Building range,Actinopterygii,Squamata,1622.05,2612.61,Vulnerable
Year travel,Reptilia,Passeriformes,1386.351,446.77,Near Threatened
Two cup,Aves,Carnivora,4574.241,2043.8,Near Threatened
Ready history,Mammalia,Rodentia,982.236,1659.61,Vulnerable
Security ground,Mammalia,Passeriformes,1989.459,848.56,Least Concern
Clear which,Mammalia,Squamata,1602.992,2690.68,Near Threatened
Impact outside,Mammalia,Anura,3680.957,2784.01,Vulnerable
East key,Reptilia,Passeriformes,617.475,1060.56,Near Threatened
Ball important,Mammalia,Carnivora,3880.52,858.47,Endangered
Detail public,Actinopterygii,Rodentia,359.311,408.05,Endangered
Guy recognize,Mammalia,Primates,714.097,2994.4,Critically Endangered
Stop keep,Amphibia,Carnivora,733.076,428.3,Near Threatened
Course easy,Amphibia,Anura,1034.391,596.11,Near Threatened
Popular today,Reptilia,Rodentia,67.064,866.19,Critically Endangered
However full,Aves,Rodentia,4586.642,786.88,Least Concern
Voice different,Amphibia,Rodentia,538.974,1700.62,Extinct in the Wild
Lawyer watch,Actinopterygii,Passeriformes,3255.169,2443.98,Extinct in the Wild
Attack large,Mammalia,Rodentia,120.717,1194.41,Critically Endangered
Dog car,Actinopterygii,Anura,4834.568,1476.5,Critically Endangered
Property treatment,Amphibia,Anura,1916.823,2101.15,Near Threatened
Project least,Actinopterygii,Rodentia,2646.928,1598.99,Near Threatened
Fly year,Aves,Rodentia,2218.961,2042.26,Near Threatened
Join red,Amphibia,Passeriformes,1311.809,1050.28,Critically Endangered
North exist,Amphibia,Squamata,1246.182,2114.79,Endangered
Represent care,Reptilia,Rodentia,4720.711,2069.56,Endangered
Hold four,Mammalia,Primates,1871.854,2496.3,Vulnerable
Range talk,Mammalia,Primates,2178.98,2191.61,Endangered
Billion rest,Aves,Rodentia,3712.194,2951.68,Endangered
Role since,Actinopterygii,Rodentia,2348.574,1189.88,Endangered
Recent fast,Amphibia,Anura,2491.678,742.52,Least Concern
Congress black,Actinopterygii,Rodentia,4872.504,31.83,Vulnerable
Case glass,Reptilia,Carnivora,2327.827,57.49,Near Threatened
Stay smile,Actinopterygii,Rodentia,3756.523,686.63,Endangered
Record structure,Amphibia,Carnivora,3766.034,2303.61,Extinct in the Wild
Senior event,Reptilia,Passeriformes,4041.127,921.24,Near Threatened
Hotel so,Mammalia,Carnivora,1727.527,1027.54,Extinct in the Wild
College business,Amphibia,Passeriformes,3425.577,2847.99,Extinct in the Wild
Control seat,Aves,Passeriformes,2677.254,1332.9,Vulnerable
Develop administration,Mammalia,Primates,2779.128,2880.68,Endangered
Statement writer,Actinopterygii,Carnivora,1235.943,1075.26,Near Threatened
Defense challenge,Amphibia,Primates,77.176,2844.54,Near Threatened
Car food,Actinopterygii,Rodentia,2583.388,2997.45,Critically Endangered
Read while,Actinopterygii,Anura,1020.006,1616.64,Near Threatened
Eye kind,Amphibia,Anura,84.81,622.6,Critically Endangered
Day money,Actinopterygii,Rodentia,2631.538,1597.92,Near Threatened
Outside brother,Actinopterygii,Carnivora,1850.621,2986.66,Endangered
Across according,Mammalia,Primates,3164.954,1187.24,Least Concern
Perform by,Mammalia,Primates,4521.212,1283.31,Least Concern
Truth within,Mammalia,Carnivora,1650.84,280.39,Extinct in the Wild
Research direction,Actinopterygii,Squamata,3319.361,2810.24,Extinct in the Wild
From old,Amphibia,Carnivora,3847.881,2969.97,Extinct in the Wild
Control last,Amphibia,Primates,92.268,2383.72,Endangered
Never speech,Reptilia,Passeriformes,2610.228,1209.2,Near Threatened
Within development,Mammalia,Carnivora,2777.588,961.77,Vulnerable
Executive avoid,Amphibia,Carnivora,4584.547,1044.28,Endangered
Case candidate,Aves,Anura,3208.582,2904.99,Least Concern
Box them,Aves,Carnivora,4676.196,2355.06,Critically Endangered
