species,class,order,weight_kg,length_cm,conservation_status
Color find,Amphibia,Carnivora,4896.758,1291.95,Extinct in the Wild
Or degree,Aves,Primates,570.167,1977.23,Critically Endangered
Week various,Mammalia,Rodentia,2266.638,567.61,Least Concern
South reason,Amphibia,Anura,2456.62,69.02,Critically Endangered
Apply ask,Aves,Carnivora,3348.615,1685.49,Least Concern
Behavior detail,Reptilia,Primates,2420.095,955.18,Endangered
Some wrong,Amphibia,Squamata,1961.211,2606.02,Near Threatened
Political right,Aves,Passeriformes,3987.356,2943.91,Vulnerable
Leg address,Amphibia,Passeriformes,770.787,1502.69,Vulnerable
Food play,Reptilia,Anura,2346.566,2268.28,Least Concern
Check consumer,Mammalia,Primates,4276.388,666.12,Endangered
Quickly hundred,Aves,Passeriformes,3531.158,1003.26,Least Concern
Range leg,Amphibia,Primates,2764.816,243.29,Endangered
Bed oil,Amphibia,Anura,263.825,986.64,Critically Endangered
Necessary leader,Reptilia,Passeriformes,1075.196,2202.04,Vulnerable
During improve,Amphibia,Anura,610.179,2981.39,Endangered
Become agency,Amphibia,Passeriformes,3541.803,2417.56,Near Threatened
Maybe reveal,Mammalia,Passeriformes,2428.259,1658.45,Critically Endangered
Administration agree,Aves,Primates,2946.137,1949.2,Extinct in the Wild
Our position,Actinopterygii,Carnivora,2674.164,295.66,Least Concern
Site management,Amphibia,Passeriformes,103.707,512.6,Endangered
Modern environment,Reptilia,Rodentia,1322.216,475.08,Endangered
Structure billion,Actinopterygii,Passeriformes,1520.323,2279.21,Extinct in the Wild
Build hotel,Reptilia,Primates,2773.77,120.82,Extinct in the Wild
Home doctor,Aves,Rodentia,1541.335,2205.22,Vulnerable
Nor dog,Actinopterygii,Carnivora,3897.156,2265.62,Least Concern
Couple onto,Amphibia,Squamata,4498.403,1850.89,Least Concern
Reveal yeah,Mammalia,Squamata,68.988,2778.98,Endangered
Room right,Mammalia,Squamata,1949.027,2352.59,Extinct in the Wild
Argue assume,Reptilia,Primates,3246.946,2809.9,Near Threatened
Measure modern,Actinopterygii,Primates,1076.123,853.49,Least Concern
Her idea,Amphibia,Anura,1989.785,1056.15,Least Concern
Expert be,Actinopterygii,Passeriformes,2597.137,1509.52,Critically Endangered
Song whatever,Mammalia,Passeriformes,265.488,1675.16,Extinct in the Wild
Market sound,Reptilia,Passeriformes,1612.29,345.78,Vulnerable
High option,Mammalia,Passeriformes,2895.65,841.47,Least Concern
Movie into,Actinopterygii,Rodentia,3172.37,669.8,Vulnerable
Case daughter,Aves,Carnivora,2493.182,2821.58,Endangered
Late community,Actinopterygii,Primates,356.116,543.32,Near Threatened
Big just,Aves,Squamata,3511.798,831.31,Near Threatened
Say girl,Mammalia,Passeriformes,2706.475,2738.66,Extinct in the Wild
Perhaps security,Amphibia,Anura,304.37,1846.14,Least Concern
Approach across,Aves,Passeriformes,4159.914,2909.31,Near Threatened
Information but,Mammalia,Passeriformes,1084.391,1595.94,Critically Endangered
Story about,Amphibia,Passeriformes,4231.483,1453.92,Near Threatened
Safe deal,Reptilia,Rodentia,1324.119,2543.34,Critically Endangered
