species,class,order,weight_kg,length_cm,conservation_status
Tough its,Actinopterygii,Anura,4969.373,2299.06,Vulnerable
How mean,Actinopterygii,Passeriformes,4702.058,339.76,Near Threatened
Must great,Amphibia,Primates,1047.058,298.89,Extinct in the Wild
Mrs our,Reptilia,Carnivora,1344.74,1271.46,Least Concern
Realize culture,Reptilia,Primates,561.68,2301.76,Vulnerable
Option her,Actinopterygii,Passeriformes,2696.402,1661.66,Critically Endangered
Recognize story,Amphibia,Carnivora,2642.109,2144.09,Extinct in the Wild
Believe protect,Aves,Carnivora,2698.166,520.66,Critically Endangered
Range do,Reptilia,Primates,3238.938,171.24,Vulnerable
Policy responsibility,Actinopterygii,Carnivora,2617.416,798.67,Endangered
Offer building,Reptilia,Passeriformes,177.119,1828.14,Endangered
Parent bar,Amphibia,Primates,241.331,2168.26,Extinct in the Wild
Different forget,Aves,Anura,3439.593,2737.99,Vulnerable
Contain up,Reptilia,Anura,3907.973,2360.23,Vulnerable
With behind,Aves,Rodentia,3918.793,121.18,Vulnerable
Activity huge,Amphibia,Passeriformes,772.143,2749.08,Near Threatened
Than rather,Mammalia,Rodentia,2536.74,1925.46,Endangered
Theory room,Reptilia,Squamata,2860.003,1938.7,Extinct in the Wild
Just sound,Mammalia,Rodentia,1187.653,2359.38,Endangered
Suggest game,Mammalia,Squamata,2208.854,248.08,Critically Endangered
Always usually,Amphibia,Primates,2294.821,741.08,Least Concern
Nearly fight,Amphibia,Anura,372.504,1572.92,Endangered
Read attack,Amphibia,Anura,2895.527,937.63,Critically Endangered
Let last,Amphibia,Anura,921.505,1049.7,Endangered
Bed laugh,Amphibia,Passeriformes,85.479,800.54,Least Concern
By station,Reptilia,Squamata,3989.948,2467.08,Extinct in the Wild
Picture production,Amphibia,Passeriformes,1296.033,519.74,Extinct in the Wild
Indeed majority,Amphibia,Anura,1775.841,462.85,Vulnerable
Especially official,Actinopterygii,Primates,3453.317,1101.22,Critically Endangered
Particular see,Amphibia,Primates,4045.277,2632.07,Endangered
Red after,Actinopterygii,Squamata,2210.332,1801.22,Near Threatened
Question success,Reptilia,Primates,4603.229,2515.8,Endangered
Free American,Aves,Squamata,903.573,933.61,Endangered
Weight know,Aves,Rodentia,2244.709,1896.35,Least Concern
Middle quite,Aves,Carnivora,1000.692,87.29,Critically Endangered
Say suggest,Mammalia,Passeriformes,991.654,2478.74,Near Threatened
City fall,Mammalia,Squamata,1363.077,2639.68,Critically Endangered
Stock music,Reptilia,Primates,2224.08,2869.42,Near Threatened
Before need,Aves,Anura,4224.39,253.54,Extinct in the Wild
Certain view,Reptilia,Primates,3820.958,2892.93,Extinct in the Wild
Decide everybody,Mammalia,Passeriformes,2330.968,2868.23,Endangered
Serve where,Actinopterygii,Squamata,3471.404,1207.98,Endangered
Interview sport,Reptilia,Carnivora,2931.096,228.59,Near Threatened
Number reduce,Aves,Rodentia,3550.177,40.51,Endangered
Itself across,Mammalia,Primates,1978.334,2249.41,Extinct in the Wild
Would opportunity,Reptilia,Anura,2226.685,2519.62,Least Concern
Major southern,Amphibia,Anura,1494.452,2138.38,Endangered
Around second,Actinopterygii,Carnivora,1185.008,2458.95,Critically Endangered
What thousand,Aves,Passeriformes,2161.368,2809.6,Least Concern
Him describe,Amphibia,Carnivora,2463.695,573.63,Vulnerable
Though control,Aves,Carnivora,4974.815,1933.98,Critically Endangered
Special recent,Mammalia,Primates,1253.123,1783.48,Near Threatened
Year television,Reptilia,Carnivora,2315.113,214.42,Least Concern
Officer manager,Aves,Anura,4511.772,1717.08,Least Concern
Color grow,Actinopterygii,Passeriformes,208.245,2204.43,Critically Endangered
Care mean,Reptilia,Carnivora,4043.999,1873.93,Vulnerable
Central thus,Aves,Rodentia,3107.982,28.97,Critically Endangered
Yourself claim,Reptilia,Carnivora,3220.081,1310.83,Least Concern
Require spring,Amphibia,Rodentia,2820.081,1807.77,Critically Endangered
Rise claim,Amphibia,Carnivora,3046.789,2282.16,Endangered
Significant her,Reptilia,Passeriformes,3579.737,2663.75,Extinct in the Wild
Model throughout,Mammalia,Primates,2257.164,1326.25,Endangered
Relationship stock,Amphibia,Carnivora,2042.282,2427.6,Vulnerable
Down practice,Amphibia,Passeriformes,2536.744,2292.7,Least Concern
Executive small,Amphibia,Anura,4400.374,2904.16,Endangered
Production across,Actinopterygii,Passeriformes,4596.139,715.21,Extinct in the Wild
Staff pattern,Amphibia,Rodentia,4639.513,2616.07,Near Threatened
Score behavior,Mammalia,Squamata,3804.505,2617.94,Extinct in the Wild
Congress share,Amphibia,Anura,1735.971,2403.72,Vulnerable
Reach language,Amphibia,Anura,2885.443,808.03,Endangered
Western generation,Actinopterygii,Carnivora,661.369,2491.59,Critically Endangered
Power soon,Mammalia,Carnivora,2055.75,641.59,Least Concern
Loss major,Aves,Passeriformes,2944.488,2129.79,Vulnerable
Close account,Actinopterygii,Passeriformes,2605.33,1044.44,Extinct in the Wild
Practice across,Reptilia,Carnivora,3477.039,1307.54,Critically Endangered
Firm water,Mammalia,Passeriformes,2353.052,975.43,Critically Endangered
Culture letter,Mammalia,Anura,3183.339,913.37,Near Threatened
End dinner,Aves,Squamata,3559.71,2145.93,Critically Endangered
Goal pick,Amphibia,Carnivora,1798.901,2100.7,Critically Endangered
Age join,Actinopterygii,Rodentia,1311.695,1985.01,Extinct in the Wild
Evidence lawyer,Reptilia,Rodentia,2947.821,282.19,Extinct in the Wild
Beyond get,Reptilia,Carnivora,1245.654,2637.89,Extinct in the Wild
Total street,Mammalia,Squamata,53.809,1966.96,Extinct in the Wild
Rule notice,Amphibia,Anura,433.7,975.61,Vulnerable
Energy guy,Reptilia,Primates,1602.942,2602.7,Least Concern
My discover,Aves,Primates,180.442,204.14,Endangered
Event season,Actinopterygii,Passeriformes,3763.11,1200.86,Vulnerable
Forget only,Amphibia,Anura,66.995,1768.43,Critically Endangered
Million season,Actinopterygii,Passeriformes,1796.289,772.96,Critically Endangered
Performance entire,Mammalia,Anura,2286.178,533.48,Critically Endangered
Tell difference,Reptilia,Passeriformes,635.843,1314.57,Least Concern
House cold,Amphibia,Passeriformes,848.385,2911.37,Extinct in the Wild
Everybody here,Aves,Carnivora,4244.982,2080.49,Least Concern
Garden either,Mammalia,Rodentia,603.952,2258.95,Extinct in the Wild
Word table,Mammalia,Anura,3448.977,2412.19,Endangered
Nor traditional,Mammalia,Carnivora,4396.564,2383.59,Least Concern
Late exactly,Actinopterygii,Carnivora,722.919,1434.3,Extinct in the Wild
Three theory,Reptilia,Carnivora,4056.884,1756.67,Vulnerable
Father dark,Mammalia,Rodentia,123.192,1430.07,Critically Endangered
Start market,Amphibia,Carnivora,3401.954,2312.71,Least Concern
Whatever not,Mammalia,Squamata,1240.784,1319.94,Critically Endangered
Long past,Aves,Carnivora,2310.12,1995.37,Critically Endangered
His ready,Amphibia,Carnivora,1814.146,2931.31,Least Concern
Avoid middle,Amphibia,Squamata,4851.576,2806.42,Extinct in the Wild
Enter whole,Amphibia,Anura,1789.643,2444.08,Extinct in the Wild
Decide away,Actinopterygii,Passeriformes,898.411,272.44,Critically Endangered
Treatment approach,Actinopterygii,Carnivora,3088.209,1813.34,Vulnerable
Indicate institution,Amphibia,Primates,4917.937,1789.0,Least Concern
Difference experience,Reptilia,Carnivora,1163.079,310.73,Extinct in the Wild
Although audience,Mammalia,Rodentia,4768.746,1596.58,Endangered
Four treatment,Amphibia,Rodentia,2012.787,2367.07,Near Threatened
Skin cut,Reptilia,Squamata,4955.362,2105.78,Least Concern
Vote store,Amphibia,Passeriformes,1092.97,1180.94,Critically Endangered
Economic on,Actinopterygii,Squamata,2876.058,2404.02,Vulnerable
After guy,Aves,Anura,3536.807,352.68,Near Threatened
Who store,Mammalia,Primates,4793.593,1839.81,Extinct in the Wild
Eat three,Actinopterygii,Primates,202.356,2560.3,Extinct in the Wild
Try reveal,Reptilia,Squamata,854.779,2035.85,Least Concern
Nothing occur,Mammalia,Anura,2214.91,2847.59,Vulnerable
How recent,Amphibia,Primates,425.066,555.08,Near Threatened
Tonight organization,Amphibia,Primates,4039.979,2121.18,Vulnerable
Choose record,Mammalia,Rodentia,3012.606,163.51,Critically Endangered
Truth sport,Reptilia,Primates,85.076,636.27,Extinct in the Wild
Thousand imagine,Aves,Squamata,2372.553,1567.01,Extinct in the Wild
Able talk,Mammalia,Anura,339.839,994.09,Endangered
Party if,Amphibia,Rodentia,430.381,1456.35,Endangered
Foreign line,Mammalia,Primates,3645.549,2767.59,Least Concern
Industry simple,Amphibia,Primates,4834.747,235.02,Critically Endangered
Up avoid,Actinopterygii,Squamata,2407.743,137.09,Near Threatened
Someone beat,Mammalia,Primates,4692.188,2837.73,Critically Endangered
Make per,Amphibia,Rodentia,1682.271,1239.79,Near Threatened
Bag war,Actinopterygii,Primates,4105.542,2855.29,Endangered
Investment under,Mammalia,Squamata,4163.063,2653.56,Least Concern
Attention company,Amphibia,Anura,4274.742,55.06,Least Concern
Someone make,Amphibia,Carnivora,1977.02,394.86,Near Threatened
Available argue,Mammalia,Anura,2248.025,1033.49,Endangered
Space reason,Actinopterygii,Squamata,2462.068,584.46,Least Concern
Image staff,Amphibia,Rodentia,1416.843,1106.12,Critically Endangered
Trial far,Actinopterygii,Rodentia,2345.941,2869.26,Endangered
Political kitchen,Aves,Passeriformes,4113.817,2398.65,Least Concern
Poor performance,Actinopterygii,Passeriformes,1678.116,616.98,Vulnerable
People light,Reptilia,Primates,1500.902,23.79,Near Threatened
