species,class,order,weight_kg,length_cm,conservation_status
Option human,Amphibia,Rodentia,1239.319,2149.79,Vulnerable
Old huge,Reptilia,Carnivora,2496.25,1824.24,Endangered
Amount determine,Amphibia,Carnivora,1088.288,1799.19,Vulnerable
Interest leader,Actinopterygii,Anura,4329.55,588.33,Near Threatened
Short relationship,Amphibia,Primates,3543.187,1133.69,Extinct in the Wild
Maybe join,Amphibia,Passeriformes,4928.426,2562.54,Critically Endangered
Positive teacher,Actinopterygii,Passeriformes,3893.098,940.57,Critically Endangered
Subject pattern,Amphibia,Squamata,502.539,1969.48,Near Threatened
Mr phone,Amphibia,Rodentia,2993.942,2866.05,Endangered
Politics former,Actinopterygii,Carnivora,3964.203,1054.73,Near Threatened
Cause ground,Aves,Primates,1800.363,706.7,Vulnerable
Actually simple,Aves,Rodentia,894.402,2509.11,Critically Endangered
What rate,Aves,Squamata,4074.151,1536.17,Extinct in the Wild
Successful condition,Mammalia,Anura,2823.429,1868.98,Least Concern
Blue factor,Aves,Rodentia,3900.983,887.78,Critically Endangered
Exist since,Reptilia,Squamata,4780.199,987.38,Vulnerable
Among until,Amphibia,Rodentia,3231.168,1849.36,Critically Endangered
Someone heart,Mammalia,Rodentia,551.22,749.15,Vulnerable
Majority to,Mammalia,Squamata,4764.261,2001.03,Near Threatened
Draw despite,Mammalia,Squamata,4066.45,489.14,Near Threatened
Find inside,Mammalia,Carnivora,1333.115,2574.25,Critically Endangered
Act that,Reptilia,Anura,3903.029,185.92,Critically Endangered
When management,Amphibia,Rodentia,89.478,2557.68,Extinct in the Wild
Participant future,Actinopterygii,Carnivora,1702.182,1327.09,Near Threatened
However identify,Mammalia,Primates,3618.995,237.27,Endangered
Protect consumer,Amphibia,Primates,4461.937,1184.84,Extinct in the Wild
Miss mean,Amphibia,Carnivora,921.246,2120.18,Near Threatened
Society future,Mammalia,Anura,34.186,149.36,Critically Endangered
Account message,Reptilia,Rodentia,4740.113,804.62,Extinct in the Wild
Author physical,Aves,Rodentia,1899.613,2163.78,Critically Endangered
Agreement drop,Actinopterygii,Anura,3819.66,939.94,Vulnerable
Better ability,Amphibia,Passeriformes,1923.697,2408.27,Extinct in the Wild
Only usually,Aves,Passeriformes,2203.293,2583.51,Critically Endangered
Chair firm,Mammalia,Passeriformes,4809.513,1637.48,Near Threatened
Defense food,Mammalia,Primates,2534.22,45.14,Critically Endangered
Kind us,Aves,Carnivora,2735.702,503.44,Critically Endangered
Grow result,Reptilia,Primates,2980.856,1423.38,Near Threatened
Rest discover,Aves,Carnivora,2524.169,2272.85,Endangered
Sea success,Reptilia,Passeriformes,2422.292,2073.49,Least Concern
Evening Mrs,Reptilia,Rodentia,2964.677,183.01,Least Concern
Pressure job,Aves,Passeriformes,1058.839,2299.02,Extinct in the Wild
Conference impact,Amphibia,Passeriformes,4477.424,778.09,Vulnerable
After soon,Aves,Carnivora,936.375,1690.65,Critically Endangered
Remain American,Reptilia,Passeriformes,4946.718,500.13,Critically Endangered
Citizen perform,Reptilia,Rodentia,3636.111,218.93,Critically Endangered
First soldier,Reptilia,Primates,2951.724,931.23,Least Concern
Dark development,Amphibia,Passeriformes,4920.965,228.43,Extinct in the Wild
Fear price,Mammalia,Passeriformes,1070.176,2390.0,Least Concern
Education rich,Mammalia,Carnivora,2838.855,2094.16,Extinct in the Wild
Color growth,Amphibia,Anura,702.01,2659.22,Near Threatened
Many industry,Actinopterygii,Rodentia,2495.238,1957.5,Near Threatened
Police could,Mammalia,Squamata,4067.438,1868.24,Vulnerable
Write week,Actinopterygii,Primates,1869.886,1724.12,Extinct in the Wild
National time,Aves,Primates,3496.439,2256.85,Critically Endangered
Wish game,Actinopterygii,Rodentia,2540.106,2714.88,Endangered
Money interest,Aves,Anura,2877.767,2956.88,Critically Endangered
Suddenly away,Mammalia,Anura,1369.343,2256.52,Endangered
Rise bed,Aves,Passeriformes,1054.813,350.41,Endangered
Down others,Amphibia,Anura,4141.957,342.75,Critically Endangered
Lawyer onto,Amphibia,Squamata,1989.022,212.74,Vulnerable
Agency player,Mammalia,Anura,4130.206,241.03,Extinct in the Wild
Large lose,Aves,Primates,498.775,1878.64,Endangered
Product professor,Amphibia,Primates,1183.611,1886.18,Critically Endangered
Which claim,Actinopterygii,Passeriformes,4742.838,8.85,Endangered
Analysis section,Mammalia,Anura,4764.943,913.18,Endangered
Rather mean,Actinopterygii,Anura,575.872,1345.56,Endangered
Give people,Amphibia,Squamata,1303.487,371.2,Near Threatened
School relate,Reptilia,Passeriformes,2989.538,1662.72,Endangered
Sit oil,Reptilia,Squamata,4504.18,1778.46,Near Threatened
And size,Amphibia,Passeriformes,1363.294,1405.65,Near Threatened
Skill must,Amphibia,Passeriformes,1846.292,1066.42,Near Threatened
Race happy,Actinopterygii,Rodentia,3420.391,69.11,Least Concern
Near avoid,Aves,Primates,1071.261,1110.81,Least Concern
Truth purpose,Aves,Primates,2151.302,1609.89,Least Concern
Blue stuff,Amphibia,Anura,3234.048,2484.92,Vulnerable
Week case,Mammalia,Anura,904.639,1388.52,Extinct in the Wild
His energy,Reptilia,Passeriformes,1392.032,259.07,Endangered
Level effect,Actinopterygii,Anura,934.238,2102.58,Vulnerable
Old enter,Mammalia,Carnivora,2488.834,1691.93,Critically Endangered
Mission occur,Aves,Primates,4486.934,1583.66,Near Threatened
Expect gas,Amphibia,Squamata,2825.263,1289.82,Vulnerable
Upon evidence,Reptilia,Anura,4132.765,2825.8,Vulnerable
Exactly worker,Aves,Primates,1553.026,1007.43,Extinct in the Wild
Seven ball,Amphibia,Primates,106.916,427.53,Near Threatened
Notice ready,Actinopterygii,Primates,3624.445,2244.54,Extinct in the Wild
Natural stop,Amphibia,Passeriformes,2028.888,1992.29,Least Concern
Drug rate,Amphibia,Primates,3898.142,2736.98,Least Concern
Imagine word,Actinopterygii,Primates,1644.803,1836.95,Endangered
Prevent part,Mammalia,Anura,4486.615,1684.6,Least Concern
Seem power,Amphibia,Squamata,4900.055,1851.6,Extinct in the Wild
Grow key,Mammalia,Anura,1640.197,2882.65,Endangered
Step including,Mammalia,Carnivora,1546.626,1438.93,Near Threatened
Water avoid,Amphibia,Primates,4098.526,361.15,Critically Endangered
Science increase,Reptilia,Anura,1003.357,2726.55,Least Concern
Manager serve,Actinopterygii,Passeriformes,2809.037,2970.68,Extinct in the Wild
Standard down,Reptilia,Carnivora,4980.356,1844.11,Endangered
Bar choose,Aves,Primates,95.852,950.2,Least Concern
When last,Mammalia,Passeriformes,1246.697,1577.05,Least Concern
Throw style,Reptilia,Squamata,4026.24,1417.63,Endangered
Trouble low,Amphibia,Anura,2386.213,331.13,Extinct in the Wild
Mission method,Mammalia,Carnivora,3413.505,1211.22,Vulnerable
Friend head,Reptilia,Primates,1984.767,602.39,Extinct in the Wild
Statement it,Actinopterygii,Squamata,2364.748,632.97,Near Threatened
Whatever employee,Mammalia,Passeriformes,1533.356,989.76,Critically Endangered
Different risk,Aves,Anura,3721.667,1713.9,Endangered
Lose left,Reptilia,Anura,1922.729,1555.62,Least Concern
Buy recent,Mammalia,Carnivora,912.609,2570.95,Endangered
Hotel attack,Aves,Squamata,1791.754,814.12,Extinct in the Wild
Ground compare,Mammalia,Passeriformes,4618.623,2176.09,Near Threatened
Paper recognize,Actinopterygii,Squamata,1871.867,1495.96,Least Concern
Glass stay,Actinopterygii,Squamata,1669.333,1335.67,Near Threatened
Some blue,Amphibia,Rodentia,4164.01,703.1,Least Concern
Popular management,Amphibia,Rodentia,564.024,2096.05,Near Threatened
Industry born,Reptilia,Squamata,3975.365,1543.89,Critically Endangered
Imagine environment,Reptilia,Primates,1190.755,1406.23,Extinct in the Wild
Catch out,Mammalia,Passeriformes,2010.321,2971.75,Vulnerable
Activity structure,Mammalia,Rodentia,2845.708,2184.65,Least Concern
Task best,Mammalia,Rodentia,1118.118,1066.88,Near Threatened
Tv mention,Amphibia,Passeriformes,77.982,2644.06,Extinct in the Wild
Although model,Mammalia,Primates,4922.472,1999.97,Endangered
Organization want,Mammalia,Anura,2039.387,2536.58,Critically Endangered
Piece those,Amphibia,Primates,4136.389,2469.98,Vulnerable
Where use,Aves,Primates,1063.096,268.76,Endangered
Drop debate,Amphibia,Primates,4037.416,2819.31,Endangered
Threat nor,Amphibia,Squamata,2292.453,2403.76,Extinct in the Wild
Past speak,Reptilia,Squamata,4275.518,1370.91,Endangered
That hope,Aves,Squamata,3639.324,152.57,Critically Endangered
Visit mission,Amphibia,Passeriformes,606.24,2605.75,Endangered
Kitchen natural,Reptilia,Carnivora,981.948,1863.8,Least Concern
Note response,Reptilia,Rodentia,3717.818,2827.38,Vulnerable
Look young,Aves,Rodentia,3945.392,2097.82,Least Concern
Thing star,Aves,Primates,3072.545,2871.79,Extinct in the Wild
Return hold,Reptilia,Squamata,1448.666,523.07,Near Threatened
Smile enter,Mammalia,Anura,1006.366,1981.04,Critically Endangered
That star,Mammalia,Carnivora,458.158,1215.63,Near Threatened
Financial behavior,Reptilia,Carnivora,4253.635,2515.09,Endangered
Sometimes forward,Aves,Rodentia,2387.146,1924.55,Near Threatened
Company ask,Amphibia,Carnivora,2013.984,1328.06,Critically Endangered
Despite firm,Aves,Anura,2022.903,1332.82,Least Concern
Reach southern,Actinopterygii,Primates,2651.106,2563.08,Extinct in the Wild
Generation shoulder,Actinopterygii,Squamata,328.997,216.15,Near Threatened
Follow our,Amphibia,Rodentia,1252.745,175.35,Vulnerable
Type executive,Amphibia,Squamata,3558.266,676.46,Extinct in the Wild
Happy manager,Reptilia,Passeriformes,1084.563,1599.37,Vulnerable
Somebody community,Aves,Squamata,564.462,663.59,Endangered
Meeting street,Actinopterygii,Carnivora,928.599,1633.29,Extinct in the Wild
Like simple,Reptilia,Carnivora,4169.793,1033.62,Near Threatened
Least mouth,Actinopterygii,Anura,4278.613,2867.76,Extinct in the Wild
White then,Amphibia,Carnivora,3841.347,2590.32,Extinct in the Wild
Debate bank,Actinopterygii,Squamata,3436.968,704.64,Extinct in the Wild
Risk simple,Amphibia,Rodentia,2593.829,1906.22,Extinct in the Wild
Feeling big,Aves,Carnivora,1604.486,1732.45,Vulnerable
Officer cut,Mammalia,Passeriformes,2168.298,1012.07,Vulnerable
North above,Actinopterygii,Squamata,3687.064,2156.01,Extinct in the Wild
Crime of,Aves,Carnivora,2256.333,44.02,Vulnerable
Quickly politics,Aves,Passeriformes,3521.458,2167.63,Extinct in the Wild
Before discussion,Amphibia,Carnivora,3821.258,2055.11,Vulnerable
Total manage,Mammalia,Primates,2756.158,1658.82,Critically Endangered
Upon near,Amphibia,Squamata,4516.967,2723.92,Critically Endangered
Situation yeah,Reptilia,Squamata,2645.663,2634.39,Critically Endangered
Factor author,Aves,Carnivora,3448.929,1831.57,Near Threatened
Deal perform,Aves,Rodentia,1581.543,1357.64,Least Concern
Director tonight,Actinopterygii,Passeriformes,2969.387,2871.67,Vulnerable
Company focus,Amphibia,Squamata,1328.27,785.74,Least Concern
Scene door,Reptilia,Anura,2142.601,210.48,Critically Endangered
Wait either,Reptilia,Carnivora,1850.489,287.21,Near Threatened
Data speak,Amphibia,Squamata,438.174,2685.39,Extinct in the Wild
Spend this,Amphibia,Anura,2015.423,754.12,Extinct in the Wild
Put mission,Amphibia,Rodentia,3281.523,417.47,Near Threatened
Himself mouth,Reptilia,Passeriformes,1029.825,1122.63,Endangered
Describe federal,Aves,Squamata,3216.495,723.26,Endangered
Enjoy close,Amphibia,Squamata,4967.752,2608.93,Critically Endangered
Throw resource,Actinopterygii,Squamata,3515.516,2258.56,Near Threatened
Hand step,Mammalia,Rodentia,2017.548,2118.24,Least Concern
Hospital which,Amphibia,Carnivora,2471.953,867.59,Near Threatened
Design behind,Mammalia,Anura,2570.121,2631.78,Vulnerable
Two speak,Amphibia,Carnivora,3131.624,937.35,Vulnerable
Hundred goal,Reptilia,Rodentia,123.854,228.43,Extinct in the Wild
How author,Actinopterygii,Primates,4919.955,2206.37,Near Threatened
Stock authority,Aves,Anura,1308.123,1468.95,Near Threatened
Run audience,Amphibia,Primates,1591.632,2920.91,Near Threatened
Necessary shoulder,Actinopterygii,Passeriformes,2219.583,1323.02,Critically Endangered
Culture beat,Mammalia,Squamata,3075.286,487.13,Critically Endangered
Ready too,Mammalia,Primates,1293.428,2069.18,Endangered
Account rule,Reptilia,Primates,1094.402,1416.82,Near Threatened
Here use,Amphibia,Anura,2483.507,2333.17,Extinct in the Wild
Order listen,Mammalia,Carnivora,4514.739,1985.55,Extinct in the Wild
Fight all,Mammalia,Squamata,786.717,2483.76,Near Threatened
Step past,Amphibia,Rodentia,3310.852,2030.32,Near Threatened
Human who,Actinopterygii,Squamata,3918.625,1667.91,Endangered
Chair past,Aves,Squamata,2491.291,2461.09,Vulnerable
Design political,Reptilia,Passeriformes,3103.163,1707.72,Critically Endangered
Bill your,Amphibia,Anura,344.068,829.55,Endangered
Prevent nation,Reptilia,Carnivora,3515.057,2613.62,Critically Endangered
Property government,Aves,Carnivora,4226.383,707.23,Vulnerable
Find represent,Amphibia,Carnivora,4931.822,2483.33,Critically Endangered
Service themselves,Reptilia,Squamata,4312.989,2143.63,Extinct in the Wild
Such participant,Actinopterygii,Carnivora,1072.051,2584.04,Critically Endangered
Interview each,Mammalia,Anura,1283.381,2609.33,Least Concern
Deep say,Aves,Carnivora,792.757,2754.33,Extinct in the Wild
Tell message,Aves,Primates,557.803,2395.05,Critically Endangered
Next if,Aves,Rodentia,3108.666,517.98,Vulnerable
Ok indicate,Aves,Anura,2051.901,1707.63,Least Concern
Month provide,Mammalia,Squamata,2407.658,1337.98,Least Concern
Heavy music,Actinopterygii,Squamata,4659.108,1095.21,Endangered
Move safe,Actinopterygii,Anura,3901.756,1069.18,Near Threatened
Law will,Reptilia,Anura,3134.69,1760.44,Least Concern
Those sit,Actinopterygii,Primates,1379.202,1108.5,Extinct in the Wild
Reduce conference,Aves,Squamata,1346.754,1831.05,Endangered
Former behavior,Amphibia,Squamata,3715.078,1984.87,Endangered
Smile pass,Mammalia,Carnivora,1714.227,2448.57,Endangered
Its on,Amphibia,Squamata,687.884,928.94,Near Threatened
Car network,Aves,Carnivora,4974.451,870.95,Vulnerable
End month,Aves,Squamata,1351.825,1231.68,Extinct in the Wild
Fight safe,Actinopterygii,Anura,3861.33,412.03,Endangered
Home dinner,Reptilia,Anura,2240.734,1418.44,Extinct in the Wild
Ability difference,Reptilia,Squamata,236.574,267.14,Endangered
Authority sing,Reptilia,Carnivora,2188.287,1842.42,Near Threatened
Wait industry,Mammalia,Carnivora,4258.526,2487.08,Extinct in the Wild
Detail attorney,Aves,Passeriformes,4243.85,1303.44,Least Concern
Theory heavy,Actinopterygii,Squamata,200.986,1478.56,Near Threatened
First security,Reptilia,Passeriformes,133.449,1812.04,Near Threatened
Avoid tough,Reptilia,Primates,1968.276,295.93,Extinct in the Wild
Picture charge,Actinopterygii,Squamata,1948.082,155.76,Near Threatened
