species,class,order,weight_kg,length_cm,conservation_status
Wife high,Actinopterygii,Passeriformes,235.189,349.98,Critically Endangered
World writer,Aves,Primates,4221.113,2690.73,Endangered
Everybody commercial,Mammalia,Squamata,4673.273,1855.46,Critically Endangered
Pay employee,Reptilia,Squamata,2385.018,611.01,Extinct in the Wild
Current point,Reptilia,Rodentia,151.224,1404.65,Near Threatened
Sea long,Mammalia,Primates,2666.345,1490.83,Vulnerable
Look hotel,Reptilia,Rodentia,1108.013,783.36,Near Threatened
Carry mention,Aves,Rodentia,1767.757,1475.53,Near Threatened
Popular behind,Actinopterygii,Rodentia,3900.849,423.91,Extinct in the Wild
Employee always,Mammalia,Passeriformes,3660.659,2495.48,Critically Endangered
Authority life,Aves,Squamata,1471.833,1531.88,Least Concern
Head line,Amphibia,Carnivora,4515.338,2710.31,Least Concern
Executive air,Amphibia,Rodentia,203.676,2088.17,Least Concern
Base amount,Reptilia,Anura,4057.978,1499.93,Endangered
View evidence,Mammalia,Carnivora,2203.635,122.8,Extinct in the Wild
Because bar,Aves,Anura,112.632,1250.17,Near Threatened
Remain cultural,Aves,Primates,3535.626,2979.5,Least Concern
Week clearly,Aves,Primates,2378.256,2201.17,Least Concern
Follow anyone,Amphibia,Passeriformes,3985.493,2533.83,Vulnerable
Set over,Mammalia,Carnivora,4024.76,1460.99,Endangered
Money car,Aves,Rodentia,843.84,1577.33,Vulnerable
During image,Mammalia,Anura,3954.852,61.24,Near Threatened
What quality,Mammalia,Rodentia,3531.614,727.66,Vulnerable
Difference boy,Aves,Rodentia,2132.174,1074.33,Least Concern
Interest necessary,Aves,Carnivora,1832.793,2373.38,Extinct in the Wild
Leave open,Mammalia,Primates,2239.924,2050.34,Vulnerable
Thank next,Mammalia,Primates,1322.135,1594.97,Critically Endangered
Common decide,Amphibia,Anura,2271.632,2046.01,Endangered
Represent cause,Reptilia,Anura,4248.702,1001.24,Extinct in the Wild
Stay some,Actinopterygii,Rodentia,4728.605,540.93,Extinct in the Wild
That a,Reptilia,Carnivora,3102.194,1787.81,Extinct in the Wild
Position culture,Actinopterygii,Primates,4349.845,394.03,Least Concern
There suffer,Reptilia,Squamata,509.654,1567.34,Critically Endangered
Cell respond,Amphibia,Squamata,3881.05,1805.12,Least Concern
Product store,Actinopterygii,Anura,3614.662,2077.47,Near Threatened
Scene possible,Actinopterygii,Primates,793.845,1217.21,Near Threatened
Travel next,Amphibia,Carnivora,2070.319,2981.08,Critically Endangered
Court produce,Reptilia,Primates,2070.839,77.7,Critically Endangered
Either the,Aves,Squamata,694.334,1756.49,Vulnerable
Job himself,Mammalia,Primates,2807.37,816.2,Vulnerable
Camera trouble,Actinopterygii,Passeriformes,1694.141,2230.78,Vulnerable
End because,Amphibia,Primates,4501.761,81.01,Extinct in the Wild
Make throughout,Reptilia,Primates,1031.572,2110.44,Critically Endangered
Design film,Mammalia,Anura,2731.571,1529.33,Vulnerable
Film one,Mammalia,Carnivora,721.139,136.51,Endangered
Resource than,Amphibia,Carnivora,127.723,841.23,Extinct in the Wild
Effort safe,Reptilia,Rodentia,4421.123,2277.87,Critically Endangered
Everything modern,Actinopterygii,Squamata,754.107,275.98,Critically Endangered
