species,class,order,weight_kg,length_cm,conservation_status
Color mind,Mammalia,Anura,3320.785,983.48,Endangered
Girl federal,Reptilia,Squamata,156.685,2178.34,Near Threatened
Least leader,Reptilia,Rodentia,1863.459,1158.52,Near Threatened
Writer beautiful,Amphibia,Primates,1640.505,689.71,Least Concern
Attack buy,Actinopterygii,Rodentia,4826.225,2173.57,Endangered
Should her,Actinopterygii,Squamata,1114.39,94.24,Endangered
Item network,Actinopterygii,Rodentia,3103.883,278.37,Critically Endangered
Child forward,Mammalia,Anura,2450.468,565.48,Extinct in the Wild
Media will,Amphibia,Squamata,4095.415,556.03,Endangered
Interesting trouble,Aves,Rodentia,3590.11,1632.76,Critically Endangered
Affect spend,Mammalia,Carnivora,98.332,1617.08,Endangered
Sure close,Aves,Rodentia,2004.647,2603.37,Extinct in the Wild
We newspaper,Reptilia,Primates,3237.342,1254.71,Critically Endangered
Themselves amount,Amphibia,Rodentia,3266.611,1829.56,Endangered
Why upon,Amphibia,Carnivora,2052.157,739.87,Near Threatened
Property event,Mammalia,Anura,4956.585,394.52,Critically Endangered
Generation oil,Actinopterygii,Passeriformes,881.266,2249.24,Near Threatened
Race teach,Aves,Carnivora,2507.577,2488.8,Near Threatened
Across get,Reptilia,Rodentia,394.135,966.95,Vulnerable
Fight worry,Actinopterygii,Anura,991.528,2054.21,Near Threatened
Along article,Actinopterygii,Rodentia,156.614,2065.33,Near Threatened
Budget do,Amphibia,Passeriformes,446.594,2320.8,Critically Endangered
Claim direction,Aves,Carnivora,4774.048,101.54,Vulnerable
Before onto,Actinopterygii,Primates,3041.381,2052.51,Extinct in the Wild
Modern couple,Amphibia,Rodentia,4504.713,631.8,Near Threatened
Matter billion,Actinopterygii,Rodentia,4280.321,2088.27,Least Concern
Policy make,Reptilia,Primates,2000.458,1558.15,Vulnerable
Certain peace,Reptilia,Carnivora,4841.894,2890.31,Vulnerable
Thousand those,Amphibia,Anura,2157.027,724.1,Extinct in the Wild
Dark TV,Amphibia,Passeriformes,1232.829,1661.26,Vulnerable
Deep class,Amphibia,Passeriformes,1728.171,1677.31,Near Threatened
Maybe issue,Amphibia,Anura,51.144,1683.25,Endangered
Home budget,Aves,Passeriformes,3909.624,2920.73,Critically Endangered
Rise throughout,Mammalia,Primates,4206.476,2657.84,Near Threatened
Others when,Mammalia,Anura,1621.865,2642.58,Near Threatened
Officer other,Actinopterygii,Squamata,4695.889,578.12,Least Concern
Fill family,Mammalia,Anura,1060.351,817.03,Near Threatened
Interview good,Actinopterygii,Passeriformes,588.71,1530.13,Endangered
Huge effect,Actinopterygii,Primates,1813.031,1994.07,Endangered
As though,Actinopterygii,Anura,1347.091,1563.37,Near Threatened
Explain cup,Mammalia,Anura,1193.601,2833.1,Vulnerable
Off indicate,Reptilia,Anura,2385.806,2950.23,Near Threatened
Trade camera,Aves,Rodentia,4811.094,1687.35,Vulnerable
Open but,Actinopterygii,Carnivora,81.838,1468.0,Least Concern
Need to,Reptilia,Passeriformes,1980.223,2042.09,Least Concern
Professor add,Mammalia,Squamata,1976.439,2429.2,Vulnerable
Population role,Actinopterygii,Squamata,1019.923,2155.11,Least Concern
Realize standard,Reptilia,Squamata,3726.667,1033.32,Extinct in the Wild
Summer our,Actinopterygii,Passeriformes,3105.891,747.97,Near Threatened
Enter should,Actinopterygii,Squamata,3831.83,1418.08,Near Threatened
Beat each,Aves,Primates,2996.531,262.98,Extinct in the Wild
Arrive pattern,Aves,Rodentia,3791.305,2140.99,Vulnerable
Recently never,Actinopterygii,Anura,3116.623,501.04,Endangered
Two you,Aves,Primates,4539.707,2558.56,Critically Endangered
Agent with,Mammalia,Passeriformes,978.193,1516.86,Near Threatened
Investment might,Amphibia,Rodentia,157.096,368.63,Least Concern
Minute general,Reptilia,Passeriformes,150.146,503.15,Extinct in the Wild
Nation floor,Aves,Passeriformes,1936.497,2753.76,Vulnerable
Institution we,Actinopterygii,Carnivora,2108.444,1075.01,Extinct in the Wild
Character son,Mammalia,Primates,167.21,1378.53,Least Concern
Maybe what,Aves,Primates,3342.014,2158.95,Critically Endangered
Evidence action,Reptilia,Primates,4780.941,147.64,Extinct in the Wild
Thank glass,Aves,Rodentia,1716.381,2701.3,Near Threatened
Eye report,Mammalia,Anura,4558.439,1706.5,Near Threatened
Back wind,Mammalia,Primates,256.393,2270.1,Near Threatened
Standard treatment,Reptilia,Anura,3966.889,1536.58,Endangered
Foot blood,Mammalia,Anura,1232.498,1452.26,Endangered
Card report,Amphibia,Squamata,1289.246,2295.95,Critically Endangered
About both,Mammalia,Carnivora,1841.697,1240.81,Endangered
However test,Amphibia,Carnivora,4632.26,337.4,Extinct in the Wild
Including whether,Actinopterygii,Passeriformes,319.482,1772.15,Near Threatened
Its production,Mammalia,Carnivora,331.731,2820.06,Extinct in the Wild
Court responsibility,Reptilia,Rodentia,614.301,93.92,Extinct in the Wild
Everyone part,Mammalia,Carnivora,2111.078,2534.52,Endangered
Authority bank,Actinopterygii,Anura,4297.038,1307.32,Vulnerable
Mr growth,Reptilia,Passeriformes,1209.938,1359.79,Vulnerable
Base section,Amphibia,Passeriformes,2431.886,850.29,Critically Endangered
Their analysis,Reptilia,Primates,4235.874,2377.38,Extinct in the Wild
Challenge guess,Actinopterygii,Primates,3806.004,1634.83,Near Threatened
Prevent doctor,Amphibia,Primates,4363.567,1613.89,Near Threatened
Space owner,Amphibia,Rodentia,3007.49,2741.62,Endangered
Yourself environmental,Actinopterygii,Passeriformes,3772.777,2725.46,Extinct in the Wild
Sometimes company,Aves,Rodentia,3961.041,2164.84,Near Threatened
Affect dream,Mammalia,Primates,4433.602,1312.17,Least Concern
