species,class,order,weight_kg,length_cm,conservation_status
Morning rich,Mammalia,Squamata,1744.294,2864.08,Vulnerable
Scientist win,Amphibia,Squamata,974.618,1860.35,Endangered
Produce from,Aves,Primates,1806.085,1562.76,Critically Endangered
Eight toward,Reptilia,Carnivora,2184.568,367.92,Endangered
Best glass,Aves,Passeriformes,1724.608,1559.33,Endangered
Civil authority,Actinopterygii,Rodentia,4795.409,2463.73,Vulnerable
Phone worry,Actinopterygii,Rodentia,536.359,2525.06,Extinct in the Wild
Consider reality,Reptilia,Squamata,362.514,548.52,Endangered
May real,Mammalia,Squamata,3441.176,1105.3,Endangered
Lay cost,Reptilia,Primates,3987.878,1321.54,Least Concern
Feel computer,Aves,Primates,253.144,1535.93,Near Threatened
Serve because,Aves,Anura,1391.906,2788.92,Vulnerable
Protect list,Mammalia,Squamata,1325.985,2793.23,Vulnerable
Learn involve,Amphibia,Anura,3813.556,1218.2,Least Concern
Media paper,Mammalia,Carnivora,3934.8,2328.13,Extinct in the Wild
Land amount,Mammalia,Passeriformes,2395.727,1397.53,Vulnerable
Store him,Actinopterygii,Squamata,1505.034,1583.38,Endangered
Budget particular,Reptilia,Anura,2732.937,1837.58,Endangered
Surface commercial,Amphibia,Anura,4801.266,2174.01,Least Concern
Resource election,Mammalia,Rodentia,2796.293,962.23,Near Threatened
Some require,Aves,Anura,2352.658,104.01,Least Concern
Defense civil,Mammalia,Rodentia,520.912,2085.33,Near Threatened
Production think,Amphibia,Squamata,1033.467,2950.2,Near Threatened
Our commercial,Aves,Passeriformes,4661.691,904.61,Endangered
Former shake,Aves,Squamata,2759.351,2082.06,Least Concern
Information us,Aves,Primates,4932.012,86.95,Endangered
Open yourself,Reptilia,Squamata,1159.954,2850.06,Endangered
Analysis color,Aves,Rodentia,4427.926,2137.75,Least Concern
Itself happen,Actinopterygii,Squamata,2494.563,2551.07,Critically Endangered
Democrat again,Amphibia,Passeriformes,4790.78,1371.81,Near Threatened
Hundred unit,Aves,Rodentia,2635.106,1404.91,Least Concern
Soldier state,Aves,Squamata,3885.867,922.05,Vulnerable
Newspaper owner,Aves,Squamata,4665.052,823.25,Extinct in the Wild
News onto,Aves,Rodentia,2248.876,2800.9,Endangered
Much away,Reptilia,Primates,4927.461,2653.29,Critically Endangered
Necessary would,Aves,Passeriformes,4671.774,2865.19,Near Threatened
Ball offer,Actinopterygii,Carnivora,4691.287,463.66,Vulnerable
On institution,Reptilia,Primates,2725.755,1263.45,Extinct in the Wild
Line general,Actinopterygii,Passeriformes,3965.003,417.8,Vulnerable
Writer right,Mammalia,Passeriformes,687.815,1624.65,Least Concern
Week these,Reptilia,Anura,2193.313,1782.55,Extinct in the Wild
Score leg,Reptilia,Passeriformes,846.161,432.45,Extinct in the Wild
Property successful,Reptilia,Squamata,2721.563,1702.02,Critically Endangered
Campaign you,Mammalia,Squamata,3913.546,411.43,Least Concern
Help medical,Amphibia,Passeriformes,309.838,623.35,Vulnerable
Debate west,Aves,Passeriformes,770.486,2859.35,Extinct in the Wild
Turn price,Aves,Squamata,3430.075,1953.54,Vulnerable
Value leader,Actinopterygii,Primates,1892.509,1916.56,Near Threatened
Take table,Amphibia,Anura,1559.099,54.17,Vulnerable
Occur scientist,Aves,Squamata,4779.18,1325.6,Vulnerable
Record establish,Amphibia,Rodentia,2720.116,1208.74,Least Concern
Nothing writer,Amphibia,Anura,4667.094,2015.4,Vulnerable
Room management,Mammalia,Squamata,3160.161,1616.62,Least Concern
Enough benefit,Reptilia,Carnivora,3998.162,402.07,Near Threatened
Old may,Actinopterygii,Passeriformes,855.856,1606.52,Endangered
This personal,Mammalia,Passeriformes,4547.628,1314.7,Critically Endangered
Door heavy,Aves,Rodentia,5.138,2032.74,Vulnerable
Party weight,Aves,Rodentia,1485.436,66.81,Least Concern
Because tend,Amphibia,Carnivora,4681.373,2585.84,Least Concern
Green study,Aves,Passeriformes,4174.439,53.18,Extinct in the Wild
Treatment memory,Reptilia,Squamata,3432.494,2677.69,Critically Endangered
Policy girl,Amphibia,Primates,923.851,620.34,Critically Endangered
Situation national,Amphibia,Rodentia,768.5,2113.61,Vulnerable
Resource mind,Aves,Anura,3164.14,1712.61,Critically Endangered
Public job,Amphibia,Rodentia,879.941,219.02,Least Concern
So employee,Amphibia,Carnivora,4951.574,1672.4,Least Concern
Fish institution,Aves,Carnivora,2248.014,2381.33,Extinct in the Wild
View door,Mammalia,Carnivora,2789.755,2550.85,Endangered
Physical shake,Amphibia,Passeriformes,3481.467,977.43,Extinct in the Wild
Look how,Mammalia,Squamata,4601.234,1023.73,Extinct in the Wild
Energy law,Mammalia,Carnivora,1626.431,1942.34,Vulnerable
Former important,Amphibia,Squamata,1651.767,955.02,Least Concern
Own lose,Amphibia,Anura,3114.864,501.91,Least Concern
Manager tree,Reptilia,Passeriformes,1080.554,2907.29,Extinct in the Wild
Left successful,Mammalia,Anura,1325.037,2224.88,Extinct in the Wild
Artist you,Mammalia,Primates,4826.386,1708.88,Extinct in the Wild
Program west,Amphibia,Primates,3900.073,54.99,Extinct in the Wild
Act site,Amphibia,Anura,3655.298,536.12,Vulnerable
Office research,Amphibia,Anura,4847.869,2887.9,Least Concern
Understand friend,Amphibia,Rodentia,1332.54,27.18,Least Concern
Reflect huge,Mammalia,Passeriformes,3175.619,2773.69,Endangered
Know do,Actinopterygii,Carnivora,2082.287,1758.82,Endangered
Particular physical,Amphibia,Passeriformes,1007.232,1114.46,Vulnerable
Report attention,Aves,Anura,4072.216,13.04,Critically Endangered
Writer western,Aves,Primates,4054.092,2931.8,Endangered
Many reality,Reptilia,Rodentia,2311.375,612.16,Least Concern
Door open,Actinopterygii,Primates,1803.151,1831.38,Vulnerable
High them,Actinopterygii,Squamata,4052.506,2548.11,Vulnerable
Store professional,Aves,Anura,4239.732,708.75,Least Concern
Positive free,Reptilia,Squamata,3394.129,783.33,Least Concern
Local law,Reptilia,Passeriformes,3320.997,1789.78,Endangered
Action collection,Mammalia,Squamata,1335.215,1961.62,Critically Endangered
Serve I,Aves,Rodentia,388.645,1335.18,Endangered
Tax hospital,Mammalia,Passeriformes,4984.768,1195.92,Vulnerable
Single mouth,Mammalia,Carnivora,3054.466,269.82,Critically Endangered
Form choose,Reptilia,Anura,4116.403,2321.9,Near Threatened
These direction,Actinopterygii,Passeriformes,1962.254,1691.64,Near Threatened
Try there,Amphibia,Passeriformes,4494.235,1314.34,Endangered
Challenge performance,Aves,Passeriformes,3103.062,2264.02,Extinct in the Wild
Rise various,Actinopterygii,Carnivora,61.072,1125.94,Endangered
Present economic,Actinopterygii,Carnivora,2767.957,5.27,Endangered
Remain offer,Reptilia,Anura,4187.034,1550.1,Vulnerable
Student right,Actinopterygii,Passeriformes,2264.328,55.41,Critically Endangered
Whole country,Aves,Anura,598.848,2088.47,Near Threatened
War doctor,Mammalia,Rodentia,1171.942,2609.08,Near Threatened
Education the,Reptilia,Squamata,2027.804,1558.61,Near Threatened
Talk put,Mammalia,Primates,2946.803,2095.91,Near Threatened
Move under,Mammalia,Carnivora,3337.97,46.1,Extinct in the Wild
Letter official,Amphibia,Passeriformes,2770.715,854.04,Vulnerable
Weight tax,Amphibia,Squamata,4060.731,2686.68,Least Concern
Hotel whom,Amphibia,Carnivora,162.715,610.04,Extinct in the Wild
Do world,Aves,Anura,3940.86,2864.08,Near Threatened
Note daughter,Actinopterygii,Primates,1884.657,2093.19,Near Threatened
Feeling never,Aves,Passeriformes,4422.587,2743.6,Least Concern
Television trial,Reptilia,Carnivora,2584.857,1380.95,Near Threatened
Along majority,Amphibia,Passeriformes,4878.183,1857.7,Least Concern
Similar history,Actinopterygii,Squamata,928.364,1405.83,Critically Endangered
Not rock,Mammalia,Anura,1858.141,24.06,Near Threatened
Mr price,Actinopterygii,Passeriformes,4506.075,1767.71,Endangered
Suddenly bill,Mammalia,Carnivora,2639.705,78.75,Vulnerable
Today smile,Mammalia,Carnivora,2543.724,28.53,Extinct in the Wild
Treat player,Mammalia,Squamata,1905.259,1716.87,Vulnerable
Summer sort,Amphibia,Rodentia,3791.17,2570.78,Endangered
Building him,Mammalia,Anura,4001.065,2582.58,Endangered
Arm off,Amphibia,Passeriformes,2122.845,2.18,Near Threatened
Try wonder,Mammalia,Carnivora,4005.629,1245.47,Critically Endangered
Mouth issue,Reptilia,Rodentia,1030.352,1927.75,Critically Endangered
With total,Reptilia,Primates,4216.39,2332.93,Least Concern
Raise audience,Amphibia,Passeriformes,1368.352,2771.32,Endangered
Term economy,Amphibia,Carnivora,2036.772,1867.4,Endangered
Bring crime,Amphibia,Rodentia,161.908,736.02,Least Concern
Available pull,Reptilia,Squamata,404.436,2554.95,Critically Endangered
Smile serve,Amphibia,Anura,2272.687,5.47,Critically Endangered
Message security,Reptilia,Primates,148.843,1081.43,Near Threatened
Direction third,Aves,Carnivora,833.086,1820.67,Extinct in the Wild
For soldier,Reptilia,Squamata,1327.507,914.95,Near Threatened
Administration admit,Reptilia,Squamata,941.942,2839.74,Vulnerable
Report tough,Mammalia,Rodentia,3252.625,1551.64,Least Concern
Everybody effort,Actinopterygii,Carnivora,1549.056,2379.53,Critically Endangered
Pressure worker,Mammalia,Rodentia,3117.975,2372.53,Critically Endangered
Record happen,Amphibia,Primates,2774.294,2569.37,Endangered
Change region,Mammalia,Primates,2372.461,896.29,Least Concern
Section myself,Amphibia,Carnivora,4212.783,892.83,Critically Endangered
Cultural nor,Mammalia,Carnivora,1681.711,2088.1,Endangered
Painting product,Actinopterygii,Squamata,2667.294,795.08,Extinct in the Wild
Identify them,Mammalia,Passeriformes,2390.55,229.6,Near Threatened
Someone relationship,Mammalia,Passeriformes,3916.658,2900.28,Endangered
Quality pass,Aves,Squamata,1174.312,2196.45,Extinct in the Wild
Might then,Actinopterygii,Primates,3497.941,2972.85,Extinct in the Wild
Small often,Reptilia,Anura,73.534,107.62,Extinct in the Wild
Top still,Aves,Passeriformes,3348.527,259.78,Near Threatened
Which look,Aves,Anura,421.011,2166.13,Near Threatened
Work feel,Amphibia,Passeriformes,3623.441,2452.24,Endangered
Return natural,Amphibia,Carnivora,1552.188,393.38,Endangered
Actually police,Aves,Anura,4907.024,1493.46,Critically Endangered
Since much,Aves,Primates,2494.872,1139.56,Near Threatened
No Democrat,Aves,Anura,4540.322,2324.7,Extinct in the Wild
Energy blue,Actinopterygii,Primates,2233.214,1853.54,Vulnerable
Evening over,Reptilia,Passeriformes,2964.312,1036.62,Critically Endangered
Tree energy,Amphibia,Anura,549.739,1160.51,Vulnerable
Field old,Amphibia,Carnivora,2133.026,417.7,Near Threatened
Dinner road,Aves,Anura,4663.074,2595.38,Vulnerable
Blood authority,Aves,Passeriformes,4872.544,758.43,Vulnerable
Hospital agent,Reptilia,Rodentia,3412.842,315.57,Vulnerable
Usually look,Actinopterygii,Anura,4148.582,1964.03,Least Concern
