species,class,order,weight_kg,length_cm,conservation_status
Fill would,Mammalia,Rodentia,100.29,2652.2,Least Concern
Interest onto,Reptilia,Squamata,4692.924,60.66,Near Threatened
Use own,Mammalia,Anura,3565.213,327.6,Endangered
Son money,Reptilia,Primates,434.039,1226.18,Vulnerable
Kid line,Aves,Rodentia,186.063,442.98,Critically Endangered
Bill my,Reptilia,Passeriformes,2503.996,1508.25,Critically Endangered
Listen send,Amphibia,Passeriformes,421.762,1839.32,Endangered
Fast book,Mammalia,Passeriformes,2380.667,910.08,Endangered
Here shoulder,Mammalia,Passeriformes,2841.627,996.15,Critically Endangered
Wall audience,Actinopterygii,Rodentia,84.943,1691.61,Least Concern
Person table,Mammalia,Anura,4524.894,1402.86,Vulnerable
Prove half,Aves,Passeriformes,2677.68,1070.46,Critically Endangered
Direction fund,Actinopterygii,Carnivora,2888.69,2463.84,Near Threatened
Price article,Actinopterygii,Squamata,4058.837,588.95,Extinct in the Wild
Several pick,Mammalia,Rodentia,992.609,1964.36,Vulnerable
If middle,Aves,Primates,3334.74,2224.16,Near Threatened
Place who,Amphibia,Anura,1724.898,1584.51,Extinct in the Wild
Bad official,Reptilia,Squamata,532.336,2026.98,Critically Endangered
So produce,Aves,Rodentia,3058.578,657.3,Critically Endangered
Power treat,Actinopterygii,Passeriformes,2108.333,2832.67,Endangered
Lawyer present,Mammalia,Rodentia,752.327,1513.78,Near Threatened
Accept paper,Actinopterygii,Passeriformes,2011.055,1511.35,Near Threatened
Six sit,Reptilia,Rodentia,4518.679,2671.66,Endangered
Start piece,Aves,Primates,4777.7,283.56,Near Threatened
Another campaign,Reptilia,Rodentia,3484.899,2058.27,Least Concern
Wait large,Aves,Anura,1423.664,2504.09,Near Threatened
Eye run,Aves,Rodentia,2977.387,37.31,Vulnerable
Specific all,Amphibia,Primates,543.952,965.62,Least Concern
Country race,Mammalia,Rodentia,4759.732,2153.71,Critically Endangered
Space whatever,Amphibia,Squamata,3210.427,606.47,Vulnerable
Nation organization,Amphibia,Rodentia,4371.413,1698.56,Critically Endangered
Dark seem,Reptilia,Anura,3722.119,894.07,Vulnerable
Seat nice,Actinopterygii,Primates,1745.649,1737.53,Endangered
Think especially,Mammalia,Primates,4768.034,1132.39,Critically Endangered
Dark coach,Aves,Carnivora,124.635,2237.94,Vulnerable
From something,Aves,Rodentia,4294.071,626.26,Near Threatened
