species,class,order,weight_kg,length_cm,conservation_status
Under trial,Aves,Passeriformes,1303.128,2746.14,Least Concern
Should another,Aves,Squamata,4.162,1874.12,Least Concern
Black smile,Mammalia,Passeriformes,2232.883,2440.46,Vulnerable
Maybe heart,Reptilia,Rodentia,2527.961,894.23,Endangered
Really read,Actinopterygii,Carnivora,4678.086,1176.43,Endangered
Once mention,Reptilia,Carnivora,3158.293,1397.35,Least Concern
Carry bank,Reptilia,Primates,4518.546,1393.64,Near Threatened
Unit decision,Amphibia,Passeriformes,4690.475,1226.08,Extinct in the Wild
Change occur,Mammalia,Carnivora,953.146,2531.6,Near Threatened
Enter food,Reptilia,Squamata,3677.016,2909.06,Critically Endangered
But prepare,Amphibia,Anura,4007.509,337.9,Extinct in the Wild
Score old,Mammalia,Rodentia,401.38,674.18,Extinct in the Wild
Arm street,Mammalia,Carnivora,4691.269,1675.27,Critically Endangered
Enjoy put,Amphibia,Anura,3971.628,145.26,Endangered
Customer benefit,Amphibia,Primates,2302.542,18.97,Critically Endangered
Source toward,Amphibia,Rodentia,3495.171,2808.22,Extinct in the Wild
Go answer,Actinopterygii,Carnivora,1152.461,1748.65,Near Threatened
Resource per,Amphibia,Squamata,1818.806,2896.62,Extinct in the Wild
Film pay,Aves,Anura,4043.045,1014.17,Endangered
Account six,Reptilia,Carnivora,4072.454,2011.71,Near Threatened
Guy amount,Aves,Carnivora,1825.393,1686.94,Least Concern
Attack west,Mammalia,Rodentia,377.984,15.53,Endangered
Design sea,Mammalia,Anura,1469.669,2635.29,Least Concern
Also front,Actinopterygii,Passeriformes,787.985,1448.84,Extinct in the Wild
Admit walk,Reptilia,Primates,598.07,1106.99,Endangered
Tv free,Actinopterygii,Squamata,616.865,12.63,Critically Endangered
Source think,Actinopterygii,Carnivora,4318.089,1806.73,Least Concern
Assume apply,Amphibia,Anura,2837.302,1403.73,Extinct in the Wild
Above economic,Mammalia,Carnivora,3440.084,1822.74,Vulnerable
Market sound,Actinopterygii,Passeriformes,22.119,776.58,Critically Endangered
Blue understand,Mammalia,Carnivora,1724.66,1048.49,Least Concern
Help yes,Reptilia,Squamata,282.075,2761.29,Endangered
Themselves guy,Mammalia,Carnivora,128.251,2902.1,Least Concern
Present keep,Amphibia,Carnivora,4273.496,1711.82,Critically Endangered
Since design,Aves,Anura,1175.217,2926.61,Least Concern
Worry cover,Actinopterygii,Primates,4872.661,586.38,Least Concern
Even such,Amphibia,Rodentia,4515.799,1417.19,Least Concern
Growth meet,Amphibia,Carnivora,3014.931,2561.95,Critically Endangered
Kind sing,Mammalia,Carnivora,416.437,214.81,Least Concern
Popular peace,Mammalia,Carnivora,2954.785,369.79,Endangered
Check car,Aves,Primates,226.313,1638.65,Least Concern
Glass particular,Reptilia,Squamata,741.069,1247.98,Endangered
Defense happen,Reptilia,Squamata,2927.272,2211.31,Critically Endangered
Weight successful,Actinopterygii,Carnivora,3399.627,2252.59,Vulnerable
Arrive myself,Mammalia,Primates,639.84,235.44,Extinct in the Wild
Finally build,Actinopterygii,Passeriformes,291.898,187.12,Extinct in the Wild
Network cultural,Aves,Anura,935.608,956.18,Least Concern
Bill way,Mammalia,Anura,2816.065,38.26,Least Concern
Material read,Amphibia,Passeriformes,3744.436,2369.33,Extinct in the Wild
Computer war,Actinopterygii,Rodentia,1568.136,2671.43,Extinct in the Wild
Across sense,Actinopterygii,Squamata,749.923,2794.56,Near Threatened
Actually speak,Aves,Rodentia,760.817,446.13,Critically Endangered
Along establish,Actinopterygii,Rodentia,2011.831,2782.12,Extinct in the Wild
But like,Amphibia,Passeriformes,3290.81,1728.45,Critically Endangered
Suddenly shake,Mammalia,Rodentia,2622.535,1091.19,Extinct in the Wild
Eye beyond,Mammalia,Anura,122.515,670.03,Vulnerable
Money law,Actinopterygii,Squamata,3429.205,1509.59,Endangered
Sell friend,Amphibia,Rodentia,1387.76,839.54,Vulnerable
Least structure,Reptilia,Rodentia,4829.626,2731.22,Endangered
Weight travel,Mammalia,Carnivora,2882.465,484.09,Endangered
Clearly choice,Amphibia,Squamata,703.205,1034.08,Least Concern
Just from,Mammalia,Rodentia,2407.039,2967.91,Endangered
Community you,Mammalia,Passeriformes,1162.91,2040.44,Vulnerable
Always last,Amphibia,Rodentia,4909.947,2456.26,Near Threatened
Truth quite,Aves,Squamata,758.143,1259.88,Vulnerable
Eat rock,Mammalia,Passeriformes,3921.853,658.12,Vulnerable
Up later,Aves,Anura,3058.223,174.68,Extinct in the Wild
Box method,Reptilia,Rodentia,2913.543,1378.74,Least Concern
Out last,Actinopterygii,Passeriformes,1933.614,823.28,Endangered
Live when,Reptilia,Anura,1498.618,1852.81,Near Threatened
Road away,Reptilia,Passeriformes,3550.419,269.52,Vulnerable
Gas occur,Actinopterygii,Anura,4840.949,2183.97,Near Threatened
Claim drive,Actinopterygii,Primates,4092.792,1340.35,Extinct in the Wild
Believe prevent,Mammalia,Rodentia,1067.015,2639.85,Near Threatened
Minute weight,Reptilia,Carnivora,3118.251,279.98,Near Threatened
Or task,Amphibia,Squamata,3517.096,1159.78,Least Concern
Price page,Amphibia,Primates,2664.753,1062.62,Critically Endangered
Rich imagine,Aves,Carnivora,653.111,213.85,Near Threatened
Present kitchen,Mammalia,Primates,1898.775,949.22,Near Threatened
Reveal medical,Amphibia,Anura,3759.627,1269.99,Least Concern
School kitchen,Amphibia,Carnivora,1379.823,1371.71,Endangered
Build side,Reptilia,Passeriformes,4439.417,309.32,Endangered
Movie show,Actinopterygii,Anura,345.19,448.52,Extinct in the Wild
Them total,Amphibia,Rodentia,184.318,2603.48,Vulnerable
Student individual,Mammalia,Anura,4314.784,553.85,Vulnerable
Back build,Actinopterygii,Primates,3885.006,1857.81,Near Threatened
Song step,Amphibia,Rodentia,4470.564,2365.16,Near Threatened
All stock,Reptilia,Rodentia,2421.66,1988.94,Critically Endangered
Beautiful with,Amphibia,Primates,1479.194,1068.89,Extinct in the Wild
Minute successful,Amphibia,Squamata,2593.672,15.44,Critically Endangered
Game whether,Mammalia,Squamata,3462.662,2580.45,Extinct in the Wild
Option yet,Actinopterygii,Rodentia,3591.734,53.68,Least Concern
Both bad,Amphibia,Squamata,4824.81,1972.9,Extinct in the Wild
Bring election,Actinopterygii,Anura,2176.74,237.5,Extinct in the Wild
Partner wind,Mammalia,Rodentia,4772.812,2321.05,Vulnerable
Sense bit,Actinopterygii,Rodentia,251.66,1364.41,Extinct in the Wild
Class thus,Actinopterygii,Squamata,3818.814,1457.95,Least Concern
Prepare Congress,Amphibia,Squamata,2158.368,2806.22,Extinct in the Wild
Cup two,Actinopterygii,Primates,1305.478,369.37,Critically Endangered
Service federal,Mammalia,Carnivora,3703.702,1138.61,Critically Endangered
Firm economy,Amphibia,Passeriformes,183.796,2259.34,Extinct in the Wild
Single strong,Mammalia,Rodentia,3864.391,2222.32,Near Threatened
Popular power,Aves,Carnivora,2371.737,1978.62,Critically Endangered
Around race,Aves,Primates,4222.014,2743.07,Endangered
Question serve,Amphibia,Squamata,19.329,2615.94,Extinct in the Wild
Tax main,Mammalia,Anura,1694.895,481.59,Near Threatened
Tax weight,Actinopterygii,Passeriformes,2199.038,1640.9,Near Threatened
Rate rich,Reptilia,Carnivora,4873.986,571.11,Endangered
Reason dinner,Actinopterygii,Primates,179.355,2423.39,Near Threatened
Still behavior,Mammalia,Rodentia,3446.261,2971.02,Near Threatened
Moment discover,Mammalia,Rodentia,2283.712,2894.94,Extinct in the Wild
