species,class,order,weight_kg,length_cm,conservation_status
Miss we,Mammalia,Primates,348.139,2128.4,Least Concern
Four throw,Aves,Squamata,653.724,2749.67,Critically Endangered
Right concern,Amphibia,Primates,3072.41,2465.22,Critically Endangered
Offer almost,Actinopterygii,Rodentia,3224.74,1415.56,Endangered
Purpose structure,Amphibia,Primates,3011.196,934.21,Least Concern
Picture light,Reptilia,Anura,4296.962,2733.7,Endangered
Process could,Mammalia,Primates,3359.691,2295.11,Extinct in the Wild
Purpose same,Mammalia,Anura,694.312,2356.26,Extinct in the Wild
Top him,Aves,Squamata,3936.113,714.69,Least Concern
His read,Reptilia,Passeriformes,123.168,2800.64,Near Threatened
Indeed next,Mammalia,Primates,3031.476,2426.04,Vulnerable
Prove short,Reptilia,Primates,49.39,1116.15,Near Threatened
Open compare,Aves,Rodentia,2870.558,154.1,Critically Endangered
Impact film,Amphibia,Primates,226.145,1385.87,Near Threatened
Any strong,Actinopterygii,Rodentia,3430.464,1151.35,Extinct in the Wild
Threat these,Amphibia,Anura,2476.854,2965.74,Endangered
Successful health,Aves,Squamata,1726.644,1784.07,Critically Endangered
Under current,Mammalia,Squamata,141.303,488.97,Critically Endangered
Event candidate,Mammalia,Passeriformes,3755.675,400.66,Endangered
You choose,Aves,Passeriformes,3630.591,1524.0,Vulnerable
Position well,Amphibia,Squamata,472.833,516.96,Extinct in the Wild
Policy approach,Amphibia,Primates,3553.934,896.14,Endangered
Under turn,Actinopterygii,Carnivora,4131.476,374.1,Endangered
How officer,Mammalia,Squamata,1501.753,790.16,Vulnerable
Necessary scientist,Mammalia,Carnivora,1309.94,1764.7,Near Threatened
On wish,Amphibia,Passeriformes,2436.758,883.1,Critically Endangered
Race development,Reptilia,Anura,1545.665,1446.05,Critically Endangered
Court this,Mammalia,Carnivora,2063.378,354.85,Extinct in the Wild
Adult blood,Reptilia,Squamata,851.44,2149.74,Vulnerable
Bad opportunity,Actinopterygii,Rodentia,1560.265,2737.35,Endangered
Peace social,Amphibia,Rodentia,3239.003,2080.3,Vulnerable
Process practice,Reptilia,Passeriformes,3555.679,1292.81,Endangered
Choose entire,Reptilia,Anura,3861.122,699.14,Endangered
Whether wish,Mammalia,Squamata,2691.956,75.97,Critically Endangered
Despite despite,Mammalia,Squamata,3771.338,2216.39,Least Concern
Mouth whose,Mammalia,Primates,2413.087,230.12,Near Threatened
